date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,5.2,5.24,5.155,5.22,1330903.0
2021-03-16,5.15,5.16,5.1,5.13,1759432.0
2021-03-15,5.24,5.27,5.16,5.27,1320439.0
2021-03-12,5.24,5.33,5.21,5.33,1435887.0
2021-03-11,5.19,5.215,5.15,5.19,794217.0
2021-03-10,5.2,5.25,5.17,5.23,1879554.0
2021-03-09,5.26,5.31,5.195,5.24,2526426.0
2021-03-08,5.23,5.36,5.2099,5.3,2110250.0
2021-03-05,5.31,5.3243,5.15,5.28,2852519.0
2021-03-04,5.22,5.25,5.07,5.15,3586078.0
2021-03-03,5.23,5.35,5.23,5.29,2851381.0
2021-03-02,5.15,5.22,5.1412,5.17,1874726.0
2021-03-01,5.14,5.18,5.12,5.15,1028440.0
2021-02-26,5.12,5.14,5.055,5.08,2132062.0
2021-02-25,5.25,5.29,5.08,5.13,1962324.0
2021-02-24,5.21,5.27,5.2,5.25,1504012.0
2021-02-23,5.19,5.26,5.085,5.21,2078319.0
2021-02-22,5.03,5.15,5.01,5.08,1510984.0
2021-02-19,4.95,5.12,4.94,5.01,2121673.0
2021-02-18,4.81,4.85,4.725,4.77,1488615.0
2021-02-17,4.85,4.94,4.82,4.92,1672393.0
2021-02-16,4.91,5.06,4.91,5.05,2079096.0
2021-02-12,4.69,4.74,4.68,4.73,1000609.0
2021-02-11,4.72,4.76,4.68,4.75,1361517.0
2021-02-10,4.82,4.85,4.76,4.81,1033918.0
2021-02-09,4.76,4.81,4.7299,4.78,1980237.0
2021-02-08,4.71,4.8,4.69,4.72,2574419.0
2021-02-05,4.57,4.6599,4.52,4.6,2271689.0
2021-02-04,4.43,4.5,4.3,4.43,3019171.0
2021-02-03,4.16,4.22,4.16,4.19,718393.0
2021-02-02,4.17,4.215,4.1489,4.2,927603.0
2021-02-01,4.11,4.12,4.06,4.1,801283.0
2021-01-29,4.03,4.0429,3.95,3.98,1327346.0
2021-01-28,4.04,4.12,4.02,4.09,1278875.0
2021-01-27,3.99,4.03,3.935,3.96,1321518.0
2021-01-26,4.17,4.21,4.15,4.16,820832.0
2021-01-25,4.12,4.16,4.09,4.11,1006366.0
2021-01-22,4.2,4.2265,4.17,4.19,1031245.0
2021-01-21,4.33,4.34,4.25,4.28,1012366.0
2021-01-20,4.22,4.26,4.19,4.26,1275925.0
