date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,16.46,16.48,16.41,16.45,14358.0
2021-03-16,16.51,16.51,16.45,16.45,15146.0
2021-03-15,16.46,16.515,16.39,16.51,12740.0
2021-03-12,16.36,16.42,16.27,16.37,25897.0
2021-03-11,16.5,16.54,16.32,16.42,20364.0
2021-03-10,16.3,16.44,16.1801,16.44,32497.0
2021-03-09,16.26,16.26,16.15,16.25,17138.0
2021-03-08,16.12,16.16,16.0353,16.14,17664.0
2021-03-05,16.16,16.16,15.89,16.04,40731.0
2021-03-04,16.11,16.2419,15.98,16.12,24878.0
2021-03-03,16.1,16.11,15.98,16.03,29565.0
2021-03-02,15.84,16.13,15.84,16.1,49537.0
2021-03-01,16.48,16.48,15.69,15.84,120752.0
2021-02-26,16.46,16.62,16.28,16.32,25198.0
2021-02-25,16.57,16.75,16.18,16.35,30504.0
2021-02-24,16.56,16.69,16.39,16.57,33432.0
2021-02-23,16.99,17.05,16.54,16.56,16242.0
2021-02-22,17.48,17.48,16.87,16.95,25210.0
2021-02-19,17.64,17.64,17.4,17.4,6323.0
2021-02-18,17.5,17.65,17.5,17.65,4547.0
2021-02-17,17.8,17.86,17.55,17.59,11009.0
2021-02-16,17.83,17.88,17.54,17.63,11757.0
2021-02-12,17.89,18.345,17.65,17.65,13323.0
2021-02-11,17.99,18.2199,17.699,17.801,16713.0
2021-02-10,17.93,18.4401,17.81,17.84,17127.0
2021-02-09,17.85,19.2519,17.79,17.82,29010.0
2021-02-08,17.71,18.35,17.3463,17.72,13093.0
2021-02-05,17.55,17.64,17.33,17.47,6546.0
2021-02-04,17.54,17.54,17.28,17.32,14740.0
2021-02-03,17.5,17.61,17.37,17.37,11883.0
2021-02-02,17.65,17.75,17.39,17.63,8038.0
2021-02-01,17.73,17.73,17.27,17.58,16817.0
2021-01-29,17.5,17.58,17.22,17.38,29345.0
2021-01-28,17.42,17.5,17.32,17.48,14782.0
2021-01-27,17.39,17.49,17.15,17.4,21566.0
2021-01-26,17.1,17.39,16.99,17.39,17892.0
