date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,45.34,45.89,44.68,45.83,121007.0
2021-03-16,46.2,46.2,45.02,45.27,108622.0
2021-03-15,44.99,46.69,44.99,46.32,145879.0
2021-03-12,44.35,45.45,44.35,45.22,143191.0
2021-03-11,43.85,44.74,43.63,44.74,147518.0
2021-03-10,44.03,44.1807,43.48,43.51,125177.0
2021-03-09,44.01,44.23,43.35,43.75,153838.0
2021-03-08,42.24,44.195,41.93,43.6,289334.0
2021-03-05,42.25,42.53,40.44,41.78,142456.0
2021-03-04,42.63,43.0,41.5,41.79,145531.0
2021-03-03,41.59,43.325,41.59,42.34,484089.0
2021-03-02,41.3,41.855,40.79,41.47,79636.0
2021-03-01,41.61,42.14,41.36,41.42,73643.0
2021-02-26,41.59,42.1538,40.98,41.04,137118.0
2021-02-25,41.91,42.57,41.56,41.63,119376.0
2021-02-24,41.52,42.35,41.36,41.88,98858.0
2021-02-23,41.84,42.87,41.4,41.56,169817.0
2021-02-22,41.23,41.835,41.23,41.62,119750.0
2021-02-19,41.63,42.22,41.43,41.48,81524.0
2021-02-18,42.31,42.665,41.43,41.43,75956.0
2021-02-17,44.15,44.15,42.1,42.46,105239.0
2021-02-16,42.32,44.8,42.16,44.11,162858.0
2021-02-12,42.18,42.835,42.0,42.54,444729.0
2021-02-11,42.34,42.75,42.04,42.25,121275.0
2021-02-10,42.18,43.35,42.17,42.22,130681.0
2021-02-09,42.27,42.62,41.75,41.97,99995.0
2021-02-08,41.86,42.62,41.69,41.94,95409.0
2021-02-05,41.27,42.34,41.27,41.81,125075.0
2021-02-04,40.65,41.82,40.65,41.08,139562.0
2021-02-03,41.88,41.88,40.2004,40.84,141268.0
2021-02-02,41.49,42.3,40.445,42.04,78253.0
2021-02-01,39.6,41.31,39.18,41.0,90380.0
2021-01-29,39.84,40.5,39.13,39.47,156855.0
2021-01-28,40.34,40.85,40.0,40.08,189510.0
2021-01-27,41.93,41.93,39.97,40.15,147598.0
2021-01-26,43.28,43.28,42.46,42.6,156968.0
2021-01-25,43.39,43.48,42.495,42.76,117983.0
2021-01-22,42.73,43.51,42.26,43.49,78937.0
2021-01-21,43.3,43.455,42.08,42.97,73148.0
2021-01-20,42.49,43.45,42.49,43.37,69761.0
2021-01-19,42.61,42.81,41.85,42.56,115489.0
2021-01-15,41.53,42.61,41.45,42.52,58009.0
2021-01-14,42.16,42.44,41.57,41.68,88063.0
2021-01-13,41.63,42.62,41.24,41.82,100537.0
2021-01-12,40.58,41.33,40.49,41.28,72412.0
2021-01-11,41.38,41.61,40.46,40.77,114760.0
2021-01-08,41.25,41.65,40.81,41.44,162190.0
2021-01-07,42.11,42.43,40.65,41.44,106360.0
2021-01-06,41.69,42.93,41.51,42.26,175025.0
2021-01-05,41.33,42.34,41.26,41.37,136077.0
2021-01-04,42.38,42.5141,41.07,41.26,152306.0
2020-12-31,40.96,42.44,40.55,42.31,121829.0
2020-12-30,40.99,41.065,40.52,40.72,108175.0
2020-12-29,40.85,40.94,40.02,40.75,165807.0
2020-12-28,41.0,41.03,40.5,40.67,165930.0
2020-12-24,40.51,40.82,40.29,40.63,95294.0
2020-12-23,41.25,42.27,40.46,40.56,230073.0
2020-12-22,41.83,42.02,40.9575,41.12,99955.0
2020-12-21,41.17,41.69,40.53,41.54,131426.0
2020-12-18,43.5,43.965,41.72,41.95,470230.0
2020-12-17,43.75,44.0056,43.35,43.53,88184.0
2020-12-16,44.01,44.81,43.71,43.76,116193.0
2020-12-15,43.09,44.06,43.03,44.02,114840.0
2020-12-14,42.93,44.0,42.93,43.13,158500.0
2020-12-11,42.4,43.12,42.4,42.73,67549.0
2020-12-10,43.3,43.51,42.58,42.81,59794.0
2020-12-09,44.53,44.78,43.58,43.68,83408.0
2020-12-08,43.84,45.01,43.72,44.53,112203.0
2020-12-07,43.94,44.47,43.535,44.27,81042.0
2020-12-04,43.89,44.3675,43.7,44.04,87533.0
2020-12-03,43.81,44.6,43.49,43.71,63924.0
2020-12-02,44.75,45.06,43.77,43.78,87009.0
2020-12-01,44.8,45.29,44.04,44.51,93988.0
2020-11-30,43.25,44.97,43.25,44.31,139589.0
2020-11-27,43.28,43.66,42.69,43.44,31991.0
