date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.6,14.61,14.52,14.52,3300.0
2021-03-16,14.6375,14.6375,14.6375,14.6375,402.0
2021-03-15,14.59,14.59,14.59,14.59,7.0
2021-03-12,14.6,14.6,14.59,14.59,728.0
2021-03-11,14.6,14.6,14.6,14.6,201.0
2021-03-10,14.55,14.55,14.55,14.55,35.0
2021-03-09,14.55,14.55,14.55,14.55,4.0
2021-03-08,14.43,14.55,14.42,14.55,3286.0
2021-03-05,14.48,14.48,14.45,14.45,1500.0
2021-03-04,14.5323,14.5323,14.5323,14.5323,5.0
2021-03-03,14.46,14.5323,14.45,14.5323,1280.0
2021-03-02,14.63,14.64,14.48,14.63,7858.0
2021-03-01,14.67,14.67,14.2,14.43,13383.0
2021-02-26,14.42,14.42,14.42,14.42,17.0
2021-02-25,14.57,14.57,14.42,14.42,6642.0
2021-02-24,14.52,14.52,14.5,14.52,1555.0
2021-02-23,14.52,14.54,14.52,14.52,2259.0
2021-02-22,14.76,14.827,14.55,14.55,12149.0
2021-02-19,14.87,14.9,14.75,14.75,4340.0
2021-02-18,14.79,14.88,14.78,14.88,6138.0
2021-02-17,14.87,14.93,14.87,14.88,9801.0
2021-02-16,14.94,14.94,14.8,14.87,1618.0
2021-02-12,14.87,14.98,14.87,14.95,4878.0
2021-02-11,14.87,14.88,14.87,14.87,908.0
2021-02-10,14.91,14.91,14.91,14.91,916.0
2021-02-09,14.94,14.95,14.91,14.91,2791.0
2021-02-08,14.93,15.04,14.93,15.0,2016.0
2021-02-05,14.93,14.98,14.9,14.93,1939.0
2021-02-04,14.93,14.93,14.93,14.93,10.0
2021-02-03,15.04,15.05,14.883,14.93,2592.0
2021-02-02,15.02,15.02,15.02,15.02,309.0
2021-02-01,15.05,15.05,14.9734,15.03,881.0
2021-01-29,15.01,15.01,15.01,15.01,22.0
2021-01-28,15.01,15.01,15.01,15.01,54.0
2021-01-27,14.91,15.01,14.9,15.01,665.0
2021-01-26,14.85,15.02,14.85,15.01,752.0
2021-01-25,14.92,14.92,14.92,14.92,0.0
2021-01-22,14.92,14.92,14.92,14.92,3033.0
2021-01-21,14.8,14.92,14.8,14.92,5063.0
2021-01-20,14.8799,14.8799,14.8799,14.8799,500.0
2021-01-19,14.92,14.92,14.78,14.8168,1024.0
2021-01-15,14.93,14.93,14.93,14.93,2.0
2021-01-14,14.79,14.93,14.78,14.93,4159.0
2021-01-13,14.87,14.88,14.87,14.88,1001.0
2021-01-12,14.8,14.955,14.8,14.955,3088.0
2021-01-11,14.8,14.84,14.8,14.8398,4794.0
2021-01-08,14.8,14.8,14.8,14.8,369.0
2021-01-07,14.8086,14.8086,14.75,14.75,1032.0
2021-01-06,14.73,14.8,14.73,14.8,5533.0
2021-01-05,14.79,14.85,14.78,14.8,9335.0
2021-01-04,14.83,14.83,14.77,14.78,8302.0
2020-12-31,14.96,14.96,14.83,14.83,5916.0
2020-12-30,14.77,14.77,14.77,14.77,63.0
2020-12-29,14.845,14.9095,14.77,14.77,1560.0
2020-12-28,14.89,14.89,14.89,14.89,66.0
2020-12-24,14.89,14.89,14.89,14.89,106.0
