date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.99,15.01,14.8311,14.99,74327.0
2021-03-16,15.18,15.18,14.93,15.02,97488.0
2021-03-15,15.15,15.2972,15.14,15.22,188580.0
2021-03-12,15.07,15.23,15.07,15.13,102458.0
2021-03-11,15.05,15.19,15.024,15.07,73961.0
2021-03-10,14.95,15.05,14.95,15.03,59634.0
2021-03-09,14.99,15.1813,14.95,14.95,129554.0
2021-03-08,14.74,15.0,14.74,14.96,59787.0
2021-03-05,14.7,14.94,14.7,14.74,66277.0
2021-03-04,14.92,15.01,14.66,14.71,96572.0
2021-03-03,14.99,15.01,14.95,14.96,57540.0
2021-03-02,14.75,15.01,14.75,14.95,105501.0
2021-03-01,14.8,14.88,14.73,14.75,89816.0
2021-02-26,14.91,14.91,14.5639,14.74,93343.0
2021-02-25,14.8,14.96,14.65,14.85,181452.0
2021-02-24,14.8,14.99,14.74,14.95,311526.0
2021-02-23,14.77,14.82,14.61,14.8,208935.0
2021-02-22,14.71,14.7737,14.66,14.74,56406.0
2021-02-19,14.7,14.73,14.6666,14.69,66729.0
2021-02-18,14.69,14.7199,14.6005,14.65,84748.0
2021-02-17,14.74,14.74,14.6,14.66,59097.0
2021-02-16,14.71,14.73,14.6,14.69,70809.0
2021-02-12,14.73,14.8,14.68,14.71,58484.0
2021-02-11,14.74,14.75,14.54,14.73,71287.0
2021-02-10,14.82,14.96,14.6282,14.74,133523.0
2021-02-09,14.94,15.0,14.89,14.97,138704.0
2021-02-08,14.95,15.099,14.85,14.94,225083.0
2021-02-05,14.85,14.95,14.81,14.95,82467.0
2021-02-04,14.8,14.85,14.78,14.84,151553.0
2021-02-03,14.74,14.81,14.7175,14.79,206850.0
2021-02-02,14.58,14.8391,14.58,14.74,94364.0
2021-02-01,14.55,14.68,14.4384,14.59,198782.0
2021-01-29,14.56,14.5603,14.3601,14.45,68116.0
2021-01-28,14.38,14.5,14.375,14.49,90168.0
2021-01-27,14.35,14.44,14.29,14.33,96210.0
2021-01-26,14.44,14.4519,14.34,14.36,114694.0
2021-01-25,14.44,14.49,14.32,14.38,119232.0
2021-01-22,14.44,14.48,14.41,14.45,82092.0
2021-01-21,14.49,14.5327,14.41,14.43,88714.0
2021-01-20,14.49,14.64,14.49,14.57,105820.0
2021-01-19,14.3,14.5584,14.3,14.47,101049.0
2021-01-15,14.49,14.53,14.16,14.24,148174.0
2021-01-14,14.38,14.49,14.3201,14.45,100465.0
2021-01-13,14.64,14.68,14.5306,14.59,121946.0
2021-01-12,14.49,14.6,14.44,14.57,50375.0
2021-01-11,14.5,14.56,14.4,14.42,99187.0
2021-01-08,14.57,14.63,14.45,14.53,109450.0
2021-01-07,14.52,14.6999,14.5056,14.57,95080.0
2021-01-06,14.4,14.55,14.4,14.49,131266.0
2021-01-05,14.4,14.49,14.31,14.4,94374.0
2021-01-04,14.29,14.4,14.16,14.37,162155.0
2020-12-31,14.46,14.46,14.25,14.32,134473.0
2020-12-30,14.34,14.5,14.34,14.36,93586.0
2020-12-29,14.28,14.36,14.256,14.35,66881.0
2020-12-28,14.17,14.44,14.15,14.24,204341.0
2020-12-24,14.3,14.3,14.16,14.2,70809.0
2020-12-23,14.4,14.4,14.15,14.2,238294.0
2020-12-22,14.22,14.43,14.17,14.33,102418.0
2020-12-21,14.25,14.35,14.24,14.28,105953.0
2020-12-18,14.43,14.47,14.35,14.38,48908.0
2020-12-17,14.27,14.55,14.23,14.43,88189.0
2020-12-16,14.45,14.51,14.1,14.33,126802.0
