date,1. open,2. high,3. low,4. close,5. volume
2021-02-12,25.23,25.26,25.23,25.26,20130.0
2021-02-11,25.24,25.26,25.24,25.26,16296.0
2021-02-10,25.26,25.26,25.24,25.26,14157.0
2021-02-09,25.24,25.26,25.24,25.26,27993.0
2021-02-08,25.24,25.2599,25.23,25.2599,18956.0
2021-02-05,25.25,25.25,25.23,25.24,13660.0
2021-02-04,25.24,25.25,25.24,25.25,13884.0
2021-02-03,25.2401,25.25,25.24,25.24,9940.0
2021-02-02,25.23,25.25,25.23,25.23,11197.0
2021-02-01,25.23,25.24,25.23,25.23,12534.0
2021-01-29,25.23,25.2499,25.23,25.24,12378.0
2021-01-28,25.23,25.235,25.23,25.23,4734.0
2021-01-27,25.22,25.2498,25.22,25.23,40209.0
2021-01-26,25.22,25.25,25.22,25.22,46030.0
2021-01-25,25.23,25.23,25.21,25.22,39392.0
2021-01-22,25.19,25.23,25.19,25.21,18483.0
2021-01-21,25.19,25.22,25.16,25.19,48992.0
2021-01-20,25.21,25.21,25.19,25.2099,28772.0
2021-01-19,25.24,25.25,25.195,25.2,53098.0
2021-01-15,25.34,25.34,25.23,25.24,36932.0
2021-01-14,25.4,25.5,25.32,25.35,26972.0
2021-01-13,25.35,25.525,25.31,25.52,16853.0
2021-01-12,25.4312,25.5,25.21,25.43,25416.0
2021-01-11,25.39,25.48,25.3091,25.45,12450.0
2021-01-08,25.46,25.46,25.4,25.44,13857.0
2021-01-07,25.56,25.56,25.4,25.44,9787.0
2021-01-06,25.5,25.51,25.33,25.5,14987.0
2021-01-05,25.34,25.5099,25.25,25.48,21191.0
2021-01-04,25.27,25.39,25.1,25.34,35241.0
2020-12-31,25.21,25.27,25.17,25.18,180226.0
2020-12-30,25.35,25.38,25.06,25.17,25461.0
2020-12-29,25.32,25.45,25.31,25.4,4161.0
2020-12-28,25.39,25.39,25.3,25.38,11459.0
2020-12-24,25.3,25.39,25.3,25.39,3103.0
2020-12-23,25.45,25.45,25.3,25.3,19016.0
2020-12-22,25.71,25.71,25.28,25.4029,23522.0
2020-12-21,25.77,25.77,25.57,25.64,5937.0
2020-12-18,25.81,25.82,25.71,25.8,7257.0
2020-12-17,25.81,25.84,25.7563,25.81,4275.0
2020-12-16,25.65,25.835,25.5701,25.74,10849.0
2020-12-15,25.49,25.68,25.42,25.68,13792.0
2020-12-14,25.49,25.49,25.372,25.46,8786.0
2020-12-11,25.43,25.43,25.27,25.32,23826.0
