date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,25.755,25.76,25.67,25.76,2689.0
2021-03-16,25.69,25.7885,25.675,25.72,13563.0
2021-03-15,25.75,25.8025,25.7,25.7,7648.0
2021-03-12,25.8,25.858,25.72,25.75,9079.0
2021-03-11,25.82,25.82,25.7,25.77,3970.0
2021-03-10,25.86,25.86,25.82,25.82,6119.0
2021-03-09,25.89,25.9,25.85,25.85,2911.0
2021-03-08,25.86,25.94,25.84,25.93,2301.0
2021-03-05,25.93,26.03,25.85,25.89,5916.0
2021-03-04,25.9,25.92,25.8394,25.92,7408.0
2021-03-03,25.93,26.144,25.9,25.9,4600.0
2021-03-02,26.1781,26.2693,25.9037,26.01,11107.0
2021-03-01,25.97,26.13,25.97,26.0,3180.0
2021-02-26,26.1,26.1,25.8,25.9,2390.0
2021-02-25,26.26,26.2676,26.15,26.2676,4434.0
2021-02-24,26.34,26.35,26.2,26.3,7158.0
2021-02-23,26.27,26.42,26.27,26.335,4514.0
2021-02-22,26.28,26.31,26.24,26.24,4913.0
2021-02-19,26.27,26.3064,26.24,26.3,3134.0
2021-02-18,26.0,26.27,26.0,26.2694,9101.0
2021-02-17,26.1944,26.22,25.9,26.0,14712.0
2021-02-16,25.95,26.2,25.95,26.1701,5415.0
2021-02-12,26.18,26.2,25.92,26.075,5150.0
2021-02-11,25.8623,26.27,25.86,26.2,14216.0
2021-02-10,25.93,25.97,25.915,25.915,3810.0
2021-02-09,25.89,26.0317,25.86,25.92,6513.0
2021-02-08,26.01,26.05,25.95,25.985,6838.0
2021-02-05,25.88,25.88,25.85,25.88,6135.0
2021-02-04,25.95,25.97,25.85,25.875,8116.0
2021-02-03,25.9799,25.98,25.96,25.97,2660.0
2021-02-02,26.0,26.0,25.92,25.98,4427.0
2021-02-01,26.0,26.0,25.9501,25.9999,7014.0
2021-01-29,26.12,26.235,26.0,26.0,8614.0
2021-01-28,26.08,26.2899,26.0,26.1665,9177.0
2021-01-27,26.05,26.2,26.05,26.2,10604.0
2021-01-26,26.05,26.17,25.985,26.1446,7164.0
2021-01-25,26.0,26.0355,25.93,26.0019,7992.0
2021-01-22,25.92,26.08,25.92,25.95,4534.0
2021-01-21,25.91,26.0,25.89,25.92,4654.0
2021-01-20,25.945,25.96,25.945,25.96,288.0
2021-01-19,26.02,26.03,25.82,25.8551,12172.0
2021-01-15,25.85,25.96,25.83,25.96,3999.0
2021-01-14,26.02,26.14,25.74,25.82,5123.0
2021-01-13,25.9224,26.13,25.81,26.1,8740.0
2021-01-12,26.05,26.05,25.82,25.89,6979.0
2021-01-11,26.215,26.265,25.93,25.94,4990.0
2021-01-08,26.39,26.39,26.26,26.26,369.0
2021-01-07,26.15,26.42,26.095,26.25,2875.0
2021-01-06,26.09,26.49,26.08,26.15,14502.0
2021-01-05,25.86,26.08,25.86,26.08,700.0
2021-01-04,25.85,26.27,25.85,25.9495,7460.0
2020-12-31,26.05,26.05,25.67,25.84,2850.0
2020-12-30,26.1101,26.15,26.0501,26.08,1309.0
2020-12-29,26.0908,26.1,26.06,26.06,2166.0
2020-12-28,26.29,26.29,26.07,26.16,2687.0
2020-12-24,26.06,26.07,26.06,26.07,1699.0
2020-12-23,26.11,26.22,26.11,26.11,1551.0
2020-12-22,26.22,26.22,26.09,26.09,939.0
2020-12-21,26.05,26.1472,26.05,26.08,2307.0
2020-12-18,26.06,26.33,26.05,26.05,5996.0
2020-12-17,25.86,26.24,25.86,26.24,19505.0
2020-12-16,25.92,26.05,25.836,25.84,7311.0
2020-12-15,25.96,26.18,25.88,25.92,13441.0
2020-12-14,25.88,26.0089,25.8629,25.87,3616.0
2020-12-11,26.09,26.115,25.7,25.915,6057.0
2020-12-10,26.199,26.26,26.02,26.03,7992.0
2020-12-09,26.6,26.6,26.19,26.19,2092.0
2020-12-08,26.34,26.39,26.29,26.35,2756.0
2020-12-07,26.1,26.39,26.02,26.3499,10341.0
2020-12-04,26.01,26.14,26.01,26.14,1701.0
2020-12-03,26.07,26.18,26.07,26.1128,975.0
2020-12-02,26.01,26.24,25.97,26.0,12674.0
2020-12-01,26.0,26.1446,26.0,26.06,746.0
2020-11-30,26.1532,26.28,25.97,25.99,1598.0
2020-11-27,26.6999,26.6999,26.39,26.39,689.0
2020-11-25,26.4,26.4,26.3,26.35,966.0
2020-11-24,26.48,26.661,26.3,26.32,4770.0
2020-11-23,26.62,26.66,26.62,26.62,990.0
2020-11-20,26.55,26.68,26.5216,26.65,2358.0
2020-11-19,26.68,26.8,26.5,26.68,5831.0
2020-11-18,26.7,26.7,26.55,26.69,7712.0
2020-11-17,26.59,26.7,26.4,26.63,9374.0
2020-11-16,26.32,26.83,26.3,26.7,9101.0
2020-11-13,26.44,26.75,26.19,26.3425,10534.0
2020-11-12,26.09,26.49,26.09,26.49,2304.0
2020-11-11,26.09,26.09,26.09,26.09,494.0
2020-11-10,26.15,26.15,26.075,26.1032,3150.0
2020-11-09,26.25,26.3827,26.21,26.21,3462.0
2020-11-06,26.11,26.25,26.06,26.25,3499.0
2020-11-05,26.1,26.7,26.1,26.7,6998.0
2020-11-04,26.25,26.25,26.02,26.25,2328.0
2020-11-03,25.7,26.25,25.7,26.0,9425.0
2020-11-02,25.55,25.7499,25.52,25.6,5638.0
2020-10-30,25.86,25.86,25.75,25.75,1115.0
2020-10-29,25.97,25.9999,25.925,25.925,1313.0
2020-10-28,25.72,26.15,25.65,25.895,13927.0
2020-10-27,25.8,25.9,25.6905,25.7755,4457.0
2020-10-26,25.5001,25.8,25.5001,25.79,3768.0
2020-10-23,25.6,25.8198,25.5862,25.8198,3440.0
2020-10-22,25.65,25.66,25.5659,25.64,3574.0
2020-10-21,25.47,25.56,25.43,25.56,5521.0
2020-10-20,25.666,25.666,25.47,25.47,1351.0
2020-10-19,25.55,25.635,25.45,25.45,3199.0
2020-10-16,25.55,25.74,25.55,25.57,5151.0
2020-10-15,25.5496,25.778,25.53,25.6001,4875.0
2020-10-14,25.69,25.82,25.61,25.68,7714.0
2020-10-13,25.55,25.64,25.53,25.5783,6794.0
2020-10-12,25.58,25.64,25.58,25.6,1430.0
2020-10-09,25.52,25.585,25.5102,25.54,2002.0
2020-10-08,25.5,25.65,25.5,25.64,1893.0
2020-10-07,25.44,25.66,25.44,25.46,2356.0
2020-10-06,25.555,25.6673,25.52,25.6667,4513.0
2020-10-05,25.581,25.6,25.5,25.5,12061.0
2020-10-02,25.42,25.6,25.42,25.5999,5507.0
2020-10-01,25.3501,25.6535,25.3479,25.53,11701.0
2020-09-30,25.6432,25.6432,25.265,25.4,8407.0
2020-09-29,25.4652,25.5535,25.4565,25.5202,2003.0
2020-09-28,25.585,25.6,25.4,25.6,1635.0
2020-09-25,25.33,25.3829,25.23,25.36,6399.0
2020-09-24,25.31,25.458,25.07,25.405,1050.0
2020-09-23,25.98,26.32,25.25,25.31,21873.0
2020-09-22,26.12,26.12,25.5248,25.5248,6734.0
2020-09-21,25.94,26.42,25.92,26.12,3842.0
2020-09-18,25.86,26.07,25.7326,25.94,6384.0
2020-09-17,25.8,25.89,25.3866,25.85,2736.0
2020-09-16,25.87,25.89,25.52,25.71,6673.0
2020-09-15,25.98,25.98,25.851,25.9774,3158.0
2020-09-14,25.56,26.12,25.5229,26.12,10195.0
2020-09-11,25.5,25.7,25.4999,25.7,4650.0
2020-09-10,25.5828,25.7,25.3601,25.53,4764.0
2020-09-09,25.475,25.6459,25.46,25.46,2296.0
2020-09-08,25.315,25.67,25.315,25.55,9063.0
2020-09-04,25.7,25.7,25.25,25.62,4025.0
2020-09-03,25.5,25.54,25.1702,25.2948,7088.0
2020-09-02,25.6113,25.709,25.53,25.6013,2268.0
2020-09-01,25.7,25.7,25.7,25.7,0.0
2020-08-31,25.51,25.7799,25.5,25.7,7962.0
2020-08-28,25.79,25.79,25.6046,25.79,4050.0
2020-08-27,25.6,25.99,25.59,25.79,15670.0
2020-08-26,25.74,25.75,25.41,25.53,11885.0
2020-08-25,25.98,25.99,25.569,25.62,14015.0
2020-08-24,25.9,26.65,25.62,25.75,17861.0
2020-08-21,25.78,25.94,25.55,25.75,5296.0
2020-08-20,25.79,25.79,25.41,25.79,5852.0
2020-08-19,25.73,25.79,25.605,25.79,14463.0
2020-08-18,25.55,25.74,25.5083,25.73,3470.0
2020-08-17,25.635,25.635,25.5,25.55,11290.0
2020-08-14,25.68,25.73,25.5515,25.5515,4695.0
2020-08-13,25.4376,25.48,25.4376,25.4484,829.0
2020-08-12,25.382,25.72,25.35,25.432,5778.0
2020-08-11,25.5,25.5,25.375,25.5,17262.0
2020-08-10,25.3,25.46,25.3,25.4,5059.0
2020-08-07,25.39,25.4093,25.33,25.35,3445.0
2020-08-06,25.31,25.45,25.31,25.38,8574.0
2020-08-05,25.46,25.46,25.35,25.35,3791.0
2020-08-04,25.18,25.3525,25.18,25.3137,3585.0
2020-08-03,25.02,25.1965,25.02,25.06,5300.0
2020-07-31,24.8575,25.46,24.82,24.8703,14372.0
2020-07-30,24.8,24.9,24.65,24.78,8219.0
2020-07-29,24.75,24.99,24.7114,24.85,11475.0
2020-07-28,24.83,25.18,24.67,24.9,13726.0
2020-07-27,24.75,24.92,24.75,24.89,12910.0
2020-07-24,24.49,24.7818,24.45,24.7465,8765.0
2020-07-23,24.52,24.6894,24.45,24.61,5801.0
2020-07-22,24.4,24.64,24.4,24.5,4909.0
2020-07-21,24.616,24.616,24.4,24.4,4381.0
2020-07-20,24.5,24.612,24.5,24.5,3104.0
2020-07-17,24.85,24.85,24.405,24.5,3772.0
2020-07-16,24.8,24.95,24.8,24.82,3607.0
2020-07-15,24.62,24.77,24.41,24.77,7978.0
2020-07-14,24.35,24.5,24.35,24.45,10791.0
2020-07-13,24.4,24.5,24.338,24.36,8823.0
2020-07-10,24.31,24.5,24.31,24.375,6867.0
2020-07-09,24.28,24.5,24.28,24.5,1582.0
2020-07-08,24.32,24.5,24.21,24.32,6495.0
2020-07-07,24.45,24.475,24.215,24.215,9167.0
2020-07-06,24.6,24.6,24.33,24.33,30944.0
2020-07-02,24.55,24.55,24.35,24.444,5588.0
2020-07-01,24.5,24.5,24.33,24.343,9863.0
2020-06-30,24.43,24.737,24.3,24.3,3796.0
2020-06-29,24.08,24.2999,23.8,24.177,8318.0
2020-06-26,24.495,24.495,24.15,24.2,2923.0
2020-06-25,24.5,24.505,24.41,24.5,10398.0
2020-06-24,24.6,24.77,24.5,24.5,7396.0
2020-06-23,24.64,24.64,24.555,24.6,3350.0
2020-06-22,24.64,24.795,24.62,24.62,970.0
2020-06-19,24.99,25.061,24.77,24.77,2949.0
2020-06-18,24.722,24.825,24.61,24.825,2824.0
2020-06-17,24.7,24.843,24.7,24.843,5669.0
2020-06-16,24.85,24.85,24.66,24.69,6805.0
2020-06-15,24.62,24.746,24.6,24.62,3048.0
2020-06-12,24.8,24.875,24.764,24.764,4780.0
2020-06-11,24.84,24.85,24.5,24.85,5931.0
2020-06-10,24.61,24.85,24.61,24.85,500.0
2020-06-09,24.76,24.771,24.5,24.68,4683.0
2020-06-08,24.57,24.94,24.57,24.8,9334.0
2020-06-05,24.89,24.89,24.28,24.64,5647.0
2020-06-04,24.54,24.63,24.25,24.464,4594.0
2020-06-03,24.3,24.48,24.3,24.48,2911.0
2020-06-02,24.4,24.48,24.25,24.33,8917.0
2020-06-01,24.09,24.3,24.07,24.3,1211.0
2020-05-29,24.62,24.64,24.03,24.37,6450.0
2020-05-28,24.69,24.69,24.52,24.65,3732.0
2020-05-27,24.55,24.7,24.31,24.7,13596.0
2020-05-26,24.5,24.68,24.45,24.495,7898.0
