date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,25.41,25.49,25.41,25.445,2410.0
2021-03-16,25.37,25.41,25.37,25.41,1637.0
2021-03-15,25.32,25.37,25.32,25.37,897.0
2021-03-12,25.5,25.5996,25.27,25.3,14641.0
2021-03-11,25.5,25.5,25.5,25.5,125.0
2021-03-10,25.73,25.74,25.73,25.74,845.0
2021-03-09,25.55,25.56,25.5,25.5,1367.0
2021-03-08,25.54,25.5977,25.5,25.5474,4858.0
2021-03-05,25.6154,25.62,25.61,25.62,905.0
2021-03-04,25.5668,25.6,25.5668,25.6,2141.0
2021-03-03,25.54,25.7674,25.51,25.71,4140.0
2021-03-02,25.63,25.785,25.63,25.785,2808.0
2021-03-01,25.98,25.98,25.5,25.5,9440.0
2021-02-26,25.88,25.8846,25.7,25.7535,2933.0
2021-02-25,25.84,25.87,25.84,25.87,1232.0
2021-02-24,25.84,25.87,25.8,25.87,782.0
2021-02-23,25.77,25.8,25.77,25.8,2416.0
2021-02-22,25.77,25.8,25.77,25.77,2878.0
2021-02-19,25.6,25.8,25.5849,25.61,4757.0
2021-02-18,25.65,25.65,25.551,25.6,5204.0
2021-02-17,25.59,25.68,25.565,25.65,2510.0
2021-02-16,25.44,25.59,25.44,25.59,5769.0
2021-02-12,25.44,25.5277,25.33,25.4,15178.0
2021-02-11,25.52,25.605,25.48,25.5799,11305.0
2021-02-10,25.6468,25.68,25.543,25.5466,6049.0
2021-02-09,25.75,25.7838,25.67,25.6892,1852.0
2021-02-08,25.76,25.8,25.7583,25.8,1568.0
2021-02-05,25.64,25.8,25.62,25.7571,2765.0
2021-02-04,25.725,25.8,25.46,25.64,9657.0
2021-02-03,25.6,25.78,25.6,25.6803,3779.0
2021-02-02,25.67,25.67,25.6175,25.6175,1222.0
2021-02-01,25.6453,25.6453,25.6453,25.6453,1070.0
2021-01-29,25.61,25.61,25.61,25.61,727.0
2021-01-28,25.61,25.7092,25.61,25.62,1230.0
2021-01-27,25.72,25.72,25.6201,25.63,854.0
2021-01-26,25.72,25.76,25.71,25.71,500.0
2021-01-25,25.98,25.98,25.7,25.7,10754.0
2021-01-22,25.7208,25.7208,25.7208,25.7208,400.0
2021-01-21,25.8,25.9,25.7,25.9,5114.0
2021-01-20,25.8,25.9416,25.8,25.9416,922.0
2021-01-19,25.9,26.02,25.69,25.82,2904.0
2021-01-15,25.935,25.935,25.83,25.83,200.0
2021-01-14,25.77,26.085,25.77,26.085,1254.0
2021-01-13,25.97,26.3998,25.78,25.82,5866.0
2021-01-12,25.87,25.87,25.69,25.835,2175.0
