date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,11.27,11.32,11.25,11.28,66692.0
2021-03-16,11.23,11.29,11.23,11.29,55189.0
2021-03-15,11.16,11.18,11.12,11.18,26699.0
2021-03-12,11.2,11.2299,11.08,11.11,42010.0
2021-03-11,11.29,11.29,11.13,11.16,62815.0
2021-03-10,11.23,11.25,11.1331,11.25,65876.0
2021-03-09,11.13,11.2,11.12,11.19,49664.0
2021-03-08,11.04,11.14,11.0342,11.12,69357.0
2021-03-05,10.96,11.07,10.94,11.07,50768.0
2021-03-04,11.05,11.1182,10.92,10.96,89101.0
2021-03-03,11.17,11.2493,11.03,11.05,59485.0
2021-03-02,11.24,11.3,11.17,11.18,75179.0
2021-03-01,11.18,11.29,11.15,11.27,47656.0
2021-02-26,11.03,11.19,11.01,11.18,50027.0
2021-02-25,11.09,11.2,11.0,11.0,39409.0
2021-02-24,11.07,11.2,11.07,11.1,89646.0
2021-02-23,11.29,11.29,11.1,11.1,99137.0
2021-02-22,11.18,11.32,11.14,11.32,44937.0
2021-02-19,11.08,11.2,11.01,11.17,54801.0
2021-02-18,11.0,11.06,10.9601,11.01,45323.0
2021-02-17,10.96,11.0097,10.8998,10.98,38570.0
2021-02-16,11.01,11.12,10.96,10.96,70859.0
2021-02-12,11.1,11.17,11.02,11.02,49466.0
2021-02-11,11.36,11.39,11.1,11.13,107407.0
2021-02-10,11.21,11.33,11.165,11.33,95527.0
2021-02-09,10.99,11.19,10.96,11.16,84946.0
2021-02-08,10.91,11.0,10.91,10.99,80240.0
2021-02-05,10.97,10.97,10.86,10.91,65267.0
2021-02-04,10.86,10.93,10.85,10.93,65823.0
2021-02-03,10.8,10.86,10.8,10.86,46883.0
2021-02-02,10.79,10.81,10.76,10.81,71063.0
2021-02-01,10.68,10.72,10.65,10.7,69179.0
2021-01-29,10.64,10.65,10.59,10.62,52638.0
2021-01-28,10.74,10.75,10.58,10.61,176300.0
2021-01-27,10.74,10.75,10.7,10.71,53556.0
2021-01-26,10.8,10.85,10.71,10.75,146314.0
2021-01-25,10.8,10.8,10.75,10.78,48074.0
2021-01-22,10.78,10.81,10.77,10.78,81738.0
2021-01-21,10.73,10.78,10.7,10.78,125825.0
2021-01-20,10.65,10.72,10.59,10.7,142344.0
2021-01-19,10.54,10.65,10.54,10.63,165182.0
2021-01-15,10.47,10.64,10.45,10.59,688739.0
2021-01-14,10.44,10.5,10.425,10.48,274883.0
2021-01-13,10.47,10.48,10.42,10.44,174612.0
2021-01-12,10.44,10.45,10.35,10.45,99865.0
2021-01-11,10.38,10.42,10.348,10.42,130244.0
2021-01-08,10.35,10.4,10.31,10.39,209948.0
2021-01-07,10.22,10.31,10.18,10.3,151017.0
2021-01-06,10.19,10.21,10.14,10.175,91721.0
2021-01-05,10.16,10.19,10.13,10.18,150368.0
2021-01-04,10.26,10.3198,10.11,10.16,235662.0
2020-12-31,10.26,10.33,10.2,10.2,179807.0
2020-12-30,10.33,10.35,10.27,10.29,102127.0
2020-12-29,10.41,10.427,10.26,10.33,183810.0
2020-12-28,10.52,10.52,10.34,10.37,99524.0
2020-12-24,10.3,10.45,10.2819,10.45,43512.0
2020-12-23,10.44,10.46,10.23,10.26,110251.0
2020-12-22,10.65,10.675,10.43,10.46,114921.0
2020-12-21,10.82,10.82,10.64,10.67,103937.0
2020-12-18,10.83,10.95,10.8199,10.84,171295.0
2020-12-17,10.82,10.84,10.81,10.83,53829.0
2020-12-16,10.87,10.9,10.819,10.82,182573.0
2020-12-15,10.87,10.9,10.86,10.86,197640.0
2020-12-14,10.84,10.9,10.83,10.84,228165.0
2020-12-11,10.81,10.87,10.79,10.8,48717.0
2020-12-10,10.82,10.87,10.79,10.805,53267.0
2020-12-09,10.85,10.92,10.85,10.88,130733.0
2020-12-08,10.82,10.9299,10.82,10.86,151030.0
2020-12-07,10.79,10.945,10.77,10.84,130320.0
2020-12-04,10.78,10.98,10.78,10.84,144907.0
2020-12-03,10.75,10.86,10.75,10.82,199787.0
2020-12-02,10.7,10.8,10.7,10.78,141273.0
2020-12-01,10.73,10.79,10.72,10.75,74190.0
2020-11-30,10.69,10.78,10.69,10.73,66855.0
2020-11-27,10.68,10.78,10.68,10.74,71918.0
2020-11-25,10.64,10.74,10.6377,10.72,214143.0
2020-11-24,10.65,10.73,10.6086,10.65,235946.0
2020-11-23,10.5,10.66,10.5,10.66,229868.0
2020-11-20,10.43,10.4859,10.43,10.47,47924.0
2020-11-19,10.46,10.46,10.42,10.44,45082.0
2020-11-18,10.43,10.47,10.41,10.46,61978.0
2020-11-17,10.33,10.43,10.33,10.43,70520.0
2020-11-16,10.35,10.39,10.35,10.36,39198.0
2020-11-13,10.42,10.44,10.39,10.41,35395.0
2020-11-12,10.35,10.42,10.35,10.41,65915.0
2020-11-11,10.27,10.37,10.27,10.35,25266.0
2020-11-10,10.32,10.35,10.3,10.31,17767.0
2020-11-09,10.22,10.32,10.22,10.3,64915.0
2020-11-06,10.14,10.18,10.14,10.15,47454.0
2020-11-05,10.12,10.18,10.12,10.16,56887.0
2020-11-04,10.09,10.14,10.0879,10.12,144923.0
2020-11-03,10.06,10.1,10.03,10.06,97191.0
2020-11-02,9.97,10.05,9.97,10.05,51761.0
2020-10-30,9.95,10.02,9.95,10.02,51743.0
2020-10-29,9.93,10.03,9.93,10.03,49223.0
2020-10-28,9.99,10.0,9.92,9.96,87023.0
2020-10-27,10.05,10.09,10.03,10.09,40040.0
2020-10-26,10.06,10.11,10.02,10.11,58879.0
2020-10-23,10.06,10.12,10.05,10.09,105473.0
2020-10-22,10.04,10.11,10.04,10.06,46377.0
2020-10-21,10.08,10.1,10.05,10.05,58245.0
2020-10-20,10.08,10.14,10.08,10.13,26127.0
2020-10-19,10.12,10.17,10.07,10.08,56516.0
2020-10-16,10.14,10.1469,10.08,10.1,41853.0
2020-10-15,10.15,10.165,10.12,10.15,43983.0
2020-10-14,10.24,10.2849,10.22,10.23,42036.0
2020-10-13,10.24,10.2424,10.213,10.24,15037.0
2020-10-12,10.19,10.27,10.19,10.2408,7092.0
2020-10-09,10.25,10.25,10.18,10.18,32267.0
2020-10-08,10.24,10.29,10.22,10.22,46982.0
2020-10-07,10.23,10.28,10.213,10.27,28912.0
2020-10-06,10.2,10.23,10.18,10.22,21140.0
2020-10-05,10.14,10.2,10.13,10.2,67732.0
2020-10-02,10.07,10.15,10.07,10.15,65756.0
2020-10-01,10.13,10.16,10.1,10.11,134370.0
2020-09-30,10.21,10.26,10.1,10.1,214839.0
2020-09-29,10.22,10.23,10.17,10.21,65046.0
2020-09-28,10.25,10.26,10.24,10.25,59804.0
2020-09-25,10.25,10.27,10.23,10.26,56611.0
2020-09-24,10.25,10.3,10.2301,10.3,55274.0
2020-09-23,10.35,10.37,10.23,10.24,58173.0
2020-09-22,10.39,10.415,10.39,10.39,48279.0
2020-09-21,10.41,10.432,10.39,10.4,60590.0
2020-09-18,10.42,10.44,10.41,10.44,40150.0
2020-09-17,10.41,10.46,10.41,10.42,90454.0
2020-09-16,10.41,10.48,10.41,10.47,94350.0
2020-09-15,10.45,10.45,10.38,10.43,42928.0
2020-09-14,10.45,10.49,10.41,10.49,79990.0
2020-09-11,10.37,10.4373,10.36,10.4,35704.0
2020-09-10,10.32,10.36,10.3064,10.36,124267.0
2020-09-09,10.35,10.35,10.26,10.35,57524.0
2020-09-08,10.28,10.33,10.26,10.32,50784.0
2020-09-04,10.34,10.35,10.28,10.34,31258.0
2020-09-03,10.35,10.3675,10.28,10.3,129373.0
2020-09-02,10.35,10.39,10.2901,10.35,93582.0
2020-09-01,10.1,10.36,10.1,10.31,200711.0
2020-08-31,9.81,9.82,9.757,9.77,34962.0
2020-08-28,9.88,9.88,9.81,9.82,33495.0
2020-08-27,9.76,9.91,9.7,9.85,67357.0
2020-08-26,9.76,9.79,9.72,9.77,95626.0
2020-08-25,9.75,9.8,9.7,9.76,154161.0
2020-08-24,9.79,9.8,9.7405,9.77,15877.0
2020-08-21,9.73,9.76,9.72,9.74,124894.0
2020-08-20,9.81,9.81,9.74,9.76,330447.0
2020-08-19,9.82,9.8273,9.73,9.79,57385.0
2020-08-18,9.82,9.8318,9.79,9.8,53240.0
2020-08-17,9.82,9.895,9.79,9.86,65869.0
2020-08-14,9.82,9.85,9.81,9.845,40821.0
2020-08-13,9.86,9.9197,9.83,9.87,22347.0
2020-08-12,9.98,9.98,9.85,9.88,20474.0
2020-08-11,9.97,9.97,9.87,9.95,32952.0
2020-08-10,9.99,9.99,9.86,9.925,36179.0
2020-08-07,9.84,9.95,9.84,9.92,98561.0
2020-08-06,9.8,9.85,9.8,9.83,13699.0
2020-08-05,9.78,9.8,9.76,9.8,21712.0
2020-08-04,9.75,9.78,9.7226,9.78,19646.0
2020-08-03,9.68,9.76,9.68,9.74,25322.0
2020-07-31,9.65,9.7,9.625,9.69,40283.0
2020-07-30,9.65,9.68,9.63,9.66,15863.0
2020-07-29,9.68,9.78,9.62,9.72,56681.0
2020-07-28,9.56,9.65,9.56,9.64,46493.0
2020-07-27,9.55,9.62,9.5196,9.62,59055.0
2020-07-24,9.51,9.55,9.48,9.51,50346.0
2020-07-23,9.55,9.59,9.48,9.48,46046.0
2020-07-22,9.54,9.5893,9.51,9.58,57896.0
2020-07-21,9.6,9.6,9.5,9.57,50193.0
2020-07-20,9.36,9.53,9.36,9.5,72522.0
2020-07-17,9.59,9.64,9.49,9.49,41659.0
2020-07-16,9.63,9.63,9.56,9.59,46058.0
2020-07-15,9.57,9.71,9.56,9.63,59606.0
2020-07-14,9.55,9.57,9.53,9.57,20928.0
2020-07-13,9.6,9.6,9.53,9.56,44071.0
2020-07-10,9.53,9.56,9.49,9.55,26311.0
2020-07-09,9.48,9.57,9.41,9.52,95823.0
2020-07-08,9.51,9.54,9.47,9.52,28278.0
2020-07-07,9.5,9.53,9.49,9.5,56618.0
2020-07-06,9.55,9.58,9.44,9.53,49300.0
2020-07-02,9.61,9.68,9.51,9.53,72664.0
2020-07-01,9.47,9.62,9.47,9.59,47508.0
2020-06-30,9.54,9.56,9.48,9.51,72418.0
2020-06-29,9.44,9.51,9.42,9.51,78618.0
2020-06-26,9.58,9.58,9.29,9.44,88953.0
2020-06-25,9.55,9.61,9.53,9.57,53117.0
2020-06-24,9.63,9.66,9.53,9.54,100288.0
2020-06-23,9.64,9.67,9.61,9.63,64596.0
2020-06-22,9.6,9.66,9.52,9.58,61601.0
2020-06-19,9.7,9.72,9.56,9.58,107310.0
2020-06-18,9.73,9.76,9.65,9.68,52162.0
2020-06-17,9.74,9.79,9.68,9.74,392169.0
2020-06-16,9.73,9.78,9.66,9.7,418463.0
2020-06-15,9.45,9.73,9.45,9.69,750441.0
2020-06-12,9.49,9.52,9.42,9.5,335020.0
2020-06-11,9.42,9.47,9.31,9.35,163089.0
2020-06-10,9.68,9.7,9.52,9.54,376657.0
2020-06-09,9.55,9.6,9.52,9.59,201960.0
2020-06-08,9.52,9.57,9.48,9.52,87689.0
2020-06-05,9.39,9.49,9.38,9.44,303791.0
2020-06-04,9.3,9.37,9.29,9.29,69160.0
2020-06-03,9.2,9.35,9.2,9.28,177966.0
2020-06-02,9.06,9.19,9.06,9.17,161397.0
2020-06-01,8.99,9.1,8.98,9.09,108578.0
2020-05-29,8.96,9.0,8.91,8.97,60547.0
2020-05-28,8.87,8.95,8.86,8.95,42860.0
2020-05-27,8.8,8.87,8.77,8.83,92145.0
