date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,9.45,9.47,9.4,9.4,68434.0
2021-03-16,9.62,9.62,9.54,9.57,103506.0
2021-03-15,9.59,9.62,9.51,9.59,103767.0
2021-03-12,9.53,9.5459,9.5,9.54,109546.0
2021-03-11,9.41,9.54,9.41,9.505,67992.0
2021-03-10,9.4,9.42,9.35,9.41,60924.0
2021-03-09,9.4,9.42,9.35,9.39,40539.0
2021-03-08,9.28,9.35,9.27,9.33,61425.0
2021-03-05,9.27,9.3099,9.195,9.24,71174.0
2021-03-04,9.38,9.41,9.15,9.21,99791.0
2021-03-03,9.36,9.43,9.33,9.34,65673.0
2021-03-02,9.28,9.379,9.2737,9.33,49397.0
2021-03-01,9.23,9.32,9.23,9.28,89278.0
2021-02-26,9.1,9.22,9.1,9.19,160838.0
2021-02-25,9.22,9.24,9.07,9.1,72394.0
2021-02-24,9.2,9.24,9.17,9.24,144699.0
2021-02-23,9.16,9.21,9.11,9.2,51994.0
2021-02-22,9.21,9.23,9.17,9.18,70885.0
2021-02-19,9.25,9.285,9.15,9.21,114582.0
2021-02-18,9.32,9.32,9.22,9.29,64921.0
2021-02-17,9.35,9.35,9.26,9.3,82802.0
2021-02-16,9.42,9.5,9.37,9.41,110760.0
2021-02-12,9.39,9.5,9.39,9.46,85229.0
2021-02-11,9.33,9.44,9.33,9.39,111323.0
2021-02-10,9.38,9.45,9.36,9.37,102785.0
2021-02-09,9.33,9.39,9.3065,9.39,88677.0
2021-02-08,9.2,9.33,9.1802,9.31,114020.0
2021-02-05,9.14,9.16,9.0506,9.16,115897.0
2021-02-04,9.18,9.18,9.08,9.11,122237.0
2021-02-03,9.18,9.21,9.12,9.14,117647.0
2021-02-02,9.1,9.11,9.08,9.11,72394.0
2021-02-01,9.04,9.09,9.0,9.04,99074.0
2021-01-29,9.0,9.08,9.0,9.03,73506.0
2021-01-28,9.01,9.16,8.99,9.11,80853.0
2021-01-27,9.05,9.08,8.99,9.03,99508.0
2021-01-26,9.14,9.16,9.05,9.1,62153.0
2021-01-25,9.15,9.175,9.1,9.15,65640.0
2021-01-22,9.12,9.28,9.1,9.15,97972.0
2021-01-21,9.06,9.14,9.06,9.12,79028.0
2021-01-20,9.08,9.11,9.06,9.09,53425.0
2021-01-19,9.01,9.09,8.99,9.05,52530.0
2021-01-15,9.1,9.11,9.0301,9.04,51443.0
2021-01-14,8.98,9.1,8.98,9.09,63403.0
2021-01-13,8.94,8.97,8.92,8.97,38785.0
2021-01-12,8.96,8.96,8.885,8.93,64516.0
2021-01-11,8.85,9.0,8.841,8.95,131023.0
2021-01-08,9.0,9.0,8.89,8.96,103590.0
2021-01-07,8.93,8.96,8.89,8.91,66203.0
2021-01-06,8.9,8.94,8.8688,8.9,53989.0
2021-01-05,8.8,8.92,8.779,8.91,78491.0
2021-01-04,9.02,9.02,8.79,8.8,141722.0
2020-12-31,9.0,9.03,8.91,8.92,151133.0
2020-12-30,8.98,9.03,8.97,9.03,39984.0
2020-12-29,9.02,9.03,8.97,8.99,167884.0
2020-12-28,9.16,9.1774,9.09,9.12,63603.0
2020-12-24,9.04,9.15,9.04,9.14,78469.0
2020-12-23,9.0,9.07,8.97,9.02,75587.0
2020-12-22,8.96,9.0,8.93,8.98,91627.0
2020-12-21,8.91,8.96,8.86,8.93,88461.0
2020-12-18,8.97,9.04,8.9,8.92,77962.0
2020-12-17,9.0,9.025,8.88,8.94,97272.0
2020-12-16,9.04,9.0617,8.94,8.96,78445.0
2020-12-15,9.0,9.08,9.0,9.04,98667.0
2020-12-14,9.05,9.08,8.97,9.0,109568.0
2020-12-11,9.06,9.0775,9.03,9.04,67068.0
2020-12-10,9.12,9.1267,9.01,9.06,121097.0
2020-12-09,9.18,9.22,9.13,9.17,69475.0
2020-12-08,9.14,9.18,9.07,9.14,135186.0
2020-12-07,9.05,9.19,9.044,9.12,150110.0
2020-12-04,9.09,9.2,9.0202,9.09,150599.0
2020-12-03,8.99,9.1,8.96,9.05,84201.0
2020-12-02,8.85,9.0,8.85,8.95,109268.0
2020-12-01,8.85,8.865,8.8,8.83,134815.0
2020-11-30,8.83,8.87,8.73,8.82,122420.0
2020-11-27,8.71,8.79,8.71,8.76,24428.0
2020-11-25,8.76,8.76,8.64,8.72,63975.0
2020-11-24,8.55,8.79,8.54,8.72,101246.0
2020-11-23,8.49,8.5698,8.47,8.53,64148.0
2020-11-20,8.5,8.5,8.44,8.46,56349.0
2020-11-19,8.46,8.5,8.45,8.5,83524.0
2020-11-18,8.47,8.51,8.45,8.47,64831.0
2020-11-17,8.48,8.5297,8.46,8.49,43799.0
