date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,17.08,17.0864,16.46,16.8,663624.0
2021-03-16,17.34,17.34,17.01,17.08,421231.0
2021-03-15,16.77,17.46,16.62,17.35,602217.0
2021-03-12,16.8,16.88,16.51,16.79,479372.0
2021-03-11,16.4,16.69,16.28,16.69,226981.0
2021-03-10,16.2,16.6,16.2,16.41,129522.0
2021-03-09,16.42,16.6799,16.16,16.19,290416.0
2021-03-08,16.17,16.48,15.78,16.35,177252.0
2021-03-05,16.29,16.67,15.93,16.1,418379.0
2021-03-04,16.21,16.67,16.06,16.14,334961.0
2021-03-03,15.79,16.25,15.66,16.2,253551.0
2021-03-02,15.4,15.91,15.25,15.81,226571.0
2021-03-01,15.29,15.78,15.05,15.39,268285.0
2021-02-26,15.27,15.52,14.52,14.92,255840.0
2021-02-25,15.84,15.9999,14.94,15.06,152985.0
2021-02-24,16.0,16.14,15.68,15.73,166378.0
2021-02-23,15.67,15.98,15.43,15.94,178721.0
2021-02-22,15.22,15.8,15.174,15.66,89857.0
2021-02-19,15.13,15.28,15.0,15.26,162168.0
2021-02-18,15.07,15.24,14.98,15.09,141090.0
2021-02-17,15.29,15.38,15.01,15.05,162283.0
2021-02-16,15.21,15.54,15.1,15.27,348376.0
2021-02-12,15.1,15.24,14.95,15.21,259287.0
2021-02-11,15.19,15.37,15.03,15.14,182712.0
2021-02-10,15.17,15.76,15.12,15.15,192412.0
2021-02-09,15.3,15.33,14.93,15.14,135472.0
2021-02-08,15.42,15.56,15.2611,15.33,129183.0
2021-02-05,15.73,15.95,15.175,15.39,382756.0
2021-02-04,15.35,15.79,15.25,15.67,405216.0
2021-02-03,14.93,15.23,14.74,15.22,282880.0
2021-02-02,15.32,15.34,14.88,14.99,466529.0
2021-02-01,14.65,14.96,14.34,14.92,215101.0
2021-01-29,14.41,14.65,13.96,14.64,208555.0
2021-01-28,14.76,14.76,14.29,14.43,177415.0
2021-01-27,14.83,14.99,14.5,14.75,456674.0
2021-01-26,15.23,15.5,14.86,15.02,215043.0
2021-01-25,15.15,15.62,15.0,15.22,925491.0
2021-01-22,14.94,15.205,14.73,15.17,277583.0
2021-01-21,14.98,15.175,14.92,14.98,198921.0
2021-01-20,14.89,15.05,14.75,14.94,1408159.0
2021-01-19,15.08,15.18,14.72,14.86,166361.0
2021-01-15,14.76,15.0,14.62,14.97,253792.0
2021-01-14,14.81,15.125,14.69,14.87,244904.0
2021-01-13,14.68,14.87,14.63,14.7,435220.0
2021-01-12,14.62,14.78,14.46,14.7,89876.0
2021-01-11,14.93,15.1,14.46,14.63,101604.0
2021-01-08,14.84,14.96,14.61,14.94,134698.0
2021-01-07,14.9,14.93,14.55,14.78,221807.0
2021-01-06,14.9,14.97,14.75,14.9,165961.0
2021-01-05,14.87,15.11,14.66,14.76,213271.0
2021-01-04,15.1,15.12,14.75,14.89,251471.0
2020-12-31,14.8,15.08,14.58,15.0,154709.0
2020-12-30,15.0,15.0,14.59,14.76,227940.0
2020-12-29,15.1,15.1,14.905,15.04,236364.0
2020-12-28,14.84,15.09,14.66,15.09,178689.0
2020-12-24,14.61,14.84,14.32,14.84,104196.0
2020-12-23,14.54,14.745,14.37,14.67,193252.0
2020-12-22,14.39,14.72,14.11,14.5,253559.0
2020-12-21,13.91,14.39,13.75,14.38,294017.0
2020-12-18,14.79,15.04,14.04,14.17,2012708.0
2020-12-17,14.51,15.15,14.46,14.84,275228.0
2020-12-16,14.14,14.79,14.11,14.44,297503.0
2020-12-15,13.54,14.18,13.4,14.14,337084.0
2020-12-14,13.51,13.71,13.3,13.51,326481.0
2020-12-11,13.35,13.45,13.2176,13.3,162221.0
2020-12-10,13.46,13.56,13.35,13.4,200603.0
2020-12-09,13.49,13.5988,13.29,13.46,188343.0
2020-12-08,13.53,13.556,13.27,13.41,197726.0
2020-12-07,13.9,13.9,13.474,13.53,127486.0
2020-12-04,13.87,13.9,13.6,13.88,143284.0
2020-12-03,13.24,14.04,13.18,13.75,274458.0
2020-12-02,13.21,13.45,13.12,13.27,152700.0
2020-12-01,13.39,13.53,13.0178,13.21,253504.0
2020-11-30,13.3,13.38,12.95,13.14,280308.0
2020-11-27,13.47,13.5,13.07,13.26,133039.0
2020-11-25,13.5,13.6,13.3,13.47,175053.0
2020-11-24,13.5,13.69,13.39,13.45,196803.0
2020-11-23,13.36,13.54,13.21,13.34,237785.0
2020-11-20,13.21,13.3,13.015,13.2,171297.0
2020-11-19,13.25,13.34,13.09,13.31,185864.0
2020-11-18,13.6,13.75,13.21,13.24,142674.0
2020-11-17,13.37,13.78,13.37,13.59,247286.0
2020-11-16,13.68,13.68,13.4042,13.5,301196.0
2020-11-13,13.24,13.465,13.15,13.3,175951.0
2020-11-12,13.39,13.51,12.91,13.18,67343.0
2020-11-11,13.62,13.62,13.16,13.42,92969.0
2020-11-10,13.0,13.68,13.0,13.47,130976.0
2020-11-09,13.81,14.8,12.86,12.86,307068.0
2020-11-06,13.5,13.59,13.055,13.36,116269.0
2020-11-05,13.38,13.61,13.13,13.43,188047.0
2020-11-04,13.32,13.54,13.09,13.19,130843.0
2020-11-03,13.11,13.5,13.1,13.41,140895.0
2020-11-02,12.87,13.07,12.66,13.07,104923.0
2020-10-30,12.85,13.07,12.52,12.71,176968.0
2020-10-29,12.66,12.93,12.27,12.84,97864.0
2020-10-28,12.85,12.85,12.53,12.66,208786.0
2020-10-27,12.94,13.145,12.58,12.74,108154.0
2020-10-26,13.06,13.17,12.515,12.82,241330.0
2020-10-23,13.06,13.22,13.0139,13.21,118485.0
2020-10-22,12.81,13.11,12.75,13.01,185790.0
2020-10-21,12.81,12.94,12.55,12.74,178100.0
2020-10-20,12.62,12.87,12.44,12.82,102032.0
2020-10-19,12.58,12.76,12.5,12.51,184444.0
2020-10-16,12.59,12.67,12.36,12.58,180795.0
2020-10-15,12.53,12.73,12.42,12.6,171281.0
2020-10-14,12.69,12.99,12.55,12.62,127413.0
2020-10-13,12.86,12.88,12.5,12.74,178206.0
2020-10-12,12.52,12.81,12.25,12.79,172356.0
2020-10-09,12.64,12.69,12.4608,12.57,83340.0
2020-10-08,12.25,12.58,12.25,12.52,92454.0
2020-10-07,12.5,12.55,12.17,12.23,155674.0
2020-10-06,12.77,12.85,12.22,12.43,177949.0
2020-10-05,12.7,12.72,12.29,12.66,124629.0
2020-10-02,12.26,12.755,12.256,12.63,108320.0
2020-10-01,12.37,12.57,12.27,12.56,140363.0
2020-09-30,12.34,12.55,11.95,12.34,144245.0
2020-09-29,12.27,12.39,11.89,12.32,173045.0
2020-09-28,12.47,12.58,12.27,12.54,120836.0
2020-09-25,11.97,12.36,11.97,12.31,183791.0
2020-09-24,12.23,12.255,11.18,12.0,384698.0
2020-09-23,13.06,13.06,11.94,12.15,521258.0
2020-09-22,12.41,12.65,12.33,12.48,125347.0
2020-09-21,12.51,12.57,12.07,12.35,207273.0
2020-09-18,13.55,13.55,12.69,12.72,797542.0
2020-09-17,13.14,13.465,13.07,13.38,240142.0
