date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,8.0,8.02,8.0,8.02,23920.0
2021-03-16,8.03,8.06,8.0,8.0,52030.0
2021-03-15,8.01,8.08,8.0,8.03,50626.0
2021-03-12,8.09,8.1,8.0,8.0,141541.0
2021-03-11,8.13,8.15,8.11,8.11,51399.0
2021-03-10,8.09,8.13,8.07,8.12,35157.0
2021-03-09,8.05,8.1027,8.05,8.0894,35230.0
2021-03-08,8.05,8.06,8.01,8.05,38668.0
2021-03-05,8.07,8.12,8.05,8.06,59826.0
2021-03-04,8.11,8.14,8.06,8.07,41788.0
2021-03-03,8.09,8.11,8.05,8.07,40608.0
2021-03-02,8.14,8.2,8.09,8.09,75427.0
2021-03-01,8.15,8.22,8.14,8.14,29615.0
2021-02-26,8.09,8.17,8.07,8.15,62460.0
2021-02-25,8.13,8.15,8.02,8.09,92055.0
2021-02-24,8.01,8.13,8.01,8.12,58958.0
2021-02-23,8.09,8.15,7.96,8.01,209581.0
2021-02-22,8.23,8.23,8.1,8.13,68017.0
2021-02-19,8.29,8.3299,8.265,8.27,57733.0
2021-02-18,8.33,8.37,8.28,8.31,63913.0
2021-02-17,8.31,8.39,8.27,8.37,66500.0
2021-02-16,8.36,8.36,8.26,8.29,72480.0
2021-02-12,8.32,8.4,8.3,8.36,40148.0
2021-02-11,8.42,8.42,8.32,8.34,56387.0
2021-02-10,8.35,8.44,8.35,8.42,30259.0
2021-02-09,8.25,8.38,8.25,8.35,41262.0
2021-02-08,8.23,8.25,8.19,8.22,43749.0
2021-02-05,8.16,8.29,8.16,8.25,46419.0
2021-02-04,8.19,8.26,8.15,8.16,39315.0
2021-02-03,8.27,8.31,8.17,8.17,54408.0
2021-02-02,8.17,8.26,8.16,8.25,92820.0
2021-02-01,8.22,8.26,8.13,8.17,91996.0
2021-01-29,8.16,8.23,8.15,8.18,59931.0
2021-01-28,8.18,8.26,8.15,8.16,49034.0
2021-01-27,8.14,8.2538,8.11,8.18,278129.0
2021-01-26,8.11,8.19,8.1,8.13,73589.0
2021-01-25,8.15,8.16,8.1,8.11,56422.0
2021-01-22,8.13,8.18,8.0753,8.15,89964.0
2021-01-21,7.98,8.1,7.92,8.1,85592.0
2021-01-20,7.98,8.02,7.97,8.02,68451.0
2021-01-19,8.03,8.0499,7.97,7.97,64692.0
2021-01-15,8.02,8.0677,8.0,8.01,67188.0
2021-01-14,8.1,8.1188,8.01,8.03,91060.0
2021-01-13,8.07,8.18,8.0603,8.1,50853.0
2021-01-12,8.14,8.15,8.07,8.07,92171.0
2021-01-11,8.04,8.17,8.04,8.15,147340.0
2021-01-08,8.06,8.08,8.04,8.06,58340.0
2021-01-07,8.02,8.06,8.02,8.04,41249.0
2021-01-06,8.03,8.07,7.99,8.04,90573.0
2021-01-05,8.02,8.06,7.94,8.06,104528.0
2021-01-04,8.07,8.07,7.96,8.02,117139.0
2020-12-31,7.9,8.07,7.9,8.07,111361.0
2020-12-30,7.88,7.92,7.88,7.91,68194.0
2020-12-29,7.84,7.885,7.8101,7.885,70233.0
2020-12-28,7.92,7.93,7.8,7.8,122992.0
2020-12-24,7.89,7.93,7.885,7.89,25098.0
2020-12-23,7.87,7.89,7.83,7.88,64388.0
2020-12-22,7.85,7.9,7.82,7.85,135875.0
2020-12-21,7.84,7.9,7.84,7.89,69422.0
2020-12-18,7.91,7.9295,7.88,7.88,82136.0
2020-12-17,7.95,7.97,7.9,7.91,84440.0
2020-12-16,7.92,7.94,7.91,7.93,58393.0
2020-12-15,7.93,7.95,7.93,7.93,49867.0
2020-12-14,7.95,7.98,7.92,7.93,76657.0
2020-12-11,7.93,7.9634,7.93,7.95,56355.0
2020-12-10,7.93,7.96,7.93,7.94,48017.0
2020-12-09,7.96,8.02,7.92,7.94,130107.0
2020-12-08,7.97,8.01,7.93,7.96,78999.0
2020-12-07,7.98,8.06,7.95,7.96,67694.0
2020-12-04,7.95,8.03,7.95,8.0,39899.0
2020-12-03,7.94,7.99,7.94,7.97,43095.0
2020-12-02,7.92,7.95,7.92,7.93,30048.0
2020-12-01,7.97,8.01,7.84,7.92,73502.0
2020-11-30,7.93,7.96,7.9259,7.94,35217.0
2020-11-27,7.93,7.96,7.925,7.9501,25935.0
