date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,25.75,25.79,25.6151,25.78,12985.0
2021-03-16,25.72,25.84,25.6487,25.8099,27552.0
2021-03-15,25.64,25.67,25.57,25.6404,17222.0
2021-03-12,25.64,25.64,25.565,25.64,9944.0
2021-03-11,25.64,25.75,25.64,25.73,23222.0
2021-03-10,25.59,25.655,25.5625,25.655,14492.0
2021-03-09,25.5,25.59,25.5,25.59,15381.0
2021-03-08,25.55,25.55,25.4501,25.54,9814.0
2021-03-05,25.5,25.58,25.35,25.58,12240.0
2021-03-04,25.64,25.69,25.43,25.5,12926.0
2021-03-03,25.4,25.66,25.33,25.61,14712.0
2021-03-02,25.4,25.43,25.3855,25.43,11494.0
2021-03-01,25.35,25.4,25.28,25.39,40808.0
2021-02-26,25.36,25.36,25.27,25.34,23601.0
2021-02-25,25.31,25.39,25.2,25.34,25200.0
2021-02-24,25.28,25.37,25.2501,25.29,17942.0
2021-02-23,25.29,25.41,25.27,25.28,34781.0
2021-02-22,25.4,25.43,25.39,25.41,14903.0
2021-02-19,25.4,25.47,25.39,25.43,23394.0
2021-02-18,25.42,25.4224,25.2599,25.4,19912.0
2021-02-17,25.37,25.4,25.32,25.37,19506.0
2021-02-16,25.45,25.5108,25.37,25.37,46251.0
2021-02-12,25.5864,25.63,25.45,25.6,15689.0
2021-02-11,25.52,25.55,25.45,25.49,22268.0
2021-02-10,25.6,25.6,25.5,25.52,15486.0
2021-02-09,25.52,25.55,25.52,25.55,17408.0
2021-02-08,25.63,25.73,25.51,25.52,37211.0
2021-02-05,25.53,25.55,25.51,25.51,14025.0
2021-02-04,25.56,25.57,25.52,25.54,30331.0
2021-02-03,25.66,25.67,25.52,25.6,38322.0
2021-02-02,25.81,25.92,25.63,25.66,23529.0
2021-02-01,25.76,25.79,25.6098,25.6098,18070.0
2021-01-29,25.67,25.88,25.55,25.66,55046.0
2021-01-28,25.81,25.81,25.56,25.8,13671.0
2021-01-27,26.08,26.21,25.86,25.92,20674.0
2021-01-26,26.11,26.21,26.0721,26.19,7081.0
2021-01-25,26.2,26.29,26.03,26.07,18487.0
2021-01-22,26.2001,26.25,26.2,26.2,9043.0
2021-01-21,26.2,26.25,26.12,26.1272,5035.0
2021-01-20,26.15,26.25,26.09,26.25,24297.0
2021-01-19,26.19,26.19,26.03,26.13,11244.0
2021-01-15,26.15,26.16,26.02,26.02,18909.0
2021-01-14,26.26,26.26,26.005,26.15,21212.0
2021-01-13,25.85,26.2,25.8413,26.12,30567.0
2021-01-12,25.89,26.03,25.75,26.03,27842.0
2021-01-11,26.22,26.22,25.88,25.88,18566.0
2021-01-08,26.2,26.2,26.1,26.15,5395.0
2021-01-07,26.2,26.27,26.0,26.11,12663.0
2021-01-06,26.21,26.22,25.81,26.16,22904.0
2021-01-05,26.22,26.39,26.22,26.31,9252.0
2021-01-04,26.49,26.49,26.26,26.28,15662.0
2020-12-31,26.2,26.59,26.2,26.54,97257.0
