date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,29.05,29.11,29.04,29.09,1139049.0
2021-03-16,29.1,29.12,29.055,29.07,1250700.0
2021-03-15,28.86,29.185,28.86,29.1,1094150.0
2021-03-12,28.92,28.96,28.88,28.95,1476680.0
2021-03-11,28.9,28.93,28.88,28.92,2298543.0
2021-03-10,28.92,28.96,28.83,28.85,1864930.0
2021-03-09,28.92,28.96,28.87,28.87,1579723.0
2021-03-08,28.85,28.915,28.79,28.8,3242652.0
2021-03-05,29.0,29.04,28.785,28.84,3480288.0
2021-03-04,29.02,29.12,28.85,28.9,4310065.0
2021-03-03,29.0547,29.18,28.94,28.94,2302640.0
2021-03-02,29.13,29.18,28.99,29.0,2214837.0
2021-03-01,29.2,29.32,29.17,29.2,2228421.0
2021-02-26,29.15,29.31,29.03,29.2,4607364.0
2021-02-25,29.21,29.32,29.09,29.14,2627635.0
2021-02-24,29.26,29.35,29.21,29.21,1528207.0
2021-02-23,29.2,29.43,29.2,29.3,2458811.0
2021-02-22,29.1,29.62,29.1,29.32,3006542.0
2021-02-19,29.15,29.15,29.01,29.01,1508551.0
2021-02-18,29.14,29.18,29.04,29.04,1153311.0
2021-02-17,28.96,29.34,28.95,29.14,1852694.0
2021-02-16,29.01,29.19,28.99,29.18,2088094.0
2021-02-12,29.0,29.06,28.99,29.04,1228158.0
2021-02-11,29.08,29.1,28.98,29.01,2061582.0
2021-02-10,29.05,29.12,28.99,29.05,1664528.0
2021-02-09,29.01,29.08,28.96,29.0,1215177.0
2021-02-08,29.1,29.18,28.92,29.01,3385985.0
2021-02-05,29.15,29.2,29.05,29.1,1480933.0
2021-02-04,29.12,29.25,29.0,29.02,2195251.0
2021-02-03,29.12,29.21,29.0,29.16,3184357.0
2021-02-02,29.3,29.45,29.08,29.12,2836632.0
2021-02-01,29.34,29.49,29.05,29.15,3431190.0
2021-01-29,28.92,29.065,28.86,28.95,6232456.0
2021-01-28,28.9,28.96,28.83,28.91,9051959.0
2021-01-27,28.96,29.01,28.65,28.8,22348872.0
2021-01-26,26.74,26.79,26.13,26.25,723125.0
2021-01-25,26.73,27.16,26.2,26.54,864985.0
2021-01-22,26.23,27.0551,26.165,26.89,784314.0
2021-01-21,26.39,26.71,26.2,26.23,669172.0
2021-01-20,26.2,26.75,26.14,26.44,755394.0
2021-01-19,26.5,26.514,25.95,26.1,652139.0
2021-01-15,25.93,26.5,25.72,26.25,954479.0
2021-01-14,26.11,26.26,25.94,26.0,499192.0
2021-01-13,26.13,26.21,25.75,25.93,575468.0
2021-01-12,25.79,26.26,25.77,26.05,753098.0
2021-01-11,25.76,26.07,25.605,25.97,566139.0
2021-01-08,26.03,26.38,25.73,26.25,1037214.0
2021-01-07,26.35,26.5,25.7,26.0,2006688.0
2021-01-06,23.84,24.74,23.8,24.19,1010011.0
2021-01-05,23.51,23.87,23.07,23.57,750018.0
2021-01-04,24.16,24.18,23.32,23.47,769220.0
2020-12-31,23.81,24.23,23.75,24.08,661761.0
2020-12-30,23.9,24.28,23.79,23.91,569240.0
2020-12-29,24.24,24.24,23.71,23.84,577066.0
2020-12-28,24.13,24.37,23.79,24.12,678419.0
2020-12-24,23.92,24.12,23.66,24.04,192665.0
2020-12-23,23.85,24.3,23.57,23.85,420038.0
2020-12-22,23.42,23.75,23.1059,23.66,579303.0
2020-12-21,23.21,23.54,22.76,23.45,615124.0
2020-12-18,23.76,24.16,23.52,23.62,2502424.0
2020-12-17,23.58,23.82,23.47,23.62,582154.0
2020-12-16,23.51,23.56,23.15,23.44,493210.0
2020-12-15,23.19,23.44,23.09,23.39,444333.0
2020-12-14,23.71,23.7222,23.04,23.05,558625.0
2020-12-11,23.28,23.75,23.11,23.44,740011.0
2020-12-10,23.04,24.19,22.94,23.5,1011909.0
2020-12-09,23.21,23.45,22.92,23.18,588877.0
2020-12-08,22.7,23.29,22.7,23.11,655464.0
2020-12-07,23.02,23.1,22.9,23.0,594202.0
2020-12-04,23.13,23.175,22.9436,23.12,817079.0
2020-12-03,23.04,23.21,22.92,23.04,760973.0
2020-12-02,22.75,23.33,22.66,23.19,549604.0
2020-12-01,22.81,23.1,22.61,22.94,784745.0
2020-11-30,22.92,22.96,22.38,22.42,796044.0
2020-11-27,23.1,23.1599,22.81,23.06,239210.0
2020-11-25,22.95,23.4,22.715,23.16,575825.0
2020-11-24,23.02,23.2132,22.755,23.04,641582.0
2020-11-23,22.46,22.8337,22.17,22.71,436636.0
2020-11-20,22.09,22.53,22.08,22.33,542053.0
2020-11-19,22.2,22.57,21.95,22.3,539195.0
2020-11-18,23.0,23.365,22.25,22.27,762441.0
2020-11-17,22.64,23.06,22.29,22.87,707942.0
2020-11-16,22.77,23.14,22.38,22.97,682670.0
