date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,30.15,30.43,29.54,29.89,1108078.0
2021-03-16,30.55,30.66,29.75,30.27,1066331.0
2021-03-15,31.23,31.25,30.55,30.75,777416.0
2021-03-12,30.98,31.23,30.55,31.06,828916.0
2021-03-11,31.25,31.36,30.68,30.73,997363.0
2021-03-10,30.49,31.24,30.01,31.08,1014627.0
2021-03-09,31.35,31.35,30.14,30.36,928788.0
2021-03-08,31.0,31.45,30.6,31.3,887444.0
2021-03-05,31.0,31.45,30.13,30.73,1259491.0
2021-03-04,29.88,31.11,29.65,30.36,1870075.0
2021-03-03,28.76,29.52,28.75,29.45,1256616.0
2021-03-02,27.9,28.93,27.625,28.5,1324995.0
2021-03-01,28.3,28.99,27.48,27.97,1953954.0
2021-02-26,26.79,27.62,26.46,26.68,1485786.0
2021-02-25,27.48,28.69,26.81,27.24,1720496.0
2021-02-24,27.07,28.43,26.98,27.64,1967658.0
2021-02-23,26.7,26.96,25.3735,26.79,928412.0
2021-02-22,26.1,27.0,26.1,26.4,1064022.0
2021-02-19,26.01,26.4299,26.0,26.15,683237.0
2021-02-18,26.55,26.7003,25.55,26.0,1033006.0
2021-02-17,26.73,26.945,26.0,26.74,1193888.0
2021-02-16,26.4,27.19,26.2,26.61,1269082.0
2021-02-12,25.28,25.77,25.1,25.72,645015.0
2021-02-11,25.16,25.41,24.96,25.17,703795.0
2021-02-10,25.15,25.4673,24.98,25.14,978045.0
2021-02-09,25.77,25.85,25.05,25.05,1049165.0
2021-02-08,25.44,25.98,25.31,25.77,1371298.0
2021-02-05,25.5,25.74,24.95,25.15,761513.0
2021-02-04,25.86,25.93,25.15,25.2,928735.0
2021-02-03,24.9,25.8195,24.625,25.43,1287363.0
2021-02-02,24.6,25.1,24.41,24.54,1591670.0
2021-02-01,25.17,25.5,24.21,24.33,2015559.0
2021-01-29,26.4,26.45,24.8646,25.12,2564285.0
2021-01-28,27.41,27.5,26.28,26.8,1563898.0
2021-01-27,28.7,28.75,27.35,27.61,2163046.0
2021-01-26,29.63,31.5,28.66,28.81,2481894.0
2021-01-25,28.9,29.52,28.56,29.34,1165945.0
2021-01-22,28.33,28.61,27.57,28.55,911662.0
2021-01-21,29.95,30.06,28.28,28.35,1131909.0
2021-01-20,30.91,30.91,29.12,29.55,1432913.0
2021-01-19,30.91,30.93,30.04,30.35,769660.0
2021-01-15,30.94,30.94,29.72,30.78,1225334.0
2021-01-14,30.37,31.37,30.37,30.96,766274.0
2021-01-13,29.31,30.45,29.14,30.35,637899.0
2021-01-12,28.72,29.7238,28.56,29.25,1116164.0
2021-01-11,28.0,28.68,27.8807,28.51,445635.0
2021-01-08,28.95,28.9813,28.01,28.27,548911.0
2021-01-07,27.7,28.7,27.4,28.63,641769.0
2021-01-06,27.54,27.7,26.8,27.46,908601.0
2021-01-05,26.27,27.9,26.17,26.99,835994.0
2021-01-04,26.88,26.9978,25.7,26.09,858672.0
2020-12-31,26.4,26.94,26.15,26.41,704722.0
2020-12-30,26.28,26.6399,26.0892,26.2,460569.0
2020-12-29,26.55,27.1299,26.01,26.28,711359.0
2020-12-28,27.5,27.67,26.42,26.44,610050.0
2020-12-24,27.4,27.5,27.08,27.3,187354.0
2020-12-23,27.25,27.79,27.165,27.42,647683.0
2020-12-22,27.12,27.44,26.67,27.04,573455.0
2020-12-21,27.1,27.46,26.71,27.08,1388638.0
2020-12-18,28.58,28.71,27.5,27.83,1278625.0
2020-12-17,29.12,29.42,28.57,28.66,624393.0
2020-12-16,29.92,29.92,28.89,29.02,734442.0
2020-12-15,29.84,30.1999,29.11,29.88,742890.0
2020-12-14,30.73,30.91,29.6,29.65,1912822.0
2020-12-11,30.26,30.525,29.81,30.1,604455.0
2020-12-10,28.77,30.3,28.77,30.27,739302.0
2020-12-09,29.0,29.9,28.6,28.77,1024422.0
2020-12-08,28.22,29.09,28.18,28.8,491403.0
2020-12-07,28.71,29.15,28.1788,28.32,813169.0
2020-12-04,29.0,29.4976,28.65,28.74,1134160.0
2020-12-03,28.03,28.805,27.5,28.52,642150.0
2020-12-02,27.05,27.91,27.03,27.75,747646.0
2020-12-01,27.55,27.81,26.76,27.16,524075.0
2020-11-30,27.6,28.6599,26.75,26.88,979740.0
2020-11-27,29.03,29.482,27.8,27.85,445571.0
2020-11-25,29.13,29.45,28.32,29.24,790375.0
2020-11-24,29.57,30.43,29.08,29.13,955290.0
2020-11-23,27.12,28.94,27.12,28.69,1372003.0
2020-11-20,26.52,27.03,26.08,26.61,969426.0
2020-11-19,24.72,26.6,24.55,26.53,1325927.0
2020-11-18,25.52,25.89,24.63,24.7,1064056.0
2020-11-17,25.0,25.37,24.59,25.2,847305.0
2020-11-16,25.25,25.61,24.76,24.95,1180483.0
2020-11-13,24.68,24.93,24.4,24.48,873565.0
2020-11-12,24.4,24.7507,24.13,24.34,481399.0
2020-11-11,26.01,26.01,24.61,24.8,498073.0
2020-11-10,25.37,25.78,24.78,25.57,994338.0
2020-11-09,24.68,25.46,23.66,24.95,991507.0
2020-11-06,23.73,23.94,22.66,22.68,642724.0
2020-11-05,22.98,23.72,22.705,23.72,519097.0
2020-11-04,23.14,23.7,22.255,22.72,613176.0
2020-11-03,23.52,23.8003,23.1,23.14,557941.0
2020-11-02,23.35,23.59,22.97,23.25,539291.0
2020-10-30,24.21,24.35,23.12,23.47,703807.0
2020-10-29,23.7888,24.57,23.15,24.41,642061.0
2020-10-28,25.0,25.06,24.161,24.62,651044.0
2020-10-27,25.55,25.73,25.03,25.06,509466.0
2020-10-26,26.11,26.2727,25.02,25.52,419932.0
2020-10-23,26.8,27.1983,25.99,26.31,577282.0
2020-10-22,25.25,26.69,25.02,26.58,424283.0
2020-10-21,24.67,25.125,24.53,25.02,319327.0
2020-10-20,24.33,24.747,24.08,24.51,296930.0
2020-10-19,24.79,24.98,24.02,24.08,519003.0
2020-10-16,25.48,25.52,24.52,24.65,412605.0
2020-10-15,25.02,25.75,24.69,25.38,445714.0
2020-10-14,24.92,25.5187,24.86,25.29,395954.0
2020-10-13,24.1,24.93,24.008,24.87,707876.0
2020-10-12,24.59,24.76,24.07,24.35,278907.0
2020-10-09,24.65,24.95,24.0,24.36,324118.0
2020-10-08,23.11,24.47,23.01,24.43,438357.0
2020-10-07,23.23,23.45,22.82,22.93,461290.0
2020-10-06,24.01,24.3,22.85,23.12,651826.0
2020-10-05,23.11,23.89,22.6,23.76,372441.0
2020-10-02,22.0,22.97,22.0,22.81,544372.0
2020-10-01,23.02,23.03,22.26,22.87,423933.0
2020-09-30,23.74,23.7797,22.86,23.04,1227479.0
2020-09-29,22.61,23.47,22.14,23.35,560406.0
2020-09-28,22.29,22.74,21.85,22.61,326411.0
2020-09-25,22.3,22.43,21.55,22.02,633288.0
2020-09-24,22.24,22.44,21.28,22.35,863833.0
2020-09-23,23.67,23.85,22.17,22.17,996423.0
2020-09-22,23.98,24.35,23.4381,23.6,580198.0
2020-09-21,24.0,24.15,23.44,23.87,471746.0
2020-09-18,25.32,25.32,24.35,24.58,1234440.0
2020-09-17,25.68,25.71,25.13,25.25,531496.0
2020-09-16,25.58,26.28,25.57,25.91,417391.0
2020-09-15,26.15,26.33,25.56,25.56,662788.0
2020-09-14,25.75,26.15,25.51,25.95,522187.0
2020-09-11,25.93,26.32,25.61,25.68,291054.0
2020-09-10,25.99,26.14,25.76,25.85,557803.0
2020-09-09,26.2,26.25,25.48,25.85,537787.0
2020-09-08,26.19,26.2367,25.5,26.0,386740.0
2020-09-04,26.82,27.0,25.91,26.39,386634.0
2020-09-03,26.99,27.38,26.3,26.58,344784.0
2020-09-02,27.27,27.87,26.835,26.98,511951.0
2020-09-01,26.8,27.28,26.5,27.28,399546.0
2020-08-31,26.49,27.64,26.15,26.92,1150573.0
2020-08-28,25.7,26.7099,25.45,26.52,626040.0
2020-08-27,24.6,25.34,24.52,25.27,553038.0
2020-08-26,25.61,25.76,24.49,24.59,999308.0
2020-08-25,26.1,26.2885,25.15,25.56,832603.0
2020-08-24,26.4,26.79,25.84,25.85,636892.0
2020-08-21,26.34,26.41,25.59,26.36,746537.0
2020-08-20,27.0,27.09,26.13,26.65,685387.0
2020-08-19,27.52,27.7997,27.01,27.15,1391974.0
2020-08-18,27.85,28.12,27.5,27.53,560026.0
2020-08-17,27.61,27.96,27.42,27.85,450557.0
