date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,23.85,23.85,23.85,23.85,125.0
2021-03-16,23.33,23.7789,22.33,23.65,13950.0
2021-03-15,23.71,23.75,23.71,23.75,15500.0
2021-03-12,23.65,23.65,23.64,23.6462,10400.0
2021-03-11,23.75,23.75,23.75,23.75,10000.0
2021-03-10,23.85,23.91,23.85,23.85,13930.0
2021-03-09,23.67,23.89,23.65,23.89,1600.0
2021-03-08,24.0,24.0,23.64,23.7165,15300.0
2021-03-05,24.0,24.0,24.0,24.0,10000.0
2021-03-04,24.4,24.4,23.6228,23.6228,472.0
2021-03-03,24.0,24.0,23.85,24.0,5810.0
2021-03-02,23.45,23.45,23.4496,23.4496,2010.0
2021-03-01,24.1,24.1,24.1,24.1,0.0
2021-02-26,24.1,24.1,24.1,24.1,1300.0
2021-02-25,23.553,24.037,23.553,24.037,1019.0
2021-02-24,24.4,24.4125,24.4,24.4,10376.0
2021-02-23,24.48,24.48,24.48,24.48,100.0
2021-02-22,24.5,24.5,24.35,24.35,3000.0
2021-02-19,24.71,24.71,24.5,24.5,9500.0
2021-02-18,24.5,24.6225,24.5,24.6225,200.0
2021-02-17,24.7636,24.7636,24.5,24.5,606.0
2021-02-16,24.95,24.95,24.01,24.5,14767.0
2021-02-12,24.6,25.63,24.6,24.61,450.0
2021-02-11,24.54,24.54,24.54,24.54,125.0
2021-02-10,24.8999,24.8999,24.8,24.8,2100.0
2021-02-09,24.48,25.215,24.375,24.7,2030.0
2021-02-08,24.2501,24.46,24.25,24.46,984.0
2021-02-05,24.25,24.25,24.25,24.25,0.0
2021-02-04,24.25,24.25,24.25,24.25,6100.0
2021-02-03,24.3,24.3,24.3,24.3,230.0
2021-02-02,24.2,24.23,24.2,24.2,4593.0
2021-02-01,24.2,24.2,24.2,24.2,0.0
2021-01-29,24.2,24.2,24.2,24.2,10000.0
2021-01-28,24.22,24.282,24.2,24.2,25953.0
2021-01-27,24.21,24.215,24.2,24.215,2321.0
2021-01-26,23.79,23.79,23.79,23.79,90.0
2021-01-25,23.748,23.8,23.41,23.79,8517.0
2021-01-22,23.75,23.82,23.75,23.8,2100.0
2021-01-21,23.75,23.75,23.75,23.75,523.0
2021-01-20,23.75,23.75,23.75,23.75,1460.0
2021-01-19,23.977,24.0044,23.75,23.75,2000.0
2021-01-15,23.84,24.14,23.84,23.97,4171.0
2021-01-14,23.85,23.85,23.85,23.85,0.0
2021-01-13,23.85,23.85,23.85,23.85,0.0
2021-01-12,23.85,23.85,23.85,23.85,100.0
2021-01-11,23.75,23.85,23.75,23.75,1325.0
2021-01-08,23.58,23.58,23.58,23.58,0.0
2021-01-07,23.58,23.58,23.58,23.58,82.0
2021-01-06,23.71,23.75,23.435,23.58,7404.0
2021-01-05,23.61,23.61,23.61,23.61,0.0
2021-01-04,23.61,23.61,23.61,23.61,0.0
2020-12-31,23.61,23.61,23.61,23.61,20.0
2020-12-30,23.55,23.62,23.55,23.61,2500.0
2020-12-29,23.55,23.55,23.55,23.55,1236.0
2020-12-28,23.5,23.5,23.5,23.5,0.0
2020-12-24,23.455,23.5,23.455,23.5,200.0
2020-12-23,23.48,23.48,23.3761,23.42,6500.0
2020-12-22,23.18,23.18,23.16,23.16,1000.0
2020-12-21,23.48,23.48,23.48,23.48,0.0
2020-12-18,23.48,23.48,23.48,23.48,141.0
2020-12-17,23.12,23.12,23.12,23.12,0.0
2020-12-16,23.12,23.12,23.12,23.12,0.0
2020-12-15,23.12,23.12,23.12,23.12,0.0
2020-12-14,23.2989,23.4,23.12,23.12,2700.0
2020-12-11,23.07,23.11,23.07,23.11,600.0
2020-12-10,23.25,23.25,23.25,23.25,15.0
2020-12-09,23.25,23.25,23.25,23.25,1480.0
2020-12-08,23.21,23.21,23.21,23.21,20.0
2020-12-07,23.19,23.21,23.19,23.21,410.0
2020-12-04,23.19,23.19,23.19,23.19,0.0
2020-12-03,23.05,23.19,23.0,23.19,1846.0
2020-12-02,23.37,23.37,23.37,23.37,250.0
2020-12-01,23.225,23.42,23.225,23.4,2854.0
2020-11-30,23.05,23.05,23.05,23.05,0.0
2020-11-27,23.05,23.05,23.02,23.05,775.0
2020-11-25,23.37,23.37,23.37,23.37,0.0
2020-11-24,23.37,23.37,23.37,23.37,0.0
2020-11-23,23.37,23.37,23.37,23.37,0.0
2020-11-20,23.36,23.37,23.33,23.37,957.0
2020-11-19,23.2199,23.2199,23.2199,23.2199,0.0
2020-11-18,23.2199,23.2199,23.2199,23.2199,0.0
2020-11-17,23.2199,23.2199,23.2199,23.2199,212.0
2020-11-16,23.2199,23.2199,23.2199,23.2199,138.0
2020-11-13,23.07,23.07,22.81,22.81,1147.0
2020-11-12,23.02,23.02,23.0,23.0,300.0
2020-11-11,23.0,23.0,23.0,23.0,3.0
2020-11-10,23.01,23.01,23.0,23.0,1000.0
2020-11-09,22.7,23.2,22.7,23.0,2103.0
2020-11-06,22.71,22.74,22.465,22.465,1150.0
2020-11-05,22.5492,22.5492,22.5492,22.5492,0.0
2020-11-04,22.5492,22.5492,22.5492,22.5492,0.0
2020-11-03,22.365,22.72,22.365,22.5492,696.0
2020-11-02,22.27,22.27,22.27,22.27,0.0
2020-10-30,22.27,22.27,22.27,22.27,300.0
2020-10-29,22.328,22.328,22.328,22.328,0.0
2020-10-28,22.6448,22.672,22.32,22.328,4900.0
2020-10-27,23.12,23.12,23.12,23.12,0.0
2020-10-26,23.12,23.12,23.12,23.12,0.0
2020-10-23,23.08,23.12,23.08,23.12,3500.0
2020-10-22,22.65,22.65,22.65,22.65,0.0
2020-10-21,22.65,22.65,22.65,22.65,100.0
2020-10-20,22.62,22.62,22.62,22.62,0.0
2020-10-19,22.62,22.62,22.62,22.62,0.0
2020-10-16,22.9,22.9001,22.62,22.62,1740.0
2020-10-15,23.11,23.11,23.11,23.11,0.0
2020-10-14,23.11,23.11,23.11,23.11,0.0
2020-10-13,23.11,23.11,23.11,23.11,0.0
2020-10-12,23.11,23.11,23.11,23.11,0.0
2020-10-09,23.1,23.11,23.1,23.11,210.0
2020-10-08,22.71,22.71,22.71,22.71,0.0
2020-10-07,22.71,22.71,22.71,22.71,1700.0
2020-10-06,22.65,22.71,22.65,22.71,200.0
2020-10-05,23.11,23.11,22.7,22.9,3000.0
2020-10-02,23.12,23.12,23.12,23.12,0.0
2020-10-01,23.12,23.12,23.12,23.12,0.0
2020-09-30,23.12,23.12,23.12,23.12,1000.0
2020-09-29,23.12,23.12,23.12,23.12,0.0
2020-09-28,23.12,23.12,23.12,23.12,0.0
2020-09-25,23.12,23.12,23.12,23.12,0.0
2020-09-24,23.12,23.12,23.12,23.12,0.0
2020-09-23,23.12,23.12,23.12,23.12,0.0
2020-09-22,23.12,23.12,23.12,23.12,0.0
2020-09-21,23.12,23.12,23.12,23.12,0.0
2020-09-18,23.12,23.12,23.12,23.12,0.0
2020-09-17,23.12,23.12,23.12,23.12,200.0
2020-09-16,22.62,22.62,22.62,22.62,47.0
2020-09-15,22.62,22.62,22.62,22.62,0.0
2020-09-14,22.62,22.62,22.62,22.62,0.0
2020-09-11,22.62,22.62,22.62,22.62,0.0
2020-09-10,22.62,22.62,22.62,22.62,100.0
2020-09-09,22.62,22.62,22.62,22.62,0.0
2020-09-08,22.67,22.67,22.62,22.62,2651.0
2020-09-04,22.65,22.65,22.65,22.65,0.0
2020-09-03,22.65,22.65,22.65,22.65,0.0
2020-09-02,22.84,22.86,22.6178,22.65,2212.0
2020-09-01,22.93,23.2252,22.93,23.2252,225.0
2020-08-31,22.62,22.62,22.62,22.62,0.0
2020-08-28,22.62,22.62,22.62,22.62,400.0
2020-08-27,22.61,22.61,22.61,22.61,0.0
2020-08-26,22.61,22.61,22.61,22.61,0.0
2020-08-25,22.61,22.61,22.61,22.61,0.0
2020-08-24,22.61,22.61,22.61,22.61,0.0
2020-08-21,22.61,22.61,22.61,22.61,500.0
2020-08-20,23.42,23.42,23.42,23.42,0.0
2020-08-19,23.42,23.42,23.42,23.42,0.0
2020-08-18,23.42,23.42,23.42,23.42,100.0
2020-08-17,22.57,23.4,22.1,23.4,2900.0
2020-08-14,22.57,22.57,22.57,22.57,71.0
2020-08-13,22.47,22.57,22.2,22.57,8600.0
2020-08-12,21.51,21.72,21.51,21.72,1170.0
2020-08-11,22.14,22.14,22.14,22.14,100.0
2020-08-10,21.7,21.7,21.7,21.7,0.0
2020-08-07,21.7,21.7,21.7,21.7,70.0
2020-08-06,21.75,21.75,21.44,21.7,1200.0
2020-08-05,22.0,22.0,22.0,22.0,684.0
2020-08-04,22.38,22.49,22.38,22.49,500.0
2020-08-03,21.69,21.69,21.69,21.69,400.0
2020-07-31,21.56,21.56,21.56,21.56,32.0
2020-07-30,21.56,21.56,21.56,21.56,36.0
2020-07-29,21.56,21.56,21.56,21.56,8.0
2020-07-28,21.56,21.56,21.56,21.56,500.0
2020-07-27,21.51,21.51,21.51,21.51,0.0
2020-07-24,21.65,21.65,21.51,21.51,1290.0
2020-07-23,21.6,21.6,21.6,21.6,1075.0
2020-07-22,22.23,22.25,21.6,21.6001,1075.0
2020-07-21,22.42,22.43,22.42,22.43,385.0
2020-07-20,21.5,21.5,21.5,21.5,105.0
2020-07-17,21.5,21.5,21.5,21.5,0.0
2020-07-16,21.5,21.5,21.5,21.5,0.0
2020-07-15,21.5,21.5,21.43,21.5,1606.0
2020-07-14,22.0,22.0,22.0,22.0,0.0
2020-07-13,22.0,22.0,22.0,22.0,0.0
2020-07-10,22.0,22.0,22.0,22.0,0.0
2020-07-09,22.0,22.0,22.0,22.0,0.0
2020-07-08,21.9999,21.9999,21.9999,21.9999,125.0
2020-07-07,21.19,21.19,21.19,21.19,200.0
2020-07-06,21.22,21.22,21.19,21.19,700.0
2020-07-02,21.74,21.74,21.74,21.74,0.0
2020-07-01,21.74,21.74,21.74,21.74,0.0
2020-06-30,21.74,21.74,21.74,21.74,100.0
2020-06-29,21.8877,21.8877,21.8877,21.8877,151.0
2020-06-26,21.89,21.89,21.89,21.89,0.0
2020-06-25,21.89,21.89,21.89,21.89,0.0
2020-06-24,21.89,21.89,21.89,21.89,0.0
2020-06-23,21.89,21.89,21.89,21.89,0.0
2020-06-22,21.89,21.89,21.89,21.89,0.0
2020-06-19,21.89,21.89,21.89,21.89,0.0
2020-06-18,21.89,21.89,21.89,21.89,44.0
2020-06-17,21.8877,21.8877,21.8877,21.8877,1.0
2020-06-16,21.89,21.89,21.89,21.89,0.0
2020-06-15,21.89,21.89,21.89,21.89,0.0
2020-06-12,21.91,21.91,21.89,21.89,200.0
2020-06-11,21.51,21.51,21.51,21.51,0.0
2020-06-10,21.5,21.51,21.5,21.51,400.0
2020-06-09,21.51,21.51,21.11,21.11,1800.0
2020-06-08,21.95,21.95,21.95,21.95,600.0
2020-06-05,22.49,22.5,21.11,21.11,1300.0
2020-06-04,21.02,21.46,21.02,21.05,1600.0
2020-06-03,21.06,21.06,21.06,21.06,0.0
2020-06-02,21.3,21.3,21.06,21.06,200.0
2020-06-01,21.31,21.31,21.31,21.31,0.0
2020-05-29,21.18,21.35,21.18,21.31,1300.0
2020-05-28,21.3,21.35,21.3,21.35,1400.0
2020-05-27,21.3,21.3,21.3,21.3,100.0
2020-05-26,20.93,21.35,20.88,21.3,3200.0
2020-05-22,20.53,20.53,20.51,20.51,200.0
2020-05-21,22.46,22.46,22.46,22.46,100.0
2020-05-20,22.08,22.08,22.08,22.08,0.0
2020-05-19,22.08,22.08,22.08,22.08,0.0
2020-05-18,22.08,22.08,22.08,22.08,0.0
2020-05-15,21.8986,21.8986,21.8986,21.8986,30.0
2020-05-14,22.08,22.08,22.08,22.08,0.0
2020-05-13,22.08,22.08,22.08,22.08,0.0
2020-05-12,22.08,22.08,22.08,22.08,0.0
2020-05-11,22.0799,22.0799,22.0799,22.0799,125.0
2020-05-08,20.3,20.5,20.26,20.26,500.0
2020-05-07,20.05,20.35,20.05,20.26,1800.0
2020-05-06,20.75,20.75,20.05,20.05,1100.0
2020-05-05,20.55,20.55,20.55,20.55,47.0
2020-05-04,20.55,20.75,20.55,20.55,800.0
2020-05-01,20.5,20.5,20.5,20.5,0.0
2020-04-30,20.5,20.5,20.5,20.5,0.0
2020-04-29,20.5,20.5,20.5,20.5,200.0
2020-04-28,19.89,19.89,19.89,19.89,0.0
2020-04-27,19.83,19.89,19.8,19.89,600.0
2020-04-24,20.4,20.4,20.4,20.4,0.0
2020-04-23,20.05,20.4,20.0,20.4,1200.0
2020-04-22,19.5,20.0,19.5,20.0,900.0
2020-04-21,20.0,20.0,20.0,20.0,200.0
2020-04-20,19.97,19.97,19.97,19.97,0.0
2020-04-17,19.97,19.97,19.97,19.97,0.0
2020-04-16,19.97,19.97,19.97,19.97,0.0
2020-04-15,19.97,19.97,19.97,19.97,0.0
2020-04-14,19.69,19.97,19.56,19.97,2400.0
2020-04-13,19.49,19.49,19.49,19.49,0.0
2020-04-09,19.0,19.49,19.0,19.49,1700.0
2020-04-08,18.53,18.53,18.52,18.52,400.0
2020-04-07,18.83,19.0,18.7,19.0,1300.0
2020-04-06,18.99,18.99,18.99,18.99,1.0
2020-04-03,18.99,18.99,18.99,18.99,0.0
2020-04-02,18.99,18.99,18.99,18.99,50.0
2020-04-01,18.99,18.99,18.99,18.99,0.0
2020-03-31,18.61,18.99,18.61,18.99,500.0
2020-03-30,18.5,18.5,18.5,18.5,100.0
2020-03-27,19.5,19.89,18.7,18.7,900.0
