date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,10.33,10.505,10.33,10.48,64907.0
2021-03-16,10.5,10.55,10.47,10.51,28440.0
2021-03-15,10.48,10.5099,10.43,10.44,27953.0
2021-03-12,10.48,10.49,10.43,10.47,11525.0
2021-03-11,10.46,10.52,10.4245,10.48,33598.0
2021-03-10,10.37,10.56,10.35,10.36,47972.0
2021-03-09,10.48,10.55,10.35,10.35,30293.0
2021-03-08,10.44,10.45,10.37,10.37,16960.0
2021-03-05,10.33,10.54,10.245,10.38,23644.0
2021-03-04,10.35,10.35,10.23,10.26,20175.0
2021-03-03,10.47,10.47,10.3,10.31,17954.0
2021-03-02,10.35,10.6,10.285,10.44,62110.0
2021-03-01,10.33,10.43,10.2,10.3,53306.0
2021-02-26,10.12,10.34,10.12,10.22,27645.0
2021-02-25,10.33,10.4195,10.0,10.09,94752.0
2021-02-24,10.22,10.46,10.22,10.33,52273.0
2021-02-23,10.43,10.4335,10.17,10.36,92207.0
2021-02-22,10.5,10.57,10.43,10.43,49156.0
2021-02-19,10.54,10.62,10.36,10.5,29583.0
2021-02-18,10.59,10.66,10.48,10.56,30736.0
2021-02-17,10.8,10.8,10.63,10.64,24692.0
2021-02-16,10.72,10.77,10.71,10.77,51944.0
2021-02-12,10.63,10.7,10.63,10.69,28746.0
2021-02-11,10.56,10.63,10.56,10.63,17570.0
2021-02-10,10.53,10.59,10.53,10.58,17972.0
2021-02-09,10.54,10.54,10.5,10.53,38042.0
2021-02-08,10.53,10.5796,10.47,10.51,31800.0
2021-02-05,10.48,10.56,10.48,10.5,55281.0
2021-02-04,10.52,10.59,10.46,10.52,27537.0
2021-02-03,10.48,10.6,10.435,10.55,48505.0
2021-02-02,10.4521,10.49,10.4,10.48,41700.0
2021-02-01,10.44,10.48,10.39,10.47,38636.0
2021-01-29,10.4,10.44,10.38,10.39,34018.0
2021-01-28,10.39,10.45,10.36,10.42,53406.0
2021-01-27,10.37,10.4,10.36,10.36,24703.0
2021-01-26,10.36,10.4,10.36,10.37,24173.0
2021-01-25,10.38,10.4,10.36,10.36,27186.0
2021-01-22,10.39,10.4,10.37,10.39,16122.0
2021-01-21,10.4,10.43,10.35,10.35,26237.0
2021-01-20,10.37,10.41,10.3678,10.38,35474.0
2021-01-19,10.32,10.39,10.29,10.32,37418.0
