date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,21.34,21.39,21.1104,21.2,410978.0
2021-03-11,21.23,21.46,21.21,21.35,339587.0
2021-03-10,21.05,21.18,20.9297,21.1,301888.0
2021-03-09,20.75,21.1,20.71,21.02,335950.0
2021-03-08,20.53,20.68,20.381,20.58,351171.0
2021-03-05,20.65,20.67,19.9,20.53,613069.0
2021-03-04,20.46,20.63,20.1,20.42,466128.0
2021-03-03,20.8,20.812,20.07,20.57,831577.0
2021-03-02,20.89,21.29,20.675,20.9,526786.0
2021-03-01,20.33,20.89,20.33,20.82,479023.0
2021-02-26,20.24,20.43,19.9,20.24,527875.0
2021-02-25,20.36,20.61,20.02,20.06,681762.0
2021-02-24,19.99,20.38,19.93,20.33,812601.0
2021-02-23,19.87,19.98,19.39,19.8,747080.0
2021-02-22,19.75,20.17,19.68,19.92,962902.0
2021-02-19,19.41,19.58,19.38,19.38,399970.0
2021-02-18,19.18,19.367,19.18,19.24,365925.0
2021-02-17,19.23,19.33,19.13,19.16,191512.0
2021-02-16,19.2,19.4498,19.17,19.2,315932.0
2021-02-12,19.16,19.21,19.04,19.18,228032.0
2021-02-11,19.01,19.08,18.97,19.06,173656.0
2021-02-10,19.3,19.3,18.88,18.98,333347.0
2021-02-09,19.4,19.49,18.972,19.05,709121.0
2021-02-08,19.5,19.75,19.49,19.72,452996.0
2021-02-05,19.09,19.49,18.96,19.45,408947.0
2021-02-04,18.9,19.16,18.89,18.96,292926.0
2021-02-03,18.85,18.95,18.73,18.9,402239.0
2021-02-02,18.69,19.01,18.64,18.83,246837.0
2021-02-01,18.7,18.85,18.515,18.59,300505.0
2021-01-29,18.56,18.84,18.5136,18.55,245279.0
2021-01-28,18.61,18.77,18.5,18.65,224518.0
2021-01-27,18.54,18.7,18.37,18.5,222795.0
2021-01-26,18.58,18.74,18.5433,18.57,250080.0
2021-01-25,18.53,18.64,18.4541,18.48,190069.0
2021-01-22,18.54,18.5998,18.415,18.53,114304.0
2021-01-21,18.55,18.6,18.5001,18.55,121795.0
2021-01-20,18.36,18.57,18.36,18.54,163387.0
2021-01-19,18.23,18.3927,18.23,18.36,214429.0
2021-01-15,18.65,18.74,18.5,18.53,266096.0
2021-01-14,18.33,18.65,18.3,18.65,246558.0
2021-01-13,18.11,18.3266,18.11,18.28,133686.0
2021-01-12,18.16,18.18,18.01,18.16,135498.0
2021-01-11,18.01,18.179,18.0,18.13,188928.0
2021-01-08,17.96,18.15,17.9001,18.09,191588.0
2021-01-07,18.04,18.04,17.89,17.96,341410.0
2021-01-06,17.9,18.1,17.86,17.97,240192.0
2021-01-05,17.76,18.03,17.76,18.01,231016.0
2021-01-04,17.85,17.95,17.7,17.74,221403.0
2020-12-31,17.67,17.85,17.67,17.83,238038.0
2020-12-30,17.61,17.73,17.58,17.72,271573.0
2020-12-29,17.78,17.8795,17.635,17.65,163845.0
2020-12-28,18.0,18.05,17.78,17.78,198639.0
2020-12-24,17.76,17.95,17.74,17.95,62431.0
2020-12-23,17.73,17.96,17.7,17.74,175023.0
2020-12-22,17.71,17.79,17.6399,17.69,131398.0
2020-12-21,17.75,17.85,17.5732,17.71,243681.0
2020-12-18,17.94,18.01,17.83,17.89,232441.0
2020-12-17,17.9,18.01,17.87,17.92,260908.0
2020-12-16,17.9,17.99,17.75,17.84,342621.0
2020-12-15,17.97,18.0315,17.82,17.9,185656.0
2020-12-14,18.09,18.21,17.98,17.98,209169.0
2020-12-11,18.17,18.39,18.17,18.23,295720.0
2020-12-10,18.31,18.33,18.07,18.15,202483.0
2020-12-09,18.37,18.5,18.28,18.31,259071.0
2020-12-08,18.24,18.39,18.24,18.37,206748.0
2020-12-07,18.05,18.3247,18.05,18.24,199934.0
2020-12-04,17.93,18.07,17.93,18.07,219944.0
2020-12-03,17.9,17.96,17.69,17.9,312544.0
2020-12-02,17.75,17.9568,17.739,17.95,228916.0
2020-12-01,17.61,17.79,17.61,17.76,274419.0
2020-11-30,17.52,17.63,17.5,17.6,240833.0
2020-11-27,17.55,17.6,17.5102,17.57,130853.0
2020-11-25,17.52,17.64,17.5101,17.58,123933.0
2020-11-24,17.17,17.54,17.17,17.54,299683.0
2020-11-23,17.32,17.32,17.1,17.15,216519.0
2020-11-20,17.1,17.24,17.08,17.2,255452.0
2020-11-19,17.3,17.4,16.98,17.11,435350.0
2020-11-18,17.21,17.32,17.16,17.28,233749.0
2020-11-17,17.04,17.2,16.97,17.2,177360.0
2020-11-16,16.9,17.08,16.9,17.05,191097.0
2020-11-13,16.87,16.9093,16.8558,16.89,82234.0
2020-11-12,16.97,16.98,16.841,16.9,121863.0
2020-11-11,16.84,16.99,16.815,16.98,154767.0
2020-11-10,16.68,16.8741,16.68,16.82,187967.0
2020-11-09,16.86,17.05,16.67,16.73,352932.0
2020-11-06,16.69,16.83,16.66,16.8,220401.0
2020-11-05,16.52,16.72,16.51,16.72,153374.0
2020-11-04,16.36,16.54,16.36,16.5,152520.0
2020-11-03,16.18,16.4,16.18,16.35,185481.0
2020-11-02,15.93,16.18,15.91,16.16,192577.0
2020-10-30,15.89,16.0,15.86,15.89,156215.0
2020-10-29,15.99,16.0699,15.95,15.98,162253.0
2020-10-28,16.25,16.29,15.99,16.0,216907.0
2020-10-27,16.33,16.42,16.26,16.38,137664.0
2020-10-26,16.47,16.5,16.3,16.38,144860.0
2020-10-23,16.4,16.55,16.37,16.48,175902.0
2020-10-22,16.67,16.67,16.47,16.5,161697.0
2020-10-21,16.58,16.62,16.54,16.62,95100.0
2020-10-20,16.5,16.648,16.495,16.61,99652.0
2020-10-19,16.43,16.53,16.43,16.49,126919.0
2020-10-16,16.6,16.68,16.45,16.45,158063.0
2020-10-15,16.58,16.64,16.5,16.61,153989.0
2020-10-14,16.82,16.835,16.65,16.69,191733.0
2020-10-13,16.79,16.88,16.79,16.85,158105.0
2020-10-12,17.04,17.1,17.0,17.0,218801.0
2020-10-09,17.0,17.07,16.98,17.04,174900.0
2020-10-08,16.86,17.0,16.86,16.99,121099.0
2020-10-07,16.74,16.95,16.74,16.86,279769.0
2020-10-06,16.58,16.8361,16.58,16.78,244424.0
2020-10-05,16.4,16.6003,16.4,16.58,256485.0
2020-10-02,16.4,16.5,16.24,16.34,372248.0
2020-10-01,16.57,16.6399,16.46,16.49,256362.0
2020-09-30,16.64,16.6942,16.5,16.52,366622.0
2020-09-29,16.72,16.77,16.6,16.66,164691.0
2020-09-28,16.61,16.84,16.61,16.7,135104.0
2020-09-25,16.52,16.57,16.46,16.56,145345.0
2020-09-24,16.73,16.74,16.47,16.55,279912.0
2020-09-23,17.02,17.02,16.7,16.75,235941.0
2020-09-22,16.93,17.02,16.87,17.02,188932.0
2020-09-21,16.98,17.04,16.75,16.85,238483.0
2020-09-18,17.09,17.125,17.0014,17.05,88454.0
2020-09-17,17.0,17.0984,16.97,17.09,84232.0
2020-09-16,17.08,17.15,17.06,17.14,85315.0
2020-09-15,17.0,17.11,17.0,17.08,133847.0
2020-09-14,17.2,17.25,17.1317,17.19,283961.0
2020-09-11,17.09,17.11,17.03,17.06,97846.0
2020-09-10,17.07,17.18,17.0595,17.08,149444.0
2020-09-09,17.0,17.08,16.9709,17.05,111066.0
2020-09-08,17.02,17.02,16.93,16.96,139698.0
2020-09-04,17.11,17.18,16.95,17.11,144356.0
2020-09-03,17.14,17.18,17.09,17.14,172024.0
2020-09-02,17.0,17.19,16.98,17.19,239321.0
2020-09-01,16.9,17.0,16.9,16.98,122728.0
2020-08-31,16.92,16.98,16.9,16.93,162807.0
2020-08-28,16.93,16.97,16.92,16.92,138558.0
2020-08-27,16.95,16.9746,16.91,16.93,141814.0
2020-08-26,17.03,17.03,16.95,16.95,101521.0
2020-08-25,17.02,17.03,16.97,17.03,131896.0
2020-08-24,16.95,17.04,16.94,16.96,94561.0
2020-08-21,17.09,17.18,16.94,16.94,192004.0
2020-08-20,17.13,17.15,17.01,17.15,72461.0
2020-08-19,17.01,17.135,17.0,17.08,117467.0
2020-08-18,17.0,17.1,16.98,17.1,130894.0
2020-08-17,17.01,17.03,16.9,17.0,169693.0
2020-08-14,17.02,17.1,16.98,17.03,142131.0
