date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.366,14.44,14.2716,14.44,4234.0
2021-03-16,14.33,14.35,14.33,14.35,1990.0
2021-03-15,14.23,14.3,14.23,14.3,2388.0
2021-03-12,14.18,14.23,14.0901,14.21,4187.0
2021-03-11,14.07,14.247,14.07,14.191,4256.0
2021-03-10,14.12,14.1713,13.97,14.03,18390.0
2021-03-09,13.9,14.21,13.9,14.08,31554.0
2021-03-08,13.72,13.94,13.7,13.92,78302.0
2021-03-05,13.82,13.82,13.66,13.68,23162.0
2021-03-04,14.04,14.055,13.7501,13.83,26750.0
2021-03-03,14.04,14.1114,13.965,14.05,20452.0
2021-03-02,14.09,14.11,13.97,14.0,16589.0
2021-03-01,13.74,14.17,13.74,14.14,28837.0
2021-02-26,13.93,14.069,13.6961,13.7,6292.0
2021-02-25,14.07,14.1,13.82,13.84,23875.0
2021-02-24,13.94,14.08,13.93,14.08,11695.0
2021-02-23,14.08,14.135,13.88,14.08,8938.0
2021-02-22,14.02,14.17,13.9503,14.04,19147.0
2021-02-19,13.91,14.05,13.91,14.05,1528.0
2021-02-18,13.86,13.9184,13.8,13.9184,17786.0
2021-02-17,13.93,13.99,13.93,13.98,12903.0
2021-02-16,13.99,14.12,13.99,14.08,13084.0
2021-02-12,13.87,13.91,13.8,13.91,3343.0
2021-02-11,13.92,13.974,13.8113,13.88,18482.0
2021-02-10,13.86,13.93,13.83,13.87,14192.0
2021-02-09,13.78,13.86,13.76,13.8,20497.0
2021-02-08,13.71,13.92,13.71,13.82,26566.0
2021-02-05,13.63,13.71,13.63,13.66,8647.0
2021-02-04,13.47,13.57,13.44,13.52,21726.0
2021-02-03,13.38,13.65,13.361,13.505,8371.0
2021-02-02,13.27,13.36,13.27,13.36,3984.0
2021-02-01,13.31,13.31,13.1,13.22,14540.0
2021-01-29,13.2,13.2,13.05,13.08,25967.0
2021-01-28,13.22,13.39,13.22,13.28,12719.0
2021-01-27,13.33,13.33,13.23,13.25,14463.0
2021-01-26,13.42,13.5256,13.42,13.44,22611.0
2021-01-25,13.49,13.49,13.3601,13.42,9427.0
2021-01-22,13.57,13.57,13.49,13.54,7758.0
2021-01-21,13.77,13.77,13.6162,13.67,7959.0
2021-01-20,13.61,13.73,13.555,13.68,38952.0
2021-01-19,13.53,13.61,13.4294,13.52,19210.0
2021-01-15,13.59,13.61,13.3701,13.4,11301.0
2021-01-14,13.5583,13.62,13.55,13.59,26136.0
2021-01-13,13.41,13.69,13.33,13.57,117404.0
2021-01-12,13.35,13.42,13.31,13.38,28873.0
2021-01-11,13.39,13.52,13.29,13.36,53943.0
2021-01-08,13.63,13.74,13.51,13.54,21467.0
2021-01-07,13.34,13.6,13.34,13.59,99191.0
2021-01-06,13.18,13.43,13.14,13.32,126954.0
2021-01-05,13.22,13.421,13.06,13.17,319603.0
2021-01-04,13.47,13.47,13.13,13.22,65788.0
2020-12-31,13.37,13.39,13.3,13.36,55126.0
2020-12-30,13.4,13.42,13.26,13.39,195564.0
2020-12-29,13.53,13.6077,13.29,13.31,84796.0
2020-12-28,13.74,13.92,13.42,13.42,42931.0
2020-12-24,13.8,13.8,13.59,13.59,22797.0
2020-12-23,13.19,13.84,13.19,13.76,57060.0
2020-12-22,13.75,13.75,13.07,13.15,68216.0
2020-12-21,13.74,13.9,13.7063,13.89,33217.0
2020-12-18,14.14,14.25,13.8,13.93,85372.0
2020-12-17,14.45,14.45,14.255,14.27,58320.0
2020-12-16,15.34,15.4,15.313,15.38,48957.0
2020-12-15,15.25,15.35,15.2201,15.33,64191.0
2020-12-14,15.18,15.27,15.18,15.21,27257.0
2020-12-11,15.05,15.1,15.03,15.07,7494.0
2020-12-10,15.11,15.2,15.1098,15.16,124251.0
2020-12-09,15.19,15.2892,15.06,15.15,89820.0
