date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,11.93,12.11,11.83,12.11,54753.0
2021-03-16,12.13,12.16,11.96,12.0,219907.0
2021-03-15,12.05,12.12,12.01,12.12,216311.0
2021-03-12,11.95,12.035,11.89,12.01,121700.0
2021-03-11,11.85,12.0,11.8101,12.0,136852.0
2021-03-10,11.58,11.855,11.5204,11.71,214078.0
2021-03-09,11.54,11.79,11.51,11.77,158202.0
2021-03-08,11.56,11.65,11.4,11.43,157841.0
2021-03-05,11.5,11.53,10.98,11.47,204235.0
2021-03-04,11.79,11.85,11.2201,11.42,123537.0
2021-03-03,11.96,12.0299,11.77,11.81,194993.0
2021-03-02,12.13,12.17,11.87,11.92,279546.0
2021-03-01,11.93,12.13,11.9,12.12,135565.0
2021-02-26,11.8,11.88,11.506,11.72,129726.0
2021-02-25,12.06,12.105,11.72,11.73,176664.0
2021-02-24,11.86,12.09,11.83,12.06,191000.0
2021-02-23,12.0,12.0,11.44,11.86,327411.0
2021-02-22,12.05,12.16,12.0199,12.03,83439.0
2021-02-19,11.89,12.15,11.89,12.05,137031.0
2021-02-18,11.9,11.96,11.7758,11.83,147412.0
2021-02-17,12.13,12.13,11.85,12.02,114714.0
2021-02-16,12.14,12.26,12.08,12.15,149576.0
2021-02-12,12.1,12.15,11.985,12.11,158333.0
2021-02-11,12.12,12.2,11.9,12.06,140865.0
2021-02-10,12.19,12.28,11.9973,12.06,190822.0
2021-02-09,11.98,12.15,11.97,12.08,169557.0
2021-02-08,11.7,11.97,11.7,11.93,158056.0
2021-02-05,11.48,11.64,11.48,11.63,138587.0
2021-02-04,11.27,11.44,11.27,11.42,125403.0
2021-02-03,11.19,11.32,11.11,11.16,424609.0
2021-02-02,11.05,11.17,11.02,11.16,114872.0
2021-02-01,10.76,10.94,10.71,10.93,74555.0
2021-01-29,10.77,10.83,10.55,10.62,131741.0
2021-01-28,10.85,10.95,10.69,10.74,177783.0
2021-01-27,11.02,11.02,10.76,10.81,176994.0
2021-01-26,11.16,11.19,11.05,11.09,102080.0
2021-01-25,11.2,11.2627,11.01,11.12,84606.0
2021-01-22,11.02,11.14,10.97,11.14,89182.0
2021-01-21,11.12,11.1696,10.96,11.11,116020.0
2021-01-20,11.08,11.19,11.03,11.08,70637.0
2021-01-19,10.92,11.04,10.81,11.03,131859.0
2021-01-15,10.89,10.89,10.73,10.85,125758.0
2021-01-14,10.82,10.97,10.815,10.92,184780.0
2021-01-13,10.78,10.8,10.7,10.72,200238.0
2021-01-12,10.62,10.78,10.55,10.78,121730.0
2021-01-11,10.48,10.63,10.44,10.62,197717.0
2021-01-08,10.67,10.7,10.45,10.58,142061.0
2021-01-07,10.56,10.65,10.55,10.63,119540.0
2021-01-06,10.2,10.5,10.16,10.44,208884.0
2021-01-05,9.96,10.13,9.96,10.13,144975.0
2021-01-04,10.16,10.16,9.9,9.96,165775.0
2020-12-31,10.15,10.15,10.0618,10.12,68754.0
2020-12-30,10.01,10.13,9.98,10.12,64671.0
2020-12-29,10.25,10.25,9.91,10.01,150549.0
2020-12-28,10.25,10.28,10.19,10.22,147338.0
2020-12-24,10.22,10.25,10.18,10.21,70900.0
2020-12-23,10.15,10.21,10.1,10.14,238528.0
2020-12-22,10.06,10.13,10.0138,10.12,74317.0
2020-12-21,9.91,10.05,9.79,10.0,205788.0
2020-12-18,10.12,10.14,9.99,10.0,261516.0
2020-12-17,10.03,10.04,9.98,10.04,237946.0
2020-12-16,10.02,10.02,9.95,9.96,154080.0
2020-12-15,9.92,9.99,9.86,9.93,317880.0
2020-12-14,9.86,9.95,9.78,9.81,99043.0
2020-12-11,9.69,9.8051,9.69,9.78,301227.0
2020-12-10,9.74,9.76,9.685,9.75,269004.0
2020-12-09,10.03,10.09,9.86,9.89,237322.0
2020-12-08,9.92,10.0,9.92,9.99,170238.0
2020-12-07,9.95,9.99,9.88,9.91,208374.0
2020-12-04,9.71,9.965,9.7,9.96,147478.0
2020-12-03,9.61,9.68,9.59,9.65,152288.0
2020-12-02,9.52,9.62,9.481,9.57,123328.0
2020-12-01,9.42,9.6,9.42,9.53,177660.0
2020-11-30,9.47,9.4712,9.35,9.4,133623.0
2020-11-27,9.45,9.51,9.39,9.43,106376.0
2020-11-25,9.45,9.4767,9.4,9.42,195653.0
2020-11-24,9.42,9.48,9.35,9.44,187717.0
2020-11-23,9.2,9.34,9.15,9.32,123011.0
2020-11-20,9.11,9.15,9.083,9.13,115952.0
2020-11-19,9.06,9.11,9.0,9.07,171749.0
2020-11-18,9.12,9.2,9.01,9.02,176125.0
2020-11-17,8.96,9.07,8.8949,9.07,167653.0
2020-11-16,8.95,9.0,8.86,8.97,179590.0
2020-11-13,8.7,8.8,8.65,8.8,178452.0
2020-11-12,8.67,8.75,8.6,8.65,156960.0
2020-11-11,8.71,8.71,8.59,8.67,140320.0
2020-11-10,8.61,8.73,8.515,8.64,169057.0
2020-11-09,8.87,8.87,8.56,8.57,317813.0
2020-11-06,8.43,8.44,8.36,8.4,160818.0
2020-11-05,8.16,8.4,8.16,8.39,107075.0
2020-11-04,8.05,8.13,8.02,8.09,141372.0
2020-11-03,7.9,8.0127,7.8,8.01,216096.0
2020-11-02,7.75,7.81,7.7,7.77,218898.0
2020-10-30,7.83,7.84,7.67,7.71,137327.0
2020-10-29,7.72,7.88,7.72,7.85,208474.0
2020-10-28,7.84,7.91,7.75,7.78,153038.0
2020-10-27,8.08,8.1018,7.96,8.0,72365.0
2020-10-26,8.24,8.24,8.0,8.07,181460.0
2020-10-23,8.32,8.34,8.24,8.28,117210.0
2020-10-22,8.24,8.32,8.19,8.3,194193.0
2020-10-21,8.34,8.35,8.22,8.24,184735.0
2020-10-20,8.35,8.39,8.3,8.31,214157.0
2020-10-19,8.43,8.43,8.281,8.3,170556.0
2020-10-16,8.36,8.4,8.36,8.37,160152.0
2020-10-15,8.25,8.37,8.21,8.37,143200.0
2020-10-14,8.37,8.43,8.3,8.33,92344.0
2020-10-13,8.36,8.37,8.29,8.36,153207.0
2020-10-12,8.37,8.42,8.34,8.38,231216.0
2020-10-09,8.33,8.38,8.29,8.33,194256.0
2020-10-08,8.23,8.29,8.23,8.27,178532.0
2020-10-07,8.11,8.2004,8.04,8.2,223568.0
2020-10-06,8.07,8.13,7.99,8.01,256181.0
2020-10-05,7.92,8.06,7.83,8.05,162046.0
2020-10-02,7.66,7.84,7.635,7.82,158774.0
2020-10-01,7.72,7.77,7.63,7.76,122743.0
2020-09-30,7.66,7.8,7.66,7.67,120932.0
2020-09-29,7.65,7.73,7.62,7.66,78856.0
2020-09-28,7.62,7.6913,7.62,7.65,176889.0
2020-09-25,7.35,7.555,7.35,7.54,102094.0
2020-09-24,7.38,7.5,7.35,7.4,146727.0
2020-09-23,7.65,7.68,7.41,7.43,257245.0
2020-09-22,7.64,7.75,7.575,7.68,315620.0
2020-09-21,7.81,7.81,7.58,7.67,325962.0
2020-09-18,7.9,7.945,7.81,7.92,297534.0
2020-09-17,7.85,7.89,7.78,7.87,230438.0
2020-09-16,7.85,7.9544,7.83,7.91,96707.0
2020-09-15,7.87,7.87,7.78,7.81,233718.0
2020-09-14,7.7,7.8,7.7,7.8,133153.0
2020-09-11,7.81,7.81,7.61,7.66,123804.0
2020-09-10,7.87,7.91,7.75,7.75,98409.0
2020-09-09,7.92,7.99,7.8801,7.93,161576.0
2020-09-08,7.85,7.907,7.75,7.82,135705.0
2020-09-04,8.07,8.075,7.82,7.92,110358.0
2020-09-03,8.24,8.31,8.02,8.04,105599.0
2020-09-02,8.25,8.31,8.21,8.31,98439.0
2020-09-01,8.13,8.25,8.13,8.2,89056.0
2020-08-31,8.18,8.19,8.13,8.13,97578.0
2020-08-28,8.13,8.17,8.117,8.17,65623.0
2020-08-27,8.12,8.16,8.08,8.11,58731.0
2020-08-26,8.16,8.19,8.09,8.15,109316.0
2020-08-25,8.14,8.18,8.09,8.15,136815.0
2020-08-24,8.12,8.18,8.11,8.15,176282.0
2020-08-21,8.11,8.14,8.06,8.09,63223.0
2020-08-20,8.19,8.2,8.14,8.16,92521.0
2020-08-19,8.18,8.25,8.18,8.23,269814.0
2020-08-18,8.28,8.2999,8.15,8.19,122244.0
2020-08-17,8.23,8.27,8.14,8.27,142159.0
2020-08-14,8.18,8.18,8.1173,8.17,87736.0
2020-08-13,8.07,8.16,8.07,8.16,142197.0
2020-08-12,8.13,8.18,8.07,8.08,93829.0
2020-08-11,8.12,8.16,8.03,8.04,201888.0
2020-08-10,8.01,8.1,8.0099,8.06,161934.0
2020-08-07,7.89,8.01,7.89,8.01,175209.0
2020-08-06,7.86,7.93,7.82,7.93,151299.0
2020-08-05,7.79,7.89,7.77,7.85,386209.0
2020-08-04,7.77,7.78,7.7,7.73,532939.0
2020-08-03,7.64,7.79,7.6,7.77,162455.0
2020-07-31,7.62,7.6699,7.548,7.6,109027.0
2020-07-30,7.55,7.67,7.51,7.65,78214.0
2020-07-29,7.55,7.64,7.522,7.62,63982.0
2020-07-28,7.53,7.62,7.52,7.52,121907.0
2020-07-27,7.45,7.54,7.433,7.53,124477.0
2020-07-24,7.44,7.4799,7.41,7.43,94594.0
2020-07-23,7.48,7.59,7.46,7.48,114591.0
2020-07-22,7.53,7.6,7.48,7.53,278050.0
2020-07-21,7.52,7.62,7.52,7.54,141282.0
2020-07-20,7.48,7.48,7.39,7.45,112654.0
2020-07-17,7.38,7.47,7.35,7.45,79716.0
2020-07-16,7.42,7.45,7.34,7.38,150844.0
2020-07-15,7.38,7.5,7.36,7.46,164769.0
2020-07-14,7.12,7.26,7.09,7.26,244473.0
2020-07-13,7.3,7.35,7.12,7.12,273777.0
2020-07-10,7.14,7.26,7.14,7.24,256162.0
2020-07-09,7.23,7.27,7.06,7.18,195469.0
2020-07-08,7.24,7.3,7.14,7.24,229669.0
2020-07-07,7.27,7.38,7.23,7.27,216842.0
2020-07-06,7.37,7.39,7.29,7.29,126489.0
2020-07-02,7.27,7.36,7.21,7.24,305832.0
2020-07-01,7.25,7.28,7.14,7.18,266434.0
2020-06-30,7.14,7.2,7.08,7.2,136422.0
2020-06-29,6.98,7.16,6.94,7.12,290269.0
2020-06-26,7.04,7.07,6.93,6.93,116129.0
2020-06-25,6.99,7.09,6.91,7.09,106954.0
2020-06-24,7.1,7.16,6.93,7.02,173384.0
2020-06-23,7.13,7.23,7.13,7.17,69908.0
2020-06-22,7.03,7.15,7.02,7.12,141252.0
2020-06-19,7.19,7.2,7.02,7.07,208757.0
2020-06-18,7.06,7.16,7.06,7.1,115997.0
2020-06-17,7.24,7.24,7.11,7.13,177968.0
2020-06-16,7.28,7.34,7.17,7.22,137995.0
2020-06-15,6.73,7.11,6.73,7.05,241177.0
2020-06-12,7.03,7.11,6.75,6.95,667296.0
2020-06-11,7.07,7.1,6.8,6.84,263858.0
2020-06-10,7.51,7.55,7.34,7.38,275810.0
2020-06-09,7.76,7.82,7.59,7.67,374282.0
2020-06-08,7.82,7.88,7.72,7.81,158750.0
2020-06-05,7.63,7.76,7.62,7.67,183357.0
2020-06-04,7.34,7.39,7.29,7.37,93519.0
2020-06-03,7.26,7.41,7.26,7.33,85870.0
2020-06-02,7.2,7.26,7.14,7.22,126997.0
2020-06-01,7.04,7.21,7.03,7.15,140431.0
2020-05-29,7.01,7.05,6.95,7.05,110576.0
2020-05-28,7.2,7.2,7.03,7.06,177642.0
2020-05-27,7.1,7.21,6.98,7.19,291918.0
2020-05-26,7.03,7.12,7.02,7.08,354542.0
2020-05-22,6.83,6.89,6.74,6.85,136927.0
2020-05-21,6.83,6.88,6.75,6.8,223151.0
2020-05-20,6.73,6.9,6.73,6.84,236038.0
2020-05-19,6.72,6.8,6.66,6.66,204026.0
2020-05-18,6.56,6.74,6.53,6.73,191071.0
2020-05-15,6.24,6.38,6.23,6.35,155196.0
2020-05-14,6.19,6.33,6.06,6.3,450117.0
2020-05-13,6.49,6.49,6.23,6.29,278711.0
2020-05-12,6.71,6.77,6.51,6.51,167457.0
2020-05-11,6.63,6.8,6.61,6.72,307559.0
2020-05-08,6.65,6.77,6.61,6.73,145112.0
2020-05-07,6.46,6.58,6.46,6.56,118065.0
2020-05-06,6.46,6.49,6.4,6.4,136670.0
2020-05-05,6.45,6.6,6.41,6.42,159160.0
2020-05-04,6.35,6.43,6.33,6.39,264919.0
2020-05-01,6.5,6.56,6.37,6.43,213001.0
2020-04-30,6.79,6.79,6.65,6.67,163424.0
2020-04-29,6.68,6.95,6.68,6.91,214116.0
2020-04-28,6.52,6.62,6.49,6.57,437721.0
2020-04-27,6.22,6.45,6.2,6.42,268922.0
2020-04-24,6.22,6.27,6.15,6.22,252931.0
2020-04-23,6.13,6.23,6.12,6.18,163302.0
2020-04-22,6.02,6.11,6.02,6.08,254103.0
2020-04-21,5.9,5.99,5.88,5.96,396019.0
2020-04-20,6.09,6.23,6.07,6.11,143222.0
2020-04-17,6.21,6.21,6.08,6.2,199833.0
2020-04-16,5.99,6.04,5.86,5.97,157609.0
2020-04-15,5.98,6.06,5.92,6.02,149379.0
2020-04-14,6.0,6.24,6.0,6.21,184683.0
2020-04-13,6.05,6.06,5.87,5.92,245150.0
2020-04-09,5.91,6.15,5.91,6.05,306373.0
2020-04-08,5.62,5.93,5.62,5.82,311805.0
2020-04-07,5.61,5.8,5.6,5.61,269732.0
2020-04-06,5.23,5.49,5.23,5.47,194882.0
2020-04-03,5.16,5.28,5.07,5.07,300556.0
2020-04-02,5.1,5.35,5.1,5.27,413819.0
2020-04-01,5.35,5.47,5.12,5.12,396636.0
2020-03-31,5.59,5.68,5.53,5.56,190289.0
2020-03-30,5.59,5.64,5.5,5.57,239345.0
2020-03-27,5.58,5.7,5.48,5.65,288057.0
2020-03-26,5.42,5.85,5.42,5.75,509316.0
2020-03-25,5.08,5.55,5.08,5.35,254427.0
2020-03-24,4.85,5.11,4.85,5.07,590705.0
2020-03-23,4.8,4.8,4.51,4.56,400904.0
2020-03-20,4.85,5.12,4.73,4.74,360876.0
2020-03-19,4.31,4.87,4.3,4.8,459844.0
2020-03-18,5.13,5.19,4.4,4.59,507039.0
