date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,4.36,4.63,4.27,4.54,1498578.0
2021-03-16,4.6,4.628,4.2301,4.37,1247716.0
2021-03-15,4.55,4.61,4.32,4.61,1756359.0
2021-03-12,4.37,4.57,4.2041,4.49,1991183.0
2021-03-11,4.3,4.46,4.13,4.36,1741965.0
2021-03-10,4.04,4.29,4.02,4.2,852442.0
2021-03-09,4.32,4.32,4.03,4.1,855546.0
2021-03-08,4.08,4.37,3.93,4.24,1759082.0
2021-03-05,3.96,4.09,3.75,4.02,1523209.0
2021-03-04,4.1,4.18,3.6,3.87,2360343.0
2021-03-03,4.52,4.635,3.8,4.07,3948901.0
2021-03-02,3.89,4.7,3.882,4.52,4293625.0
2021-03-01,3.57,4.01,3.56,3.88,4785238.0
2021-02-26,3.53,3.76,3.27,3.4,6327968.0
2021-02-25,3.01,3.67,3.01,3.4,8453189.0
2021-02-24,3.16,3.5,2.98,3.17,30308121.0
2021-02-23,2.7,2.72,2.19,2.4,2250623.0
2021-02-22,2.79,2.84,2.71,2.73,531044.0
2021-02-19,2.73,2.92,2.7,2.81,1036084.0
2021-02-18,2.59,2.6099,2.48,2.6,499772.0
2021-02-17,2.56,2.62,2.5,2.57,361125.0
2021-02-16,2.58,2.61,2.54,2.59,307851.0
2021-02-12,2.61,2.61,2.555,2.57,324570.0
2021-02-11,2.61,2.65,2.51,2.56,514951.0
2021-02-10,2.6,2.65,2.47,2.58,1033534.0
2021-02-09,2.56,2.65,2.51,2.54,1193276.0
2021-02-08,2.43,2.6,2.42,2.59,740213.0
2021-02-05,2.45,2.465,2.37,2.42,297862.0
2021-02-04,2.41,2.45,2.39,2.43,324177.0
2021-02-03,2.29,2.42,2.28,2.42,432532.0
2021-02-02,2.42,2.4247,2.23,2.32,756912.0
2021-02-01,2.38,2.46,2.35,2.45,415313.0
2021-01-29,2.43,2.46,2.31,2.39,926989.0
2021-01-28,2.5,2.58,2.4,2.4,596123.0
2021-01-27,2.35,2.58,2.35,2.49,1269184.0
2021-01-26,2.4,2.46,2.36,2.43,435978.0
2021-01-25,2.46,2.53,2.335,2.38,580894.0
2021-01-22,2.5,2.5,2.37,2.5,259205.0
2021-01-21,2.6,2.6,2.42,2.5,728280.0
2021-01-20,2.48,2.6,2.47,2.6,664028.0
2021-01-19,2.55,2.59,2.42,2.48,493845.0
2021-01-15,2.35,2.55,2.31,2.53,854621.0
2021-01-14,2.19,2.4,2.19,2.38,799642.0
2021-01-13,2.42,2.4216,2.19,2.19,1847796.0
2021-01-12,2.48,2.54,2.42,2.43,379449.0
2021-01-11,2.4,2.57,2.39,2.47,504028.0
2021-01-08,2.51,2.51,2.38,2.44,468581.0
2021-01-07,2.57,2.62,2.47,2.51,1080976.0
2021-01-06,2.43,2.63,2.43,2.55,789186.0
2021-01-05,2.52,2.55,2.41,2.43,719522.0
2021-01-04,2.25,2.51,2.1495,2.49,1896236.0
2020-12-31,2.2,2.32,2.1763,2.26,960175.0
2020-12-30,2.2,2.25,2.18,2.2,654090.0
2020-12-29,2.26,2.267,2.07,2.19,758604.0
2020-12-28,2.01,2.27,2.01,2.2,1358946.0
2020-12-24,1.99,2.04,1.96,2.03,215292.0
2020-12-23,1.93,2.02,1.91,2.02,846245.0
2020-12-22,1.99,2.03,1.92,1.95,419104.0
2020-12-21,1.96,2.05,1.86,1.94,695805.0
2020-12-18,1.97,2.01,1.9,2.01,1013132.0
2020-12-17,1.92,1.99,1.81,1.97,1492234.0
2020-12-16,1.95,2.12,1.84,2.09,3825044.0
2020-12-15,1.64,1.76,1.62,1.76,1056704.0
2020-12-14,1.67,1.78,1.59,1.61,1964549.0
2020-12-11,1.53,1.66,1.52,1.66,2092335.0
2020-12-10,1.44,1.53,1.4126,1.52,1951384.0
2020-12-09,1.39,1.465,1.36,1.43,2908161.0
2020-12-08,1.34,1.36,1.31,1.33,1395210.0
2020-12-07,1.38,1.39,1.33,1.36,926557.0
2020-12-04,1.36,1.42,1.3343,1.38,1089763.0
2020-12-03,1.33,1.36,1.32,1.35,882499.0
2020-12-02,1.38,1.38,1.31,1.35,1431306.0
2020-12-01,1.38,1.4,1.28,1.38,16393539.0
2020-11-30,1.38,1.41,1.37,1.4,2248765.0
2020-11-27,1.51,1.59,1.35,1.36,3896898.0
2020-11-25,1.7,1.76,1.64,1.72,474880.0
2020-11-24,1.6,1.7,1.59,1.68,594059.0
2020-11-23,1.43,1.59,1.4129,1.58,582910.0
2020-11-20,1.43,1.49,1.41,1.42,242387.0
2020-11-19,1.36,1.48,1.36,1.47,329049.0
2020-11-18,1.44,1.48,1.43,1.45,246875.0
2020-11-17,1.41,1.48,1.41,1.45,297695.0
2020-11-16,1.37,1.45,1.36,1.44,260905.0
2020-11-13,1.39,1.39,1.34,1.37,208841.0
2020-11-12,1.4,1.42,1.34,1.37,255193.0
2020-11-11,1.44,1.47,1.4,1.4,338888.0
2020-11-10,1.36,1.43,1.36,1.43,416327.0
2020-11-09,1.36,1.4501,1.32,1.36,725666.0
2020-11-06,1.31,1.35,1.3,1.34,247468.0
2020-11-05,1.28,1.35,1.28,1.32,349393.0
2020-11-04,1.23,1.32,1.22,1.29,1080070.0
2020-11-03,1.23,1.26,1.2,1.25,330326.0
2020-11-02,1.18,1.23,1.18,1.2,307484.0
2020-10-30,1.18,1.2,1.12,1.17,598017.0
2020-10-29,1.24,1.24,1.18,1.19,522708.0
2020-10-28,1.25,1.29,1.2,1.23,545498.0
2020-10-27,1.27,1.32,1.23,1.28,676991.0
2020-10-26,1.22,1.26,1.21,1.24,209421.0
2020-10-23,1.24,1.27,1.215,1.25,198613.0
2020-10-22,1.25,1.26,1.2,1.23,259710.0
2020-10-21,1.23,1.27,1.23,1.23,252288.0
2020-10-20,1.27,1.2942,1.23,1.23,172923.0
2020-10-19,1.3,1.3,1.24,1.26,218843.0
2020-10-16,1.24,1.3,1.24,1.29,211405.0
2020-10-15,1.24,1.28,1.22,1.27,341713.0
2020-10-14,1.26,1.29,1.21,1.28,356285.0
2020-10-13,1.32,1.32,1.25,1.27,524467.0
2020-10-12,1.4,1.4244,1.255,1.3,956395.0
2020-10-09,1.46,1.47,1.39,1.4,576632.0
2020-10-08,1.47,1.49,1.44,1.47,267814.0
2020-10-07,1.47,1.49,1.43,1.46,271636.0
2020-10-06,1.44,1.49,1.4345,1.45,491269.0
2020-10-05,1.46,1.48,1.41,1.43,291567.0
2020-10-02,1.43,1.47,1.4,1.46,214904.0
2020-10-01,1.47,1.51,1.41,1.48,783473.0
2020-09-30,1.51,1.58,1.44,1.46,472801.0
2020-09-29,1.46,1.57,1.43,1.52,793167.0
2020-09-28,1.41,1.55,1.41,1.47,656186.0
2020-09-25,1.38,1.42,1.31,1.41,424703.0
2020-09-24,1.38,1.4399,1.33,1.35,766658.0
2020-09-23,1.33,1.3972,1.3,1.38,599938.0
2020-09-22,1.35,1.44,1.31,1.34,725795.0
2020-09-21,1.46,1.47,1.28,1.41,904569.0
2020-09-18,1.62,1.625,1.44,1.5,2064496.0
2020-09-17,1.38,1.68,1.3595,1.64,2147454.0
2020-09-16,1.42,1.4485,1.32,1.38,1342571.0
2020-09-15,1.25,1.48,1.22,1.37,4984656.0
2020-09-14,1.17,1.1882,1.11,1.17,382874.0
2020-09-11,1.14,1.16,1.12,1.14,219898.0
