date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,17.7603,17.7899,17.5601,17.65,7774.0
2021-03-16,17.72,17.79,17.6,17.78,14165.0
2021-03-15,17.71,17.9,17.56,17.82,26950.0
2021-03-12,17.75,17.79,17.65,17.79,19716.0
2021-03-11,17.75,17.75,17.7,17.75,16529.0
2021-03-10,17.67,17.7306,17.5,17.7267,11887.0
2021-03-09,17.66,17.6894,17.557,17.61,8386.0
2021-03-08,17.66,17.74,17.43,17.501,24066.0
2021-03-05,17.7,17.75,17.6273,17.67,22384.0
2021-03-04,17.69,17.75,17.52,17.5677,15963.0
2021-03-03,17.7,17.74,17.645,17.67,24535.0
2021-03-02,17.55,17.7,17.55,17.6999,16481.0
2021-03-01,17.44,17.65,17.44,17.56,11265.0
2021-02-26,17.33,17.5984,17.33,17.4,5691.0
2021-02-25,17.35,17.6,17.3,17.345,14553.0
2021-02-24,17.4,17.52,17.27,17.3999,20346.0
2021-02-23,17.4,17.6,17.11,17.41,36458.0
2021-02-22,17.53,17.9999,17.36,17.6,43208.0
2021-02-19,17.2219,17.35,17.2219,17.285,11188.0
2021-02-18,17.21,17.3,17.21,17.24,8090.0
2021-02-17,17.34,17.34,17.28,17.3,9571.0
2021-02-16,17.42,17.42,17.24,17.24,14187.0
2021-02-12,17.42,17.42,17.25,17.3,8268.0
2021-02-11,17.25,17.2999,17.08,17.245,12848.0
2021-02-10,17.2,17.2,17.04,17.19,8377.0
2021-02-09,17.27,17.32,17.195,17.2999,19634.0
2021-02-08,17.27,17.34,17.1,17.1999,26524.0
2021-02-05,17.0,17.162,16.9701,17.05,21984.0
2021-02-04,17.04,17.1733,16.9732,16.9996,9803.0
2021-02-03,17.0,17.0499,16.95,16.975,13302.0
2021-02-02,17.02,17.19,16.945,16.9835,6061.0
2021-02-01,17.03,17.22,16.8126,17.02,10735.0
2021-01-29,16.95,17.0,16.95,16.96,5374.0
2021-01-28,16.85,17.0,16.85,16.96,9691.0
2021-01-27,17.0,17.0,16.9,16.99,8446.0
2021-01-26,16.9999,17.01,16.94,16.94,10961.0
2021-01-25,17.0,17.0936,16.81,16.9271,7631.0
2021-01-22,17.06,17.06,16.9,16.955,7612.0
2021-01-21,16.9593,17.0546,16.79,17.0546,3879.0
2021-01-20,16.89,17.0,16.89,17.0,10407.0
2021-01-19,16.83,17.12,16.73,16.73,16538.0
2021-01-15,16.93,17.1326,16.92,16.9886,5230.0
2021-01-14,17.2,17.2,16.6336,16.84,4534.0
2021-01-13,16.95,17.19,16.9499,17.1098,3868.0
2021-01-12,16.99,16.99,16.6644,16.88,10861.0
2021-01-11,17.06,17.06,16.39,16.9289,15440.0
2021-01-08,17.24,17.24,16.8601,16.94,6533.0
2021-01-07,17.17,17.17,16.63,16.9,3774.0
2021-01-06,16.5601,17.45,16.5601,16.82,4203.0
2021-01-05,16.51,16.51,16.423,16.423,792.0
2021-01-04,16.65,16.65,16.2,16.3901,4041.0
2020-12-31,16.59,16.59,16.41,16.59,2061.0
2020-12-30,16.05,16.5999,16.05,16.5999,1956.0
2020-12-29,15.95,16.22,15.95,16.19,5443.0
2020-12-28,15.9,16.04,15.9,15.95,3420.0
2020-12-24,16.04,16.04,16.025,16.025,281.0
2020-12-23,15.95,15.99,15.9466,15.9466,870.0
2020-12-22,15.82,15.82,15.8,15.81,85286.0
2020-12-21,16.0499,16.0499,15.8,15.81,5789.0
2020-12-18,16.0,16.0,15.83,15.83,2389.0
2020-12-17,15.895,16.09,15.895,16.0,5649.0
2020-12-16,15.73,15.93,15.73,15.85,4033.0
2020-12-15,16.0,16.0016,15.835,15.95,39308.0
2020-12-14,16.14,16.3692,16.01,16.01,17093.0
2020-12-11,16.38,16.38,16.0691,16.1236,10487.0
2020-12-10,16.22,16.6999,16.22,16.58,2618.0
2020-12-09,16.7028,16.7028,15.58,16.5484,9122.0
2020-12-08,16.765,16.78,16.67,16.67,4901.0
2020-12-07,16.74,16.78,16.7362,16.7784,6411.0
2020-12-04,16.45,16.69,16.45,16.61,12591.0
2020-12-03,16.09,16.56,16.09,16.4441,11191.0
2020-12-02,15.88,16.28,15.75,16.0985,8145.0
2020-12-01,15.63,15.92,15.59,15.8175,8146.0
2020-11-30,15.57,15.75,15.4,15.6969,8698.0
2020-11-27,15.4904,15.4904,15.4904,15.4904,609.0
2020-11-25,15.34,15.57,15.34,15.57,4621.0
2020-11-24,15.15,15.33,15.08,15.33,14240.0
2020-11-23,15.23,15.245,15.0737,15.245,4844.0
2020-11-20,15.11,15.3,15.11,15.185,10348.0
2020-11-19,14.9525,15.21,14.9525,15.15,21193.0
2020-11-18,14.89,14.985,14.875,14.96,11482.0
2020-11-17,14.9,14.9,14.82,14.855,26973.0
2020-11-16,14.91,14.94,14.8,14.8201,15566.0
