date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,49.22,49.35,48.5,49.33,729923.0
2021-03-16,49.62,49.98,48.38,48.99,591040.0
2021-03-15,50.67,50.74,49.53,50.04,540989.0
2021-03-12,51.54,51.54,50.35,51.15,703362.0
2021-03-11,49.68,51.07,49.42,51.01,789657.0
2021-03-10,47.87,49.85,47.34,49.55,1513383.0
2021-03-09,48.73,48.73,47.215,47.81,1051180.0
2021-03-08,48.2,48.88,47.95,48.34,661303.0
2021-03-05,46.37,47.84,45.78,47.71,1043953.0
2021-03-04,46.11,46.47,44.47,45.26,608160.0
2021-03-03,46.4,47.05,46.0,46.05,547666.0
2021-03-02,46.4,47.0,45.945,46.23,579837.0
2021-03-01,45.87,47.29,45.51,46.53,590188.0
2021-02-26,45.37,45.525,44.2201,44.95,535696.0
2021-02-25,46.32,46.95,45.1,45.22,585489.0
2021-02-24,46.07,46.18,45.33,46.07,700956.0
2021-02-23,45.79,46.16,45.08,45.74,943346.0
2021-02-22,46.03,46.305,45.645,45.93,1013974.0
2021-02-19,46.1,46.42,45.52,46.37,917830.0
2021-02-18,46.77,47.07,45.1,45.68,1082368.0
2021-02-17,45.8,47.53,45.31,47.1,1822971.0
2021-02-16,42.57,45.66,42.085,45.1,2062637.0
2021-02-12,40.87,41.75,40.57,41.52,392844.0
2021-02-11,41.17,41.41,40.21,41.17,425362.0
2021-02-10,41.53,41.55,40.36,40.91,825980.0
2021-02-09,41.64,41.8,40.71,41.17,638756.0
2021-02-08,42.13,42.1782,41.29,41.72,549422.0
2021-02-05,42.14,42.29,41.37,41.85,914143.0
2021-02-04,39.47,41.88,39.38,41.81,793192.0
2021-02-03,39.7,39.93,38.78,39.42,449217.0
2021-02-02,39.51,40.86,39.21,40.03,719052.0
2021-02-01,38.26,39.06,37.29,38.89,807793.0
2021-01-29,38.27,38.32,37.31,37.86,1015186.0
2021-01-28,38.24,39.21,37.75,38.56,714410.0
2021-01-27,39.49,39.5331,37.55,37.78,1163496.0
2021-01-26,42.34,42.43,40.43,40.52,456564.0
2021-01-25,42.0,42.18,41.05,41.88,510644.0
2021-01-22,40.77,42.49,40.74,42.28,917196.0
2021-01-21,41.76,42.23,41.23,41.28,610115.0
2021-01-20,42.28,42.43,41.3,41.61,728281.0
2021-01-19,43.55,43.565,41.57,42.06,1344323.0
2021-01-15,44.28,44.295,42.88,42.92,1098053.0
2021-01-14,44.61,45.27,44.16,45.04,921488.0
2021-01-13,46.43,47.02,44.28,44.48,899322.0
2021-01-12,46.07,47.31,45.8,46.78,1286474.0
2021-01-11,43.72,49.08,43.67,45.74,2384121.0
2021-01-08,43.91,44.94,43.7,44.44,878008.0
2021-01-07,41.9,44.37,41.68,44.04,917797.0
2021-01-06,40.6,41.85,40.6,41.61,1418442.0
2021-01-05,38.76,40.0,38.455,39.83,629203.0
2021-01-04,39.88,40.31,38.43,38.72,641954.0
2020-12-31,39.61,39.775,39.27,39.49,350623.0
2020-12-30,38.95,40.02,38.95,39.47,445700.0
2020-12-29,39.65,39.71,38.4,38.9,575916.0
2020-12-28,39.67,40.15,39.35,39.58,586630.0
2020-12-24,39.09,39.26,38.75,39.23,270630.0
2020-12-23,38.57,39.39,38.55,38.88,730356.0
2020-12-22,38.59,38.72,37.9,38.24,526810.0
2020-12-21,36.77,38.6,36.63,38.43,1054683.0
2020-12-18,37.78,38.12,37.19,37.41,1771030.0
2020-12-17,37.76,37.86,37.29,37.71,625425.0
2020-12-16,38.44,38.715,37.42,37.66,774971.0
2020-12-15,37.82,38.44,37.33,38.32,1046212.0
