date,1. open,2. high,3. low,4. close,5. volume
2020-08-18,7.02,7.02,7.02,7.02,0.0
2020-08-17,6.81,7.02,6.718,7.02,12163.0
2020-08-14,6.85,7.2999,6.61,6.7124,31212.0
2020-08-13,6.53,6.85,6.53,6.63,11673.0
2020-08-12,6.79,6.89,6.5,6.66,14193.0
2020-08-11,6.88,6.88,6.51,6.58,17310.0
2020-08-10,7.15,7.3999,6.4651,6.57,25659.0
2020-08-07,7.23,7.23,7.03,7.15,13076.0
2020-08-06,6.83,7.23,6.69,6.94,18156.0
2020-08-05,6.54,6.93,6.54,6.85,15449.0
2020-08-04,7.01,7.01,6.57,6.69,21214.0
2020-08-03,6.81,7.1,6.81,7.0,16549.0
2020-07-31,7.72,8.49,6.6,6.75,47185.0
2020-07-30,7.59,7.75,7.16,7.75,41964.0
2020-07-29,7.9,8.09,7.6,7.93,70453.0
2020-07-28,9.33,10.035,7.7,8.15,173240.0
2020-07-27,6.12,9.25,5.83,9.25,1002256.0
2020-07-24,6.65,6.65,6.0,6.0971,22584.0
2020-07-23,6.87,6.87,6.0895,6.5899,19888.0
2020-07-22,6.4787,6.76,6.29,6.76,17325.0
2020-07-21,6.5,6.6865,5.85,6.535,26376.0
2020-07-20,7.25,7.31,6.4,6.78,60317.0
2020-07-17,6.37,7.2457,5.83,6.88,106335.0
2020-07-16,6.74,6.9899,5.8,6.0815,48929.0
2020-07-15,7.0,8.4,6.5001,7.072,59206.0
2020-07-14,6.75,6.82,6.51,6.785,3711.0
2020-07-13,7.11,7.11,6.18,6.75,8312.0
2020-07-10,7.07,7.07,6.5601,6.97,24041.0
2020-07-09,6.8,7.58,6.8,7.01,15275.0
2020-07-08,6.82,7.25,6.82,6.9801,9444.0
2020-07-07,6.89,7.7382,6.6,6.93,24351.0
2020-07-06,8.0,8.28,6.97,7.3586,23586.0
2020-07-02,7.96,8.51,7.56,7.56,13770.0
2020-07-01,7.45,8.28,7.45,8.1,5593.0
2020-06-30,9.03,9.16,7.63,7.7999,11371.0
2020-06-29,8.83,9.27,8.83,9.04,1741.0
