date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,26.84,26.9676,26.6,26.96,15101.0
2021-03-16,26.75,26.85,26.75,26.85,10266.0
2021-03-15,26.65,27.0099,26.65,26.85,21640.0
2021-03-12,26.61,26.68,26.35,26.58,237973.0
2021-03-11,26.44,26.71,26.4,26.71,19595.0
2021-03-10,26.49,26.53,26.42,26.53,18146.0
2021-03-09,26.39,26.5,26.28,26.5,14994.0
2021-03-08,26.33,26.36,26.24,26.36,10726.0
2021-03-05,26.24,26.45,26.18,26.4,18273.0
2021-03-04,26.22,26.32,26.06,26.1501,23569.0
2021-03-03,26.21,26.34,26.1,26.22,19287.0
2021-03-02,26.19,26.34,26.18,26.21,15037.0
2021-03-01,26.3,26.3,26.16,26.18,19650.0
2021-02-26,26.49,26.49,26.085,26.16,42879.0
2021-02-25,26.4,26.62,26.35,26.59,41463.0
2021-02-24,26.69,26.69,26.38,26.5,15972.0
2021-02-23,26.53,26.625,26.5,26.54,11509.0
2021-02-22,26.52,26.658,26.45,26.49,16107.0
2021-02-19,26.6,26.79,26.565,26.615,13393.0
2021-02-18,26.41,26.646,26.38,26.646,24648.0
2021-02-17,26.5,26.5,26.41,26.48,24073.0
2021-02-16,26.73,26.73,26.36,26.36,39978.0
2021-02-12,26.75,26.8097,26.34,26.72,14943.0
2021-02-11,26.98,26.98,26.7,26.8,18920.0
2021-02-10,26.98,26.98,26.7,26.93,19632.0
2021-02-09,26.89,26.98,26.8375,26.94,11687.0
2021-02-08,26.76,26.88,26.755,26.88,13811.0
2021-02-05,26.88,26.88,26.68,26.86,18993.0
2021-02-04,26.75,26.96,26.54,26.85,25570.0
2021-02-03,26.78,26.88,26.63,26.69,16663.0
2021-02-02,26.78,26.9494,26.73,26.83,15355.0
2021-02-01,26.94,26.94,26.73,26.76,24258.0
2021-01-29,27.16,27.22,26.7626,26.96,65556.0
2021-01-28,26.84,27.24,26.61,27.24,27037.0
2021-01-27,27.06,27.28,26.59,26.69,15453.0
2021-01-26,27.23,27.43,26.94,27.27,15567.0
2021-01-25,27.37,27.43,27.0432,27.0432,12792.0
2021-01-22,27.25,27.3911,27.12,27.27,6489.0
2021-01-21,27.43,27.46,27.12,27.12,15720.0
2021-01-20,27.43,27.44,27.3318,27.44,14978.0
2021-01-19,27.48,27.48,27.01,27.39,22313.0
2021-01-15,27.3,27.49,27.17,27.43,21228.0
2021-01-14,27.1,27.28,26.908,27.28,19811.0
2021-01-13,26.74,27.07,26.67,27.07,17760.0
2021-01-12,26.71,26.74,26.39,26.74,35122.0
2021-01-11,26.59,26.82,26.51,26.72,33239.0
2021-01-08,26.58,26.6499,26.3504,26.6,16565.0
2021-01-07,26.39,26.68,26.26,26.45,35840.0
2021-01-06,26.95,26.95,26.25,26.32,60768.0
2021-01-05,26.94,27.2399,26.9,27.02,16740.0
2021-01-04,27.5,27.5,26.92,27.09,27383.0
2020-12-31,27.84,27.91,27.5,27.5,230835.0
2020-12-30,27.99,28.06,27.75,27.84,26039.0
2020-12-29,28.0,28.1,27.68,28.06,39944.0
2020-12-28,28.09,28.12,27.72,28.01,28716.0
2020-12-24,27.91,28.16,27.76,28.12,16454.0
2020-12-23,27.79,27.92,27.48,27.87,18625.0
2020-12-22,27.65,28.0,27.4,27.65,36247.0
2020-12-21,27.57,27.81,27.5595,27.75,27700.0
2020-12-18,27.49,27.74,27.25,27.74,21629.0
2020-12-17,27.64,27.64,27.37,27.57,25632.0
2020-12-16,27.21,27.68,27.19,27.65,30031.0
2020-12-15,27.16,27.2,27.0,27.2,18958.0
2020-12-14,26.77,27.14,26.77,27.14,35449.0
2020-12-11,26.67,26.85,26.67,26.8,15713.0
2020-12-10,26.69,26.8,26.69,26.76,15613.0
2020-12-09,26.67,26.79,26.56,26.64,21048.0
2020-12-08,26.58,26.73,26.58,26.73,19820.0
2020-12-07,26.57,26.67,26.52,26.67,21674.0
