date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,28.16,28.16,27.92,28.15,7800.0
2021-03-16,28.02,28.22,28.02,28.13,22338.0
2021-03-15,28.21,28.22,27.95,28.08,15180.0
2021-03-12,28.03,28.164,27.69,28.15,18374.0
2021-03-11,28.19,28.28,28.111,28.15,33144.0
2021-03-10,28.09,28.16,27.85,28.09,21020.0
2021-03-09,28.14,28.14,27.8301,28.07,13376.0
2021-03-08,28.11,28.17,27.84,28.09,9298.0
2021-03-05,27.98,28.18,27.81,28.09,14526.0
2021-03-04,28.06,28.17,27.75,27.86,34908.0
2021-03-03,28.0,28.0877,27.8767,28.04,10638.0
2021-03-02,27.82,28.11,27.82,28.06,32334.0
2021-03-01,27.66,27.91,27.55,27.91,40667.0
2021-02-26,27.5,27.5,27.12,27.47,36451.0
2021-02-25,27.62,27.69,27.01,27.58,39372.0
2021-02-24,27.55,27.63,27.38,27.57,21215.0
2021-02-23,27.58,27.73,27.37,27.49,11438.0
2021-02-22,27.89,27.9,27.53,27.53,15303.0
2021-02-19,27.87,27.945,27.87,27.87,15702.0
2021-02-18,28.11,28.11,27.72,27.94,35345.0
2021-02-17,28.38,28.38,28.14,28.16,16292.0
2021-02-16,28.61,28.61,28.21,28.21,24744.0
2021-02-12,28.83,28.83,28.31,28.51,15811.0
2021-02-11,28.97,28.97,28.75,28.88,15350.0
2021-02-10,29.0,29.0,28.78,28.98,26802.0
2021-02-09,28.94,29.0,28.8696,29.0,11775.0
2021-02-08,28.81,28.87,28.66,28.87,16451.0
2021-02-05,28.74,29.095,28.73,28.86,13864.0
2021-02-04,28.64,28.88,28.44,28.87,17684.0
2021-02-03,28.62,28.84,28.44,28.55,8680.0
2021-02-02,28.53,28.82,28.53,28.72,11149.0
2021-02-01,28.56,28.62,28.38,28.4215,7892.0
2021-01-29,28.71,28.74,28.29,28.48,53262.0
2021-01-28,28.78,28.86,28.29,28.83,14027.0
2021-01-27,28.66,28.88,28.24,28.47,9556.0
2021-01-26,28.75,28.98,28.53,28.83,13780.0
2021-01-25,29.07,29.07,28.73,28.83,9095.0
2021-01-22,28.73,28.97,28.42,28.935,16812.0
2021-01-21,28.9,28.9617,28.507,28.62,11583.0
2021-01-20,29.0,29.1,28.95,28.95,23597.0
2021-01-19,28.5,29.1,28.48,29.0,16854.0
2021-01-15,28.6,28.77,28.515,28.557,10267.0
2021-01-14,28.47,28.6292,28.31,28.61,22456.0
2021-01-13,28.08,28.47,28.0,28.31,41011.0
2021-01-12,28.23,28.23,27.83,27.95,53916.0
2021-01-11,28.19,28.26,28.09,28.11,25167.0
2021-01-08,28.23,28.24,28.16,28.24,24834.0
2021-01-07,28.33,28.42,28.01,28.09,28241.0
2021-01-06,28.77,28.77,27.96,28.37,25977.0
2021-01-05,28.48,28.86,28.48,28.86,11838.0
2021-01-04,28.99,28.99,28.4,28.4,15351.0
2020-12-31,28.94,28.98,28.8,28.92,84829.0
2020-12-30,28.87,28.9354,28.6977,28.88,16606.0
2020-12-29,28.87,28.9,28.75,28.8,16306.0
2020-12-28,28.92,28.9393,28.59,28.75,43837.0
2020-12-24,28.64,28.89,28.61,28.89,24919.0
2020-12-23,28.75,28.77,28.64,28.65,22155.0
2020-12-22,28.76,28.78,28.5297,28.64,35710.0
2020-12-21,28.72,28.77,28.68,28.69,23914.0
2020-12-18,28.75,28.8,28.63,28.8,13630.0
2020-12-17,28.78,28.78,28.42,28.7,34211.0
2020-12-16,28.66,28.695,28.6022,28.64,273113.0
2020-12-15,28.78,28.7899,28.57,28.61,18623.0
2020-12-14,28.68,28.7395,28.62,28.66,19118.0
2020-12-11,28.64,28.67,28.5,28.59,20012.0
2020-12-10,28.65,28.785,28.585,28.585,12438.0
2020-12-09,28.77,28.77,28.62,28.63,12847.0
2020-12-08,28.6,28.765,28.6,28.75,16844.0
2020-12-07,28.68,28.68,28.4085,28.54,10493.0
2020-12-04,28.55,28.55,28.45,28.5,11064.0
2020-12-03,28.57,28.57,28.4,28.4,13203.0
2020-12-02,28.35,28.5667,28.26,28.4,18425.0
2020-12-01,28.47,28.47,28.22,28.265,6960.0
2020-11-30,28.65,28.71,28.13,28.22,38799.0
2020-11-27,28.7,28.94,28.69,28.89,9147.0
2020-11-25,28.63,28.65,28.4598,28.55,12330.0
2020-11-24,28.84,29.0,28.44,28.5,22178.0
2020-11-23,28.88,28.915,28.67,28.71,15992.0
2020-11-20,28.82,28.95,28.64,28.72,34207.0
2020-11-19,28.66,28.82,28.6,28.73,16850.0
2020-11-18,28.62,28.89,28.445,28.445,15230.0
2020-11-17,28.67,28.93,28.445,28.75,17625.0
2020-11-16,28.43,28.65,28.2,28.65,80406.0
2020-11-13,28.37,28.45,28.15,28.43,12791.0
2020-11-12,28.45,28.45,28.15,28.27,10658.0
2020-11-11,28.72,28.72,28.31,28.31,22320.0
2020-11-10,28.89,28.89,28.11,28.47,22043.0
2020-11-09,28.69,29.16,28.0,28.81,25791.0
2020-11-06,28.36,28.36,28.0,28.09,7134.0
2020-11-05,28.22,28.3599,28.03,28.2,10624.0
2020-11-04,27.79,28.25,27.53,28.19,15791.0
2020-11-03,27.83,28.15,27.15,27.51,18017.0
2020-11-02,27.31,27.96,27.31,27.64,8553.0
2020-10-30,27.19,27.22,27.06,27.22,57127.0
2020-10-29,27.46,27.545,27.11,27.11,9584.0
2020-10-28,27.88,28.1359,27.1139,27.27,27986.0
2020-10-27,28.21,28.2276,27.67,28.13,14409.0
2020-10-26,28.32,28.32,27.8901,28.1,20449.0
2020-10-23,28.0,28.43,27.8026,28.36,10779.0
2020-10-22,27.97,28.0,27.6479,28.0,6054.0
2020-10-21,27.92,28.07,27.61,27.84,23792.0
2020-10-20,27.54,28.17,27.4569,28.17,19322.0
2020-10-19,27.75,27.75,27.41,27.49,17894.0
2020-10-16,27.49,27.73,27.405,27.73,10583.0
2020-10-15,27.47,27.54,27.25,27.53,37139.0
2020-10-14,27.59,27.6337,27.4427,27.54,11889.0
2020-10-13,27.83,28.0,27.41,27.58,42268.0
2020-10-12,28.5,28.5,27.65,27.77,29301.0
2020-10-09,28.4,28.67,28.2091,28.5,10517.0
2020-10-08,28.45,28.7399,28.25,28.39,11790.0
2020-10-07,28.29,28.5,27.46,28.31,36060.0
2020-10-06,28.19,28.29,28.05,28.23,28735.0
2020-10-05,27.94,28.1,27.8441,27.96,23792.0
2020-10-02,27.71,27.99,27.71,27.94,13834.0
2020-10-01,27.45,28.0,27.45,27.97,25521.0
2020-09-30,27.84,27.93,27.1,27.4,68649.0
2020-09-29,28.15,28.15,27.4815,27.83,19819.0
2020-09-28,28.09,28.28,27.69,27.99,27913.0
2020-09-25,27.1,27.95,27.1,27.95,16705.0
2020-09-24,27.22,27.34,26.94,27.05,22901.0
2020-09-23,27.72,27.72,26.98,27.2556,20139.0
2020-09-22,27.51,27.79,27.5,27.79,25817.0
2020-09-21,27.54,27.645,27.2,27.49,13651.0
2020-09-18,27.79,27.79,27.5001,27.64,18238.0
2020-09-17,27.71,27.78,27.482,27.67,5110.0
2020-09-16,28.2,28.25,27.78,27.78,20054.0
2020-09-15,28.11,28.3,27.83,28.0,11044.0
2020-09-14,27.73,28.39,27.73,28.0,17103.0
2020-09-11,27.85,27.85,27.5601,27.74,7834.0
2020-09-10,27.8,28.0398,27.67,27.86,15112.0
2020-09-09,27.13,27.79,27.13,27.79,8159.0
2020-09-08,27.45,27.45,27.01,27.18,13138.0
2020-09-04,27.82,27.84,27.2,27.45,21062.0
2020-09-03,27.85,27.85,27.59,27.72,19306.0
2020-09-02,27.74,27.8793,27.52,27.76,16833.0
2020-09-01,27.47,27.66,27.3842,27.66,22873.0
2020-08-31,27.49,27.49,27.34,27.34,27984.0
2020-08-28,27.94,27.94,27.51,27.51,12141.0
2020-08-27,28.0,28.09,27.79,27.86,18855.0
2020-08-26,27.88,28.13,27.75,28.05,27406.0
2020-08-25,27.9,27.9,27.63,27.7,19783.0
2020-08-24,27.44,27.89,27.4,27.89,19383.0
2020-08-21,27.37,27.395,27.18,27.342,17889.0
2020-08-20,27.13,27.346,27.1,27.25,14625.0
2020-08-19,27.14,27.43,27.14,27.2,18657.0
2020-08-18,27.0,27.45,26.99,27.06,36767.0
2020-08-17,27.13,27.21,27.0,27.0,17423.0
2020-08-14,27.15,27.2,26.96,27.01,20661.0
2020-08-13,27.04,27.1399,26.94,27.0,25289.0
2020-08-12,27.0,27.13,26.98,27.02,20515.0
2020-08-11,26.99,27.45,26.76,26.96,28032.0
2020-08-10,26.61,26.99,26.5663,26.98,35983.0
2020-08-07,26.62,27.0,26.455,26.56,36358.0
2020-08-06,27.3,27.3,26.26,26.42,58739.0
2020-08-05,27.42,27.45,27.1318,27.34,37644.0
2020-08-04,27.54,27.54,27.2228,27.49,6020.0
2020-08-03,27.5,27.55,27.345,27.54,11297.0
2020-07-31,27.22,27.43,27.155,27.4,25490.0
2020-07-30,27.06,27.35,26.8755,27.15,57731.0
2020-07-29,26.2,27.19,26.16,27.19,38514.0
2020-07-28,26.37,26.37,26.0301,26.18,10933.0
2020-07-27,26.07,26.45,25.9501,26.43,23289.0
2020-07-24,25.86,25.95,25.85,25.9201,43374.0
2020-07-23,25.86,25.9,25.78,25.84,19740.0
2020-07-22,25.7,25.76,25.57,25.69,26410.0
2020-07-21,25.64,25.74,25.584,25.73,24093.0
2020-07-20,25.35,25.55,25.275,25.55,54255.0
2020-07-17,25.4,25.4,25.31,25.35,31176.0
2020-07-16,25.2,25.43,25.1,25.33,98191.0
2020-07-15,24.73,25.29,24.73,25.25,134667.0
2020-07-14,24.54,24.71,24.5,24.71,27395.0
2020-07-13,24.69,24.73,24.56,24.56,33839.0
2020-07-10,24.45,24.6,24.42,24.57,23538.0
2020-07-09,24.38,24.45,24.29,24.39,31987.0
2020-07-08,24.52,24.54,24.35,24.38,34040.0
2020-07-07,24.53,24.541,24.44,24.44,34281.0
2020-07-06,24.63,24.745,24.37,24.54,52182.0
2020-07-02,24.54,24.65,24.37,24.49,43159.0
2020-07-01,24.37,24.46,24.3,24.41,29030.0
2020-06-30,24.51,24.59,24.2,24.29,152814.0
2020-06-29,24.5,24.51,24.3,24.44,17849.0
2020-06-26,24.56,24.62,24.2,24.52,40579.0
2020-06-25,24.62,24.656,24.49,24.49,35793.0
2020-06-24,24.66,24.68,24.55,24.56,26311.0
2020-06-23,24.73,24.81,24.63,24.66,21740.0
2020-06-22,25.05,25.05,24.61,24.63,39444.0
2020-06-19,25.05,25.06,24.96,25.02,24979.0
2020-06-18,25.06,25.06,24.9,25.02,17908.0
2020-06-17,25.08,25.138,24.96,24.98,27552.0
2020-06-16,24.99,25.13,24.8,25.1,22309.0
2020-06-15,24.86,24.9,24.54,24.55,33039.0
2020-06-12,24.96,25.282,24.9,24.91,72472.0
2020-06-11,25.2,25.284,24.41,24.78,46347.0
