date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,26.46,26.477,26.455,26.477,820.0
2021-03-16,26.36,26.4658,26.36,26.4658,3439.0
2021-03-15,26.39,26.4,26.39,26.4,588.0
2021-03-12,26.23,26.39,26.23,26.39,500.0
2021-03-11,26.29,26.3654,26.29,26.3,1735.0
2021-03-10,26.4099,26.5,26.22,26.31,5858.0
2021-03-09,26.57,26.64,26.39,26.41,3217.0
2021-03-08,26.43,26.5675,26.43,26.5675,1184.0
2021-03-05,26.42,26.42,26.42,26.42,0.0
2021-03-04,26.5,26.5,26.41,26.42,1609.0
2021-03-03,26.4313,26.4313,26.39,26.4268,2135.0
2021-03-02,26.38,26.38,26.38,26.38,0.0
2021-03-01,26.405,26.415,26.38,26.38,788.0
2021-02-26,26.38,26.465,26.38,26.465,1100.0
2021-02-25,26.54,26.54,26.4,26.4,734.0
2021-02-24,26.43,26.461,26.43,26.461,787.0
2021-02-23,26.435,26.435,26.435,26.435,59.0
2021-02-22,26.52,26.54,26.435,26.435,4156.0
2021-02-19,26.44,26.59,26.4237,26.44,1460.0
2021-02-18,26.34,26.44,26.34,26.44,2164.0
2021-02-17,26.16,26.36,26.16,26.36,2964.0
2021-02-16,26.06,26.12,25.93,26.12,9349.0
2021-02-12,26.22,26.265,26.01,26.23,6895.0
2021-02-11,26.29,26.68,26.18,26.28,16539.0
2021-02-10,26.55,26.58,26.49,26.535,3436.0
2021-02-09,26.54,26.58,26.54,26.58,1075.0
2021-02-08,26.48,26.54,26.48,26.54,3157.0
2021-02-05,26.48,26.48,26.4742,26.4742,2563.0
2021-02-04,26.41,26.41,26.4,26.4,552.0
2021-02-03,26.45,26.4606,26.33,26.39,5354.0
2021-02-02,26.48,26.5267,26.38,26.45,5813.0
2021-02-01,26.47,26.48,26.4,26.445,4690.0
2021-01-29,26.4108,26.4469,26.4108,26.4469,383.0
2021-01-28,26.4,26.53,26.4,26.53,1272.0
2021-01-27,26.34,26.435,26.3,26.3,5855.0
2021-01-26,26.44,26.465,26.33,26.33,6305.0
2021-01-25,26.4,26.4899,26.36,26.424,15464.0
2021-01-22,26.32,26.32,26.32,26.32,100.0
