date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,9.24,9.24,9.16,9.2,16403.0
2021-03-17,9.21,9.27,9.17,9.23,12834.0
2021-03-16,9.22,9.2411,9.22,9.23,9525.0
2021-03-15,9.18,9.259,9.18,9.2,61765.0
2021-03-12,9.22,9.225,9.16,9.16,28113.0
2021-03-11,9.24,9.2749,9.24,9.26,8801.0
2021-03-10,9.18,9.24,9.15,9.23,19332.0
2021-03-09,9.17,9.18,9.1343,9.1763,28898.0
2021-03-08,9.17,9.17,9.1,9.17,30473.0
2021-03-05,9.13,9.14,9.11,9.12,14696.0
2021-03-04,9.14,9.16,9.12,9.1472,6971.0
2021-03-03,9.12,9.155,9.11,9.12,8954.0
2021-03-02,9.12,9.175,9.12,9.14,10615.0
2021-03-01,9.16,9.19,9.11,9.11,15637.0
2021-02-26,9.06,9.1599,9.06,9.1,17454.0
2021-02-25,9.2,9.2,8.982,9.08,22714.0
2021-02-24,9.15,9.2,9.12,9.2,13242.0
2021-02-23,9.24,9.24,9.08,9.2,25064.0
2021-02-22,9.34,9.38,9.25,9.25,15547.0
2021-02-19,9.45,9.45,9.36,9.37,127600.0
2021-02-18,9.37,9.46,9.35,9.4,2476.0
2021-02-17,9.51,9.51,9.41,9.41,40280.0
2021-02-16,9.45,9.49,9.44,9.49,23014.0
2021-02-12,9.46,9.49,9.46,9.49,10906.0
2021-02-11,9.515,9.515,9.47,9.49,26266.0
2021-02-10,9.64,9.64,9.485,9.49,15561.0
2021-02-09,9.4,9.61,9.4,9.5,23966.0
2021-02-08,9.38,9.43,9.38,9.42,15440.0
2021-02-05,9.33,9.41,9.33,9.39,24810.0
2021-02-04,9.38,9.38,9.33,9.38,29125.0
2021-02-03,9.37,9.38,9.37,9.38,4323.0
2021-02-02,9.34,9.4,9.32,9.39,67381.0
2021-02-01,9.35,9.35,9.25,9.32,11675.0
2021-01-29,9.35,9.35,9.24,9.29,5913.0
2021-01-28,9.27,9.33,9.24,9.31,34363.0
2021-01-27,9.18,9.26,9.17,9.24,21621.0
2021-01-26,9.22,9.2335,9.17,9.19,26425.0
2021-01-25,9.19,9.2286,9.16,9.19,32218.0
2021-01-22,9.31,9.31,9.15,9.2,53113.0
2021-01-21,9.16,9.26,9.11,9.17,49307.0
2021-01-20,9.19,9.22,9.12,9.18,71930.0
2021-01-19,9.14,9.19,9.11,9.14,23617.0
2021-01-15,9.2,9.23,9.12,9.12,49321.0
2021-01-14,9.15,9.19,9.13,9.15,30151.0
2021-01-13,9.17,9.19,9.14,9.14,21157.0
2021-01-12,9.15,9.17,9.13,9.15,54577.0
2021-01-11,9.17,9.2,9.15,9.16,23012.0
2021-01-08,9.19,9.19,9.13,9.17,15739.0
2021-01-07,9.18,9.205,9.15,9.19,22343.0
2021-01-06,9.1732,9.2,9.15,9.16,10924.0
2021-01-05,9.15,9.3,9.14,9.2,28689.0
2021-01-04,9.19,9.21,9.15,9.15,30049.0
2020-12-31,9.19,9.25,9.17,9.2,26659.0
2020-12-30,9.16,9.18,9.12,9.1798,31653.0
2020-12-29,9.12,9.17,9.12,9.15,24847.0
2020-12-28,9.15,9.1775,9.13,9.16,24491.0
2020-12-24,9.15,9.15,9.11,9.11,4189.0
2020-12-23,9.18,9.1954,9.12,9.12,202224.0
2020-12-22,9.2,9.25,9.18,9.18,12544.0
2020-12-21,9.26,9.27,9.2,9.21,21707.0
2020-12-18,9.24,9.2479,9.21,9.23,7923.0
