date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,24.85,24.89,24.5,24.77,17836.0
2021-03-16,25.0,25.01,24.59,24.74,12243.0
2021-03-15,24.99,25.07,24.77,25.0,15590.0
2021-03-12,24.35,24.5,24.18,24.5,20818.0
2021-03-11,24.5,24.78,24.35,24.57,24003.0
2021-03-10,24.07,24.4,23.48,24.4,94682.0
2021-03-09,24.3,24.39,24.18,24.29,16933.0
2021-03-08,24.96,24.97,24.68,24.68,14321.0
2021-03-05,24.85,25.1488,24.77,24.98,27039.0
2021-03-04,24.0,24.21,23.74,23.98,50794.0
2021-03-03,24.09,24.09,23.77,23.91,34519.0
2021-03-02,23.8,23.8389,23.33,23.42,25592.0
2021-03-01,24.4,24.48,24.1317,24.28,48885.0
2021-02-26,24.4,24.4,24.04,24.06,23303.0
2021-02-25,25.36,25.57,24.68,24.71,40776.0
2021-02-24,25.0,25.18,24.81,25.16,19685.0
2021-02-23,25.38,25.58,25.06,25.5,38515.0
2021-02-22,25.25,25.39,25.2,25.21,39535.0
2021-02-19,24.59,24.66,24.4123,24.53,16380.0
2021-02-18,24.37,24.4296,24.1931,24.34,11464.0
2021-02-17,24.51,24.75,24.48,24.72,45273.0
2021-02-16,24.13,24.2899,23.84,23.9,37818.0
2021-02-12,23.33,23.61,23.33,23.33,19257.0
2021-02-11,23.42,23.49,23.28,23.28,8493.0
2021-02-10,23.55,23.55,23.23,23.42,14458.0
2021-02-09,23.61,23.7,23.54,23.54,24360.0
2021-02-08,23.21,23.42,23.16,23.42,46339.0
2021-02-05,23.44,24.13,23.19,24.13,50116.0
2021-02-04,24.31,24.34,24.13,24.22,66174.0
2021-02-03,23.35,23.419,23.24,23.26,29493.0
2021-02-02,23.01,23.09,22.93,23.03,29109.0
2021-02-01,22.25,22.44,22.22,22.44,22102.0
2021-01-29,22.41,22.41,21.8809,21.92,21610.0
2021-01-28,22.55,22.87,22.55,22.67,21427.0
2021-01-27,22.04,22.34,21.9,22.34,21929.0
2021-01-26,22.22,22.28,22.08,22.24,39818.0
2021-01-25,22.78,22.78,22.31,22.5,37541.0
2021-01-22,23.02,23.05,22.6577,22.88,34502.0
2021-01-21,24.0,24.025,23.75,23.92,21774.0
2021-01-20,23.43,24.05,23.43,23.89,43233.0
2021-01-19,23.22,23.69,23.12,23.41,40016.0
2021-01-15,22.91,22.97,22.67,22.67,31173.0
2021-01-14,23.16,23.3303,23.14,23.19,26527.0
2021-01-13,22.96,22.9962,22.78,22.8,18807.0
2021-01-12,22.94,23.0,22.79,22.79,20819.0
2021-01-11,22.82,22.96,22.7,22.7,22909.0
2021-01-08,22.93,23.205,22.76,22.88,21294.0
2021-01-07,22.75,22.75,22.49,22.65,28614.0
2021-01-06,22.74,23.0,22.69,22.69,37046.0
2021-01-05,22.19,22.5,22.19,22.5,42474.0
2021-01-04,21.23,21.58,21.23,21.31,57743.0
2020-12-31,21.01,21.07,20.58,20.58,193818.0
2020-12-30,20.58,20.89,20.58,20.8,56004.0
2020-12-29,20.76,20.88,20.62,20.62,30291.0
2020-12-28,20.63,20.85,20.5,20.81,65086.0
2020-12-24,20.75,20.75,20.28,20.36,52112.0
2020-12-23,20.68,20.7774,20.66,20.75,27616.0
2020-12-22,20.98,20.98,20.61,20.71,35713.0
2020-12-21,21.31,21.31,21.03,21.04,19529.0
2020-12-18,21.5,21.78,21.5,21.53,42776.0
2020-12-17,20.68,20.74,20.62,20.74,19469.0
2020-12-16,20.68,20.8,20.5,20.5,39921.0
2020-12-15,20.49,20.6,20.48,20.6,21873.0
2020-12-14,20.8,20.99,20.71,20.74,23989.0
2020-12-11,20.74,20.8,20.7,20.76,26268.0
2020-12-10,20.45,20.75,20.41,20.67,24525.0
2020-12-09,20.7,20.7,20.33,20.49,49005.0
2020-12-08,21.25,21.25,20.94,20.95,41455.0
2020-12-07,21.94,21.94,21.76,21.82,17311.0
2020-12-04,22.14,22.24,21.89,21.98,55502.0
2020-12-03,22.41,22.44,22.25,22.29,24868.0
2020-12-02,22.3,22.44,22.1871,22.41,76726.0
2020-12-01,22.59,23.0,22.59,22.85,76657.0
2020-11-30,21.82,22.19,21.78,21.9,74501.0
2020-11-27,21.5,21.54,21.31,21.45,48922.0
2020-11-25,21.85,21.9198,21.54,21.71,60827.0
2020-11-24,21.61,21.96,21.5013,21.96,49531.0
2020-11-23,21.9,22.13,21.88,22.0,84849.0
2020-11-20,20.65,20.76,20.56,20.61,29962.0
2020-11-19,20.69,20.97,20.61,20.8,35385.0
2020-11-18,20.58,20.71,20.46,20.71,47394.0
2020-11-17,20.6,20.82,20.54,20.82,27692.0
2020-11-16,20.77,20.92,20.5,20.92,50247.0
2020-11-13,20.73,20.73,20.3467,20.7,26778.0
2020-11-12,20.92,20.99,20.57,20.81,32342.0
2020-11-11,21.3,21.64,21.3,21.64,39167.0
2020-11-10,20.62,20.97,20.62,20.95,61301.0
2020-11-09,20.57,20.57,20.0,20.24,76887.0
2020-11-06,19.78,19.9637,19.74,19.94,17882.0
2020-11-05,19.74,19.82,19.57,19.82,38951.0
2020-11-04,19.57,20.07,19.57,19.94,47063.0
2020-11-03,19.33,19.5,19.302,19.5,19878.0
2020-11-02,18.96,19.2,18.88,19.09,13762.0
2020-10-30,18.76,18.84,18.46,18.61,33139.0
2020-10-29,18.52,19.49,18.52,19.33,56640.0
2020-10-28,18.6,18.8,18.39,18.8,32169.0
2020-10-27,19.26,19.26,19.04,19.19,19980.0
2020-10-26,19.58,19.71,19.43,19.71,25456.0
2020-10-23,19.67,19.77,19.64,19.77,14894.0
2020-10-22,19.17,19.75,19.05,19.53,34027.0
2020-10-21,19.1,19.17,18.93,19.17,17944.0
2020-10-20,18.94,19.24,18.8101,19.24,29023.0
2020-10-19,19.1,19.14,18.86,19.08,25841.0
2020-10-16,19.33,19.33,19.04,19.29,19726.0
2020-10-15,19.1,19.48,18.98,19.48,18246.0
2020-10-14,19.67,19.67,19.3,19.33,17814.0
2020-10-13,19.89,19.99,19.72,19.99,28303.0
2020-10-12,19.82,20.0,19.62,20.0,24112.0
2020-10-09,19.01,19.17,18.77,19.11,35561.0
2020-10-08,18.98,18.99,18.71,18.99,33118.0
2020-10-07,18.88,18.9,18.65,18.9,32094.0
2020-10-06,18.5,18.97,18.5,18.77,70544.0
2020-10-05,18.36,18.42,18.31,18.37,29207.0
2020-10-02,18.32,18.54,18.31,18.31,29223.0
2020-10-01,18.44,18.53,18.29,18.53,36461.0
2020-09-30,18.18,18.4196,18.18,18.36,62334.0
2020-09-29,17.89,18.09,17.8583,18.01,45758.0
2020-09-28,17.62,17.9,17.62,17.77,47945.0
2020-09-25,17.07,17.27,17.03,17.27,33435.0
2020-09-24,17.59,17.59,17.27,17.33,92737.0
2020-09-23,18.14,18.16,17.88,17.98,53788.0
2020-09-22,18.73,18.73,18.26,18.33,56152.0
2020-09-21,18.87,18.88,18.6429,18.84,23164.0
2020-09-18,19.03,19.28,18.87,18.98,34308.0
2020-09-17,18.75,19.05,18.73,18.92,85368.0
2020-09-16,18.64,18.6792,18.47,18.59,65398.0
2020-09-15,19.01,19.05,18.61,18.76,109209.0
2020-09-14,19.7,19.7,19.43,19.48,31312.0
2020-09-11,19.81,19.87,19.71,19.81,33271.0
2020-09-10,20.1,20.18,19.81,19.85,40279.0
2020-09-09,20.28,20.36,20.2,20.2,16344.0
2020-09-08,20.0,20.26,19.94,20.26,54378.0
2020-09-04,20.2,20.2,19.77,20.03,34282.0
2020-09-03,20.4,20.4,19.88,20.07,68894.0
2020-09-02,20.7,20.7,20.51,20.53,24412.0
2020-09-01,20.45,20.59,20.3,20.59,57925.0
2020-08-31,20.95,20.95,20.5,20.54,54810.0
2020-08-28,21.35,21.35,21.11,21.3,30931.0
2020-08-27,21.69,21.69,21.13,21.36,49248.0
2020-08-26,22.53,22.53,22.14,22.23,33190.0
2020-08-25,22.55,22.68,22.45,22.6,25608.0
2020-08-24,22.63,22.63,22.48,22.58,28098.0
2020-08-21,22.38,22.47,22.26,22.41,22852.0
2020-08-20,22.43,22.52,22.31,22.32,45704.0
2020-08-19,22.62,22.74,22.53,22.53,25118.0
2020-08-18,22.94,22.94,22.62,22.65,21590.0
2020-08-17,22.95,23.28,22.95,23.15,53723.0
