date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,13.33,13.58,13.1,13.45,4434934.0
2021-03-16,14.2,14.2,13.5701,13.75,2145589.0
2021-03-15,14.2,14.42,13.98,14.22,2263409.0
2021-03-12,13.9,14.26,13.8518,14.24,1817182.0
2021-03-11,13.9,14.01,13.645,13.92,1604347.0
2021-03-10,13.49,14.03,13.35,13.87,1734611.0
2021-03-09,13.51,13.63,12.95,13.42,2532964.0
2021-03-08,13.35,13.59,13.07,13.49,4131282.0
2021-03-05,13.2,13.32,12.55,13.25,4812136.0
2021-03-04,13.09,13.36,12.615,13.04,3771269.0
2021-03-03,12.91,13.205,12.885,12.89,9966318.0
2021-03-02,12.99,13.08,12.635,12.79,11090081.0
2021-03-01,13.62,13.81,13.475,13.56,1287669.0
2021-02-26,13.5,13.72,13.21,13.34,1876026.0
2021-02-25,13.87,14.08,13.4,13.45,1691326.0
2021-02-24,13.46,13.83,13.32,13.73,2027285.0
2021-02-23,13.23,13.44,12.98,13.32,1812460.0
2021-02-22,12.85,13.13,12.67,13.07,3049494.0
2021-02-19,12.5,12.895,12.485,12.87,1602608.0
2021-02-18,12.48,12.86,12.05,12.57,3466834.0
2021-02-17,12.12,12.53,12.03,12.53,1597252.0
2021-02-16,12.42,12.52,12.1,12.24,1501044.0
2021-02-12,12.16,12.37,12.06,12.32,3203966.0
2021-02-11,12.16,12.52,11.99,12.21,2646958.0
2021-02-10,12.0,12.345,11.93,12.07,883959.0
2021-02-09,11.89,12.0,11.69,11.99,667933.0
2021-02-08,11.64,11.92,11.49,11.83,573563.0
2021-02-05,11.62,11.64,11.45,11.59,527399.0
2021-02-04,11.32,11.57,11.22,11.48,762977.0
2021-02-03,11.14,11.31,10.96,11.31,641651.0
2021-02-02,11.26,11.34,11.01,11.24,980560.0
2021-02-01,11.15,11.18,10.76,11.16,1212772.0
2021-01-29,11.48,11.53,10.865,11.09,2240399.0
2021-01-28,11.9,12.03,11.53,11.6,2096947.0
2021-01-27,11.6,12.08,11.6,11.73,1529540.0
2021-01-26,11.68,11.92,11.62,11.89,1246537.0
2021-01-25,11.16,11.95,11.16,11.53,1041597.0
2021-01-22,10.88,11.37,10.77,11.37,1010034.0
2021-01-21,11.38,11.39,10.89,11.08,1149774.0
2021-01-20,11.38,11.76,11.37,11.48,959339.0
2021-01-19,11.54,11.56,11.2,11.4,1130602.0
2021-01-15,10.99,11.53,10.89,11.44,1728450.0
2021-01-14,10.92,11.3,10.75,11.19,1432178.0
2021-01-13,10.42,10.66,10.4,10.65,1728468.0
2021-01-12,10.14,10.47,10.05,10.45,977753.0
2021-01-11,10.24,10.375,10.05,10.14,1125347.0
2021-01-08,10.2,10.36,10.08,10.29,1737167.0
2021-01-07,10.37,10.37,10.1,10.22,995475.0
2021-01-06,9.97,10.515,9.97,10.39,2512265.0
2021-01-05,9.7,9.91,9.69,9.79,1141103.0
2021-01-04,10.2,10.26,9.585,9.72,1807246.0
2020-12-31,10.05,10.165,9.925,10.12,1018751.0
2020-12-30,10.02,10.36,10.02,10.12,1038025.0
2020-12-29,10.33,10.39,9.975,10.01,831338.0
2020-12-28,10.3,10.41,10.19,10.27,1101649.0
2020-12-24,10.25,10.29,10.04,10.23,369199.0
2020-12-23,10.23,10.42,10.14,10.19,1679688.0
2020-12-22,10.2,10.22,9.915,10.14,1175992.0
2020-12-21,9.92,10.245,9.731,10.16,1746411.0
2020-12-18,10.4,10.445,10.04,10.18,3134480.0
2020-12-17,10.51,10.58,10.29,10.47,1554818.0
2020-12-16,10.68,10.7,10.3418,10.44,1640115.0
2020-12-15,10.2,10.61,10.115,10.6,1527249.0
2020-12-14,10.52,10.57,10.09,10.1,2935204.0
2020-12-11,10.15,10.33,10.07,10.29,1185423.0
2020-12-10,10.5,10.59,10.29,10.32,3111703.0
2020-12-09,10.24,10.555,10.15,10.44,4484834.0
2020-12-08,10.04,10.36,10.04,10.15,1575650.0
2020-12-07,10.5,10.6,10.18,10.18,1631446.0
2020-12-04,10.57,10.62,10.44,10.6,2427966.0
2020-12-03,10.45,10.625,10.325,10.37,1949173.0
2020-12-02,10.29,10.45,10.09,10.38,1596926.0
2020-12-01,10.28,10.53,10.105,10.39,1951226.0
2020-11-30,10.72,10.77,10.09,10.09,1827311.0
2020-11-27,10.91,10.97,10.57,10.69,786212.0
2020-11-25,10.98,11.05,10.73,10.9,3031181.0
2020-11-24,11.14,11.51,11.0859,11.14,2836143.0
2020-11-23,10.55,11.0,10.5,10.79,2686692.0
2020-11-20,10.18,10.61,10.01,10.37,3203477.0
2020-11-19,9.7,10.26,9.55,10.26,2170134.0
2020-11-18,9.71,10.2,9.58,9.8,2873483.0
2020-11-17,9.53,9.76,9.32,9.66,1887627.0
2020-11-16,9.76,9.93,9.52,9.76,2069489.0
2020-11-13,8.71,9.27,8.71,9.2,2485341.0
2020-11-12,8.76,8.88,8.57,8.69,2458581.0
2020-11-11,9.15,9.15,8.71,8.87,1894884.0
2020-11-10,9.08,9.39,8.92,9.17,2818702.0
2020-11-09,7.54,9.255,7.54,9.07,3288569.0
2020-11-06,7.21,7.4,6.86,6.88,1005576.0
2020-11-05,7.27,7.44,7.15,7.19,934623.0
2020-11-04,7.31,7.36,7.03,7.19,662746.0
2020-11-03,7.04,7.385,6.99,7.35,1185738.0
2020-11-02,6.9,6.96,6.75,6.91,1052652.0
2020-10-30,6.84,7.005,6.725,6.81,1173254.0
2020-10-29,6.76,6.99,6.635,6.91,1266262.0
2020-10-28,6.86,7.05,6.78,6.83,1744452.0
2020-10-27,7.45,7.63,7.07,7.08,2054880.0
2020-10-26,7.66,7.66,7.34,7.49,1757732.0
2020-10-23,7.6,7.76,7.515,7.68,940670.0
2020-10-22,7.22,7.5,7.18,7.49,695468.0
2020-10-21,7.21,7.27,7.09,7.22,742974.0
2020-10-20,7.28,7.37,7.19,7.23,727263.0
2020-10-19,7.32,7.41,7.15,7.19,1393444.0
2020-10-16,7.43,7.51,7.2,7.3,772963.0
2020-10-15,7.24,7.5,7.24,7.45,934686.0
