date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,59.73,59.73,58.43,59.46,98822.0
2021-03-16,58.73,60.17,58.72,59.5,109579.0
2021-03-15,59.7,60.15,58.27,58.81,146661.0
2021-03-12,60.6,61.66,59.67,59.77,201952.0
2021-03-11,58.87,60.39,58.55,60.17,268189.0
2021-03-10,58.93,59.79,58.16,58.89,237690.0
2021-03-09,58.49,59.25,58.01,58.87,587651.0
2021-03-08,62.64,63.63,62.49,62.79,140592.0
2021-03-05,61.89,62.75,61.17,62.56,191183.0
2021-03-04,61.34,62.77,61.22,61.37,77326.0
2021-03-03,61.8,62.1658,60.52,61.69,79320.0
2021-03-02,63.14,63.25,61.81,61.85,81250.0
2021-03-01,63.64,63.8745,62.61,63.23,62837.0
2021-02-26,63.4,64.27,62.54,62.68,92855.0
2021-02-25,64.49,65.3277,63.35,63.35,64546.0
2021-02-24,66.84,67.21,64.9,65.03,107236.0
2021-02-23,66.49,69.04,66.42,66.55,98137.0
2021-02-22,67.52,67.52,64.72,66.48,73827.0
2021-02-19,67.84,70.71,66.64,67.76,72053.0
2021-02-18,69.17,69.79,68.37,68.37,69135.0
2021-02-17,68.51,69.37,68.345,69.22,46383.0
2021-02-16,68.58,69.4,68.08,68.96,69258.0
2021-02-12,69.84,69.86,67.99,68.62,54047.0
2021-02-11,71.43,71.6855,69.53,70.3,48103.0
2021-02-10,70.48,71.45,70.3,71.2,58123.0
2021-02-09,69.49,70.245,69.21,70.24,60745.0
2021-02-08,68.93,69.65,68.46,69.65,64099.0
2021-02-05,67.62,68.85,67.62,68.85,83899.0
2021-02-04,66.78,67.86,66.74,67.86,63844.0
2021-02-03,67.79,68.12,66.32,67.01,83197.0
2021-02-02,68.17,69.35,67.565,68.12,65231.0
2021-02-01,66.55,67.96,65.45,67.5,79797.0
2021-01-29,66.1,67.42,64.86,66.17,80161.0
2021-01-28,65.41,67.0,65.0,65.86,99196.0
2021-01-27,66.73,67.57,64.37,64.92,96346.0
2021-01-26,68.32,68.4895,67.38,67.82,59371.0
2021-01-25,66.88,68.23,66.58,67.97,58341.0
2021-01-22,66.12,67.72,66.055,67.61,74952.0
2021-01-21,67.09,67.65,65.81,66.81,92891.0
2021-01-20,66.46,67.66,66.22,67.3,81858.0
2021-01-19,67.04,67.04,65.5739,66.66,140523.0
2021-01-15,66.95,68.265,65.37,66.27,181038.0
2021-01-14,68.96,68.96,67.4,67.56,95203.0
2021-01-13,69.26,69.93,68.21,68.66,70055.0
2021-01-12,69.36,69.56,68.3,69.2,61495.0
2021-01-11,68.93,69.735,67.9301,69.33,50932.0
2021-01-08,69.21,69.62,68.2,69.61,64708.0
2021-01-07,70.84,71.0,68.905,69.36,56627.0
2021-01-06,67.83,71.28,67.83,70.37,112883.0
2021-01-05,68.57,69.14,67.64,68.76,65152.0
2021-01-04,69.02,69.29,67.29,68.29,101912.0
2020-12-31,68.89,69.64,68.45,69.36,62066.0
2020-12-30,68.57,69.62,68.3,68.78,55967.0
2020-12-29,69.5,69.74,67.6,68.53,49253.0
2020-12-28,67.67,69.23,67.01,69.04,60255.0
2020-12-24,67.09,67.42,65.97,67.13,30982.0
2020-12-23,66.79,67.57,66.32,66.55,38429.0
2020-12-22,66.12,66.77,65.71,66.51,46394.0
2020-12-21,66.9,66.9,64.62,66.42,118217.0
2020-12-18,70.55,70.92,67.47,67.94,388516.0
2020-12-17,69.76,70.48,68.46,70.34,62003.0
2020-12-16,70.66,70.93,68.88,69.29,57450.0
2020-12-15,68.29,70.44,67.5559,70.21,78019.0
2020-12-14,69.48,69.8,67.99,67.99,73680.0
2020-12-11,67.91,69.44,67.91,69.34,45808.0
2020-12-10,67.93,68.84,67.47,68.49,62647.0
2020-12-09,67.19,68.72,67.19,68.5,65474.0
2020-12-08,66.6,67.5,66.06,67.07,77765.0
2020-12-07,66.61,67.18,65.96,66.85,53743.0
2020-12-04,66.07,66.77,65.67,66.72,61818.0
2020-12-03,65.74,66.61,65.61,65.95,44687.0
2020-12-02,65.63,66.22,64.04,65.82,57489.0
2020-12-01,66.27,66.85,65.33,65.74,54335.0
2020-11-30,66.57,67.12,65.4,65.6,70467.0
2020-11-27,67.08,67.45,66.51,66.9,30429.0
2020-11-25,67.09,67.73,66.305,67.4,53365.0
2020-11-24,65.96,67.56,65.62,67.16,65729.0
2020-11-23,65.74,65.92,65.07,65.15,60919.0
2020-11-20,64.51,65.9,64.51,65.49,67548.0
2020-11-19,64.53,65.21,63.72,64.97,41092.0
2020-11-18,67.42,67.685,64.66,64.74,51018.0
2020-11-17,67.4,68.23,66.28,67.08,58431.0
2020-11-16,67.35,67.9,66.23,67.88,61638.0
2020-11-13,66.01,66.4595,65.58,66.17,44979.0
2020-11-12,67.28,67.365,64.3,65.56,60140.0
2020-11-11,67.47,68.21,66.02,68.15,65816.0
2020-11-10,66.4,67.26,64.08,67.05,139561.0
2020-11-09,63.84,69.86,63.8,65.56,149122.0
2020-11-06,63.11,63.11,61.28,61.72,47682.0
2020-11-05,61.95,64.68,61.61,63.02,51388.0
2020-11-04,63.53,64.2,61.205,61.54,58517.0
2020-11-03,63.2,64.7,62.87,64.07,76332.0
2020-11-02,61.49,62.515,61.43,62.3,72081.0
2020-10-30,61.09,62.36,60.24,60.69,78169.0
2020-10-29,61.45,61.9318,60.105,61.63,67401.0
2020-10-28,62.87,63.945,61.76,61.84,65116.0
2020-10-27,63.43,64.865,63.43,63.79,35958.0
2020-10-26,63.72,63.84,62.96,63.54,41357.0
2020-10-23,63.0,64.5,63.0,64.29,61290.0
2020-10-22,61.96,62.98,61.68,62.88,58402.0
2020-10-21,60.66,62.2,60.66,61.57,51652.0
