date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,17.34,17.91,17.01,17.19,3491356.0
2021-03-17,16.82,17.53,16.73,17.3,2183280.0
2021-03-16,17.63,17.7,17.0129,17.06,2157786.0
2021-03-15,17.46,18.185,17.1501,17.67,3021880.0
2021-03-12,16.81,17.41,16.77,17.36,2727167.0
2021-03-11,16.65,17.2136,16.25,16.92,2264968.0
2021-03-10,16.01,17.89,15.99,16.57,5044227.0
2021-03-09,15.32,16.55,15.3,16.09,4454987.0
2021-03-08,15.98,17.2,15.93,17.12,4958933.0
2021-03-05,17.05,17.06,15.2,16.03,7552397.0
2021-03-04,20.6,22.4,16.57,17.15,67358880.0
2021-03-03,16.64,18.88,16.5,17.74,17697464.0
2021-03-02,15.9,16.44,15.63,16.24,3081332.0
2021-03-01,15.99,16.75,15.99,16.11,2046057.0
2021-02-26,15.57,16.06,15.1862,15.74,2318749.0
2021-02-25,16.75,17.22,15.37,15.66,4565497.0
2021-02-24,15.83,16.475,14.96,16.39,3157663.0
2021-02-23,15.58,16.32,15.05,15.9,3375206.0
2021-02-22,14.71,16.02,14.69,15.75,4956008.0
2021-02-19,14.51,14.95,14.305,14.6,2574291.0
2021-02-18,14.33,14.95,14.02,14.44,3277351.0
2021-02-17,14.05,14.62,13.92,14.31,3171628.0
2021-02-16,14.09,14.32,13.94,14.1,2231740.0
2021-02-12,14.46,14.64,14.055,14.15,1682560.0
2021-02-11,14.35,14.84,14.07,14.53,2707828.0
2021-02-10,14.02,14.6968,13.98,14.48,3068366.0
2021-02-09,13.85,13.95,13.21,13.84,2205679.0
2021-02-08,13.79,13.94,13.5107,13.73,1471845.0
2021-02-05,13.32,13.97,13.17,13.71,2330359.0
2021-02-04,13.49,13.91,13.13,13.18,2290117.0
2021-02-03,13.04,13.82,12.7701,13.5,4619426.0
2021-02-02,13.9,13.94,12.375,12.97,7988640.0
2021-02-01,15.64,15.64,13.86,14.41,5431527.0
2021-01-29,17.0,17.35,15.36,15.43,7552607.0
2021-01-28,18.96,20.28,14.38,16.19,20089736.0
2021-01-27,16.99,20.96,16.54,17.86,27156630.0
2021-01-26,14.09,17.0,13.56,16.06,15824325.0
2021-01-25,13.95,15.92,13.595,13.7,13325129.0
2021-01-22,11.97,13.66,11.81,13.35,6966748.0
2021-01-21,12.95,13.1,12.06,12.07,3239305.0
2021-01-20,13.42,13.54,12.87,12.91,4146938.0
2021-01-19,12.84,13.62,12.74,13.39,5258513.0
2021-01-15,12.71,12.81,12.33,12.62,3030389.0
2021-01-14,11.95,13.49,11.86,12.8,10296410.0
2021-01-13,11.16,11.7,11.145,11.68,2159207.0
2021-01-12,10.97,11.15,10.8532,11.15,1505094.0
2021-01-11,11.34,11.49,10.915,10.96,2061091.0
2021-01-08,11.44,11.8991,11.15,11.56,2637028.0
2021-01-07,11.05,11.29,11.0,11.24,1939088.0
2021-01-06,10.37,11.28,10.37,11.0,3320448.0
2021-01-05,9.85,10.25,9.82,10.14,1283424.0
2021-01-04,10.04,10.18,9.62,9.82,2234509.0
2020-12-31,10.08,10.18,9.88,9.96,2487858.0
2020-12-30,10.22,10.54,10.15,10.15,1553774.0
2020-12-29,10.26,10.45,10.205,10.22,1349147.0
2020-12-28,10.39,10.46,10.23,10.26,1902193.0
2020-12-24,10.39,10.69,10.2,10.38,1273725.0
2020-12-23,10.29,10.56,10.1911,10.29,1787994.0
2020-12-22,10.53,10.655,10.245,10.26,1583809.0
2020-12-21,10.27,10.705,10.27,10.48,2208604.0
2020-12-18,11.0,11.25,10.45,10.53,3771917.0
2020-12-17,10.92,11.185,10.86,11.1,1526529.0
2020-12-16,11.28,11.37,10.695,10.86,2120750.0
2020-12-15,11.0,11.22,10.86,11.22,1897455.0
2020-12-14,11.15,11.38,10.785,10.89,2107559.0
2020-12-11,10.87,11.21,10.87,10.97,2779950.0
2020-12-10,10.54,11.01,10.5313,11.0,2202642.0
2020-12-09,10.82,10.98,10.68,10.8,2735895.0
2020-12-08,10.33,10.91,10.33,10.71,2676357.0
2020-12-07,10.6,10.69,10.365,10.47,2907618.0
2020-12-04,10.13,10.68,10.13,10.63,4134255.0
2020-12-03,10.02,10.45,9.92,9.93,2544176.0
2020-12-02,9.65,10.125,9.5258,9.96,2480941.0
2020-12-01,9.75,10.12,9.49,9.69,2627914.0
2020-11-30,9.9,10.12,9.44,9.45,2174431.0
2020-11-27,10.0,10.1,9.87,9.93,1023638.0
2020-11-25,9.9,10.025,9.65,9.91,1698011.0
2020-11-24,9.89,10.19,9.8,10.03,4438661.0
2020-11-23,9.38,10.09,9.3405,9.5,3944262.0
2020-11-20,8.91,9.19,8.89,9.12,3143435.0
2020-11-19,8.58,8.99,8.58,8.94,1827675.0
2020-11-18,9.21,9.54,8.59,8.63,4040919.0
2020-11-17,9.0,9.595,8.96,9.19,3686954.0
2020-11-16,9.04,9.3,8.93,9.17,2528497.0
2020-11-13,8.3,8.71,8.3,8.7,2204063.0
2020-11-12,8.27,8.38,8.01,8.18,1799904.0
2020-11-11,8.75,8.77,8.32,8.46,2127148.0
2020-11-10,8.19,8.93,8.19,8.77,3988338.0
2020-11-09,8.24,8.875,8.085,8.36,9485821.0
2020-11-06,7.24,7.38,6.92,7.08,4518097.0
2020-11-05,6.41,6.63,6.41,6.44,1658944.0
2020-11-04,6.63,6.74,6.33,6.34,1683582.0
2020-11-03,6.46,6.71,6.44,6.68,1446659.0
2020-11-02,6.27,6.39,6.135,6.35,952063.0
2020-10-30,6.2,6.3253,6.0515,6.19,1934729.0
2020-10-29,6.1,6.38,6.01,6.24,1381405.0
2020-10-28,6.15,6.24,6.05,6.07,1628271.0
2020-10-27,6.65,6.69,6.3,6.3,1569631.0
2020-10-26,6.77,6.78,6.5401,6.67,1163020.0
2020-10-23,6.92,7.17,6.82,6.87,2502235.0
2020-10-22,6.39,6.94,6.335,6.89,3917199.0
2020-10-21,6.27,6.56,6.25,6.41,2870398.0
2020-10-20,6.19,6.48,6.17,6.32,2609355.0
2020-10-19,6.19,6.53,6.1,6.14,3559697.0
