date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,6.3,6.49,6.25,6.49,553937.0
2021-03-16,6.34,6.38,6.2338,6.37,378588.0
2021-03-15,6.38,6.465,6.26,6.39,368792.0
2021-03-12,6.37,6.465,6.28,6.46,390050.0
2021-03-11,6.41,6.41,6.25,6.36,288386.0
2021-03-10,6.35,6.4801,6.27,6.4,412574.0
2021-03-09,6.42,6.45,6.25,6.32,302617.0
2021-03-08,6.22,6.42,6.2,6.41,458761.0
2021-03-05,6.4,6.44,6.04,6.27,496387.0
2021-03-04,6.29,6.41,6.1,6.31,717042.0
2021-03-03,6.14,6.3,6.09,6.28,636546.0
2021-03-02,6.16,6.25,5.83,6.17,826212.0
2021-03-01,6.14,6.27,6.07,6.18,707901.0
2021-02-26,6.1,6.3,6.0,6.11,884898.0
2021-02-25,6.0,6.16,5.91,6.05,1292278.0
2021-02-24,6.13,6.32,6.1,6.32,521465.0
2021-02-23,6.05,6.335,6.05,6.22,641712.0
2021-02-22,5.68,6.08,5.68,6.04,449790.0
2021-02-19,5.56,5.72,5.46,5.72,350492.0
2021-02-18,5.49,5.69,5.49,5.54,410560.0
2021-02-17,5.47,5.57,5.37,5.53,316843.0
2021-02-16,5.52,5.665,5.4,5.53,478502.0
2021-02-12,5.53,5.56,5.425,5.45,1245451.0
2021-02-11,5.64,5.76,5.48,5.57,328667.0
2021-02-10,5.63,5.816,5.575,5.6,425470.0
2021-02-09,5.89,5.9,5.56,5.58,269953.0
2021-02-08,5.74,5.9,5.7,5.89,495234.0
2021-02-05,5.72,5.73,5.6,5.73,410699.0
2021-02-04,5.58,5.695,5.569,5.68,356810.0
2021-02-03,5.52,5.59,5.4057,5.58,382725.0
2021-02-02,5.57,5.67,5.49,5.57,458085.0
2021-02-01,5.31,5.53,5.23,5.52,400567.0
2021-01-29,5.43,5.5,5.22,5.3,594127.0
2021-01-28,5.14,5.46,5.12,5.46,527728.0
2021-01-27,5.12,5.19,4.98,5.11,608051.0
2021-01-26,5.38,5.4101,5.24,5.29,262400.0
2021-01-25,5.4,5.48,5.27,5.37,211970.0
2021-01-22,5.52,5.54,5.41,5.48,317605.0
2021-01-21,5.65,5.65,5.51,5.58,687922.0
2021-01-20,5.51,5.64,5.5,5.64,341727.0
2021-01-19,5.7,5.73,5.42,5.5,363447.0
2021-01-15,5.58,5.73,5.54,5.65,380311.0
2021-01-14,5.7,5.74,5.585,5.65,257360.0
2021-01-13,5.4,5.66,5.3233,5.64,427330.0
2021-01-12,5.34,5.37,5.23,5.37,311289.0
2021-01-11,5.32,5.43,5.25,5.31,312650.0
2021-01-08,5.47,5.47,5.3,5.44,271030.0
2021-01-07,5.57,5.66,5.33,5.44,473033.0
2021-01-06,5.36,5.69,5.32,5.54,552917.0
2021-01-05,5.08,5.375,5.08,5.28,538062.0
2021-01-04,5.23,5.3161,5.06,5.09,489098.0
2020-12-31,5.05,5.235,5.03,5.18,473247.0
2020-12-30,5.13,5.2239,5.01,5.07,286391.0
2020-12-29,5.15,5.215,4.99,5.11,447966.0
2020-12-28,5.4,5.44,5.15,5.16,375320.0
2020-12-24,5.28,5.39,5.22,5.34,135084.0
2020-12-23,5.29,5.43,5.23,5.26,392344.0
2020-12-22,5.47,5.48,5.2,5.24,506463.0
2020-12-21,5.62,5.68,5.43,5.43,453261.0
2020-12-18,5.51,5.73,5.4867,5.7,2665796.0
2020-12-17,5.66,5.67,5.48,5.56,476679.0
2020-12-16,5.85,5.94,5.62,5.65,457098.0
2020-12-15,5.91,5.94,5.562,5.83,746295.0
2020-12-14,5.96,5.98,5.67,5.88,667657.0
2020-12-11,5.96,5.98,5.79,5.9,356302.0
2020-12-10,5.87,6.03,5.84,6.03,375340.0
2020-12-09,5.91,5.99,5.82,5.96,427039.0
2020-12-08,5.78,5.84,5.62,5.84,457705.0
2020-12-07,5.91,5.98,5.78,5.84,414009.0
2020-12-04,5.88,5.98,5.85,5.97,368276.0
2020-12-03,5.9,5.9,5.71,5.86,538636.0
2020-12-02,5.77,5.92,5.68,5.91,579066.0
2020-12-01,5.65,5.87,5.6,5.82,557730.0
2020-11-30,5.6,5.655,5.45,5.53,539337.0
2020-11-27,5.76,5.76,5.52,5.6,272271.0
2020-11-25,5.83,5.875,5.655,5.73,372966.0
2020-11-24,5.49,5.9,5.46,5.88,775974.0
2020-11-23,5.32,5.52,5.24,5.45,561570.0
2020-11-20,5.17,5.29,5.13,5.2,1687673.0
2020-11-19,5.19,5.27,5.1188,5.25,542527.0
2020-11-18,5.23,5.32,5.19,5.22,673063.0
2020-11-17,5.08,5.25,5.02,5.23,655715.0
2020-11-16,4.85,5.13,4.8,5.12,720526.0
2020-11-13,4.56,4.74,4.52,4.74,393586.0
2020-11-12,4.47,4.54,4.32,4.48,385367.0
2020-11-11,4.52,4.58,4.35,4.58,325475.0
2020-11-10,4.41,4.54,4.37,4.54,512092.0
2020-11-09,4.22,4.85,4.22,4.37,1366151.0
2020-11-06,4.08,4.16,3.86,3.87,332151.0
2020-11-05,4.14,4.24,4.05,4.09,261122.0
2020-11-04,4.28,4.28,4.07,4.15,251730.0
2020-11-03,4.13,4.31,4.057,4.29,675482.0
2020-11-02,4.03,4.06,3.95,4.05,538226.0
2020-10-30,3.95,4.08,3.83,3.91,444174.0
2020-10-29,3.6,4.02,3.56,3.99,633750.0
2020-10-28,3.8,3.84,3.615,3.64,481256.0
2020-10-27,4.04,4.12,3.87,3.88,356505.0
2020-10-26,4.04,4.08,3.96,4.02,194746.0
2020-10-23,4.13,4.22,4.04,4.09,261535.0
2020-10-22,3.99,4.11,3.97,4.1,387886.0
2020-10-21,3.8,4.01,3.68,3.96,804306.0
2020-10-20,4.05,4.12,3.97,3.99,366478.0
2020-10-19,4.21,4.21,3.99,4.01,320896.0
2020-10-16,4.18,4.28,4.04,4.16,387975.0
2020-10-15,4.17,4.29,4.12,4.21,236805.0
2020-10-14,4.4,4.42,4.24,4.25,238504.0
2020-10-13,4.41,4.47,4.28,4.43,318678.0
2020-10-12,4.44,4.47,4.35,4.44,317878.0
2020-10-09,4.8,4.8,4.455,4.46,449382.0
2020-10-08,4.51,4.745,4.45,4.72,542557.0
2020-10-07,4.42,4.6,4.365,4.47,684447.0
2020-10-06,4.24,4.45,4.18,4.35,443843.0
2020-10-05,4.33,4.38,4.12,4.19,326154.0
2020-10-02,4.03,4.36,4.03,4.31,339035.0
2020-10-01,4.0,4.17,4.0,4.16,377131.0
2020-09-30,4.04,4.23,3.98,4.0,320017.0
2020-09-29,4.12,4.15,3.97,4.02,289308.0
2020-09-28,4.03,4.2243,4.03,4.12,376600.0
2020-09-25,3.88,4.04,3.87,3.96,386363.0
