date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,25.68,25.68,24.46,25.64,41339.0
2021-03-17,25.64,25.72,25.58,25.71,44759.0
2021-03-16,25.7,25.725,25.61,25.65,61024.0
2021-03-15,25.57,25.79,25.57,25.77,43525.0
2021-03-12,25.75,25.75,25.52,25.61,55539.0
2021-03-11,25.71,25.83,25.71,25.78,49235.0
2021-03-10,25.7041,25.74,25.66,25.73,33635.0
2021-03-09,25.75,25.77,25.6694,25.71,25075.0
2021-03-08,25.68,25.72,25.5775,25.67,142493.0
2021-03-05,25.9,25.91,25.73,25.86,29926.0
2021-03-04,25.89,26.0,25.75,25.86,52610.0
2021-03-03,25.78,25.87,25.61,25.8625,19748.0
2021-03-02,25.73,25.88,25.73,25.82,19857.0
2021-03-01,25.795,25.881,25.71,25.85,40509.0
2021-02-26,25.54,25.8,25.5,25.76,59666.0
2021-02-25,25.6,25.65,25.47,25.52,204334.0
2021-02-24,25.73,25.73,25.53,25.63,36740.0
2021-02-23,25.75,25.76,25.68,25.73,29631.0
2021-02-22,25.7013,25.76,25.615,25.76,48508.0
2021-02-19,25.68,25.74,25.6314,25.74,50885.0
2021-02-18,25.54,25.67,25.47,25.67,103546.0
2021-02-17,25.49,25.55,25.48,25.51,58161.0
2021-02-16,25.61,25.61,25.45,25.47,75288.0
2021-02-12,25.63,25.67,25.47,25.61,80649.0
2021-02-11,25.73,25.75,25.63,25.68,45478.0
2021-02-10,25.84,25.84,25.69,25.74,39467.0
2021-02-09,25.7278,25.9286,25.7278,25.81,20725.0
2021-02-08,25.7568,25.8,25.74,25.74,16064.0
2021-02-05,25.73,25.8,25.71,25.74,37236.0
2021-02-04,25.87,25.87,25.675,25.74,84491.0
2021-02-03,25.9,25.99,25.65,25.83,137336.0
2021-02-02,25.84,26.07,25.81,25.91,34351.0
2021-02-01,25.75,25.9,25.705,25.89,35224.0
2021-01-29,25.865,25.9699,25.62,25.78,133226.0
2021-01-28,25.99,25.99,25.8,25.88,25329.0
2021-01-27,25.92,25.962,25.71,25.71,26256.0
2021-01-26,26.03,26.06,25.91,25.96,45164.0
2021-01-25,26.26,26.26,26.03,26.04,37601.0
2021-01-22,26.06,26.26,26.02,26.23,11348.0
2021-01-21,26.16,26.3,26.06,26.0786,32877.0
2021-01-20,26.2,26.26,26.15,26.2,37061.0
2021-01-19,26.11,26.22,26.08,26.18,25766.0
2021-01-15,26.1,26.24,26.09,26.1,32708.0
2021-01-14,26.05,26.25,26.02,26.24,40167.0
2021-01-13,25.73,26.18,25.73,26.12,30765.0
2021-01-12,25.73,25.85,25.67,25.85,70395.0
2021-01-11,25.67,25.84,25.66,25.73,56442.0
2021-01-08,25.872,25.944,25.78,25.9,76783.0
