date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,16.16,16.2037,16.1113,16.18,29729.0
2021-03-16,16.18,16.21,16.16,16.19,30942.0
2021-03-15,16.09,16.16,16.09,16.13,39013.0
2021-03-12,16.07,16.102,16.03,16.05,46328.0
2021-03-11,16.26,16.35,16.25,16.3,44044.0
2021-03-10,16.15,16.25,16.1,16.19,47344.0
2021-03-09,16.0,16.14,15.9262,16.08,39204.0
2021-03-08,15.75,15.96,15.75,15.87,47245.0
2021-03-05,15.75,15.78,15.4,15.74,30239.0
2021-03-04,15.9,16.0,15.5931,15.66,89860.0
2021-03-03,15.99,15.9995,15.88,15.91,52017.0
2021-03-02,15.97,16.01,15.9,15.99,46806.0
2021-03-01,15.75,15.97,15.75,15.95,49228.0
2021-02-26,15.72,15.72,15.5,15.58,47112.0
2021-02-25,15.81,15.86,15.55,15.57,32584.0
2021-02-24,15.65,15.89,15.65,15.78,41628.0
2021-02-23,15.67,15.81,15.51,15.74,58597.0
2021-02-22,15.65,15.8,15.6325,15.69,45991.0
2021-02-19,15.94,15.94,15.78,15.8,78429.0
2021-02-18,15.87,15.87,15.75,15.81,89198.0
2021-02-17,15.83,15.91,15.76,15.87,38763.0
2021-02-16,15.77,15.82,15.66,15.82,47853.0
2021-02-12,15.5,15.67,15.5,15.66,64912.0
2021-02-11,15.71,15.71,15.48,15.58,58205.0
2021-02-10,15.71,15.71,15.54,15.64,48582.0
2021-02-09,15.65,15.67,15.53,15.6,64063.0
2021-02-08,15.75,15.7542,15.48,15.65,124513.0
2021-02-05,15.72,15.72,15.6217,15.7,66168.0
2021-02-04,15.49,15.6296,15.4513,15.6,52414.0
2021-02-03,15.47,15.51,15.35,15.43,54763.0
2021-02-02,15.34,15.48,15.34,15.43,58103.0
2021-02-01,15.28,15.28,15.15,15.24,45432.0
2021-01-29,15.22,15.25,15.02,15.11,99619.0
2021-01-28,15.19,15.45,15.19,15.26,60386.0
2021-01-27,15.41,15.41,15.11,15.13,86298.0
2021-01-26,15.46,15.62,15.381,15.53,213529.0
2021-01-25,15.49,15.546,15.14,15.32,126741.0
2021-01-22,15.25,15.3225,15.2305,15.29,66092.0
2021-01-21,15.15,15.48,15.05,15.27,102677.0
2021-01-20,15.01,15.18,15.0,15.14,41495.0
2021-01-19,15.04,15.11,14.95,14.98,98773.0
2021-01-15,15.04,15.04,14.86,14.97,80213.0
2021-01-14,15.11,15.11,14.98,15.02,43700.0
2021-01-13,15.02,15.07,15.0,15.02,48336.0
2021-01-12,15.09,15.11,14.99,14.99,107338.0
2021-01-11,15.06,15.14,14.9,15.03,149612.0
2021-01-08,15.1,15.1,14.86,15.03,133173.0
2021-01-07,14.92,15.0399,14.83,15.01,122447.0
2021-01-06,14.86,15.07,14.8,14.84,115468.0
2021-01-05,15.0,15.04,14.9,15.0,38109.0
2021-01-04,15.2,15.24,14.9,15.0,74703.0
2020-12-31,15.1,15.24,15.02,15.24,100017.0
2020-12-30,15.0,15.0,14.9101,15.0,36428.0
2020-12-29,15.0,15.02,14.9,14.94,48259.0
2020-12-28,14.98,14.99,14.87,14.89,46589.0
2020-12-24,14.81,14.9,14.81,14.9,20519.0
2020-12-23,14.81,14.94,14.81,14.81,38268.0
2020-12-22,14.89,14.893,14.82,14.84,38708.0
2020-12-21,14.78,14.85,14.64,14.85,51578.0
2020-12-18,14.99,14.99,14.85,14.87,29784.0
2020-12-17,15.03,15.05,14.935,14.97,55589.0
2020-12-16,14.94,15.02,14.85,14.95,72499.0
2020-12-15,14.81,14.92,14.81,14.92,75506.0
2020-12-14,14.86,14.94,14.8515,14.86,48873.0
2020-12-11,15.05,15.1,14.95,15.06,65822.0
2020-12-10,15.06,15.1,15.0,15.08,34977.0
2020-12-09,15.18,15.18,15.04,15.1,71961.0
2020-12-08,15.0,15.15,14.89,15.15,63626.0
2020-12-07,14.99,15.02,14.96,15.02,64666.0
2020-12-04,14.85,15.01,14.83,15.01,41647.0
2020-12-03,14.92,14.94,14.75,14.84,42004.0
2020-12-02,14.74,14.88,14.74,14.86,68916.0
2020-12-01,14.83,14.87,14.7,14.82,88149.0
2020-11-30,14.72,14.75,14.59,14.75,75894.0
2020-11-27,14.77,14.81,14.72,14.75,36385.0
2020-11-25,14.69,14.725,14.61,14.72,61279.0
2020-11-24,14.61,14.69,14.5474,14.68,55575.0
2020-11-23,14.46,14.51,14.38,14.5,79090.0
2020-11-20,14.45,14.48,14.39,14.46,40488.0
2020-11-19,14.49,14.49,14.375,14.46,102404.0
2020-11-18,14.51,14.57,14.4674,14.48,65580.0
2020-11-17,14.59,14.59,14.39,14.56,86867.0
2020-11-16,14.33,14.6,14.26,14.6,267071.0
