date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,73.57,74.28,72.91,74.1,411913.0
2021-03-17,75.77,75.77,73.03,73.48,357548.0
2021-03-16,74.23,75.78,74.0,75.53,384169.0
2021-03-15,75.42,75.69,74.02,74.64,365731.0
2021-03-12,73.53,75.47,72.85,75.13,440794.0
2021-03-11,72.11,73.46,71.57,72.87,344949.0
2021-03-10,71.14,73.1,70.71,72.47,296953.0
2021-03-09,72.36,73.11,71.49,71.97,390725.0
2021-03-08,71.31,72.98,69.54,72.77,466549.0
2021-03-05,68.7,71.78,68.32,70.92,620961.0
2021-03-04,67.09,68.88,66.99,67.98,504017.0
2021-03-03,66.83,67.64,66.2,67.28,260535.0
2021-03-02,66.84,67.33,65.79,66.81,292393.0
2021-03-01,67.37,67.7,66.88,66.97,274914.0
2021-02-26,67.98,68.58,66.32,66.42,330941.0
2021-02-25,68.41,69.15,67.73,67.94,279223.0
2021-02-24,68.98,68.98,67.84,68.06,408214.0
2021-02-23,66.41,69.39,66.41,68.69,439563.0
2021-02-22,67.83,67.83,66.22,66.74,414863.0
2021-02-19,67.54,68.29,67.12,67.67,1027914.0
2021-02-18,66.57,68.05,66.41,67.61,383954.0
2021-02-17,64.76,66.52,64.37,66.47,490995.0
2021-02-16,64.05,64.83,63.63,64.81,527543.0
2021-02-12,63.83,64.11,63.29,63.97,416087.0
2021-02-11,63.25,63.85,62.86,63.82,497268.0
2021-02-10,64.68,64.99,63.22,63.22,799718.0
2021-02-09,62.92,64.51,62.75,64.24,542363.0
2021-02-08,65.44,65.61,64.405,64.75,275493.0
2021-02-05,64.58,65.72,63.68,65.1,304696.0
2021-02-04,61.92,64.135,61.15,64.02,391021.0
2021-02-03,62.36,62.71,61.29,62.26,319373.0
2021-02-02,62.66,63.35,61.91,62.97,355277.0
2021-02-01,61.19,62.5,60.5,62.35,317358.0
2021-01-29,60.88,61.36,59.88,61.19,399765.0
2021-01-28,60.92,63.13,60.42,60.46,241561.0
2021-01-27,60.0,61.26,59.29,60.89,418613.0
2021-01-26,61.86,61.86,60.31,60.32,317572.0
2021-01-25,61.27,61.81,60.44,61.59,403714.0
2021-01-22,60.73,61.83,60.16,61.75,192342.0
2021-01-21,61.52,64.54,60.3,61.09,343592.0
