date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,27.39,27.39,27.24,27.3,24568.0
2021-03-16,27.2,27.47,27.2,27.42,49508.0
2021-03-15,27.18,27.3,27.09,27.27,59163.0
2021-03-12,27.27,27.27,27.01,27.17,49554.0
2021-03-11,27.33,27.6,27.32,27.6,37255.0
2021-03-10,27.25,27.319,27.1893,27.26,72037.0
2021-03-09,27.24,27.25,27.16,27.21,22886.0
2021-03-08,27.23,27.24,27.097,27.24,50272.0
2021-03-05,27.02,27.25,26.91,27.2,53394.0
2021-03-04,27.14,27.2,26.91,26.91,27013.0
2021-03-03,27.06,27.23,26.8,27.2,32019.0
2021-03-02,26.91,27.06,26.85,27.06,22554.0
2021-03-01,26.65,26.9,26.65,26.9,53813.0
2021-02-26,26.71,26.71,26.44,26.65,54038.0
2021-02-25,26.7,26.7,26.44,26.56,115320.0
2021-02-24,26.73,26.77,26.635,26.7,117703.0
2021-02-23,26.77,26.78,26.71,26.73,45508.0
2021-02-22,26.68,26.82,26.68,26.73,40356.0
2021-02-19,26.81,26.84,26.7,26.81,26994.0
2021-02-18,26.84,26.84,26.67,26.76,93462.0
2021-02-17,26.84,26.88,26.72,26.84,59645.0
2021-02-16,26.86,26.92,26.7,26.7,96868.0
2021-02-12,27.05,27.05,26.8,26.89,48586.0
2021-02-11,27.18,27.18,26.95,26.99,27759.0
2021-02-10,27.15,27.19,27.08,27.13,26941.0
2021-02-09,27.2,27.3101,27.15,27.17,58556.0
2021-02-08,27.48,27.48,27.22,27.28,73554.0
2021-02-05,27.38,27.48,27.35,27.48,49584.0
2021-02-04,27.37,27.465,27.23,27.33,35725.0
2021-02-03,27.49,27.51,27.21,27.25,60772.0
2021-02-02,27.38,27.58,27.37,27.46,31869.0
2021-02-01,27.42,27.47,27.25,27.26,24476.0
2021-01-29,27.42,27.48,27.17,27.3,88551.0
2021-01-28,27.37,27.45,27.23,27.4,25520.0
2021-01-27,27.31,27.56,27.21,27.23,37242.0
