date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,80.33,81.31,79.61,80.89,212018.0
2021-03-16,79.25,80.48,78.52,80.25,273246.0
2021-03-15,79.97,80.01,78.86,79.53,230220.0
2021-03-12,81.37,81.69,80.17,80.48,188444.0
2021-03-11,81.01,82.0,80.35,81.02,205172.0
2021-03-10,77.77,81.055,77.77,80.24,178202.0
2021-03-09,78.95,78.95,77.43,77.58,274033.0
2021-03-08,77.4,79.04,77.14,78.45,187594.0
2021-03-05,75.23,77.11,74.05,77.1,308759.0
2021-03-04,74.36,75.4,73.01,74.03,324128.0
2021-03-03,76.71,76.82,74.64,74.65,196832.0
2021-03-02,77.93,78.35,76.34,76.55,369363.0
2021-03-01,79.19,79.47,78.18,78.19,331850.0
2021-02-26,78.22,79.03,77.79,77.85,236368.0
2021-02-25,78.77,79.41,77.91,78.18,132659.0
2021-02-24,78.78,79.42,78.31,79.05,171425.0
2021-02-23,78.72,80.03,78.0,78.36,311077.0
2021-02-22,77.71,79.81,77.59,78.92,192541.0
2021-02-19,78.5,79.25,77.79,78.34,247780.0
2021-02-18,76.7,78.29,76.57,78.06,320085.0
2021-02-17,74.73,76.93,74.73,76.84,276165.0
2021-02-16,78.16,78.535,75.15,75.17,212685.0
2021-02-12,77.9,79.455,76.02,78.66,365170.0
2021-02-11,77.19,77.96,77.13,77.5,223108.0
2021-02-10,76.07,77.37,76.07,77.01,232053.0
2021-02-09,75.31,75.84,74.75,75.42,274278.0
2021-02-08,75.0,75.58,74.84,75.08,229082.0
2021-02-05,75.45,75.7,73.29,74.46,258503.0
2021-02-04,74.76,75.38,74.1,75.09,307936.0
2021-02-03,74.67,76.17,74.4,75.03,286634.0
2021-02-02,76.32,76.36,74.56,75.12,330253.0
2021-02-01,70.49,75.3,70.16,75.25,432939.0
2021-01-29,71.73,72.4,69.96,70.53,528078.0
2021-01-28,73.08,73.08,71.24,72.05,233387.0
2021-01-27,75.11,75.3,71.25,72.36,512295.0
2021-01-26,77.56,77.72,76.52,76.86,342541.0
2021-01-25,75.79,77.63,75.79,77.05,280714.0
2021-01-22,74.91,76.28,74.375,76.24,270159.0
2021-01-21,75.9,75.985,75.325,75.65,257432.0
2021-01-20,75.93,75.93,75.39,75.85,185225.0
2021-01-19,75.48,76.45,75.135,75.6,159719.0
2021-01-15,74.69,75.51,73.8,75.13,265410.0
2021-01-14,74.94,76.51,74.55,75.57,336481.0
2021-01-13,77.17,77.25,74.3,74.53,245900.0
2021-01-12,77.42,77.64,76.76,77.25,423335.0
2021-01-11,76.55,77.69,76.45,77.15,357489.0
2021-01-08,77.57,77.7,76.25,77.33,177259.0
2021-01-07,78.18,78.48,77.2,77.5,166316.0
2021-01-06,76.36,78.69,75.8,77.94,288252.0
2021-01-05,73.37,75.46,73.35,75.11,177853.0
2021-01-04,74.02,74.96,72.87,73.16,370893.0
2020-12-31,73.98,74.35,73.37,73.77,153965.0
2020-12-30,73.8,74.965,73.8,74.02,116729.0
2020-12-29,74.55,74.58,73.11,73.66,153192.0
2020-12-28,74.9,75.13,74.22,74.24,118923.0
2020-12-24,73.75,74.35,73.14,74.24,54400.0
2020-12-23,73.68,73.73,72.83,73.36,247373.0
2020-12-22,73.07,73.59,72.65,73.49,228343.0
2020-12-21,72.24,73.11,71.92,73.1,281806.0
2020-12-18,73.08,73.695,72.87,73.51,994452.0
2020-12-17,72.73,73.15,72.11,72.84,328976.0
2020-12-16,73.26,73.26,71.96,72.47,156424.0
2020-12-15,72.67,73.08,71.61,72.89,276737.0
2020-12-14,73.35,73.54,72.05,72.1,238986.0
2020-12-11,72.77,73.6,72.25,72.79,228854.0
2020-12-10,73.92,73.92,72.67,73.3,147868.0
2020-12-09,74.81,75.11,73.77,74.24,172334.0
2020-12-08,73.42,74.49,73.4148,74.23,437883.0
2020-12-07,75.0,75.02,73.61,73.77,213685.0
2020-12-04,73.88,75.18,73.86,74.98,243977.0
2020-12-03,72.57,74.08,72.57,73.51,212021.0
2020-12-02,72.71,73.05,71.8,72.58,152325.0
2020-12-01,72.7,72.895,71.66,72.77,428543.0
2020-11-30,72.11,72.81,71.5675,71.72,303836.0
2020-11-27,73.12,73.345,72.235,72.6,128385.0
2020-11-25,73.54,73.885,72.62,72.95,269652.0
2020-11-24,72.97,74.435,72.37,74.04,280130.0
2020-11-23,71.35,72.76,71.165,71.98,319987.0
2020-11-20,69.81,70.78,69.6,70.66,353964.0
2020-11-19,70.06,70.2,69.07,70.09,415631.0
2020-11-18,72.83,73.175,70.39,70.39,247158.0
2020-11-17,72.59,73.005,71.28,72.44,411696.0
2020-11-16,73.85,74.23,72.88,73.45,278993.0
2020-11-13,71.4,72.55,71.185,72.4,184631.0
2020-11-12,71.88,72.24,69.8,70.66,228658.0
2020-11-11,73.4,73.4,71.19,72.2,241042.0
2020-11-10,72.0,73.51,71.53,73.32,368880.0
2020-11-09,73.18,75.3,71.02,71.33,463317.0
2020-11-06,69.73,69.85,68.88,69.35,198506.0
2020-11-05,67.93,69.54,67.93,69.11,168955.0
2020-11-04,67.95,68.285,66.36,67.21,185233.0
2020-11-03,68.42,68.84,67.63,68.5,305490.0
2020-11-02,66.3,67.46,65.51,67.3,332532.0
2020-10-30,64.93,65.51,64.6,65.43,301482.0
2020-10-29,64.61,66.36,64.22,65.46,427801.0
2020-10-28,65.7,67.14,65.05,65.07,1294027.0
2020-10-27,69.39,69.58,66.3,67.2,469262.0
2020-10-26,69.39,69.73,68.68,69.26,287260.0
2020-10-23,70.47,70.75,69.63,70.28,132941.0
2020-10-22,69.18,70.9,69.04,70.03,298817.0
2020-10-21,68.0,69.45,67.88,68.96,379168.0
2020-10-20,68.43,68.85,67.89,68.06,333138.0
2020-10-19,68.36,68.98,66.9225,68.14,649519.0
2020-10-16,63.0,69.17,62.585,68.46,567238.0
2020-10-15,64.17,64.395,63.26,63.38,520054.0
2020-10-14,63.92,65.17,63.92,64.85,222760.0
2020-10-13,63.69,64.645,63.52,63.98,296531.0
2020-10-12,62.74,64.26,62.56,64.22,229677.0
2020-10-09,62.34,62.83,61.88,62.64,150729.0
2020-10-08,62.17,62.48,61.38,62.02,187211.0
2020-10-07,61.59,62.32,61.185,61.56,195653.0
2020-10-06,62.48,62.48,60.6,60.71,366559.0
2020-10-05,60.32,61.99,60.238,61.83,683080.0
2020-10-02,57.8,60.155,57.8,59.89,463314.0
2020-10-01,58.14,58.54,57.73,58.47,264030.0
2020-09-30,58.65,59.6,57.51,57.74,368551.0
2020-09-29,57.58,58.61,57.17,58.19,531180.0
2020-09-28,56.01,58.01,56.0,57.58,540080.0
2020-09-25,54.68,55.8,54.47,55.45,398813.0
2020-09-24,55.4,55.78,54.72,55.05,420475.0
2020-09-23,56.82,57.28,55.03,55.23,278869.0
2020-09-22,57.0,57.37,56.49,57.05,462899.0
2020-09-21,57.81,57.81,55.91,56.72,556305.0
2020-09-18,59.57,60.0,58.06,58.88,657425.0
2020-09-17,58.01,59.71,57.57,59.39,268117.0
2020-09-16,58.7,59.26,58.55,58.67,257187.0
2020-09-15,58.34,59.2,58.141,58.53,342024.0
2020-09-14,57.38,58.25,57.38,58.05,311528.0
2020-09-11,56.52,57.49,56.09,56.96,356407.0
2020-09-10,56.5,56.79,55.92,56.26,324702.0
2020-09-09,56.61,56.98,55.86,56.27,226974.0
2020-09-08,56.66,56.66,55.57,56.17,363518.0
2020-09-04,57.18,57.54,56.685,57.12,292870.0
2020-09-03,58.22,58.42,56.01,56.39,308609.0
2020-09-02,56.94,58.53,56.91,58.13,422604.0
2020-09-01,55.32,56.92,54.84,56.86,318288.0
2020-08-31,55.89,56.0,55.22,55.22,277897.0
2020-08-28,56.28,56.28,55.36,56.08,190082.0
2020-08-27,56.45,56.75,55.79,56.16,226226.0
2020-08-26,56.26,56.47,55.965,56.13,188825.0
2020-08-25,56.1,56.36,55.8,56.31,295832.0
2020-08-24,54.85,55.93,54.43,55.67,187126.0
2020-08-21,54.23,54.39,53.42,54.06,245954.0
2020-08-20,54.1,54.74,54.1,54.55,124835.0
2020-08-19,54.54,55.14,54.16,54.65,168900.0
2020-08-18,54.83,55.29,54.59,54.7,298477.0
2020-08-17,54.58,55.09,54.41,54.93,286963.0
