date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,25.3,25.35,25.23,25.23,16323.0
2021-03-17,25.29,25.3493,25.28,25.3001,18964.0
2021-03-16,25.3,25.37,25.28,25.34,25045.0
2021-03-15,25.26,25.29,25.22,25.28,12028.0
2021-03-12,25.26,25.3095,25.26,25.27,6470.0
2021-03-11,25.25,25.33,25.25,25.3,8414.0
2021-03-10,25.3,25.3,25.23,25.28,37971.0
2021-03-09,25.24,25.29,25.24,25.25,10710.0
2021-03-08,25.275,25.32,25.23,25.32,9564.0
2021-03-05,25.19,25.31,25.19,25.31,9587.0
2021-03-04,25.25,25.3004,25.2,25.21,9244.0
2021-03-03,25.15,25.25,25.15,25.24,7841.0
2021-03-02,25.16,25.23,25.16,25.18,12609.0
2021-03-01,25.1501,25.19,25.07,25.19,15764.0
2021-02-26,25.08,25.14,25.07,25.13,7442.0
2021-02-25,25.15,25.15,25.05,25.12,20291.0
2021-02-24,25.26,25.26,25.15,25.15,17489.0
2021-02-23,25.28,25.28,25.18,25.28,16156.0
2021-02-22,25.33,25.33,25.3,25.306,14798.0
2021-02-19,25.2,25.33,25.2,25.33,37275.0
2021-02-18,25.18,25.23,25.14,25.23,10999.0
2021-02-17,25.23,25.23,25.1,25.23,21479.0
2021-02-16,25.2,25.25,25.06,25.137,78560.0
2021-02-12,25.3,25.3166,25.19,25.19,20070.0
2021-02-11,25.37,25.37,25.255,25.28,8818.0
2021-02-10,25.73,25.74,25.68,25.72,10693.0
2021-02-09,25.635,25.73,25.635,25.73,14594.0
2021-02-08,25.58,25.7,25.58,25.69,10190.0
2021-02-05,25.6067,25.7,25.6067,25.62,10872.0
2021-02-04,25.67,25.67,25.53,25.57,6677.0
2021-02-03,25.61,25.71,25.6,25.64,16764.0
2021-02-02,25.585,25.71,25.5608,25.68,10234.0
2021-02-01,25.56,25.6933,25.4641,25.64,19687.0
2021-01-29,25.4501,25.55,25.45,25.55,18710.0
2021-01-28,25.55,25.55,25.44,25.52,6956.0
2021-01-27,25.53,25.546,25.45,25.47,12913.0
2021-01-26,25.51,25.55,25.495,25.545,14487.0
2021-01-25,25.495,25.56,25.47,25.5,8910.0
2021-01-22,25.4802,25.5,25.45,25.47,23357.0
2021-01-21,25.485,25.51,25.45,25.46,23246.0
2021-01-20,25.45,25.51,25.41,25.46,257356.0
2021-01-19,25.575,25.63,25.4252,25.44,149994.0
2021-01-15,25.524,25.65,25.52,25.63,6189.0
2021-01-14,25.75,25.75,25.53,25.53,6202.0
2021-01-13,25.4,25.75,25.13,25.75,6870.0
2021-01-12,25.42,25.435,25.4,25.4177,5872.0
2021-01-11,25.5,25.5,25.4,25.43,7428.0
2021-01-08,25.45,25.5,25.42,25.5,7251.0
2021-01-07,25.42,25.65,25.42,25.5566,14335.0
2021-01-06,25.46,25.47,25.4,25.42,8443.0
2021-01-05,25.4255,25.51,25.4255,25.46,12272.0
2021-01-04,25.44,25.4648,25.34,25.44,10940.0
2020-12-31,25.4,25.55,25.35,25.4,163130.0
2020-12-30,25.46,25.4719,25.38,25.4,34036.0
2020-12-29,25.64,25.64,25.41,25.47,9337.0
2020-12-28,25.29,25.62,25.29,25.57,3510.0
2020-12-24,25.58,25.6,25.53,25.58,3453.0
2020-12-23,25.65,25.65,25.51,25.55,3334.0
2020-12-22,25.87,26.0,25.51,25.65,10541.0
2020-12-21,25.56,26.0,25.48,26.0,7112.0
2020-12-18,25.74,25.78,25.6558,25.77,5274.0
2020-12-17,25.8,25.8081,25.64,25.74,6931.0
2020-12-16,25.6323,25.8202,25.6323,25.8,21566.0
2020-12-15,25.7,25.74,25.61,25.72,8236.0
2020-12-14,25.75,25.8,25.68,25.73,3632.0
2020-12-11,25.78,25.9184,25.77,25.78,8018.0
2020-12-10,25.92,25.9681,25.77,25.796,10037.0
2020-12-09,25.67,26.0,25.67,26.0,16363.0
2020-12-08,25.82,25.82,25.77,25.77,10237.0
2020-12-07,25.75,25.79,25.75,25.7796,10277.0
2020-12-04,25.82,25.82,25.77,25.77,8708.0
2020-12-03,25.7,25.8198,25.585,25.79,5302.0
2020-12-02,25.82,25.85,25.554,25.69,7384.0
2020-12-01,25.85,25.85,25.78,25.82,2987.0
2020-11-30,25.55,25.85,25.55,25.85,10638.0
2020-11-27,25.88,25.89,25.75,25.8284,3772.0
2020-11-25,25.74,25.88,25.74,25.88,5714.0
2020-11-24,25.81,25.86,25.77,25.86,3501.0
2020-11-23,25.84,25.87,25.77,25.7701,14961.0
2020-11-20,25.7,25.84,25.69,25.77,9204.0
2020-11-19,25.67,25.75,25.67,25.715,11459.0
2020-11-18,25.75,25.754,25.71,25.75,5296.0
2020-11-17,25.83,25.83,25.77,25.78,8829.0
2020-11-16,25.79,25.83,25.75,25.83,19294.0
2020-11-13,25.49,25.797,25.49,25.76,52473.0
2020-11-12,25.43,25.49,25.22,25.49,6934.0
2020-11-11,25.84,25.84,25.68,25.7923,8607.0
2020-11-10,25.841,25.86,25.73,25.819,6590.0
2020-11-09,25.64,25.86,25.64,25.82,8744.0
2020-11-06,25.82,25.82,25.68,25.68,4832.0
2020-11-05,25.78,25.9,25.68,25.86,10134.0
2020-11-04,25.55,25.78,25.5372,25.78,14665.0
2020-11-03,25.37,25.525,25.37,25.525,5196.0
2020-11-02,25.46,25.51,25.45,25.45,8565.0
2020-10-30,25.26,25.3552,25.246,25.34,5919.0
2020-10-29,25.43,25.43,25.28,25.28,7909.0
