date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,25.4,25.44,25.35,25.35,8257.0
2021-03-17,25.73,25.73,25.44,25.4509,3490.0
2021-03-16,25.6674,25.7379,25.63,25.63,6139.0
2021-03-15,25.45,25.72,25.45,25.71,11349.0
2021-03-12,25.31,25.445,25.31,25.39,7291.0
2021-03-11,25.44,25.48,25.44,25.48,3247.0
2021-03-10,25.33,25.44,25.31,25.43,6292.0
2021-03-09,25.2864,25.33,25.26,25.27,7928.0
2021-03-08,25.26,25.35,25.24,25.3,17389.0
2021-03-05,25.2,25.26,25.1697,25.25,7780.0
2021-03-04,25.26,25.31,25.198,25.198,9779.0
2021-03-03,25.18,25.25,25.18,25.25,8899.0
2021-03-02,25.24,25.29,25.18,25.18,13958.0
2021-03-01,25.1,25.2494,25.1,25.21,17136.0
2021-02-26,25.12,25.1619,25.1,25.1,8294.0
2021-02-25,25.2,25.2,24.84,25.07,14344.0
2021-02-24,25.23,25.25,25.22,25.22,4739.0
2021-02-23,25.25,25.34,25.2001,25.29,7214.0
2021-02-22,25.35,25.35,25.18,25.25,2746.0
2021-02-19,25.23,25.34,25.22,25.31,1821.0
2021-02-18,25.25,25.265,25.18,25.265,4379.0
2021-02-17,25.21,25.28,25.21,25.28,3113.0
2021-02-16,25.3,25.3,25.2,25.22,5457.0
2021-02-12,25.28,25.5,25.25,25.4,12981.0
2021-02-11,25.35,25.42,25.1738,25.42,10304.0
2021-02-10,25.38,25.534,25.35,25.35,9525.0
2021-02-09,25.52,25.52,25.46,25.46,517.0
2021-02-08,25.39,25.56,25.39,25.436,1817.0
2021-02-05,25.48,25.5,25.43,25.48,3143.0
2021-02-04,25.3,25.43,25.3,25.43,4458.0
2021-02-03,25.39,25.39,25.28,25.34,993.0
2021-02-02,25.38,25.53,25.38,25.4009,4088.0
2021-02-01,25.1519,25.39,25.1519,25.39,2474.0
2021-01-29,25.12,25.17,25.03,25.16,9774.0
2021-01-28,25.2,25.28,25.1,25.28,3616.0
2021-01-27,25.38,25.38,25.03,25.03,4989.0
2021-01-26,25.42,25.42,25.38,25.39,3374.0
2021-01-25,25.5,25.5,25.42,25.42,3511.0
2021-01-22,25.44,25.54,25.44,25.525,2471.0
2021-01-21,25.5575,25.63,25.44,25.44,2031.0
2021-01-20,25.51,25.63,25.48,25.48,2465.0
2021-01-19,25.67,25.67,25.48,25.495,1636.0
2021-01-15,25.5066,25.7,25.46,25.65,2373.0
2021-01-14,25.61,25.7274,25.565,25.57,1969.0
2021-01-13,25.51,25.74,25.4037,25.54,10059.0
2021-01-12,25.4051,25.559,25.23,25.3,6491.0
2021-01-11,25.5,25.76,25.34,25.34,5280.0
2021-01-08,25.51,25.82,25.51,25.79,4164.0
2021-01-07,25.45,25.68,25.23,25.57,13547.0
2021-01-06,25.81,25.81,25.26,25.385,11746.0
2021-01-05,25.73,25.89,25.73,25.795,10065.0
2021-01-04,26.2,26.25,25.73,25.77,11337.0
2020-12-31,26.73,26.73,25.94,25.95,74406.0
2020-12-30,26.966,26.99,26.4,26.4,6454.0
2020-12-29,27.31,27.31,26.7,26.7,10177.0
2020-12-28,27.2,27.51,27.2,27.5,3007.0
2020-12-24,27.44,27.44,27.37,27.37,431.0
2020-12-23,27.395,27.47,27.2,27.2,2330.0
2020-12-22,27.77,27.868,27.23,27.36,8691.0
2020-12-21,27.71,27.845,27.7,27.84,4101.0
2020-12-18,27.62,27.7163,27.62,27.7,1146.0
2020-12-17,27.57,27.63,27.56,27.62,3958.0
2020-12-16,27.5,27.57,27.5,27.57,1382.0
2020-12-15,27.46,27.54,27.41,27.53,7125.0
2020-12-14,27.53,27.55,27.45,27.5,3813.0
2020-12-11,27.27,27.3,27.0984,27.3,5027.0
2020-12-10,27.16,27.29,27.05,27.25,2037.0
2020-12-09,26.86,27.2826,26.86,27.27,5851.0
2020-12-08,26.855,27.18,26.855,27.14,4172.0
2020-12-07,26.813,27.07,26.813,26.97,7095.0
2020-12-04,26.7,27.08,26.7,26.87,8895.0
2020-12-03,26.41,26.83,26.41,26.83,6098.0
2020-12-02,26.43,26.5,26.43,26.5,405.0
2020-12-01,26.68,26.68,26.36,26.585,3117.0
2020-11-30,26.39,26.71,26.39,26.65,5321.0
2020-11-27,26.51,26.58,26.4,26.4,3268.0
2020-11-25,26.4761,26.4761,26.25,26.25,860.0
2020-11-24,26.48,26.4993,26.48,26.4993,1200.0
2020-11-23,26.36,26.48,26.36,26.48,492.0
2020-11-20,26.04,26.23,26.04,26.1501,2940.0
2020-11-19,26.51,26.52,26.37,26.485,3382.0
2020-11-18,26.41,26.45,26.41,26.45,1056.0
2020-11-17,26.14,26.54,26.12,26.12,7852.0
2020-11-16,26.0301,26.54,26.0301,26.53,2741.0
2020-11-13,26.4,26.42,26.4,26.42,2000.0
2020-11-12,26.09,26.28,26.09,26.28,2623.0
2020-11-11,26.12,26.19,25.88,26.19,4470.0
2020-11-10,25.77,26.12,25.75,26.12,5762.0
2020-11-09,26.13,26.13,25.764,25.764,5522.0
2020-11-06,26.12,26.12,25.57,25.65,8082.0
2020-11-05,26.21,26.21,26.21,26.21,115.0
2020-11-04,26.25,26.25,26.12,26.21,2086.0
2020-11-03,26.26,26.43,26.23,26.36,1591.0
2020-11-02,25.78,25.92,25.78,25.86,1144.0
2020-10-30,25.99,26.13,25.71,25.71,2901.0
2020-10-29,26.03,26.47,25.78,25.99,2462.0
2020-10-28,26.65,26.65,26.14,26.15,5967.0
2020-10-27,26.44,26.69,26.44,26.69,3230.0
2020-10-26,26.59,26.59,26.53,26.53,2275.0
2020-10-23,26.6,26.75,26.5166,26.74,6134.0
2020-10-22,26.44,26.52,26.36,26.52,4181.0
2020-10-21,26.37,26.4796,26.33,26.4796,2374.0
2020-10-20,26.5,26.5188,26.3438,26.5188,1670.0
2020-10-19,26.54,26.54,26.31,26.31,2918.0
2020-10-16,26.874,26.874,26.56,26.56,2282.0
2020-10-15,26.53,27.0,26.53,26.95,3465.0
2020-10-14,26.93,27.01,26.6,26.7778,3449.0
2020-10-13,26.78,26.97,26.77,26.97,8372.0
2020-10-12,26.71,26.85,26.71,26.85,6076.0
2020-10-09,26.76,26.87,26.57,26.8,4994.0
2020-10-08,26.47,26.78,26.47,26.76,6931.0
2020-10-07,26.46,26.58,26.38,26.485,4228.0
2020-10-06,26.3,26.525,26.21,26.48,9845.0
2020-10-05,26.57,26.67,26.2611,26.54,5065.0
2020-10-02,26.3,26.63,25.96,26.63,3413.0
2020-10-01,26.2,26.47,26.172,26.46,7679.0
2020-09-30,26.3236,26.4,26.06,26.06,2618.0
2020-09-29,26.04,26.4,26.04,26.35,9087.0
2020-09-28,25.86,26.24,25.65,26.19,8371.0
2020-09-25,25.56,25.99,25.54,25.99,4952.0
2020-09-24,25.22,25.55,25.22,25.5417,1644.0
2020-09-23,25.73,25.73,25.1,25.17,3954.0
2020-09-22,25.66,25.76,25.64,25.76,3330.0
2020-09-21,25.4,25.45,25.4,25.45,592.0
2020-09-18,25.525,25.6,25.49,25.56,3200.0
2020-09-17,25.68,25.68,25.64,25.64,1700.0
2020-09-16,25.75,25.952,25.75,25.952,2882.0
2020-09-15,25.6024,25.75,25.577,25.73,2758.0
2020-09-14,25.537,25.64,25.5,25.6,1700.0
2020-09-11,25.5,25.5,25.44,25.44,997.0
2020-09-10,25.65,25.795,25.5,25.5,6392.0
2020-09-09,25.48,25.48,25.41,25.41,419.0
2020-09-08,25.44,25.5,25.35,25.3507,2321.0
2020-09-04,25.6,25.6,25.48,25.57,2783.0
2020-09-03,25.85,25.85,25.55,25.55,1980.0
2020-09-02,25.64,25.7753,25.53,25.77,6612.0
2020-09-01,25.86,25.86,25.69,25.785,801.0
2020-08-31,25.77,26.04,25.72,26.02,22445.0
2020-08-28,25.9,25.9,25.65,25.65,4630.0
2020-08-27,25.87,25.94,25.81,25.94,11934.0
2020-08-26,25.78,25.885,25.78,25.88,2868.0
2020-08-25,25.75,25.835,25.51,25.75,5936.0
2020-08-24,25.81,25.9,25.81,25.84,4309.0
2020-08-21,25.915,25.9663,25.9069,25.91,2566.0
2020-08-20,25.85,25.87,25.56,25.87,2572.0
2020-08-19,25.87,25.9,25.85,25.85,11606.0
2020-08-18,25.87,25.92,25.77,25.89,13198.0
2020-08-17,25.87,25.87,25.85,25.86,865.0
2020-08-14,25.6,25.9,25.37,25.87,3432.0
2020-08-13,25.67,25.907,25.67,25.87,12909.0
2020-08-12,25.88,26.12,25.86,25.94,7449.0
2020-08-11,26.15,26.15,25.97,25.97,3248.0
2020-08-10,26.2,26.2,25.91,26.05,4159.0
2020-08-07,26.29,26.3,26.135,26.14,2179.0
2020-08-06,26.06,26.1799,26.04,26.1799,1817.0
2020-08-05,25.895,26.04,25.82,26.0,3844.0
2020-08-04,25.731,25.75,25.731,25.75,876.0
2020-08-03,25.865,25.865,25.8,25.8,1135.0
2020-07-31,25.65,25.79,25.65,25.79,684.0
2020-07-30,25.72,25.8,25.72,25.75,2711.0
2020-07-29,25.52,25.73,25.515,25.73,2558.0
2020-07-28,25.27,25.53,25.2131,25.53,3546.0
2020-07-27,25.49,25.49,25.49,25.49,106.0
2020-07-24,25.463,25.49,25.463,25.49,794.0
2020-07-23,25.33,25.44,25.33,25.42,2292.0
2020-07-22,25.49,25.64,25.3,25.48,5916.0
2020-07-21,25.63,25.68,25.48,25.56,4651.0
2020-07-20,25.62,25.62,25.24,25.55,2828.0
2020-07-17,25.52,25.58,25.48,25.58,2615.0
2020-07-16,25.28,25.46,25.28,25.46,2036.0
2020-07-15,25.28,25.3,25.2,25.3,1402.0
2020-07-14,25.33,25.33,25.33,25.33,10.0
2020-07-13,25.11,25.33,25.11,25.33,3382.0
2020-07-10,25.06,25.22,25.06,25.22,1312.0
2020-07-09,25.11,25.11,25.01,25.01,1709.0
2020-07-08,25.08,25.08,25.08,25.08,226.0
2020-07-07,25.04,25.09,24.95,24.95,3274.0
2020-07-06,24.84,25.24,24.84,25.24,947.0
2020-07-02,24.81,25.14,24.81,24.99,3271.0
2020-07-01,25.0,25.0,24.74,24.76,6349.0
2020-06-30,25.04,25.04,24.72,25.03,5401.0
2020-06-29,25.1,25.1,24.82,24.82,2361.0
2020-06-26,25.34,25.34,24.94,25.13,2251.0
2020-06-25,25.53,25.63,25.53,25.63,2668.0
2020-06-24,25.53,25.58,25.45,25.58,1613.0
2020-06-23,25.76,25.87,25.63,25.63,1499.0
2020-06-22,25.6,25.85,25.6,25.75,2099.0
2020-06-19,25.84,25.89,25.76,25.76,978.0
2020-06-18,25.63,25.9,25.6,25.9,1053.0
2020-06-17,25.8,26.0,25.52,25.52,3895.0
2020-06-16,25.97,25.97,25.82,25.82,1148.0
2020-06-15,25.5,25.62,25.08,25.62,4211.0
2020-06-12,26.02,26.02,25.51,25.51,3231.0
2020-06-11,25.86,25.96,25.45,25.49,6293.0
2020-06-10,26.14,26.41,26.08,26.41,5186.0
2020-06-09,26.16,26.41,26.14,26.4,5870.0
2020-06-08,26.1,26.28,25.85,26.28,6575.0
2020-06-05,26.23,26.44,26.01,26.04,5015.0
2020-06-04,25.82,26.17,25.78,26.16,7383.0
2020-06-03,25.72,25.99,25.72,25.99,27616.0
2020-06-02,25.09,25.72,25.06,25.72,3928.0
2020-06-01,25.26,25.73,25.0,25.72,9452.0
2020-05-29,24.76,25.89,24.43,25.55,32071.0
2020-05-28,25.32,25.32,25.02,25.06,9334.0
2020-05-27,25.41,25.41,24.82,25.19,16795.0
2020-05-26,25.0,25.19,24.76,25.1,9741.0
2020-05-22,24.03,24.97,24.03,24.88,2743.0
