date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,13.75,14.03,13.75,13.91,66770.0
2021-03-17,14.09,14.09,13.79,13.92,62050.0
2021-03-16,13.96,14.01,13.82,13.985,53692.0
2021-03-15,13.96,14.01,13.76,13.9,55731.0
2021-03-12,13.96,14.0408,13.73,13.89,41893.0
2021-03-11,13.9,14.0199,13.78,13.91,62518.0
2021-03-10,13.92,14.0,13.82,13.91,61457.0
2021-03-09,14.04,14.25,13.8,13.91,52388.0
2021-03-08,14.04,14.12,14.0234,14.05,261038.0
2021-03-05,14.05,14.12,13.86,14.01,41769.0
2021-03-04,13.92,14.0,13.8663,13.97,57778.0
2021-03-03,14.1,14.105,13.98,13.99,37142.0
2021-03-02,14.06,14.25,14.06,14.08,65595.0
2021-03-01,14.0,14.15,13.8601,14.13,33229.0
2021-02-26,13.95,13.97,13.7,13.88,87505.0
2021-02-25,14.12,14.12,13.8,13.89,31212.0
2021-02-24,13.88,14.0499,13.82,14.0,45261.0
2021-02-23,13.87,14.02,13.65,13.95,40087.0
2021-02-22,13.78,13.94,13.7044,13.84,34412.0
2021-02-19,13.94,13.94,13.78,13.78,29147.0
2021-02-18,14.12,14.12,13.79,13.9,29042.0
2021-02-17,14.19,14.19,13.96,14.12,54554.0
2021-02-16,14.05,14.15,13.98,14.06,31905.0
2021-02-12,14.01,14.02,13.7,13.95,48213.0
2021-02-11,14.07,14.19,13.84,13.92,49770.0
2021-02-10,14.16,14.2,13.99,14.11,69832.0
2021-02-09,14.02,14.23,13.84,14.17,107948.0
2021-02-08,13.8,13.935,13.76,13.93,43719.0
2021-02-05,13.62,13.84,13.6001,13.71,88161.0
2021-02-04,13.51,13.71,13.47,13.71,58767.0
2021-02-03,13.55,13.55,13.49,13.5,48366.0
2021-02-02,13.51,13.55,13.46,13.54,93437.0
2021-02-01,13.4,13.52,13.35,13.47,57999.0
2021-01-29,13.31,13.42,13.27,13.41,71014.0
2021-01-28,13.43,13.49,13.35,13.39,28603.0
2021-01-27,13.44,13.5,13.27,13.38,45633.0
2021-01-26,13.36,13.52,13.34,13.49,91258.0
2021-01-25,13.45,13.45,13.17,13.3,59650.0
2021-01-22,13.37,13.45,13.29,13.45,41959.0
2021-01-21,13.49,13.52,13.37,13.39,80003.0
2021-01-20,13.5,13.51,13.44,13.5,70922.0
2021-01-19,13.45,13.52,13.41,13.49,54002.0
2021-01-15,13.48,13.5,13.38,13.45,50819.0
2021-01-14,13.56,13.56,13.48,13.48,69734.0
2021-01-13,13.44,13.57,13.4294,13.51,59214.0
2021-01-12,13.41,13.52,13.4,13.48,98660.0
2021-01-11,13.51,13.51,13.4,13.5,113796.0
2021-01-08,13.55,13.5813,13.43,13.51,66955.0
2021-01-07,13.51,13.5989,13.44,13.51,90534.0
