date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,12.2,12.36,11.39,11.52,2789522.0
2021-03-17,12.02,12.37,11.9201,12.18,2066857.0
2021-03-16,12.6,12.84,11.925,12.13,1407449.0
2021-03-15,12.77,13.12,12.625,12.7,2479483.0
2021-03-12,12.15,12.98,12.08,12.71,2852685.0
2021-03-11,12.1,12.35,11.94,12.1,1926979.0
2021-03-10,11.54,11.91,11.4905,11.7,1076932.0
2021-03-09,11.85,11.85,11.41,11.45,1788136.0
2021-03-08,11.21,11.79,11.2,11.62,1478202.0
2021-03-05,11.1,11.29,10.52,11.08,1931632.0
2021-03-04,11.49,11.68,10.84,10.9,1888761.0
2021-03-03,11.69,12.0,11.4986,11.53,1149209.0
2021-03-02,11.23,11.86,11.18,11.51,1260518.0
2021-03-01,11.5,11.52,10.965,11.31,1636134.0
2021-02-26,11.28,11.5186,10.775,11.14,1131949.0
2021-02-25,11.39,11.74,11.18,11.25,2305479.0
2021-02-24,12.36,12.75,11.13,11.14,3278193.0
2021-02-23,10.51,11.02,10.29,10.7,1424806.0
2021-02-22,10.6,11.26,10.5519,10.94,2061671.0
2021-02-19,10.02,10.685,10.0,10.67,1458354.0
2021-02-18,10.12,10.16,9.7,9.96,859753.0
2021-02-17,10.17,10.26,9.88,10.22,528268.0
2021-02-16,10.12,10.43,10.11,10.21,688492.0
2021-02-12,10.2,10.26,9.83,10.0,947368.0
2021-02-11,10.38,10.78,10.18,10.37,760924.0
2021-02-10,10.63,10.63,10.201,10.38,995797.0
2021-02-09,11.14,11.2,10.52,10.56,850600.0
2021-02-08,10.8,11.29,10.8,11.14,1013385.0
2021-02-05,10.88,11.07,10.68,10.75,725316.0
2021-02-04,10.86,10.94,10.455,10.73,784214.0
2021-02-03,10.88,11.14,10.85,10.89,748824.0
2021-02-02,10.86,10.86,10.33,10.79,892632.0
2021-02-01,10.2,10.83,10.165,10.65,960449.0
2021-01-29,10.06,10.28,9.87,10.1,798169.0
2021-01-28,9.83,10.19,9.67,10.02,1107375.0
2021-01-27,9.75,10.1,9.51,9.76,1146437.0
2021-01-26,10.37,10.54,9.9301,10.05,988886.0
2021-01-25,10.63,10.7,10.06,10.35,780937.0
2021-01-22,10.59,10.83,10.46,10.71,764524.0
2021-01-21,10.75,11.22,10.54,10.72,1180297.0
2021-01-20,10.71,10.97,10.51,10.71,645786.0
2021-01-19,10.91,11.0,10.32,10.45,850637.0
2021-01-15,10.82,10.82,10.39,10.76,1120323.0
2021-01-14,11.06,11.365,10.9,10.91,1030854.0
2021-01-13,11.73,11.85,10.86,10.91,1117438.0
2021-01-12,11.39,11.9,11.24,11.72,957799.0
2021-01-11,11.3,11.6,11.09,11.4,942717.0
2021-01-08,12.27,12.3,11.57,11.71,1173991.0
2021-01-07,11.88,12.935,11.85,12.17,1656329.0
2021-01-06,10.7,11.46,10.64,11.2,1125482.0
2021-01-05,10.14,10.555,10.12,10.52,545582.0
2021-01-04,10.76,10.89,10.07,10.26,701243.0
2020-12-31,10.67,10.8,10.47,10.6,499780.0
2020-12-30,10.38,10.75,10.34,10.59,490736.0
2020-12-29,10.44,10.475,9.89,10.29,885879.0
2020-12-28,10.57,10.96,10.38,10.46,686918.0
2020-12-24,10.59,10.59,10.16,10.33,242345.0
2020-12-23,9.9,10.62,9.9,10.48,1043707.0
2020-12-22,9.77,9.99,9.5601,9.83,768477.0
2020-12-21,9.48,9.9,9.24,9.83,1148651.0
2020-12-18,10.29,10.43,9.73,9.82,1152724.0
2020-12-17,10.72,10.7297,10.23,10.27,865367.0
2020-12-16,10.56,10.85,10.4564,10.62,887163.0
2020-12-15,10.1,10.375,9.75,10.36,1013961.0
2020-12-14,10.5,10.53,9.89,9.93,1003758.0
2020-12-11,10.25,10.33,9.9337,10.28,876720.0
2020-12-10,10.45,10.59,10.17,10.5,834435.0
2020-12-09,10.67,10.9,10.56,10.6,1170355.0
2020-12-08,10.57,10.9,10.32,10.52,1088251.0
2020-12-07,11.1,11.1,10.785,10.84,1000275.0
2020-12-04,10.91,11.22,10.75,11.06,1364517.0
2020-12-03,10.88,10.97,10.42,10.77,1057484.0
2020-12-02,10.84,11.0,10.41,10.91,1202268.0
2020-12-01,10.93,11.455,10.83,10.92,788537.0
2020-11-30,11.13,11.15,10.61,10.65,881944.0
2020-11-27,11.03,11.19,10.67,11.13,413449.0
2020-11-25,11.17,11.3,10.51,11.13,1224396.0
2020-11-24,10.96,11.69,10.89,11.4,1049944.0
2020-11-23,10.5,10.834,10.41,10.69,854455.0
2020-11-20,9.99,10.29,9.86,10.28,988636.0
2020-11-19,10.34,10.66,9.9838,10.07,1271765.0
2020-11-18,9.15,10.43,9.12,9.76,2458112.0
2020-11-17,8.9,9.19,8.665,9.12,612473.0
2020-11-16,8.75,9.22,8.58,9.06,1441605.0
2020-11-13,8.32,8.52,8.15,8.5,620489.0
2020-11-12,8.24,8.36,8.03,8.16,788703.0
2020-11-11,8.7,8.716,8.22,8.34,424155.0
2020-11-10,8.51,8.89,8.4302,8.62,951302.0
2020-11-09,8.86,8.97,8.2,8.3,1499037.0
2020-11-06,8.24,8.26,7.825,7.93,932346.0
2020-11-05,7.95,8.38,7.89,8.18,971619.0
2020-11-04,8.35,8.65,7.72,7.85,1467772.0
2020-11-03,7.75,8.66,7.6952,8.54,2535756.0
2020-11-02,8.07,8.79,7.1,7.38,3064335.0
2020-10-30,8.53,8.7,8.14,8.62,1129890.0
2020-10-29,8.18,8.62,8.02,8.59,932284.0
2020-10-28,8.5,8.65,8.19,8.26,1255106.0
2020-10-27,9.04,9.18,8.79,8.9,1167078.0
2020-10-26,8.96,9.15,8.78,9.13,729595.0
2020-10-23,9.46,9.6,9.175,9.21,573484.0
2020-10-22,8.92,9.42,8.9,9.33,702229.0
2020-10-21,8.79,8.975,8.67,8.82,509154.0
2020-10-20,8.72,8.99,8.57,8.79,654538.0
2020-10-19,8.77,8.91,8.53,8.54,484078.0
2020-10-16,8.87,8.95,8.64,8.76,470088.0
2020-10-15,8.48,8.87,8.41,8.84,684960.0
2020-10-14,8.81,9.0,8.7633,8.79,619896.0
2020-10-13,8.33,8.85,8.22,8.73,695011.0
2020-10-12,8.8,9.01,8.51,8.57,814504.0
2020-10-09,9.11,9.3299,8.81,8.82,701722.0
2020-10-08,9.1,9.38,8.89,9.03,1149571.0
2020-10-07,8.54,9.0,8.5,8.95,1160298.0
2020-10-06,8.49,8.86,8.2603,8.36,1332795.0
2020-10-05,7.72,8.39,7.72,8.33,1722125.0
2020-10-02,6.94,7.618,6.89,7.55,822739.0
2020-10-01,7.07,7.24,6.85,7.2,736592.0
2020-09-30,6.96,7.23,6.87,6.94,761510.0
2020-09-29,6.8,7.0,6.72,6.91,587231.0
2020-09-28,6.55,6.92,6.55,6.83,882868.0
2020-09-25,6.5,6.66,6.19,6.38,1197277.0
2020-09-24,6.73,6.82,6.46,6.55,923493.0
2020-09-23,7.1,7.17,6.7,6.75,802773.0
2020-09-22,7.06,7.23,6.93,7.03,985712.0
2020-09-21,7.1,7.24,6.79,6.99,1547440.0
2020-09-18,7.61,7.76,7.44,7.54,1720354.0
2020-09-17,7.75,7.99,7.31,7.71,1057824.0
2020-09-16,8.36,8.54,7.75,7.86,1835802.0
2020-09-15,8.48,8.72,8.362,8.4,600370.0
2020-09-14,8.09,8.44,7.9773,8.4,698422.0
2020-09-11,8.12,8.1442,7.86,8.01,606084.0
2020-09-10,8.41,8.51,8.02,8.08,740900.0
