date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,19.85,20.78,19.73,20.4,2646082.0
2021-03-17,19.85,19.85,19.55,19.8,2083075.0
2021-03-16,19.58,19.84,19.32,19.72,1673648.0
2021-03-15,19.7,19.81,19.47,19.65,1613838.0
2021-03-12,19.72,19.87,19.56,19.69,1246165.0
2021-03-11,19.39,19.91,19.15,19.59,1857376.0
2021-03-10,18.91,19.69,18.9,19.43,1781400.0
2021-03-09,19.12,19.39,18.61,18.88,1943873.0
2021-03-08,18.99,19.44,18.64,19.07,2416544.0
2021-03-05,18.22,18.98,18.015,18.91,2264526.0
2021-03-04,17.99,18.28,17.83,18.05,1885995.0
2021-03-03,17.75,18.25,17.681,18.02,1998228.0
2021-03-02,18.09,18.09,17.4,17.68,2049762.0
2021-03-01,18.2,18.2,16.77,18.05,5708051.0
2021-02-26,18.31,18.74,18.08,18.23,2893435.0
2021-02-25,19.05,19.27,18.23,18.29,2841215.0
2021-02-24,18.95,19.13,18.77,19.02,2022102.0
2021-02-23,18.43,18.93,18.29,18.89,2048637.0
2021-02-22,18.1,18.57,18.0,18.42,1657683.0
2021-02-19,17.91,18.09,17.8458,18.04,1097305.0
2021-02-18,17.98,18.18,17.765,17.88,966846.0
2021-02-17,17.6,18.095,17.45,17.99,1868138.0
2021-02-16,17.79,17.9,17.45,17.6,1125708.0
2021-02-12,17.45,17.84,17.38,17.68,899002.0
2021-02-11,17.44,17.61,17.18,17.47,826193.0
2021-02-10,17.62,17.69,17.125,17.45,1460887.0
2021-02-09,17.43,17.6,17.2,17.52,954389.0
2021-02-08,17.32,17.56,17.11,17.52,2108151.0
2021-02-05,17.18,17.43,17.045,17.29,1832232.0
2021-02-04,16.3,17.07,16.26,17.02,1812566.0
2021-02-03,16.39,16.55,16.24,16.3,1166308.0
2021-02-02,16.69,16.795,16.24,16.47,1698142.0
2021-02-01,16.15,16.715,15.93,16.57,1812923.0
2021-01-29,15.7,16.17,15.6599,16.03,2880405.0
2021-01-28,15.65,16.09,15.52,15.77,1739561.0
2021-01-27,15.9,16.24,15.47,15.55,1715745.0
2021-01-26,16.11,16.16,15.9,16.08,1084342.0
2021-01-25,15.6,16.16,15.57,15.98,1158926.0
2021-01-22,15.59,15.74,15.3198,15.73,928235.0
2021-01-21,15.3,16.39,15.11,15.68,2376142.0
2021-01-20,15.65,15.735,15.12,15.22,1824623.0
2021-01-19,14.99,15.57,14.8,15.57,1917751.0
2021-01-15,14.67,14.945,14.5898,14.9,1759133.0
2021-01-14,14.99,15.05,14.51,14.82,1439161.0
2021-01-13,15.31,15.31,14.82,14.82,1257141.0
2021-01-12,15.63,15.72,15.32,15.32,969613.0
2021-01-11,15.17,15.64,15.17,15.48,1140750.0
2021-01-08,15.76,15.76,15.07,15.45,1538001.0
2021-01-07,15.41,16.15,15.12,15.64,3034070.0
2021-01-06,14.52,15.55,14.455,15.45,3059863.0
2021-01-05,13.96,14.25,13.96,14.18,1491995.0
2021-01-04,14.08,14.135,13.75,13.97,1651479.0
2020-12-31,13.85,14.0,13.77,13.95,1097038.0
2020-12-30,13.78,13.91,13.765,13.78,600383.0
2020-12-29,13.86,13.88,13.57,13.71,652224.0
2020-12-28,13.5,13.84,13.42,13.81,1079019.0
2020-12-24,13.5,13.525,13.29,13.35,572112.0
2020-12-23,13.17,13.49,13.15,13.48,1475770.0
2020-12-22,13.42,13.42,13.085,13.12,1017043.0
2020-12-21,13.25,13.445,13.045,13.43,1832377.0
2020-12-18,13.94,13.95,13.37,13.38,4775397.0
2020-12-17,14.12,14.2173,13.735,13.89,1800063.0
2020-12-16,14.45,14.49,13.99,13.99,1775085.0
2020-12-15,14.25,14.38,14.0,14.3,4348835.0
2020-12-14,14.64,14.64,14.2,14.21,1308458.0
2020-12-11,14.51,14.705,14.41,14.42,975837.0
2020-12-10,14.45,14.68,14.39,14.65,1621764.0
2020-12-09,14.82,14.97,14.58,14.65,2323397.0
2020-12-08,14.61,14.87,14.61,14.73,974202.0
2020-12-07,14.71,14.84,14.505,14.76,966235.0
2020-12-04,14.45,14.79,14.33,14.74,1180027.0
2020-12-03,14.57,14.79,14.26,14.36,764622.0
2020-12-02,14.48,14.63,14.3,14.62,1236930.0
2020-12-01,14.47,14.66,14.44,14.5,1922560.0
2020-11-30,14.59,14.79,14.365,14.41,1363038.0
2020-11-27,14.69,14.77,14.44,14.6,2530051.0
2020-11-25,14.66,14.73,14.42,14.69,835431.0
2020-11-24,14.78,14.905,14.65,14.72,1518648.0
2020-11-23,14.56,14.64,14.43,14.49,892976.0
2020-11-20,13.92,14.6,13.92,14.4,1858265.0
2020-11-19,14.41,14.53,13.945,14.01,1703370.0
2020-11-18,14.89,14.9499,14.435,14.44,1412983.0
2020-11-17,14.44,14.985,14.44,14.87,2797775.0
2020-11-16,14.5,14.68,14.31,14.6,2736698.0
2020-11-13,14.08,14.26,14.0,14.22,937466.0
2020-11-12,13.82,14.04,13.54,13.93,1531423.0
2020-11-11,14.07,14.08,13.81,13.99,1205525.0
2020-11-10,13.99,14.29,13.945,14.11,1686105.0
2020-11-09,13.4,14.6,13.4,13.67,1482009.0
2020-11-06,13.01,13.365,12.94,13.17,2427837.0
2020-11-05,12.38,13.055,12.38,13.01,1938576.0
2020-11-04,12.4,12.71,12.01,12.4,2125906.0
2020-11-03,12.51,12.715,12.375,12.64,2001629.0
2020-11-02,12.19,12.33,11.96,12.26,1121864.0
2020-10-30,12.03,12.13,11.94,12.03,1074362.0
2020-10-29,11.88,12.18,11.77,12.08,837525.0
2020-10-28,12.11,12.44,11.98,12.0,880573.0
2020-10-27,12.69,12.69,12.41,12.42,10629226.0
2020-10-26,13.16,13.16,12.72,12.76,959631.0
2020-10-23,13.15,13.47,13.11,13.29,1711493.0
2020-10-22,12.54,13.05,12.49,13.02,2005984.0
2020-10-21,12.11,12.5,12.08,12.44,1293277.0
2020-10-20,11.91,12.195,11.75,12.15,1267504.0
2020-10-19,12.19,12.2,11.775,11.8,1030902.0
2020-10-16,11.83,12.15,11.83,12.1,1189183.0
2020-10-15,12.21,12.25,11.785,11.85,1049918.0
2020-10-14,11.67,11.88,11.6,11.61,658575.0
2020-10-13,11.96,12.11,11.705,11.74,1034641.0
2020-10-12,12.01,12.16,11.92,12.1,964873.0
2020-10-09,12.43,12.55,12.07,12.09,841814.0
2020-10-08,12.28,12.35,12.16,12.34,1139052.0
2020-10-07,11.89,12.225,11.89,12.13,1978332.0
2020-10-06,11.86,12.09,11.73,11.81,1879447.0
2020-10-05,11.61,11.82,11.6052,11.79,1100246.0
2020-10-02,11.32,11.73,11.26,11.48,1461409.0
2020-10-01,11.74,11.89,11.33,11.47,1502062.0
2020-09-30,11.84,12.01,11.645,11.75,1660470.0
2020-09-29,11.92,12.06,11.7001,11.78,712603.0
2020-09-28,11.91,12.08,11.87,11.94,930653.0
