date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,51.65,52.89,51.46,51.59,114474.0
2021-03-17,50.52,52.26,50.3343,52.05,118629.0
2021-03-16,52.58,53.335,50.37,50.99,160264.0
2021-03-15,52.6,53.545,52.08,52.77,96063.0
2021-03-12,51.6,52.9,51.6,52.74,154286.0
2021-03-11,51.0,51.8141,50.395,51.54,165705.0
2021-03-10,50.02,52.12,50.02,50.57,184740.0
2021-03-09,49.3,50.29,48.4,49.76,209877.0
2021-03-08,47.86,49.175,47.86,48.46,217171.0
2021-03-05,47.81,48.37,45.8,48.13,305257.0
2021-03-04,48.97,49.9,46.58,47.52,305301.0
2021-03-03,50.1,50.49,48.97,48.97,282932.0
2021-03-02,51.47,51.47,48.84,49.88,236913.0
2021-03-01,50.04,52.2899,50.04,51.59,178792.0
2021-02-26,50.88,51.015,49.0,49.2,170593.0
2021-02-25,51.92,52.64,49.98,50.43,169687.0
2021-02-24,51.54,52.86,51.1,52.21,271378.0
2021-02-23,49.23,51.51,48.0,51.28,309030.0
2021-02-22,51.06,51.06,49.39,49.75,180335.0
2021-02-19,51.89,52.8,51.05,51.48,185526.0
2021-02-18,52.55,53.48,50.87,51.75,261624.0
2021-02-17,52.73,53.3749,51.36,52.98,244618.0
2021-02-16,56.57,56.63,52.6,53.44,610743.0
2021-02-12,57.08,61.08,55.4,59.0,504086.0
2021-02-11,55.6,57.61,53.54,57.4,368815.0
2021-02-10,55.95,57.28,52.3798,54.81,297254.0
2021-02-09,55.56,57.44,55.43,56.7,264976.0
2021-02-08,54.57,56.63,54.32,55.74,272114.0
2021-02-05,54.0,55.16,53.05,54.25,264440.0
2021-02-04,52.01,53.71,52.01,53.43,139578.0
2021-02-03,51.79,53.44,50.89,51.96,183304.0
2021-02-02,52.11,54.9,50.0,50.61,231598.0
2021-02-01,48.91,52.31,46.82,51.62,455449.0
2021-01-29,47.05,47.89,46.05,47.1,262076.0
2021-01-28,45.55,47.62,45.325,47.25,173048.0
2021-01-27,45.22,46.0,43.77,45.27,285256.0
2021-01-26,45.1,46.56,44.3301,46.06,218633.0
