date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,25.29,25.29,25.29,25.29,937.0
2021-03-17,25.3,25.3,25.29,25.29,719.0
2021-03-16,25.32,25.32,25.29,25.32,1362.0
2021-03-15,25.28,25.28,25.28,25.28,244.0
2021-03-12,25.3001,25.329,25.28,25.28,5981.0
2021-03-11,25.325,25.35,25.28,25.28,7652.0
2021-03-10,25.28,25.3,25.28,25.2801,2058.0
2021-03-09,25.36,25.36,25.26,25.28,160176.0
2021-03-08,25.33,25.34,25.28,25.3,10996.0
2021-03-05,25.29,25.305,25.26,25.2604,5537.0
2021-03-04,25.2606,25.2606,25.2606,25.2606,316.0
2021-03-03,25.35,25.36,25.28,25.35,9890.0
2021-03-02,25.3001,25.3027,25.23,25.24,7931.0
2021-03-01,25.41,25.41,25.32,25.365,1378.0
2021-02-26,25.355,25.355,25.355,25.355,376.0
2021-02-25,25.49,25.49,25.31,25.355,1398.0
2021-02-24,25.35,25.35,25.35,25.35,948.0
2021-02-23,25.35,25.4,25.35,25.4,691.0
2021-02-22,25.4,25.4,25.4,25.4,618.0
2021-02-19,25.4,25.4,25.301,25.4,1124.0
2021-02-18,25.3803,25.3803,25.3803,25.3803,218.0
2021-02-17,25.35,25.4499,25.3114,25.3803,3490.0
2021-02-16,25.3866,25.4,25.35,25.35,3328.0
2021-02-12,25.445,25.45,25.4,25.45,767.0
2021-02-11,25.45,25.47,25.45,25.45,1004.0
2021-02-10,25.47,25.49,25.41,25.49,2067.0
2021-02-09,25.47,25.47,25.47,25.47,711.0
2021-02-08,25.35,25.485,25.31,25.46,2194.0
2021-02-05,25.41,25.41,25.41,25.41,1359.0
2021-02-04,25.4,25.4,25.4,25.4,383.0
2021-02-03,25.4,25.4,25.4,25.4,346.0
2021-02-02,25.45,25.45,25.4,25.4,848.0
2021-02-01,25.45,25.45,25.45,25.45,392.0
2021-01-29,25.41,25.41,25.41,25.41,391.0
2021-01-28,25.395,25.4,25.31,25.4,554.0
2021-01-27,25.3,25.48,25.3,25.35,4037.0
2021-01-26,25.4,25.4,25.31,25.39,2897.0
2021-01-25,25.32,25.4,25.31,25.36,3350.0
2021-01-22,25.48,25.48,25.35,25.4,4302.0
2021-01-21,25.49,25.49,25.49,25.49,405.0
2021-01-20,25.4,25.49,25.4,25.49,3663.0
2021-01-19,25.5,25.5,25.31,25.38,1849.0
2021-01-15,25.36,25.48,25.35,25.48,747.0
2021-01-14,25.5,25.5,25.32,25.47,1700.0
2021-01-13,25.47,25.5,25.4,25.5,2960.0
2021-01-12,25.32,25.43,25.32,25.42,1375.0
2021-01-11,25.42,25.4426,25.33,25.435,2886.0
2021-01-08,25.55,25.55,25.35,25.51,4042.0
2021-01-07,25.48,25.6412,25.34,25.4902,5482.0
2021-01-06,25.43,25.62,25.33,25.62,6733.0
2021-01-05,25.3716,25.389,25.325,25.325,1142.0
2021-01-04,25.255,25.4399,25.255,25.43,1865.0
2020-12-31,25.2598,25.3,25.21,25.21,12774.0
2020-12-30,25.35,25.35,25.2,25.26,2983.0
2020-12-29,25.566,25.566,25.39,25.49,4405.0
2020-12-28,25.66,25.66,25.36,25.46,5860.0
2020-12-24,25.5446,25.69,25.35,25.45,7658.0
2020-12-23,25.72,25.72,25.72,25.72,544.0
2020-12-22,25.62,25.73,25.47,25.72,4006.0
2020-12-21,25.6,25.6,25.49,25.5999,4509.0
2020-12-18,25.75,25.75,25.6,25.6,1339.0
2020-12-17,25.52,25.64,25.52,25.6,4862.0
2020-12-16,25.62,25.62,25.44,25.59,2110.0
2020-12-15,25.525,25.64,25.4,25.64,5883.0
2020-12-14,25.4,25.6,25.27,25.6,7402.0
2020-12-11,25.45,25.5966,25.31,25.54,2771.0
2020-12-10,25.4,25.59,25.4,25.42,1174.0
2020-12-09,25.4345,25.44,25.4345,25.44,498.0
2020-12-08,25.54,25.54,25.4,25.5044,3096.0
2020-12-07,25.34,25.5,25.3,25.43,4115.0
2020-12-04,25.47,25.47,25.32,25.39,712.0
2020-12-03,25.3,25.37,25.28,25.37,3141.0
2020-12-02,25.368,25.38,25.35,25.35,660.0
2020-12-01,25.45,25.45,25.375,25.45,1701.0
2020-11-30,25.46,25.4683,25.4042,25.4683,1099.0
2020-11-27,25.31,25.405,25.31,25.405,579.0
2020-11-25,25.32,25.49,25.32,25.45,1170.0
2020-11-24,25.52,25.52,25.35,25.48,3193.0
2020-11-23,25.45,25.47,25.4,25.47,4069.0
2020-11-20,25.27,25.4673,25.27,25.4673,1693.0
2020-11-19,25.6,25.6,25.6,25.6,905.0
2020-11-18,25.6,25.6,25.3,25.6,3037.0
2020-11-17,25.6,25.6,25.445,25.6,784.0
2020-11-16,25.3062,26.51,25.1,25.57,11392.0
2020-11-13,25.09,25.3994,25.09,25.11,1918.0
2020-11-12,25.3,25.31,25.0,25.11,6556.0
2020-11-11,25.25,25.4,25.11,25.27,4871.0
2020-11-10,25.3,25.35,25.3,25.35,2602.0
2020-11-09,25.36,25.4,25.2755,25.35,4727.0
2020-11-06,25.2956,25.34,25.26,25.34,1551.0
2020-11-05,25.0,25.35,24.9,25.18,8086.0
2020-11-04,25.04,25.36,24.8,25.36,3903.0
2020-11-03,24.9,25.15,24.9,25.15,3074.0
2020-11-02,24.81,25.0356,24.75,24.92,7920.0
2020-10-30,24.8,24.9,24.71,24.8967,21129.0
2020-10-29,24.79,24.85,24.75,24.85,4443.0
2020-10-28,24.9,24.9,24.6,24.84,3281.0
2020-10-27,24.79,24.9,24.7407,24.9,2862.0
2020-10-26,24.74,24.78,24.64,24.76,16727.0
2020-10-23,24.9,24.955,24.705,24.8,7955.0
2020-10-22,25.07,25.07,24.8211,24.825,4622.0
2020-10-21,24.875,24.95,24.85,24.9,4847.0
2020-10-20,25.0264,25.0264,24.5,24.853,14371.0
2020-10-19,24.98,25.03,24.95,25.03,11972.0
2020-10-16,24.975,25.0,24.9619,24.9619,1658.0
2020-10-15,25.04,25.04,24.97,24.99,8698.0
2020-10-14,25.0,25.0,24.91,24.95,9327.0
2020-10-13,25.0,25.0,24.9533,24.9533,1118.0
2020-10-12,25.0,25.0,24.9698,24.9698,1184.0
2020-10-09,24.976,25.0,24.9,24.97,2658.0
2020-10-08,25.01,25.01,24.92,25.0,13550.0
2020-10-07,25.05,25.05,24.93,24.9595,8160.0
2020-10-06,24.99,25.02,24.949,24.97,9827.0
2020-10-05,24.9915,25.0,24.85,24.9001,3055.0
2020-10-02,24.975,25.0,24.95,24.95,1121.0
2020-10-01,25.0947,25.0947,24.75,24.9716,2674.0
2020-09-30,24.99,25.065,24.9,25.01,7230.0
2020-09-29,25.1685,25.2,25.09,25.2,5952.0
2020-09-28,25.36,25.36,25.04,25.195,2656.0
2020-09-25,25.03,25.2,25.03,25.1001,2212.0
2020-09-24,25.2,25.2,25.09,25.2,3074.0
2020-09-23,25.41,25.41,25.2,25.2,1224.0
2020-09-22,25.41,25.41,25.2,25.34,1924.0
2020-09-21,25.48,25.48,25.21,25.27,3301.0
2020-09-18,25.35,25.35,25.35,25.35,313.0
2020-09-17,25.35,25.35,25.02,25.25,2349.0
2020-09-16,25.38,25.38,25.0239,25.16,2424.0
2020-09-15,25.16,25.264,25.02,25.1237,4235.0
2020-09-14,25.17,25.17,25.0452,25.1,8384.0
2020-09-11,25.29,25.29,25.05,25.076,10547.0
2020-09-10,25.3,25.3,25.175,25.175,621.0
2020-09-09,25.43,25.43,25.06,25.07,5919.0
2020-09-08,25.21,25.3867,25.17,25.225,1666.0
2020-09-04,25.24,25.24,25.1116,25.2,1541.0
2020-09-03,25.19,25.4,25.06,25.2,4822.0
2020-09-02,25.48,25.48,25.06,25.27,3625.0
2020-09-01,25.31,25.48,25.06,25.08,2100.0
2020-08-31,25.31,25.31,25.185,25.3,1440.0
2020-08-28,25.29,25.29,24.9241,25.29,556.0
2020-08-27,25.3,25.3,24.75,25.2045,5909.0
2020-08-26,25.24,25.24,25.0006,25.1,3608.0
2020-08-25,25.19,25.19,24.75,24.985,7543.0
2020-08-24,25.3,25.3,24.981,25.0614,4957.0
2020-08-21,25.19,25.2,25.1,25.19,3639.0
2020-08-20,25.24,25.3,25.13,25.19,4984.0
2020-08-19,25.31,25.31,25.2,25.24,2972.0
2020-08-18,25.31,25.31,25.21,25.21,2325.0
2020-08-17,25.39,25.39,25.13,25.2,1696.0
2020-08-14,25.01,25.43,25.01,25.32,4623.0
2020-08-13,25.1946,25.535,25.1001,25.5,5889.0
2020-08-12,24.95,25.0,24.925,25.0,5207.0
2020-08-11,24.98,25.0,24.73,25.0,3007.0
2020-08-10,24.94,25.25,24.9,24.9,2950.0
2020-08-07,24.6801,24.99,24.6801,24.88,12766.0
2020-08-06,24.5827,25.0,24.5827,24.68,19964.0
2020-08-05,24.555,24.75,24.4,24.68,3966.0
2020-08-04,24.35,24.675,24.3499,24.675,2096.0
2020-08-03,24.19,24.35,24.19,24.35,7866.0
2020-07-31,24.2,24.2,24.17,24.1801,1237.0
2020-07-30,24.2,24.2,24.1,24.1377,2093.0
2020-07-29,23.95,24.2,23.9,24.07,2826.0
2020-07-28,24.0019,24.2,23.9913,24.075,10469.0
2020-07-27,23.84,24.18,23.7975,24.1,13865.0
2020-07-24,23.9,23.975,23.6,23.6,109174.0
2020-07-23,23.85,23.94,23.75,23.79,35401.0
2020-07-22,23.95,24.0199,23.57,23.87,21688.0
2020-07-21,23.98,24.015,23.9,23.956,3108.0
2020-07-20,23.9,24.05,23.9,23.94,4257.0
2020-07-17,24.0,24.0,23.795,23.9,4554.0
2020-07-16,23.99,24.09,23.99,24.09,1643.0
2020-07-15,24.15,24.15,23.57,23.95,18637.0
2020-07-14,23.993,24.14,23.993,23.994,2041.0
2020-07-13,24.0,24.19,23.92,24.05,3758.0
2020-07-10,23.81,24.045,23.81,23.95,2927.0
