date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,57.77,58.48,57.425,58.36,308310.0
2021-03-17,58.28,58.28,57.3,58.05,207285.0
2021-03-16,58.31,58.59,57.9,58.35,352503.0
2021-03-15,57.38,58.43,57.0,58.31,451847.0
2021-03-12,56.41,57.61,56.17,57.44,458077.0
2021-03-11,55.7,56.4,55.53,56.35,325520.0
2021-03-10,55.51,56.01,55.17,55.52,772937.0
2021-03-09,55.91,56.3,55.34,55.51,354471.0
2021-03-08,55.98,56.285,55.38,55.42,287296.0
2021-03-05,54.82,56.07,53.975,55.9,415197.0
2021-03-04,54.68,55.67,54.07,54.34,360100.0
2021-03-03,55.19,55.31,54.44,54.52,276929.0
2021-03-02,56.07,56.23,54.86,55.44,282724.0
2021-03-01,56.53,57.3,56.16,56.4,440975.0
2021-02-26,57.3,57.65,56.04,56.04,574462.0
2021-02-25,57.74,58.6,56.81,57.03,238447.0
2021-02-24,59.05,59.05,58.0,58.14,293574.0
2021-02-23,58.57,59.32,58.23,58.9,428710.0
2021-02-22,58.28,58.67,57.74,58.46,209942.0
2021-02-19,58.82,58.97,58.2,58.46,234171.0
2021-02-18,59.55,59.8,58.57,58.66,158984.0
2021-02-17,59.68,60.17,59.34,59.48,202515.0
2021-02-16,61.3,61.3,59.61,59.98,268783.0
2021-02-12,60.75,61.23,60.575,61.12,280785.0
2021-02-11,59.51,61.24,59.51,61.03,302679.0
2021-02-10,59.75,60.13,59.12,59.4,280277.0
2021-02-09,60.34,60.66,59.12,59.29,345475.0
2021-02-08,60.44,60.49,59.19,60.42,268450.0
2021-02-05,60.22,60.44,59.7,59.93,157815.0
2021-02-04,58.9,60.04,58.64,59.97,332639.0
2021-02-03,59.04,59.05,58.145,58.95,266870.0
2021-02-02,58.83,59.67,58.275,59.4,238098.0
2021-02-01,56.77,58.57,56.01,58.37,217340.0
2021-01-29,56.11,57.23,55.32,56.58,347708.0
2021-01-28,56.69,57.16,56.035,56.47,287471.0
2021-01-27,57.27,58.07,56.09,56.44,413727.0
2021-01-26,57.45,58.46,57.45,58.02,281870.0
2021-01-25,57.14,57.915,56.65,57.29,258872.0
2021-01-22,56.49,57.19,56.35,57.06,204012.0
2021-01-21,56.42,57.165,55.795,56.88,193079.0
2021-01-20,55.6,56.845,55.57,56.54,390536.0
2021-01-19,56.42,56.42,55.48,55.51,292905.0
2021-01-15,55.16,56.06,54.96,56.06,399060.0
2021-01-14,55.73,55.86,54.87,55.32,281442.0
2021-01-13,55.16,55.92,55.16,55.44,441522.0
2021-01-12,55.7,55.78,54.59,54.77,452697.0
2021-01-11,55.88,56.17,55.29,55.55,479253.0
2021-01-08,55.9,56.71,55.78,56.23,402792.0
2021-01-07,55.56,55.9722,55.15,55.75,286927.0
2021-01-06,56.84,56.8883,55.475,55.81,453875.0
2021-01-05,56.13,56.8,55.76,56.35,239430.0
2021-01-04,58.45,58.53,55.98,55.98,329425.0
2020-12-31,57.54,58.75,57.35,58.51,186691.0
2020-12-30,57.4,58.62,57.335,57.73,146725.0
2020-12-29,58.48,58.7,57.35,57.45,177446.0
2020-12-28,57.78,58.27,57.07,58.1,264738.0
2020-12-24,56.9,57.53,56.65,57.53,109505.0
2020-12-23,57.89,58.3,56.45,56.55,243412.0
2020-12-22,57.09,57.76,56.72,57.74,210727.0
2020-12-21,56.34,57.51,56.18,57.18,387426.0
2020-12-18,58.14,58.83,57.13,57.25,898920.0
2020-12-17,57.45,58.05,57.32,57.96,258331.0
2020-12-16,57.08,57.845,56.955,57.24,278506.0
2020-12-15,55.97,56.86,54.94,56.81,491973.0
2020-12-14,55.77,56.86,55.51,55.58,321322.0
2020-12-11,55.8,56.65,55.46,55.72,193598.0
2020-12-10,56.51,57.07,56.21,56.22,264473.0
2020-12-09,57.09,57.37,56.1,56.7,343130.0
2020-12-08,57.52,57.84,56.91,56.95,275111.0
2020-12-07,57.74,58.35,57.605,57.8,203523.0
2020-12-04,57.0,57.95,57.0,57.71,226330.0
2020-12-03,57.02,57.33,56.55,56.7,292744.0
2020-12-02,58.26,58.29,56.78,57.07,200097.0
2020-12-01,58.3,58.97,58.11,58.48,282495.0
2020-11-30,58.44,58.49,57.58,57.94,313110.0
2020-11-27,58.37,58.7845,57.68,58.33,83947.0
