date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,17.65,18.05,17.55,17.67,887962.0
2021-03-17,17.35,17.935,17.26,17.71,742926.0
2021-03-16,17.85,17.89,17.21,17.38,419244.0
2021-03-15,18.0,18.19,17.66,17.93,1098265.0
2021-03-12,17.64,18.05,17.49,18.05,1042511.0
2021-03-11,17.91,18.12,17.55,17.62,1310305.0
2021-03-10,17.36,18.11,17.29,18.0,618448.0
2021-03-09,18.1,18.1,17.3,17.37,936020.0
2021-03-08,17.43,18.18,17.075,18.01,887650.0
2021-03-05,16.95,17.27,16.34,17.22,634300.0
2021-03-04,16.8,17.02,16.29,16.69,932680.0
2021-03-03,16.24,16.96,16.05,16.7,1171479.0
2021-03-02,16.7,16.7,16.095,16.15,979875.0
2021-03-01,16.9,17.16,16.69,16.7,799982.0
2021-02-26,16.71,16.94,16.41,16.5,1051152.0
2021-02-25,17.32,17.73,16.605,16.65,1528682.0
2021-02-24,17.13,17.38,16.93,17.35,1117603.0
2021-02-23,16.97,17.38,16.915,16.97,1106547.0
2021-02-22,16.31,17.09,16.19,16.9,779517.0
2021-02-19,16.32,16.7,16.21,16.35,1274662.0
2021-02-18,16.92,17.01,16.18,16.27,821498.0
2021-02-17,16.35,16.55,16.23,16.42,806464.0
2021-02-16,16.13,16.58,16.0,16.43,973233.0
2021-02-12,15.65,16.16,15.65,16.07,908531.0
2021-02-11,15.48,15.99,15.46,15.69,951614.0
2021-02-10,15.29,15.86,15.29,15.39,967642.0
2021-02-09,15.12,15.21,14.83,15.14,308541.0
2021-02-08,14.88,15.05,14.69,15.03,300500.0
2021-02-05,14.87,14.95,14.677,14.8,310273.0
2021-02-04,14.25,14.82,14.25,14.66,527810.0
2021-02-03,14.01,14.29,13.82,14.28,477677.0
2021-02-02,14.18,14.19,13.88,14.1,464401.0
2021-02-01,13.87,14.12,13.6,14.03,625639.0
2021-01-29,14.36,14.46,13.64,13.79,714340.0
2021-01-28,14.72,15.19,14.46,14.47,671240.0
2021-01-27,14.36,15.08,14.36,14.5,872179.0
2021-01-26,14.9,15.29,14.65,14.72,527580.0
2021-01-25,14.11,15.13,14.03,14.77,624754.0
2021-01-22,13.82,14.25,13.75,14.23,758015.0
2021-01-21,14.6,14.73,13.99,14.03,709767.0
2021-01-20,14.39,15.11,14.36,14.69,520632.0
2021-01-19,15.0,15.0,14.45,14.5,607500.0
2021-01-15,14.62,14.945,14.18,14.85,1024483.0
2021-01-14,14.35,14.82,14.22,14.8,1496695.0
2021-01-13,13.79,14.26,13.75,14.26,1123754.0
2021-01-12,13.32,13.915,13.27,13.83,817418.0
2021-01-11,13.77,13.95,13.18,13.3,645005.0
2021-01-08,13.82,13.96,13.64,13.83,1218430.0
2021-01-07,13.66,13.87,13.47,13.81,1277712.0
2021-01-06,12.95,13.78,12.95,13.63,1025657.0
2021-01-05,12.84,12.94,12.65,12.81,794976.0
2021-01-04,12.95,13.06,12.43,12.61,1018737.0
2020-12-31,12.77,13.0,12.59,12.94,468230.0
2020-12-30,13.15,13.26,12.8,12.86,706446.0
2020-12-29,13.53,13.65,13.39,13.54,999595.0
2020-12-28,13.68,13.74,13.43,13.49,631708.0
2020-12-24,13.6,13.63,13.3,13.58,241494.0
2020-12-23,13.61,13.81,13.38,13.53,655894.0
2020-12-22,13.53,13.58,13.37,13.46,862178.0
2020-12-21,13.14,13.55,13.02,13.5,1244352.0
2020-12-18,13.98,14.01,13.4,13.5,2228706.0
2020-12-17,13.97,14.1,13.77,13.96,1325445.0
2020-12-16,14.39,14.39,13.77,13.88,1452183.0
2020-12-15,13.89,14.27,13.78,14.27,1550668.0
2020-12-14,14.58,14.63,13.68,13.76,2305940.0
2020-12-11,13.95,14.45,13.95,14.35,2300054.0
2020-12-10,13.74,14.3,13.74,14.18,1754632.0
2020-12-09,13.58,14.14,13.56,14.0,2683648.0
2020-12-08,13.1,13.49,13.09,13.42,985489.0
2020-12-07,13.63,13.63,13.22,13.25,788653.0
2020-12-04,13.47,13.71,13.43,13.67,675030.0
2020-12-03,13.63,13.72,13.26,13.36,1267403.0
2020-12-02,13.28,13.82,13.13,13.61,682868.0
2020-12-01,13.27,13.69,13.11,13.36,786066.0
2020-11-30,13.53,13.71,12.93,12.98,1187177.0
2020-11-27,14.41,14.41,13.62,13.71,527154.0
2020-11-25,14.37,14.45,14.02,14.42,3999172.0
2020-11-24,14.09,14.69,13.86,14.38,2713980.0
2020-11-23,13.45,13.9,13.32,13.57,452178.0
2020-11-20,13.12,13.41,12.96,13.25,713788.0
2020-11-19,12.96,13.25,12.76,13.24,925313.0
2020-11-18,13.37,13.73,13.09,13.09,927122.0
2020-11-17,13.01,13.43,12.72,13.35,855311.0
2020-11-16,12.99,13.29,12.76,13.17,771046.0
2020-11-13,11.88,12.31,11.88,12.3,888509.0
2020-11-12,12.13,12.32,11.55,11.74,630288.0
2020-11-11,12.97,13.18,12.12,12.4,1265550.0
2020-11-10,12.25,13.01,12.0,12.99,1794729.0
2020-11-09,10.46,12.76,10.44,12.13,1707339.0
2020-11-06,9.74,9.82,9.19,9.22,866464.0
2020-11-05,9.76,9.94,9.59,9.67,1037412.0
2020-11-04,10.06,10.08,9.68,9.75,532116.0
2020-11-03,9.94,10.28,9.85,10.19,443913.0
2020-11-02,9.57,9.73,9.41,9.71,501762.0
2020-10-30,9.42,9.63,9.3,9.4,489618.0
2020-10-29,9.23,9.61,9.12,9.53,562589.0
2020-10-28,9.48,9.66,9.16,9.33,791385.0
2020-10-27,10.3,10.31,9.76,9.76,587007.0
2020-10-26,10.39,10.425,10.195,10.36,811349.0
2020-10-23,10.36,10.68,10.34,10.5,854591.0
2020-10-22,9.97,10.265,9.93,10.23,494382.0
2020-10-21,9.82,10.01,9.66,9.97,566588.0
2020-10-20,9.98,10.16,9.85,9.89,424606.0
2020-10-19,9.97,10.15,9.765,9.84,1232479.0
2020-10-16,10.19,10.19,9.81,9.93,472694.0
2020-10-15,9.93,10.38,9.93,10.27,751971.0
2020-10-14,10.24,10.45,10.06,10.07,537889.0
2020-10-13,10.55,10.63,10.22,10.33,584893.0
2020-10-12,10.59,10.76,10.44,10.71,585328.0
2020-10-09,10.78,10.78,10.5,10.65,530882.0
2020-10-08,10.6,10.73,10.43,10.66,475046.0
