date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,5.34,5.69,5.34,5.4,185239.0
2021-03-17,5.25,5.4,5.11,5.34,67742.0
2021-03-16,5.31,5.34,5.28,5.33,27850.0
2021-03-15,5.4,5.41,5.24,5.36,91238.0
2021-03-12,5.46,5.51,5.37,5.46,42850.0
2021-03-11,5.55,5.58,5.39,5.5,88426.0
2021-03-10,5.41,5.55,5.3401,5.46,92401.0
2021-03-09,5.55,5.6,5.32,5.32,112896.0
2021-03-08,5.23,5.59,5.1425,5.45,254207.0
2021-03-05,5.09,5.2,4.91,5.2,130497.0
2021-03-04,5.24,5.24,4.91,5.0,152943.0
2021-03-03,5.0,5.27,5.0,5.14,102747.0
2021-03-02,5.04,5.0527,4.9245,5.0,35765.0
2021-03-01,4.86,5.222,4.85,5.04,166976.0
2021-02-26,4.97,4.97,4.72,4.85,122505.0
2021-02-25,5.11,5.11,4.86,4.99,63718.0
2021-02-24,5.02,5.2,5.0,5.1,80139.0
2021-02-23,5.01,5.0699,4.8008,5.0,72124.0
2021-02-22,5.01,5.1678,4.96,5.03,55290.0
2021-02-19,5.0,5.0,4.8868,4.95,56331.0
2021-02-18,5.0,5.0,4.79,4.88,66048.0
2021-02-17,4.88,4.95,4.8,4.94,57205.0
2021-02-16,4.83,4.9491,4.78,4.82,125671.0
2021-02-12,4.71,4.862,4.6623,4.81,188865.0
2021-02-11,5.0,5.0526,4.585,4.64,224960.0
2021-02-10,5.23,5.23,4.95,4.99,199708.0
2021-02-09,5.4,5.41,5.17,5.2,198588.0
2021-02-08,5.5,5.7,5.43,5.51,290574.0
2021-02-05,5.52,5.7,5.325,5.5,136980.0
2021-02-04,5.32,5.5,5.25,5.5,69699.0
2021-02-03,5.06,5.3899,5.06,5.24,71333.0
2021-02-02,5.04,5.1468,4.95,5.04,71464.0
2021-02-01,4.9,5.08,4.8,5.01,152868.0
2021-01-29,5.13,5.22,4.85,4.88,216903.0
2021-01-28,5.29,5.35,5.15,5.23,126953.0
2021-01-27,5.26,5.3,5.05,5.29,195853.0
2021-01-26,5.55,5.69,5.13,5.3,225365.0
2021-01-25,5.5,5.86,4.84,5.49,369941.0
2021-01-22,4.65,5.5,4.65,5.46,461816.0
2021-01-21,4.31,4.68,4.26,4.65,228843.0
2021-01-20,4.35,4.44,4.17,4.36,265639.0
2021-01-19,4.13,4.5,4.1,4.28,248220.0
2021-01-15,4.1,4.1,3.93,4.03,116269.0
2021-01-14,3.95,4.1638,3.92,4.1,167928.0
2021-01-13,3.78,3.95,3.7116,3.93,252084.0
2021-01-12,3.61,3.8,3.6,3.73,161797.0
2021-01-11,3.54,3.6299,3.5294,3.58,61068.0
2021-01-08,3.6,3.6415,3.47,3.51,52059.0
2021-01-07,3.57,3.63,3.52,3.6,99465.0
2021-01-06,3.47,3.612,3.47,3.5,115959.0
2021-01-05,3.35,3.5599,3.35,3.47,72346.0
2021-01-04,3.45,3.45,3.3,3.31,116777.0
2020-12-31,3.27,3.43,3.27,3.41,136094.0
2020-12-30,3.4,3.5,3.2898,3.32,148585.0
2020-12-29,3.42,3.46,3.31,3.34,100293.0
2020-12-28,3.65,3.65,3.36,3.46,381192.0
2020-12-24,3.6021,3.65,3.5722,3.6454,51973.0
2020-12-23,3.62,3.6478,3.56,3.61,57824.0
2020-12-22,3.55,3.65,3.5329,3.6,55179.0
2020-12-21,3.6,3.65,3.53,3.6,120757.0
2020-12-18,3.79,3.79,3.6,3.67,89228.0
2020-12-17,3.74,3.8,3.669,3.73,53516.0
2020-12-16,3.71,3.797,3.59,3.73,83230.0
2020-12-15,3.76,3.82,3.51,3.71,185623.0
2020-12-14,3.62,3.8451,3.62,3.74,66940.0
2020-12-11,3.8,3.8,3.51,3.56,226009.0
2020-12-10,3.91,4.19,3.82,3.85,254256.0
2020-12-09,3.58,4.95,3.58,3.81,1384325.0
2020-12-08,3.65,3.6762,3.575,3.59,111365.0
2020-12-07,3.68,3.775,3.6,3.62,167687.0
2020-12-04,3.69,3.92,3.69,3.75,113645.0
2020-12-03,3.53,3.7,3.45,3.63,141154.0
2020-12-02,3.45,3.6412,3.43,3.48,62356.0
2020-12-01,3.78,3.78,3.3472,3.39,217896.0
2020-11-30,3.99,3.99,3.65,3.7,174236.0
2020-11-27,3.8,4.24,3.8,3.98,503826.0
2020-11-25,3.63,3.8,3.45,3.8,165413.0
2020-11-24,3.51,3.62,3.41,3.6,166268.0
2020-11-23,3.45,3.51,3.36,3.5,165229.0
2020-11-20,3.49,3.49,3.29,3.4,90822.0
2020-11-19,3.32,3.38,3.25,3.34,51615.0
2020-11-18,3.4,3.4199,3.29,3.33,151776.0
2020-11-17,3.13,3.3,3.125,3.3,121588.0
2020-11-16,3.23,3.3,3.0,3.08,454119.0
2020-11-13,3.21,3.26,3.1,3.16,161187.0
2020-11-12,3.06,3.13,3.03,3.13,131985.0
2020-11-11,3.11,3.11,2.99,3.06,125418.0
2020-11-10,2.95,3.11,2.9112,3.08,161364.0
2020-11-09,3.0,3.07,2.83,2.95,269261.0
2020-11-06,2.95,2.95,2.78,2.89,84923.0
2020-11-05,2.86,3.2899,2.67,2.95,546316.0
2020-11-04,2.76,2.8399,2.7282,2.73,25193.0
2020-11-03,2.8,2.894,2.77,2.775,36180.0
2020-11-02,2.88,2.944,2.7701,2.79,59621.0
2020-10-30,2.77,2.99,2.77,2.96,81168.0
2020-10-29,2.76,2.92,2.6776,2.78,108435.0
2020-10-28,2.92,3.0595,2.6,2.82,427303.0
2020-10-27,3.25,3.25,2.97,3.07,127836.0
2020-10-26,3.18,3.25,3.1406,3.25,39726.0
2020-10-23,3.15,3.2599,3.15,3.25,21830.0
2020-10-22,3.13,3.25,3.13,3.15,32962.0
2020-10-21,3.15,3.2,3.12,3.13,40910.0
2020-10-20,3.15,3.23,3.131,3.165,34789.0
2020-10-19,3.1,3.17,3.1,3.15,30834.0
2020-10-16,3.12,3.19,3.12,3.14,30503.0
2020-10-15,3.13,3.21,3.08,3.16,27493.0
2020-10-14,3.09,3.21,3.09,3.13,39168.0
2020-10-13,3.17,3.2399,3.13,3.13,18528.0
2020-10-12,3.25,3.2501,3.16,3.17,29005.0
2020-10-09,3.28,3.35,3.25,3.25,36936.0
2020-10-08,3.27,3.3235,3.22,3.29,47167.0
2020-10-07,3.35,3.35,3.21,3.29,17159.0
2020-10-06,3.3,3.3429,3.25,3.3,46255.0
2020-10-05,3.37,3.37,3.2078,3.32,37879.0
2020-10-02,3.0,3.285,3.0,3.27,34678.0
2020-10-01,3.16,3.2,3.07,3.14,49860.0
2020-09-30,3.17,3.415,3.14,3.16,75390.0
2020-09-29,3.2,3.2,3.09,3.19,91686.0
2020-09-28,3.07,3.24,3.0501,3.225,63115.0
2020-09-25,2.9043,3.0,2.9043,3.0,68822.0
2020-09-24,2.99,3.0,2.85,2.94,56504.0
2020-09-23,3.02,3.1458,2.91,2.94,122618.0
2020-09-22,3.18,3.2668,3.0,3.0,114201.0
2020-09-21,3.2,3.2,3.05,3.12,64996.0
2020-09-18,3.25,3.28,3.18,3.25,24495.0
2020-09-17,3.2,3.3,3.17,3.17,48116.0
2020-09-16,3.29,3.3,3.24,3.26,37565.0
2020-09-15,3.17,3.258,3.15,3.15,11686.0
2020-09-14,3.3,3.34,3.16,3.2,48767.0
2020-09-11,3.18,3.22,3.08,3.22,42257.0
2020-09-10,3.13,3.31,3.0799,3.23,47399.0
2020-09-09,3.1358,3.15,3.04,3.08,23273.0
2020-09-08,3.18,3.19,3.1058,3.12,33224.0
2020-09-04,3.24,3.24,3.03,3.24,76180.0
2020-09-03,3.11,3.21,3.11,3.18,30303.0
2020-09-02,3.275,3.275,3.11,3.12,35062.0
2020-09-01,3.34,3.4099,3.17,3.23,68591.0
2020-08-31,3.52,3.52,3.34,3.34,30313.0
2020-08-28,3.47,3.5699,3.349,3.55,65130.0
2020-08-27,3.47,3.52,3.4,3.4,39672.0
2020-08-26,3.58,3.58,3.45,3.5,40601.0
2020-08-25,3.66,3.66,3.45,3.64,57937.0
2020-08-24,3.62,3.71,3.49,3.66,106535.0
2020-08-21,3.67,3.67,3.5,3.62,48166.0
2020-08-20,3.74,3.74,3.6,3.7,75351.0
2020-08-19,3.88,3.88,3.75,3.79,50397.0
2020-08-18,3.95,3.9571,3.755,3.83,49516.0
2020-08-17,4.0,4.1,3.92,3.99,112251.0
2020-08-14,4.17,4.17,4.0,4.04,76539.0
2020-08-13,4.2,4.2,4.0,4.09,61275.0
2020-08-12,3.9,4.23,3.845,4.21,169908.0
2020-08-11,3.72,3.955,3.72,3.86,122223.0
2020-08-10,3.75,3.94,3.7,3.87,123353.0
2020-08-07,3.7088,3.76,3.62,3.73,123602.0
2020-08-06,3.6,3.75,3.58,3.72,189358.0
2020-08-05,3.4,3.59,3.4,3.57,61650.0
2020-08-04,3.34,3.46,3.2835,3.46,98781.0
2020-08-03,3.31,3.31,3.13,3.3,32153.0
2020-07-31,3.35,3.49,3.265,3.34,101085.0
2020-07-30,3.07,3.31,3.02,3.29,80942.0
2020-07-29,3.05,3.1901,2.9725,3.15,128729.0
2020-07-28,2.97,3.08,2.95,2.99,51124.0
2020-07-27,3.09,3.13,2.91,2.93,118573.0
2020-07-24,3.0,3.1039,2.9739,3.04,71143.0
2020-07-23,3.0,3.09,2.93,2.98,46766.0
2020-07-22,3.07,3.1,2.97,3.04,36012.0
2020-07-21,2.96,3.15,2.96,3.07,46737.0
2020-07-20,3.02,3.06,2.96,3.02,45123.0
2020-07-17,3.08,3.08,2.965,3.02,41969.0
2020-07-16,3.16,3.16,2.97,2.99,86287.0
2020-07-15,3.15,3.221,3.083,3.09,51711.0
2020-07-14,3.02,3.21,2.97,3.14,74225.0
2020-07-13,3.01,3.08,2.98,3.0,68809.0
2020-07-10,3.04,3.07,2.98,3.048,30802.0
2020-07-09,3.08,3.118,3.0,3.05,61228.0
2020-07-08,2.95,3.11,2.95,3.08,58126.0
2020-07-07,3.17,3.17,2.921,3.02,97211.0
2020-07-06,3.18,3.23,3.05,3.1,100691.0
2020-07-02,3.12,3.19,3.02,3.1,105814.0
2020-07-01,3.22,3.247,3.05,3.08,92285.0
2020-06-30,3.2,3.24,3.06,3.19,123971.0
2020-06-29,3.4,3.49,3.226,3.24,104519.0
2020-06-26,3.53,3.55,3.27,3.34,103732.0
2020-06-25,3.4,3.43,3.3,3.4,80519.0
2020-06-24,3.62,3.644,3.33,3.4,129270.0
2020-06-23,3.85,3.87,3.62,3.7,64832.0
2020-06-22,3.85,3.87,3.76,3.8,39557.0
2020-06-19,4.06,4.06,3.845,3.93,62946.0
2020-06-18,4.0,4.17,3.86,3.95,71149.0
2020-06-17,4.25,4.27,4.068,4.08,295972.0
2020-06-16,4.39,4.41,4.072,4.26,104030.0
2020-06-15,3.73,4.26,3.73,4.12,83732.0
2020-06-12,3.99,4.175,3.8,4.05,115415.0
2020-06-11,3.91,4.03,3.68,3.75,247585.0
2020-06-10,4.54,4.55,4.04,4.34,137816.0
2020-06-09,4.8,4.87,4.31,4.7,216891.0
2020-06-08,3.97,4.83,3.97,4.78,447365.0
2020-06-05,3.5,3.9,3.479,3.61,353869.0
2020-06-04,3.17,3.55,3.17,3.42,145472.0
2020-06-03,3.18,3.35,3.18,3.26,82026.0
2020-06-02,3.44,3.47,3.1,3.17,236765.0
2020-06-01,3.38,3.525,3.37,3.37,69072.0
2020-05-29,3.36,3.459,3.25,3.36,142533.0
2020-05-28,3.56,3.6,3.334,3.5,126752.0
2020-05-27,3.25,3.5,3.12,3.48,169530.0
2020-05-26,3.08,3.25,3.08,3.19,127295.0
2020-05-22,2.98,3.1,2.95,3.05,95025.0
2020-05-21,3.1,3.11,3.01,3.1,148116.0
2020-05-20,2.99,3.105,2.95,3.0,126168.0
2020-05-19,2.88,2.99,2.824,2.87,105823.0
2020-05-18,2.87,3.05,2.81,2.91,260098.0
2020-05-15,2.69,2.859,2.65,2.78,86390.0
2020-05-14,2.51,2.65,2.357,2.61,95658.0
2020-05-13,2.54,2.59,2.41,2.53,203258.0
2020-05-12,2.75,2.85,2.48,2.49,211671.0
2020-05-11,2.9,2.94,2.74,2.74,111261.0
2020-05-08,2.82,2.91,2.816,2.88,101559.0
2020-05-07,3.0,3.07,2.82,2.84,198520.0
2020-05-06,3.01,3.08,2.9,3.0,200597.0
2020-05-05,3.17,3.231,3.01,3.08,203306.0
2020-05-04,3.05,3.175,2.85,3.1,232896.0
2020-05-01,3.22,3.52,2.99,3.14,245462.0
2020-04-30,3.87,3.87,3.03,3.21,489921.0
2020-04-29,3.35,3.75,3.35,3.71,259231.0
2020-04-28,3.3,3.45,3.26,3.37,211907.0
2020-04-27,2.75,3.2,2.734,3.2,453461.0
2020-04-24,2.55,2.87,2.37,2.75,1021518.0
2020-04-23,2.5,2.58,2.4,2.5,550449.0
2020-04-22,2.53,2.63,2.45,2.5,216675.0
2020-04-21,2.49,2.68,2.385,2.53,379775.0
2020-04-20,2.72,2.77,2.442,2.65,578087.0
