date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,25.42,25.42,25.3,25.3,14581.0
2021-03-17,25.47,25.47,25.38,25.41,3981.0
2021-03-16,25.47,25.47,25.4314,25.464,15239.0
2021-03-15,25.39,25.4721,25.3691,25.46,18667.0
2021-03-12,25.39,25.3994,25.3198,25.37,7358.0
2021-03-11,25.35,25.39,25.3,25.39,54253.0
2021-03-10,25.63,25.741,25.63,25.73,6428.0
2021-03-09,25.66,25.71,25.59,25.66,7349.0
2021-03-08,25.61,25.68,25.61,25.68,10271.0
2021-03-05,25.56,25.65,25.53,25.61,6692.0
2021-03-04,25.57,25.66,25.5,25.5816,18137.0
2021-03-03,25.5,25.57,25.5,25.52,5944.0
2021-03-02,25.54,25.56,25.48,25.51,11910.0
2021-03-01,25.45,25.54,25.41,25.5,24275.0
2021-02-26,25.43,25.5,25.411,25.48,21076.0
2021-02-25,25.42,25.52,25.369,25.4912,33035.0
2021-02-24,25.45,25.54,25.42,25.42,18296.0
2021-02-23,25.435,25.54,25.42,25.42,9337.0
2021-02-22,25.41,25.51,25.41,25.41,22665.0
2021-02-19,25.43,25.4993,25.43,25.48,5076.0
2021-02-18,25.46,25.49,25.38,25.45,70192.0
2021-02-17,25.42,25.5389,25.42,25.5,15542.0
2021-02-16,25.42,25.5587,25.42,25.425,20115.0
2021-02-12,25.46,25.56,25.41,25.42,9212.0
2021-02-11,25.65,25.65,25.46,25.46,8908.0
2021-02-10,25.6005,25.66,25.53,25.57,7465.0
2021-02-09,25.54,25.67,25.54,25.66,8382.0
2021-02-08,25.49,25.63,25.49,25.57,9605.0
2021-02-05,25.5701,25.63,25.535,25.57,13193.0
2021-02-04,25.4614,25.58,25.4614,25.58,7643.0
2021-02-03,25.43,25.56,25.43,25.52,12110.0
2021-02-02,25.4313,25.56,25.43,25.43,13218.0
2021-02-01,25.5,25.5501,25.4504,25.5,6635.0
2021-01-29,25.48,25.52,25.35,25.48,9676.0
2021-01-28,25.35,25.45,25.35,25.4,7794.0
2021-01-27,25.42,25.503,25.35,25.35,16423.0
2021-01-26,25.42,25.51,25.41,25.42,13477.0
2021-01-25,25.46,25.4899,25.44,25.44,5876.0
2021-01-22,25.41,25.61,25.41,25.45,9001.0
2021-01-21,25.5766,25.5766,25.4045,25.41,15465.0
2021-01-20,25.51,25.59,25.51,25.59,4647.0
2021-01-19,25.46,25.57,25.46,25.57,7589.0
2021-01-15,25.55,25.571,25.4053,25.53,7840.0
2021-01-14,25.48,25.57,25.39,25.57,19801.0
2021-01-13,25.29,25.48,25.29,25.48,13357.0
2021-01-12,25.4,25.4,25.28,25.29,7191.0
2021-01-11,25.38,25.3809,25.31,25.31,5689.0
2021-01-08,25.36,25.49,25.33,25.47,12960.0
2021-01-07,25.4,25.42,25.3501,25.3602,6351.0
2021-01-06,25.39,25.55,25.27,25.46,29280.0
2021-01-05,25.32,25.4,25.32,25.39,14280.0
2021-01-04,25.3,25.35,25.26,25.32,21444.0
2020-12-31,25.25,25.3581,25.23,25.24,219333.0
2020-12-30,25.6,25.6,25.05,25.19,38209.0
2020-12-29,25.6,25.6,25.46,25.54,10792.0
2020-12-28,25.6,25.6,25.48,25.545,8989.0
2020-12-24,25.55,25.6,25.55,25.57,5374.0
2020-12-23,25.64,25.69,25.46,25.46,13425.0
2020-12-22,25.7626,25.7626,25.5699,25.61,13417.0
2020-12-21,25.54,25.9501,25.54,25.9,14818.0
2020-12-18,25.69,25.69,25.585,25.69,11032.0
2020-12-17,25.64,25.7,25.595,25.67,17507.0
2020-12-16,25.62,25.68,25.51,25.68,21086.0
2020-12-15,25.83,25.83,25.45,25.6306,26742.0
2020-12-14,25.73,25.86,25.73,25.8312,5357.0
2020-12-11,25.75,25.82,25.595,25.76,14401.0
2020-12-10,26.13,26.15,25.91,26.1301,10930.0
2020-12-09,25.95,26.16,25.95,26.15,10589.0
2020-12-08,25.88,25.95,25.88,25.9499,16854.0
2020-12-07,25.87,25.9,25.7,25.88,15626.0
2020-12-04,25.85,25.9,25.8499,25.9,16721.0
2020-12-03,25.85,25.85,25.79,25.84,8089.0
2020-12-02,25.68,25.85,25.67,25.825,434661.0
2020-12-01,25.67,25.77,25.61,25.64,44886.0
2020-11-30,26.1,26.1,25.52,25.55,67427.0
2020-11-27,25.96,26.2,25.9585,26.2,5768.0
