date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,10.37,10.4499,10.3,10.31,9256.0
2021-03-17,10.35,10.6,10.35,10.48,36439.0
2021-03-16,10.46,10.49,10.35,10.47,12412.0
2021-03-15,10.438,10.4999,10.4,10.475,7872.0
2021-03-12,10.35,10.5,10.35,10.49,11726.0
2021-03-11,10.35,10.47,10.2501,10.47,49253.0
2021-03-10,10.3939,10.4,10.35,10.389,8978.0
2021-03-09,10.32,10.4389,10.32,10.39,15063.0
2021-03-08,10.45,10.45,10.305,10.305,12288.0
2021-03-05,10.33,10.45,10.21,10.36,31313.0
2021-03-04,10.3,10.45,10.21,10.33,10148.0
2021-03-03,10.35,10.4,10.26,10.37,12922.0
2021-03-02,10.29,10.393,10.29,10.35,4977.0
2021-03-01,10.32,10.4475,10.28,10.32,11291.0
2021-02-26,10.38,10.4,10.301,10.37,19244.0
2021-02-25,10.38,10.42,10.34,10.3835,16268.0
2021-02-24,10.43,10.5,10.18,10.39,21443.0
2021-02-23,10.43,10.5,10.3001,10.38,70423.0
2021-02-22,10.27,10.5,10.27,10.38,89807.0
2021-02-19,10.27,10.32,10.195,10.2,12919.0
2021-02-18,10.24,10.26,10.11,10.165,13472.0
2021-02-17,10.1,10.25,10.1,10.25,22159.0
2021-02-16,10.2,10.35,10.1,10.15,36609.0
2021-02-12,10.27,10.41,10.27,10.33,8666.0
2021-02-11,10.41,10.41,10.25,10.29,14456.0
2021-02-10,10.26,10.4,10.26,10.37,4658.0
2021-02-09,10.4,10.4,10.23,10.29,15996.0
2021-02-08,10.39,10.43,10.21,10.34,6826.0
2021-02-05,10.35,10.6,10.26,10.4,28689.0
2021-02-04,10.15,10.4,10.15,10.39,24005.0
2021-02-03,10.09,10.12,10.09,10.1,2551.0
2021-02-02,10.14,10.14,10.02,10.08,7772.0
2021-02-01,10.01,10.2996,10.01,10.15,27084.0
2021-01-29,10.03,10.03,9.97,10.0,20800.0
2021-01-28,9.95,10.0201,9.93,10.02,15639.0
2021-01-27,9.94,9.97,9.92,9.97,22896.0
