date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,11.86,11.95,11.74,11.85,40312.0
2021-03-17,11.86,11.87,11.62,11.83,34740.0
2021-03-16,11.85,11.86,11.735,11.81,67427.0
2021-03-15,11.8,11.85,11.71,11.8,45128.0
2021-03-12,11.79,11.8,11.68,11.74,30767.0
2021-03-11,11.78,11.849,11.65,11.75,55564.0
2021-03-10,11.82,11.9,11.69,11.73,53249.0
2021-03-09,11.92,11.9475,11.35,11.92,87364.0
2021-03-08,11.84,11.94,11.8,11.92,55916.0
2021-03-05,11.86,11.94,11.75,11.83,68223.0
2021-03-04,12.03,12.03,11.6,11.86,79531.0
2021-03-03,12.06,12.1386,11.37,11.92,152973.0
2021-03-02,12.05,12.1361,12.0228,12.09,23850.0
2021-03-01,11.95,12.1,11.95,12.08,45856.0
2021-02-26,11.85,12.02,11.8,11.95,58825.0
2021-02-25,12.0,12.06,11.75,11.8,53520.0
2021-02-24,12.02,12.06,11.97,11.99,48974.0
2021-02-23,12.06,12.06,11.94,12.02,38380.0
2021-02-22,12.13,12.13,11.9,12.04,38845.0
2021-02-19,12.04,12.17,12.01,12.08,67531.0
2021-02-18,12.0,12.08,11.91,11.96,31707.0
2021-02-17,11.98,12.09,11.98,12.0,31193.0
2021-02-16,12.03,12.08,11.9,12.01,43672.0
2021-02-12,12.11,12.11,11.9107,12.07,52961.0
2021-02-11,12.03,12.165,12.03,12.11,39338.0
2021-02-10,12.19,12.19,11.9101,12.08,69162.0
2021-02-09,12.12,12.24,12.05,12.24,65219.0
2021-02-08,12.14,12.1999,11.91,12.19,109318.0
2021-02-05,12.01,12.22,11.99,12.19,84276.0
2021-02-04,11.98,12.06,11.9,11.99,59168.0
2021-02-03,11.92,11.97,11.86,11.87,48548.0
2021-02-02,11.91,11.95,11.85,11.86,46993.0
2021-02-01,11.78,12.06,11.725,11.86,67238.0
2021-01-29,11.68,11.82,11.6502,11.74,44034.0
2021-01-28,11.68,11.77,11.66,11.68,38602.0
2021-01-27,11.83,11.83,11.55,11.67,72527.0
2021-01-26,11.76,11.77,11.6572,11.74,36853.0
2021-01-25,11.81,11.9407,11.6025,11.71,119851.0
2021-01-22,11.88,11.9,11.64,11.81,43905.0
2021-01-21,11.85,11.89,11.77,11.85,48470.0
2021-01-20,11.75,11.85,11.74,11.81,40656.0
2021-01-19,11.74,11.81,11.7,11.75,38527.0
2021-01-15,11.84,11.9189,11.69,11.78,39811.0
2021-01-14,11.77,11.92,11.76,11.78,40677.0
2021-01-13,11.77,11.77,11.65,11.77,50755.0
2021-01-12,11.71,11.77,11.68,11.73,38602.0
2021-01-11,11.77,11.87,11.45,11.77,108318.0
2021-01-08,11.99,12.1225,11.12,11.84,107025.0
2021-01-07,12.03,12.03,11.9115,11.96,27515.0
2021-01-06,11.93,12.1,11.93,11.99,57969.0
2021-01-05,12.04,12.08,11.95,12.04,60428.0
2021-01-04,12.07,12.15,11.7913,12.01,77113.0
2020-12-31,12.04,12.11,11.93,12.11,48305.0
2020-12-30,12.04,12.106,11.968,12.06,62145.0
2020-12-29,12.0,12.08,11.93,12.04,51694.0
2020-12-28,12.0,12.0,11.95,11.99,31450.0
2020-12-24,11.85,12.03,11.8145,11.99,66916.0
2020-12-23,11.74,11.87,11.74,11.81,51415.0
2020-12-22,11.67,11.86,11.6621,11.74,66578.0
2020-12-21,11.77,11.8055,11.66,11.71,37126.0
2020-12-18,11.77,11.8497,11.72,11.75,39448.0
2020-12-17,11.83,11.8442,11.59,11.77,24017.0
2020-12-16,11.74,11.87,11.64,11.78,55835.0
2020-12-15,11.56,11.77,11.56,11.7,31866.0
2020-12-14,11.62,11.6771,11.51,11.55,56386.0
2020-12-11,11.67,11.68,11.57,11.58,43571.0
2020-12-10,11.72,11.735,11.58,11.63,65157.0
2020-12-09,11.78,11.87,11.7514,11.79,77427.0
2020-12-08,11.73,11.83,11.62,11.82,60901.0
2020-12-07,11.78,11.86,11.75,11.75,42073.0
2020-12-04,11.73,11.87,11.73,11.78,70649.0
2020-12-03,11.59,11.82,11.59,11.74,69681.0
2020-12-02,11.6,11.63,11.56,11.59,49412.0
2020-12-01,11.76,11.76,11.58,11.6,61913.0
2020-11-30,11.68,11.7499,11.58,11.69,61682.0
2020-11-27,11.75,11.77,11.55,11.7054,53536.0
2020-11-25,11.74,11.8291,11.64,11.78,83576.0
2020-11-24,11.54,11.73,11.4601,11.73,85096.0
2020-11-23,11.38,11.44,11.3153,11.44,35126.0
2020-11-20,11.4,11.4,11.2999,11.3,34046.0
2020-11-19,11.29,11.35,11.2562,11.34,36770.0
2020-11-18,11.2,11.3,11.1743,11.22,23049.0
2020-11-17,11.16,11.29,11.15,11.2,41796.0
2020-11-16,11.07,11.17,11.07,11.12,41874.0
2020-11-13,11.0,11.11,11.0,11.07,29450.0
2020-11-12,11.02,11.19,11.02,11.11,28770.0
2020-11-11,11.11,11.13,11.0001,11.09,34601.0
2020-11-10,11.05,11.1199,10.994,11.09,23469.0
2020-11-09,11.1,11.19,11.0801,11.13,40264.0
2020-11-06,11.0,11.0,10.945,10.98,30085.0
2020-11-05,10.86,11.07,10.86,10.96,31509.0
2020-11-04,10.8,10.97,10.8,10.83,42599.0
2020-11-03,10.76,10.8499,10.74,10.76,27951.0
2020-11-02,10.76,10.83,10.7,10.72,25174.0
2020-10-30,10.8,10.8,10.6,10.7,30184.0
2020-10-29,10.79,10.89,10.74,10.8,30630.0
2020-10-28,10.84,10.8459,10.69,10.76,40964.0
2020-10-27,10.89,10.92,10.8501,10.91,34765.0
2020-10-26,10.94,10.94,10.85,10.92,41455.0
2020-10-23,11.0,11.0,10.91,10.91,23617.0
2020-10-22,10.9,10.97,10.8791,10.91,24633.0
2020-10-21,10.9,11.007,10.86,10.9,30152.0
2020-10-20,10.93,11.02,10.86,10.97,31970.0
2020-10-19,10.93,10.9799,10.8101,10.85,24587.0
2020-10-16,10.98,11.03,10.91,10.91,28516.0
2020-10-15,10.97,11.04,10.94,10.94,33794.0
2020-10-14,11.05,11.05,11.01,11.04,23237.0
2020-10-13,11.0,11.05,10.95,11.02,33964.0
2020-10-12,11.08,11.1678,10.98,11.025,54027.0
2020-10-09,11.19,11.19,11.0182,11.11,42638.0
2020-10-08,11.27,11.27,11.18,11.21,37196.0
2020-10-07,11.25,11.72,11.09,11.1,49971.0
2020-10-06,10.99,11.2,10.98,11.07,40845.0
2020-10-05,10.86,10.98,10.82,10.98,25643.0
2020-10-02,10.62,10.905,10.41,10.8,38314.0
2020-10-01,10.8,10.87,10.8,10.81,30542.0
2020-09-30,10.81,10.8799,10.75,10.78,62614.0
2020-09-29,10.87,10.96,10.82,10.82,39818.0
2020-09-28,10.84,10.94,10.84,10.9,49260.0
2020-09-25,10.85,10.86,10.8,10.85,37350.0
2020-09-24,11.16,11.16,10.61,10.82,62381.0
2020-09-23,11.3,11.3,11.03,11.08,40534.0
2020-09-22,11.19,11.26,11.1261,11.26,28629.0
2020-09-21,11.32,11.32,11.11,11.18,32515.0
2020-09-18,11.4,11.4116,11.22,11.32,38573.0
2020-09-17,11.45,11.47,11.29,11.34,29149.0
2020-09-16,11.6,11.63,11.36,11.42,59678.0
2020-09-15,11.38,11.49,11.33,11.49,48450.0
2020-09-14,11.39,11.424,11.25,11.36,84690.0
2020-09-11,11.38,11.47,11.3593,11.39,32949.0
2020-09-10,11.41,11.54,11.31,11.37,36026.0
2020-09-09,11.46,11.61,11.39,11.51,42568.0
2020-09-08,11.38,11.57,11.3501,11.53,24311.0
2020-09-04,11.56,11.56,11.26,11.52,76244.0
2020-09-03,11.57,11.66,11.5101,11.52,38809.0
2020-09-02,11.59,11.65,11.5301,11.63,30816.0
2020-09-01,11.51,11.62,11.48,11.615,43427.0
2020-08-31,11.58,11.65,11.49,11.57,30503.0
