date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,11.13,11.17,11.1101,11.16,123251.0
2021-03-12,11.14,11.16,11.08,11.08,147687.0
2021-03-11,11.35,11.36,11.12,11.2,382201.0
2021-03-10,11.24,11.33,11.24,11.32,190104.0
2021-03-09,11.2,11.24,11.19,11.23,147740.0
2021-03-08,11.14,11.19,11.1,11.19,179948.0
2021-03-05,11.08,11.11,10.95,11.11,174654.0
2021-03-04,11.17,11.2,10.97,11.02,260123.0
2021-03-03,11.13,11.21,11.1293,11.2,180767.0
2021-03-02,11.1,11.14,11.097,11.13,230263.0
2021-03-01,11.01,11.12,11.0,11.1,199129.0
2021-02-26,10.91,11.01,10.88,11.0,269436.0
2021-02-25,10.98,11.06,10.9,10.91,264227.0
2021-02-24,10.98,11.06,10.975,10.99,249334.0
2021-02-23,10.97,11.028,10.88,10.95,330004.0
2021-02-22,10.96,11.01,10.93,11.0,193045.0
2021-02-19,10.97,11.02,10.95,10.95,179998.0
2021-02-18,10.99,11.03,10.91,10.94,210490.0
2021-02-17,10.96,11.0,10.96,10.97,144174.0
2021-02-16,11.09,11.09,10.93,10.95,240743.0
2021-02-12,11.04,11.07,11.03,11.07,780429.0
2021-02-11,11.01,11.03,10.98,11.02,300139.0
2021-02-10,11.01,11.0699,11.01,11.06,284650.0
2021-02-09,11.03,11.06,10.98,11.01,446617.0
2021-02-08,11.02,11.045,11.01,11.01,165977.0
2021-02-05,11.05,11.05,10.98,11.01,304869.0
2021-02-04,11.03,11.05,11.02,11.03,167106.0
2021-02-03,11.02,11.0432,10.98,11.01,173173.0
2021-02-02,11.07,11.09,10.99,11.0,253582.0
2021-02-01,10.99,11.08,10.99,11.02,304698.0
2021-01-29,10.99,11.02,10.9,10.95,339375.0
2021-01-28,10.96,11.02,10.9401,10.97,177242.0
2021-01-27,10.97,11.0,10.93,10.97,189955.0
2021-01-26,11.01,11.02,10.97,10.97,146923.0
2021-01-25,10.99,11.02,10.97,11.01,171656.0
2021-01-22,11.05,11.09,10.96,10.97,269403.0
2021-01-21,11.03,11.05,11.0,11.05,180925.0
2021-01-20,10.94,11.02,10.94,11.01,146688.0
2021-01-19,10.93,10.95,10.91,10.92,138717.0
2021-01-15,10.89,10.95,10.86,10.9,170312.0
2021-01-14,10.9,10.95,10.89,10.91,244397.0
2021-01-13,10.91,10.95,10.9,10.92,247624.0
2021-01-12,10.86,10.91,10.8599,10.9,312902.0
2021-01-11,10.78,10.88,10.77,10.84,174304.0
2021-01-08,10.81,10.865,10.78,10.8,123550.0
2021-01-07,10.71,10.81,10.71,10.81,233748.0
2021-01-06,10.78,10.804,10.71,10.71,716302.0
2021-01-05,10.7,10.81,10.67,10.79,265760.0
2021-01-04,10.74,10.75,10.7,10.7,443893.0
2020-12-31,10.67,10.75,10.64,10.74,361065.0
2020-12-30,10.54,10.63,10.54,10.63,277092.0
2020-12-29,10.54,10.55,10.47,10.54,260655.0
2020-12-28,10.49,10.54,10.49,10.52,261753.0
2020-12-24,10.44,10.5,10.43,10.49,100715.0
2020-12-23,10.42,10.4832,10.4,10.41,350843.0
2020-12-22,10.39,10.45,10.38,10.4,303235.0
2020-12-21,10.38,10.43,10.3373,10.39,252384.0
2020-12-18,10.42,10.4417,10.38,10.43,302769.0
2020-12-17,10.41,10.46,10.38,10.38,403210.0
2020-12-16,10.35,10.42,10.33,10.41,584135.0
2020-12-15,10.3,10.34,10.294,10.33,383501.0
2020-12-14,10.23,10.31,10.21,10.27,277259.0
2020-12-11,10.35,10.406,10.26,10.29,365873.0
2020-12-10,10.4,10.44,10.34,10.39,488005.0
2020-12-09,10.41,10.48,10.41,10.44,423751.0
2020-12-08,10.37,10.44,10.37,10.4,152150.0
2020-12-07,10.43,10.5,10.38,10.38,193972.0
2020-12-04,10.4,10.48,10.4,10.41,244794.0
2020-12-03,10.34,10.417,10.3309,10.39,189484.0
2020-12-02,10.38,10.45,10.3,10.31,283649.0
2020-12-01,10.35,10.4,10.325,10.38,263681.0
2020-11-30,10.27,10.33,10.26,10.32,347612.0
2020-11-27,10.18,10.26,10.18,10.25,118109.0
2020-11-25,10.13,10.19,10.115,10.18,210128.0
2020-11-24,10.0,10.11,10.0,10.11,229218.0
2020-11-23,9.99,10.0099,9.96,9.98,147056.0
2020-11-20,9.93,10.0,9.93,9.97,251507.0
2020-11-19,9.9,9.95,9.9,9.95,398307.0
2020-11-18,9.87,9.94,9.87,9.91,174804.0
2020-11-17,9.78,9.88,9.78,9.88,220549.0
2020-11-16,9.8,9.85,9.76,9.8,186338.0
2020-11-13,9.76,9.78,9.74,9.76,156098.0
2020-11-12,9.69,9.75,9.65,9.73,154523.0
2020-11-11,9.73,9.78,9.7139,9.75,194950.0
2020-11-10,9.67,9.74,9.63,9.7,255311.0
2020-11-09,9.7,9.77,9.675,9.7,260769.0
2020-11-06,9.54,9.58,9.53,9.56,384439.0
2020-11-05,9.43,9.5499,9.43,9.52,158209.0
2020-11-04,9.37,9.458,9.37,9.43,140605.0
2020-11-03,9.28,9.35,9.2791,9.31,194872.0
2020-11-02,9.24,9.34,9.23,9.26,731342.0
2020-10-30,9.22,9.285,9.16,9.25,288596.0
2020-10-29,9.2,9.26,9.2,9.23,112981.0
2020-10-28,9.31,9.31,9.18,9.21,151907.0
2020-10-27,9.29,9.37,9.28,9.35,124144.0
2020-10-26,9.28,9.36,9.23,9.33,310211.0
2020-10-23,9.33,9.35,9.31,9.31,213943.0
2020-10-22,9.34,9.36,9.31,9.33,146253.0
2020-10-21,9.34,9.42,9.33,9.34,366514.0
2020-10-20,9.33,9.37,9.3112,9.37,486757.0
2020-10-19,9.38,9.39,9.28,9.32,353750.0
2020-10-16,9.34,9.38,9.32,9.35,326883.0
2020-10-15,9.41,9.41,9.29,9.35,171273.0
2020-10-14,9.44,9.47,9.41,9.41,342160.0
2020-10-13,9.55,9.55,9.47,9.5,246503.0
2020-10-12,9.5,9.5462,9.465,9.54,134278.0
2020-10-09,9.44,9.5,9.4,9.5,336397.0
2020-10-08,9.38,9.435,9.38,9.43,324753.0
2020-10-07,9.32,9.43,9.31,9.37,463217.0
2020-10-06,9.26,9.315,9.25,9.27,176676.0
2020-10-05,9.2,9.28,9.195,9.26,166778.0
2020-10-02,9.19,9.22,9.15,9.2,412855.0
2020-10-01,9.2,9.24,9.18,9.21,304467.0
2020-09-30,9.24,9.25,9.1725,9.21,271946.0
2020-09-29,9.25,9.25,9.16,9.22,248892.0
2020-09-28,9.21,9.275,9.21,9.27,173077.0
2020-09-25,9.14,9.2,9.1,9.19,243029.0
2020-09-24,9.17,9.21,9.12,9.17,824288.0
2020-09-23,9.27,9.28,9.13,9.21,247571.0
2020-09-22,9.27,9.29,9.24,9.26,103863.0
2020-09-21,9.3,9.3,9.23,9.25,174610.0
2020-09-18,9.29,9.33,9.29,9.326,111630.0
2020-09-17,9.32,9.326,9.25,9.27,206796.0
2020-09-16,9.31,9.34,9.29,9.34,148505.0
2020-09-15,9.32,9.32,9.2801,9.31,126918.0
2020-09-14,9.27,9.32,9.2474,9.3,241951.0
2020-09-11,9.28,9.3,9.26,9.3,189075.0
2020-09-10,9.3,9.3,9.22,9.27,143194.0
2020-09-09,9.16,9.29,9.16,9.29,156187.0
2020-09-08,9.16,9.17,9.09,9.16,213059.0
2020-09-04,9.15,9.2,9.11,9.2,153368.0
2020-09-03,9.29,9.295,9.12,9.18,297487.0
2020-09-02,9.17,9.32,9.15,9.3,491466.0
2020-09-01,9.09,9.16,9.09,9.16,287555.0
2020-08-31,9.14,9.14,9.06,9.06,319782.0
2020-08-28,9.11,9.1399,9.09,9.11,245879.0
2020-08-27,9.12,9.14,9.09,9.12,518038.0
2020-08-26,9.12,9.125,9.09,9.12,102431.0
2020-08-25,9.11,9.1334,9.05,9.1,403577.0
2020-08-24,9.11,9.13,9.1,9.13,209017.0
2020-08-21,9.13,9.14,9.07,9.08,597626.0
2020-08-20,9.09,9.13,9.08,9.12,930722.0
2020-08-19,9.08,9.1125,9.08,9.1,224376.0
2020-08-18,9.1,9.11,9.08,9.08,492185.0
2020-08-17,9.09,9.1,9.07,9.1,228844.0
2020-08-14,9.08,9.0918,9.06,9.06,130890.0
2020-08-13,9.04,9.105,9.04,9.07,203786.0
2020-08-12,9.13,9.15,9.12,9.12,187744.0
2020-08-11,9.1,9.155,9.1,9.11,1147884.0
2020-08-10,9.03,9.1,9.03,9.1,742339.0
2020-08-07,9.05,9.0699,9.02,9.03,756388.0
2020-08-06,9.07,9.09,9.04,9.04,1183059.0
2020-08-05,9.03,9.08,9.0211,9.06,1610578.0
2020-08-04,8.99,9.03,8.99,9.01,516470.0
2020-08-03,8.96,9.0,8.95,8.99,590939.0
2020-07-31,8.98,8.98,8.93,8.94,193714.0
2020-07-30,8.9,8.96,8.88,8.94,179897.0
2020-07-29,8.91,8.94,8.86,8.93,652844.0
2020-07-28,8.89,8.89,8.85,8.88,485426.0
2020-07-27,8.94,8.94,8.85,8.85,246138.0
2020-07-24,8.93,8.94,8.88,8.89,164709.0
2020-07-23,8.96,8.9699,8.92,8.93,211301.0
2020-07-22,8.92,8.97,8.92,8.93,138576.0
2020-07-21,8.93,8.97,8.9,8.97,116541.0
2020-07-20,8.92,8.94,8.9,8.93,69753.0
2020-07-17,8.86,8.92,8.83,8.92,168356.0
2020-07-16,8.85,8.9,8.84,8.86,178091.0
2020-07-15,8.82,8.9,8.81,8.89,242881.0
2020-07-14,8.72,8.85,8.72,8.82,214786.0
2020-07-13,8.92,8.95,8.9,8.9,238983.0
2020-07-10,8.86,8.92,8.85,8.91,257416.0
2020-07-09,8.97,8.97,8.86,8.86,145876.0
2020-07-08,8.96,8.98,8.94,8.94,148026.0
2020-07-07,8.95,9.02,8.94,8.96,231526.0
2020-07-06,8.99,9.03,8.96,9.0,194174.0
2020-07-02,9.0,9.0,8.92,8.93,217402.0
2020-07-01,8.9,8.99,8.9,8.92,161093.0
2020-06-30,8.84,8.91,8.81,8.9,149160.0
2020-06-29,8.78,8.84,8.73,8.81,233428.0
2020-06-26,8.85,8.86,8.73,8.74,171398.0
2020-06-25,8.85,8.86,8.82,8.82,131943.0
2020-06-24,8.9,8.91,8.82,8.84,324501.0
2020-06-23,8.91,8.95,8.88,8.9,159654.0
2020-06-22,8.92,8.94,8.9,8.91,112094.0
2020-06-19,8.96,9.0,8.87,8.88,231037.0
2020-06-18,8.93,8.99,8.93,8.94,153747.0
2020-06-17,8.99,9.01,8.9,8.95,201006.0
2020-06-16,8.98,9.11,8.96,8.97,315866.0
2020-06-15,8.71,8.82,8.62,8.81,230373.0
2020-06-12,8.99,8.99,8.88,8.91,170620.0
2020-06-11,8.95,9.01,8.67,8.89,402226.0
2020-06-10,9.08,9.15,9.04,9.08,237667.0
2020-06-09,9.08,9.1,9.0,9.08,201883.0
2020-06-08,9.11,9.18,9.11,9.12,237974.0
2020-06-05,9.07,9.19,9.06,9.11,238696.0
2020-06-04,8.94,9.03,8.94,9.03,385299.0
