date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,13.06,13.1515,13.0,13.01,16885.0
2021-03-12,13.14,13.1994,13.08,13.09,4889.0
2021-03-11,13.1,13.22,13.03,13.21,16513.0
2021-03-10,12.99,13.24,12.97,13.1,25933.0
2021-03-09,12.95,13.0,12.91,12.97,8995.0
2021-03-08,12.95,12.97,12.91,12.97,18782.0
2021-03-05,12.97,12.97,12.86,12.86,8813.0
2021-03-04,12.92,13.0,12.8401,12.89,24066.0
2021-03-03,13.06,13.075,12.88,12.96,24160.0
2021-03-02,13.11,13.115,13.0286,13.06,34669.0
2021-03-01,13.0,13.17,12.95,13.11,40916.0
2021-02-26,12.96,13.0,12.855,13.0,33677.0
2021-02-25,13.01,13.01,12.7,12.73,68430.0
2021-02-24,12.95,13.05,12.8,13.01,38657.0
2021-02-23,12.97,12.97,12.88,12.93,31318.0
2021-02-22,13.1,13.1,12.92,12.98,38555.0
2021-02-19,13.1,13.12,13.035,13.05,49525.0
2021-02-18,13.12,13.1444,13.035,13.1,25283.0
2021-02-17,13.12,13.15,13.11,13.11,24279.0
2021-02-16,13.25,13.25,13.1,13.11,26100.0
2021-02-12,13.27,13.32,13.25,13.25,19889.0
2021-02-11,13.31,13.35,13.27,13.28,25044.0
2021-02-10,13.34,13.34,13.31,13.31,12174.0
2021-02-09,13.28,13.35,13.28,13.31,41318.0
2021-02-08,13.33,13.35,13.31,13.32,24777.0
2021-02-05,13.14,13.33,13.14,13.3,42493.0
2021-02-04,13.25,13.25,13.2165,13.23,10004.0
2021-02-03,13.24,13.25,13.1,13.25,10687.0
2021-02-02,13.19,13.25,13.1,13.25,19189.0
2021-02-01,13.32,13.32,13.16,13.19,8774.0
2021-01-29,13.24,13.25,13.16,13.23,15485.0
2021-01-28,13.08,13.21,13.04,13.19,41297.0
2021-01-27,13.15,13.24,13.01,13.07,71144.0
2021-01-26,13.14,13.25,13.14,13.2,18763.0
2021-01-25,13.27,13.33,13.16,13.16,25578.0
2021-01-22,13.04,13.37,13.0371,13.3,121398.0
2021-01-21,13.06,13.06,12.98,13.01,16321.0
2021-01-20,12.95,13.03,12.93,13.03,29189.0
2021-01-19,12.99,13.02,12.89,12.99,36100.0
2021-01-15,12.99,12.99,12.89,12.97,9254.0
2021-01-14,12.99,12.99,12.9,12.95,38583.0
2021-01-13,12.99,13.02,12.9,12.94,24051.0
2021-01-12,13.0,13.01,12.94,12.94,21853.0
2021-01-11,12.93,13.02,12.81,12.99,27631.0
2021-01-08,13.0,13.0021,12.89,12.91,41942.0
2021-01-07,12.96,13.05,12.94,12.95,31833.0
2021-01-06,13.05,13.08,12.96,12.96,30307.0
2021-01-05,13.12,13.12,13.025,13.1,31913.0
2021-01-04,13.08,13.09,12.98,13.09,80689.0
2020-12-31,12.97,13.05,12.87,13.05,68769.0
2020-12-30,12.83,12.92,12.83,12.88,62574.0
2020-12-29,12.85,12.86,12.81,12.86,67161.0
2020-12-28,12.83,12.88,12.75,12.81,100216.0
2020-12-24,12.76,12.87,12.76,12.87,32781.0
2020-12-23,12.81,12.84,12.75,12.79,48622.0
2020-12-22,12.7,12.79,12.68,12.79,80624.0
2020-12-21,12.68,12.75,12.66,12.74,60347.0
2020-12-18,12.61,12.69,12.555,12.69,48812.0
2020-12-17,12.57,12.63,12.55,12.61,73334.0
2020-12-16,12.5,12.57,12.5,12.55,37341.0
2020-12-15,12.55,12.62,12.52,12.56,59449.0
2020-12-14,12.58,12.67,12.57,12.57,76753.0
2020-12-11,12.69,12.7,12.65,12.67,24446.0
2020-12-10,12.61,12.69,12.61,12.65,71185.0
2020-12-09,12.67,12.7,12.65,12.66,71052.0
2020-12-08,12.64,12.69,12.635,12.68,15688.0
2020-12-07,12.56,12.64,12.56,12.61,60796.0
2020-12-04,12.63,12.69,12.58,12.63,32834.0
2020-12-03,12.64,12.645,12.58,12.62,50257.0
2020-12-02,12.65,12.65,12.57,12.61,16775.0
2020-12-01,12.73,12.8,12.58,12.59,67227.0
2020-11-30,12.71,12.71,12.6,12.64,55604.0
2020-11-27,12.65,12.71,12.65,12.71,13960.0
2020-11-25,12.52,12.62,12.52,12.62,41151.0
2020-11-24,12.56,12.59,12.47,12.55,54821.0
2020-11-23,12.47,12.49,12.39,12.49,31660.0
2020-11-20,12.46,12.47,12.42,12.46,21087.0
2020-11-19,12.45,12.48,12.415,12.42,37491.0
2020-11-18,12.41,12.42,12.35,12.41,39897.0
2020-11-17,12.41,12.41,12.35,12.35,8995.0
2020-11-16,12.44,12.44,12.36,12.37,45013.0
2020-11-13,12.3,12.39,12.26,12.39,121971.0
2020-11-12,12.28,12.35,12.24,12.28,44328.0
2020-11-11,12.37,12.4,12.35,12.35,17720.0
2020-11-10,12.42,12.42,12.32,12.37,16117.0
2020-11-09,12.3,12.4,12.3,12.37,44548.0
2020-11-06,12.15,12.39,12.15,12.34,38897.0
2020-11-05,12.21,12.27,12.14,12.14,38136.0
2020-11-04,12.13,12.26,12.13,12.18,33239.0
2020-11-03,12.04,12.14,11.99,12.04,69637.0
