date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,29.21,29.405,27.96,28.66,114005.0
2021-03-11,28.57,29.46,27.95,29.06,127866.0
2021-03-10,27.95,28.71,27.13,28.49,239688.0
2021-03-09,29.41,29.45,27.63,27.87,96663.0
2021-03-08,28.89,29.63,28.52,29.28,292881.0
2021-03-05,27.72,28.6405,26.8934,28.62,180784.0
2021-03-04,26.78,27.5,26.2084,26.96,93237.0
2021-03-03,27.7799,27.7799,26.25,26.78,70409.0
2021-03-02,27.1,27.23,26.285,26.39,62428.0
2021-03-01,27.29,27.35,26.49,27.25,117570.0
2021-02-26,27.56,27.95,25.9391,26.62,101089.0
2021-02-25,28.02,28.61,27.15,27.88,124754.0
2021-02-24,27.17,28.17,27.17,27.77,68279.0
2021-02-23,27.27,27.58,26.61,26.85,72730.0
2021-02-22,26.95,27.94,26.395,27.42,85737.0
2021-02-19,27.03,27.9602,26.4866,27.07,54690.0
2021-02-18,27.75,27.78,26.725,26.87,55027.0
2021-02-17,28.18,28.67,27.7,28.01,55936.0
2021-02-16,28.11,29.08,27.88,28.44,63786.0
2021-02-12,27.82,27.98,26.85,27.68,42537.0
2021-02-11,27.99,28.7499,27.47,28.0,259069.0
2021-02-10,28.46,28.46,27.54,28.15,303628.0
2021-02-09,27.86,28.37,27.705,28.05,245368.0
2021-02-08,27.55,28.02,27.365,27.86,128778.0
2021-02-05,27.53,27.79,26.72,27.19,122427.0
2021-02-04,26.0,27.82,26.0,27.21,121711.0
2021-02-03,25.0,26.955,25.0,25.76,98624.0
2021-02-02,25.52,26.71,25.28,26.18,41483.0
2021-02-01,24.62,25.46,24.06,25.36,68063.0
2021-01-29,25.17,26.2724,24.02,24.21,85100.0
2021-01-28,25.42,25.55,24.11,25.16,93834.0
2021-01-27,25.64,26.53,24.79,24.97,87150.0
2021-01-26,26.05,26.9399,26.05,26.1,39213.0
2021-01-25,27.94,27.94,26.12,26.61,42925.0
2021-01-22,26.55,28.05,26.2,28.01,84446.0
2021-01-21,27.99,27.99,26.52,27.19,68740.0
2021-01-20,28.51,28.51,27.4094,28.02,49253.0
2021-01-19,28.67,28.97,27.8359,28.17,37907.0
2021-01-15,29.33,30.26,28.08,28.28,48206.0
2021-01-14,28.54,30.4,28.54,29.93,102043.0
2021-01-13,29.25,29.26,28.06,28.62,37254.0
2021-01-12,27.64,29.29,27.64,29.25,51102.0
2021-01-11,27.17,28.045,26.7737,27.6,49191.0
2021-01-08,28.66,28.66,27.44,27.68,41071.0
2021-01-07,28.51,29.25,27.5427,28.51,64618.0
2021-01-06,28.04,29.4224,28.04,28.41,172157.0
2021-01-05,26.65,28.46,26.65,27.37,95261.0
2021-01-04,26.48,26.67,25.75,26.5,63935.0
2020-12-31,26.45,26.85,26.0,26.32,35803.0
2020-12-30,25.93,27.06,25.84,26.25,45818.0
2020-12-29,26.46,26.46,25.835,26.14,34709.0
2020-12-28,26.85,27.04,26.09,26.32,42124.0
2020-12-24,26.89,27.17,26.38,26.6,24139.0
2020-12-23,26.38,27.41,26.38,27.0,65420.0
2020-12-22,26.69,27.115,26.01,26.09,74175.0
2020-12-21,26.81,27.7017,26.22,26.77,157249.0
2020-12-18,29.44,29.81,26.71,27.82,580588.0
2020-12-17,30.13,30.7767,29.24,29.4,226115.0
2020-12-16,30.17,30.71,29.89,29.98,139553.0
2020-12-15,29.82,30.82,29.2,30.35,146479.0
2020-12-14,29.35,30.16,29.28,29.5,181848.0
2020-12-11,28.8,29.32,28.36,29.15,102656.0
2020-12-10,27.87,29.51,27.77,28.93,101467.0
2020-12-09,28.05,28.665,27.0543,28.1,106576.0
2020-12-08,26.66,27.87,26.66,27.78,67539.0
2020-12-07,28.41,28.41,26.57,27.13,91686.0
2020-12-04,24.32,29.0,23.9801,28.49,432980.0
2020-12-03,23.97,24.15,23.319,24.03,387651.0
2020-12-02,23.28,24.565,22.935,23.92,74305.0
2020-12-01,22.68,23.44,22.548,23.37,111843.0
2020-11-30,23.7,24.02,21.93,22.25,225898.0
2020-11-27,24.44,24.55,23.53,23.88,37999.0
2020-11-25,24.58,25.0,24.22,24.61,57062.0
2020-11-24,24.51,26.1099,24.5,24.85,180305.0
2020-11-23,23.76,24.39,23.74,24.3,264047.0
2020-11-20,22.65,23.7,22.65,23.56,64148.0
2020-11-19,22.46,23.01,21.7601,22.91,172110.0
2020-11-18,23.06,23.68,22.53,22.58,106630.0
2020-11-17,22.79,23.32,22.79,23.17,122570.0
2020-11-16,22.75,23.26,22.46,23.09,537368.0
2020-11-13,22.36,22.605,21.68,22.47,352714.0
2020-11-12,22.57,22.9,21.66,22.0,116715.0
2020-11-11,22.96,23.0,22.17,22.75,71772.0
2020-11-10,23.0,23.22,22.36,22.77,169944.0
2020-11-09,23.5,24.0,22.89,22.94,174920.0
2020-11-06,23.69,23.75,22.0,22.55,135103.0
2020-11-05,21.2,23.89,21.2,23.54,143450.0
2020-11-04,21.18,21.64,20.745,21.07,68196.0
2020-11-03,22.09,22.26,21.24,21.82,39194.0
2020-11-02,20.83,21.93,20.44,21.64,89577.0
2020-10-30,21.02,21.02,20.3,20.78,54394.0
2020-10-29,20.27,21.13,19.84,21.13,66283.0
2020-10-28,20.1,21.03,19.49,20.38,89102.0
2020-10-27,20.94,21.63,20.11,20.55,65065.0
2020-10-26,22.6,22.75,20.82,21.0,42387.0
2020-10-23,23.11,23.7,22.46,22.84,51343.0
2020-10-22,22.35,23.22,22.34,23.19,63427.0
2020-10-21,23.4,23.65,22.285,22.4,49544.0
2020-10-20,23.28,23.6,23.13,23.38,57997.0
2020-10-19,23.22,23.7,22.78,22.93,66680.0
2020-10-16,23.49,23.92,22.9,22.96,53131.0
2020-10-15,23.47,23.785,22.9932,23.68,92707.0
2020-10-14,24.36,24.41,23.79,23.93,140090.0
2020-10-13,24.16,24.54,23.75,24.05,103932.0
2020-10-12,24.26,24.545,23.56,24.18,167482.0
2020-10-09,24.17,24.345,23.49,24.1,158025.0
2020-10-08,24.32,24.35,23.78,24.01,181601.0
2020-10-07,23.93,24.13,23.62,23.92,130871.0
2020-10-06,24.05,24.4,23.575,23.63,129960.0
2020-10-05,24.22,24.735,23.86,24.04,178027.0
2020-10-02,21.65,24.065,21.64,23.97,215625.0
2020-10-01,21.43,21.91,21.14,21.81,137257.0
2020-09-30,21.11,22.03,20.99,21.25,238732.0
2020-09-29,20.73,21.015,20.23,20.93,193773.0
2020-09-28,20.4,21.02,20.05,20.84,223166.0
2020-09-25,19.98,20.64,19.59,20.14,329155.0
2020-09-24,20.32,20.62,19.555,20.23,224033.0
2020-09-23,21.36,21.66,20.29,20.39,194730.0
2020-09-22,22.51,22.915,21.075,21.43,772902.0
2020-09-21,22.5,22.94,21.28,22.52,609896.0
2020-09-18,24.0,24.07,22.9,23.2,3705401.0
2020-09-17,24.57,25.24,23.93,23.98,605959.0
2020-09-16,24.48,24.99,23.78,24.54,643310.0
2020-09-15,24.16,24.735,23.82,24.14,447380.0
2020-09-14,24.0,24.24,23.45,23.98,436980.0
2020-09-11,23.74,24.045,23.08,23.93,313572.0
