date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,13.92,13.93,13.84,13.87,19987.0
2021-03-17,13.98,13.98,13.89,13.94,23066.0
2021-03-16,13.96,13.99,13.9,13.93,26537.0
2021-03-15,13.96,13.96,13.85,13.92,26166.0
2021-03-12,13.94,13.94,13.87,13.91,16601.0
2021-03-11,13.92,13.96,13.86,13.92,32002.0
2021-03-10,13.91,13.925,13.8132,13.87,30410.0
2021-03-09,13.83,13.93,13.83,13.86,28415.0
2021-03-08,13.91,13.9399,13.81,13.82,17437.0
2021-03-05,13.92,14.02,13.89,13.96,23071.0
2021-03-04,14.06,14.12,13.94,13.94,23569.0
2021-03-03,14.09,14.1394,13.87,14.1,16464.0
2021-03-02,14.02,14.16,13.97,14.16,15783.0
2021-03-01,13.96,14.14,13.96,14.04,24355.0
2021-02-26,13.81,14.15,13.81,13.96,18523.0
2021-02-25,13.95,14.0184,13.8,13.88,53692.0
2021-02-24,14.19,14.19,14.01,14.03,29696.0
2021-02-23,14.26,14.26,14.05,14.14,21586.0
2021-02-22,14.3,14.3,14.21,14.26,14724.0
2021-02-19,14.44,14.44,14.15,14.3,30472.0
2021-02-18,14.28,14.32,14.2328,14.32,16216.0
2021-02-17,14.33,14.33,14.2,14.32,25597.0
2021-02-16,14.41,14.42,14.3,14.33,16729.0
2021-02-12,14.35,14.42,14.35,14.41,22888.0
2021-02-11,14.42,14.45,14.37,14.37,34336.0
2021-02-10,14.32,14.42,14.32,14.4,25048.0
2021-02-09,14.42,14.43,14.25,14.25,25819.0
2021-02-08,14.33,14.38,14.285,14.36,10357.0
2021-02-05,14.31,14.35,14.27,14.28,17811.0
2021-02-04,14.32,14.35,14.256,14.33,31714.0
2021-02-03,14.37,14.37,14.24,14.32,29672.0
2021-02-02,14.2,14.37,14.2,14.3,22595.0
2021-02-01,14.23,14.23,14.11,14.18,15084.0
2021-01-29,14.2,14.2,14.0,14.08,114683.0
2021-01-28,14.15,14.15,14.06,14.13,15231.0
2021-01-27,13.95,14.05,13.95,14.04,39911.0
2021-01-26,14.09,14.1399,13.99,14.01,24384.0
2021-01-25,14.17,14.17,14.05,14.07,23005.0
2021-01-22,14.08,14.13,14.056,14.11,16444.0
2021-01-21,14.07,14.13,14.05,14.06,17376.0
2021-01-20,14.16,14.18,14.08,14.08,16223.0
2021-01-19,14.12,14.17,14.06,14.11,18947.0
2021-01-15,14.27,14.27,14.01,14.14,20784.0
2021-01-14,14.19,14.26,14.17,14.22,16417.0
2021-01-13,14.11,14.19,14.0875,14.16,17457.0
2021-01-12,13.94,14.1,13.89,14.04,27145.0
2021-01-11,13.98,14.04,13.67,13.9,41612.0
2021-01-08,14.01,14.07,13.96,13.97,19061.0
2021-01-07,14.0,14.04,13.93,13.96,20702.0
2021-01-06,14.06,14.06,13.885,13.975,32533.0
2021-01-05,14.01,14.09,14.01,14.06,34677.0
2021-01-04,14.15,14.155,13.92,14.03,52061.0
2020-12-31,14.19,14.23,14.12,14.17,19008.0
2020-12-30,14.17,14.27,14.14,14.17,24231.0
2020-12-29,14.22,14.22,14.15,14.17,17224.0
2020-12-28,14.28,14.36,14.2,14.21,11339.0
2020-12-24,14.32,14.32,14.21,14.29,9435.0
2020-12-23,14.27,14.27,14.17,14.22,7995.0
2020-12-22,14.21,14.21,14.1716,14.2,10930.0
2020-12-21,14.19,14.21,14.1177,14.2,28518.0
2020-12-18,14.19,14.205,14.12,14.12,17764.0
2020-12-17,14.1,14.1595,14.06,14.13,20899.0
2020-12-16,14.04,14.08,14.0,14.07,19399.0
2020-12-15,14.02,14.07,14.02,14.05,15590.0
2020-12-14,13.97,14.016,13.97,13.99,21693.0
2020-12-11,13.95,14.05,13.95,13.99,30763.0
2020-12-10,13.95,13.9595,13.9,13.93,15584.0
2020-12-09,13.93,13.97,13.92,13.9429,15493.0
2020-12-08,13.94,14.02,13.93,13.95,23944.0
2020-12-07,14.03,14.03,13.92,13.96,16897.0
2020-12-04,13.96,14.04,13.95,13.96,19973.0
2020-12-03,13.99,14.04,13.98,14.0,17304.0
2020-12-02,13.92,14.07,13.85,14.01,25624.0
2020-12-01,13.89,13.97,13.84,13.93,27584.0
2020-11-30,13.78,13.85,13.76,13.83,27371.0
2020-11-27,13.8,13.83,13.7682,13.83,12545.0
2020-11-25,13.78,13.8,13.7332,13.77,50863.0
2020-11-24,13.62,13.8,13.62,13.72,37666.0
2020-11-23,13.65,13.7,13.6247,13.69,15274.0
2020-11-20,13.55,13.61,13.5175,13.61,25785.0
2020-11-19,13.55,13.61,13.45,13.57,25817.0
2020-11-18,13.56,13.62,13.52,13.55,30078.0
2020-11-17,13.43,13.56,13.43,13.52,19432.0
2020-11-16,13.4,13.52,13.4,13.43,21752.0
2020-11-13,13.41,13.4171,13.39,13.39,15563.0
2020-11-12,13.37,13.44,13.35,13.39,34223.0
2020-11-11,13.42,13.49,13.41,13.49,36975.0
2020-11-10,13.3,13.4149,13.3,13.36,24809.0
2020-11-09,13.46,13.59,13.4,13.41,34970.0
2020-11-06,13.33,13.3617,13.32,13.33,37352.0
2020-11-05,13.3,13.36,13.3,13.3,20311.0
2020-11-04,13.1,13.22,13.1,13.21,31396.0
2020-11-03,13.04,13.11,13.04,13.07,11133.0
2020-11-02,13.1,13.13,13.03,13.05,36842.0
2020-10-30,13.09,13.09,12.99,13.0,47396.0
2020-10-29,13.04,13.09,12.988,13.04,14246.0
2020-10-28,13.04,13.04,12.945,13.0,34066.0
2020-10-27,13.08,13.14,13.065,13.09,38102.0
2020-10-26,12.94,13.08,12.94,13.0,34210.0
2020-10-23,13.15,13.18,13.12,13.12,17024.0
2020-10-22,13.12,13.165,13.09,13.09,44602.0
2020-10-21,13.11,13.25,13.11,13.19,43430.0
2020-10-20,13.12,13.21,13.11,13.17,54586.0
2020-10-19,13.13,13.1684,13.09,13.09,15644.0
2020-10-16,13.13,13.16,13.13,13.14,7124.0
2020-10-15,13.12,13.24,13.1,13.12,34708.0
2020-10-14,13.12,13.2099,13.12,13.13,25151.0
2020-10-13,13.23,13.2385,13.11,13.12,54174.0
2020-10-12,13.16,13.29,13.16,13.25,29075.0
2020-10-09,13.19,13.28,13.15,13.18,30017.0
2020-10-08,13.12,13.19,13.07,13.19,24963.0
2020-10-07,13.05,13.1,13.05,13.1,12425.0
2020-10-06,12.96,13.05,12.93,13.0,30898.0
2020-10-05,12.98,13.015,12.94,12.98,24331.0
2020-10-02,12.89,12.97,12.86,12.97,17756.0
2020-10-01,12.96,13.0199,12.84,12.99,31496.0
2020-09-30,12.9,13.09,12.87,12.92,204739.0
2020-09-29,13.01,13.01,12.85,12.95,51652.0
2020-09-28,12.98,13.01,12.92,12.98,31944.0
2020-09-25,12.89,12.9681,12.85,12.96,54914.0
2020-09-24,13.17,13.17,12.88,12.98,46212.0
2020-09-23,13.26,13.3,13.1,13.1,15751.0
2020-09-22,13.29,13.3305,13.28,13.3,7793.0
2020-09-21,13.47,13.47,13.34,13.34,4598.0
2020-09-18,13.53,13.53,13.454,13.4781,5465.0
2020-09-17,13.47,13.53,13.38,13.51,17891.0
2020-09-16,13.52,13.55,13.41,13.51,24537.0
2020-09-15,13.53,13.53,13.46,13.469,8324.0
2020-09-14,13.58,13.58,13.4,13.41,12678.0
2020-09-11,13.52,13.52,13.385,13.48,17325.0
2020-09-10,13.51,13.51,13.43,13.44,12146.0
2020-09-09,13.38,13.49,13.37,13.49,16094.0
2020-09-08,13.41,13.41,13.3,13.4,30977.0
2020-09-04,13.51,13.51,13.29,13.45,51934.0
2020-09-03,13.55,13.62,13.41,13.51,41941.0
2020-09-02,13.49,13.62,13.41,13.52,34674.0
2020-09-01,13.5,13.63,13.4,13.49,32471.0
2020-08-31,13.39,13.45,13.33,13.38,28183.0
2020-08-28,13.48,13.48,13.35,13.41,41587.0
2020-08-27,13.53,13.53,13.42,13.48,29976.0
2020-08-26,13.52,13.57,13.42,13.5,33493.0
2020-08-25,13.6,13.64,13.51,13.51,15283.0
2020-08-24,13.7,13.7523,13.61,13.61,24312.0
2020-08-21,13.69,13.74,13.615,13.63,16145.0
2020-08-20,13.77,13.82,13.73,13.76,13208.0
2020-08-19,13.89,13.89,13.83,13.86,9755.0
2020-08-18,13.95,13.95,13.834,13.86,17825.0
2020-08-17,14.03,14.06,13.76,14.03,21483.0
2020-08-14,13.96,14.06,13.901,13.98,22076.0
2020-08-13,13.97,14.02,13.92,13.9415,9296.0
2020-08-12,14.04,14.04,13.99,13.99,6326.0
2020-08-11,14.01,14.0399,13.95,14.0,14730.0
2020-08-10,14.02,14.02,13.96,13.99,7149.0
2020-08-07,14.01,14.02,13.94,13.97,21310.0
2020-08-06,14.01,14.0356,13.95,13.95,20501.0
2020-08-05,14.02,14.03,13.95,14.01,10910.0
2020-08-04,14.03,14.03,13.92,14.01,7213.0
2020-08-03,13.97,14.01,13.9,13.98,10538.0
2020-07-31,13.98,13.98,13.87,13.94,8589.0
2020-07-30,13.98,13.98,13.87,13.96,11556.0
2020-07-29,13.92,14.0,13.89,14.0,13090.0
2020-07-28,13.9,13.93,13.82,13.82,20259.0
2020-07-27,13.92,13.92,13.7755,13.86,4892.0
2020-07-24,13.89,13.93,13.76,13.93,16063.0
2020-07-23,13.77,13.879,13.68,13.83,13089.0
2020-07-22,13.75,13.93,13.75,13.83,18226.0
2020-07-21,13.61,13.69,13.61,13.69,6181.0
2020-07-20,13.45,13.57,13.45,13.52,14577.0
2020-07-17,13.6,13.6,13.28,13.47,18043.0
2020-07-16,13.56,13.6,13.52,13.59,10692.0
2020-07-15,13.45,13.57,13.45,13.57,10217.0
2020-07-14,13.35,13.52,13.35,13.51,4755.0
2020-07-13,13.46,13.55,13.22,13.33,19667.0
2020-07-10,13.36,13.45,13.33,13.43,16246.0
2020-07-09,13.45,13.51,13.32,13.32,20809.0
2020-07-08,13.38,13.5,13.28,13.5,20138.0
2020-07-07,13.4,13.44,13.32,13.32,22045.0
2020-07-06,13.38,13.54,13.33,13.45,15337.0
2020-07-02,13.32,13.42,13.24,13.36,26234.0
2020-07-01,13.22,13.25,13.12,13.22,23466.0
2020-06-30,13.16,13.22,13.09,13.13,32652.0
2020-06-29,13.21,13.27,12.98,13.11,20279.0
2020-06-26,13.44,13.47,13.1,13.11,15361.0
2020-06-25,13.41,13.52,13.39,13.51,10168.0
2020-06-24,13.61,13.64,13.3,13.49,34257.0
2020-06-23,13.57,13.64,13.57,13.59,37522.0
2020-06-22,13.65,13.66,13.52,13.59,15100.0
2020-06-19,13.68,13.69,13.58,13.64,20320.0
2020-06-18,13.58,13.68,13.52,13.68,22382.0
2020-06-17,13.48,13.52,13.4,13.51,20919.0
2020-06-16,13.3,13.36,13.18,13.35,27187.0
2020-06-15,13.01,13.21,12.82,13.11,20055.0
2020-06-12,13.46,13.46,13.1,13.15,19926.0
2020-06-11,13.46,13.46,13.11,13.19,25891.0
2020-06-10,13.63,13.77,13.5,13.61,44512.0
2020-06-09,13.6,13.6,13.5,13.55,12339.0
2020-06-08,13.57,13.59,13.52,13.58,20372.0
2020-06-05,13.45,13.62,13.41,13.58,28353.0
2020-06-04,13.39,13.46,13.38,13.4,16895.0
2020-06-03,13.39,13.49,13.36,13.4,23266.0
2020-06-02,13.36,13.47,13.36,13.4,26449.0
2020-06-01,13.17,13.48,13.09,13.48,17662.0
2020-05-29,13.11,13.2,13.03,13.19,38798.0
2020-05-28,13.15,13.17,13.03,13.12,21542.0
2020-05-27,13.09,13.14,13.06,13.12,33015.0
2020-05-26,13.17,13.17,13.06,13.06,9510.0
2020-05-22,13.04,13.06,12.94,12.95,29869.0
2020-05-21,13.08,13.08,12.93,12.98,11928.0
2020-05-20,13.0,13.02,12.9,13.02,17290.0
2020-05-19,12.8,12.89,12.71,12.89,32351.0
2020-05-18,12.6,12.79,12.6,12.74,22814.0
2020-05-15,12.45,12.55,12.22,12.44,17611.0
2020-05-14,12.6,12.6,12.37,12.45,17875.0
2020-05-13,12.74,12.74,12.61,12.63,31753.0
2020-05-12,12.7,12.7,12.63,12.7,42007.0
2020-05-11,12.56,12.66,12.56,12.65,53176.0
2020-05-08,12.65,12.65,12.3,12.59,41934.0
2020-05-07,12.61,12.61,12.51,12.59,10826.0
2020-05-06,12.53,12.54,12.15,12.49,46883.0
2020-05-05,12.37,12.48,12.37,12.43,10214.0
2020-05-04,12.4,12.44,12.26,12.44,22114.0
2020-05-01,12.39,12.47,12.21,12.31,41192.0
2020-04-30,12.23,12.28,12.15,12.28,25256.0
2020-04-29,11.97,12.15,11.94,12.12,25288.0
2020-04-28,11.99,11.99,11.82,11.96,27653.0
2020-04-27,11.98,12.01,11.89,12.01,40112.0
2020-04-24,12.12,12.12,11.87,11.88,26844.0
2020-04-23,12.16,12.16,12.0,12.04,30861.0
2020-04-22,12.18,12.18,12.04,12.14,7031.0
2020-04-21,12.27,12.27,12.09,12.12,17131.0
2020-04-20,12.28,12.43,12.17,12.29,14918.0
2020-04-17,12.34,12.4,12.17,12.39,24216.0
2020-04-16,12.34,12.36,12.08,12.12,26355.0
2020-04-15,12.29,12.33,12.06,12.33,28318.0
2020-04-14,12.26,12.35,12.14,12.31,32891.0
2020-04-13,12.05,12.14,11.87,12.05,23638.0
2020-04-09,11.88,12.58,11.86,12.2,59752.0
2020-04-08,11.85,11.85,11.47,11.61,27036.0
2020-04-07,11.15,11.49,11.15,11.45,45949.0
2020-04-06,11.07,11.22,10.87,11.04,27607.0
2020-04-03,11.06,11.2,10.83,10.87,47545.0
2020-04-02,11.12,11.27,11.05,11.23,30258.0
2020-04-01,11.27,11.27,10.96,11.13,35919.0
2020-03-31,11.35,11.4,11.13,11.27,37994.0
2020-03-30,11.52,11.52,11.1,11.27,46590.0
2020-03-27,11.46,11.46,10.86,11.33,43221.0
2020-03-26,10.9,11.57,10.64,11.34,48255.0
2020-03-25,10.07,10.8,10.07,10.72,89179.0
2020-03-24,9.61,10.13,9.26,10.05,60013.0
2020-03-23,9.35,9.36,9.05,9.11,84698.0
2020-03-20,9.6,10.39,9.5,9.51,63958.0
2020-03-19,9.65,9.83,9.6,9.65,80609.0
2020-03-18,10.34,10.48,9.95,9.95,164953.0
2020-03-17,10.69,10.8,10.62,10.72,71817.0
2020-03-16,11.03,11.03,10.62,10.69,141720.0
2020-03-13,11.7,11.77,11.42,11.53,75442.0
2020-03-12,12.03,12.09,11.22,11.42,126511.0
2020-03-11,12.6,12.71,12.3,12.45,81806.0
2020-03-10,13.2,13.24,12.01,12.67,227197.0
2020-03-09,13.52,13.52,13.02,13.1,62897.0
2020-03-06,13.84,13.87,13.68,13.87,29249.0
2020-03-05,13.85,13.99,13.82,13.94,54554.0
2020-03-04,13.77,14.06,13.77,13.97,43006.0
2020-03-03,13.74,13.89,13.66,13.68,35631.0
2020-03-02,13.42,13.88,13.38,13.69,69810.0
2020-02-28,13.7,13.7,13.35,13.41,113274.0
2020-02-27,14.04,14.13,13.63,13.77,171613.0
2020-02-26,14.46,14.56,14.2,14.23,35506.0
2020-02-25,14.75,14.78,14.45,14.53,28241.0
2020-02-24,14.75,14.79,14.63,14.68,33820.0
2020-02-21,14.82,14.85,14.75,14.75,20786.0
2020-02-20,14.76,14.82,14.75,14.75,28097.0
2020-02-19,14.82,14.85,14.74,14.82,27316.0
2020-02-18,14.73,14.85,14.73,14.8,28684.0
2020-02-14,14.83,14.86,14.65,14.73,19165.0
2020-02-13,14.79,14.81,14.77,14.77,11415.0
2020-02-12,14.86,14.89,14.71,14.79,23461.0
2020-02-11,14.75,14.83,14.75,14.81,10460.0
2020-02-10,14.77,14.77,14.62,14.77,28636.0
2020-02-07,14.82,14.84,14.69,14.77,21233.0
2020-02-06,14.79,14.8,14.68,14.8,15415.0
2020-02-05,14.82,14.82,14.73,14.75,53558.0
2020-02-04,14.8,14.8,14.69,14.69,30784.0
2020-02-03,14.71,14.78,14.63,14.75,18919.0
2020-01-31,14.73,14.76,14.63,14.7,27086.0
2020-01-30,14.8,14.819,14.75,14.78,43484.0
