date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,33.14,33.36,32.12,33.1,702024.0
2021-03-11,33.57,34.44,32.37,32.82,813708.0
2021-03-10,32.5,33.86,32.0,33.46,4772731.0
2021-03-09,34.64,35.93,31.52,32.48,1462056.0
2021-03-08,36.89,39.07,36.055,38.68,499137.0
2021-03-05,35.92,37.1,34.45,36.89,443594.0
2021-03-04,33.6,35.08,33.445,34.66,493063.0
2021-03-03,33.51,34.14,33.32,33.4,349044.0
2021-03-02,34.14,34.68,33.28,33.28,382031.0
2021-03-01,33.04,34.45,32.3,34.38,446365.0
2021-02-26,32.56,32.565,31.1,31.87,428970.0
2021-02-25,33.9,34.8,31.9,32.79,672836.0
2021-02-24,30.7,33.97,30.7,33.9,363507.0
2021-02-23,30.78,30.78,29.33,30.53,278855.0
2021-02-22,29.85,31.32,29.56,30.67,315197.0
2021-02-19,29.49,30.26,29.46,29.85,361442.0
2021-02-18,29.34,29.85,28.24,29.56,409585.0
2021-02-17,29.26,29.71,28.53,29.37,360278.0
2021-02-16,29.31,29.96,29.06,29.4,320950.0
2021-02-12,28.49,29.01,27.725,28.71,304823.0
2021-02-11,29.51,29.6,28.45,28.79,303038.0
2021-02-10,29.82,29.82,28.64,29.47,373953.0
2021-02-09,29.72,29.75,28.76,29.62,359693.0
2021-02-08,29.34,30.5098,29.06,30.01,195792.0
2021-02-05,29.43,29.55,28.78,29.03,287789.0
2021-02-04,28.59,28.97,27.7,28.93,261115.0
2021-02-03,26.8,28.42,26.67,28.41,235365.0
2021-02-02,27.32,27.55,26.39,26.81,269288.0
2021-02-01,26.72,26.785,25.62,26.6,295682.0
2021-01-29,26.51,26.7,25.55,26.2,374125.0
2021-01-28,25.7,26.9,25.23,26.74,359263.0
2021-01-27,26.02,26.76,24.98,25.03,627650.0
2021-01-26,27.96,28.1,26.63,26.82,163953.0
2021-01-25,28.3,28.32,26.61,27.59,330378.0
2021-01-22,27.22,29.06,27.13,29.02,388495.0
2021-01-21,29.13,29.27,27.91,28.07,330802.0
2021-01-20,29.0,29.545,28.21,29.29,324040.0
2021-01-19,28.45,29.19,28.09,28.7,289931.0
2021-01-15,28.4,28.75,27.36,28.17,387855.0
2021-01-14,28.21,29.73,28.21,29.16,236724.0
2021-01-13,29.46,29.46,27.94,28.21,241748.0
2021-01-12,29.4,30.29,29.18,29.84,252271.0
2021-01-11,29.56,29.96,28.47,29.0,238343.0
2021-01-08,31.24,31.295,30.24,30.55,209371.0
2021-01-07,30.56,31.13,30.16,30.76,287063.0
2021-01-06,29.88,30.76,29.42,30.19,428879.0
2021-01-05,26.85,28.77,26.73,28.61,478350.0
2021-01-04,26.35,27.13,26.18,26.67,349053.0
2020-12-31,26.0,26.13,25.56,26.07,271614.0
2020-12-30,25.47,26.055,25.37,25.82,142048.0
2020-12-29,26.09,26.135,24.81,25.36,240773.0
