date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,12.83,12.89,12.77,12.77,28129.0
2021-03-17,12.84,12.93,12.82,12.84,27071.0
2021-03-16,13.01,13.0499,12.86,12.86,24610.0
2021-03-15,12.93,13.07,12.85,13.01,51216.0
2021-03-12,13.03,13.03,12.9,12.95,29092.0
2021-03-11,12.94,13.04,12.94,13.0075,16911.0
2021-03-10,12.73,12.99,12.71,12.91,43858.0
2021-03-09,12.76,12.76,12.6406,12.68,19480.0
2021-03-08,12.8,12.83,12.7,12.7,9927.0
2021-03-05,12.72,12.84,12.6706,12.76,33628.0
2021-03-04,12.79,12.79,12.72,12.73,19378.0
2021-03-03,12.95,12.95,12.74,12.78,24770.0
2021-03-02,12.93,12.97,12.76,12.96,20365.0
2021-03-01,12.96,13.05,12.81,12.88,20393.0
2021-02-26,13.06,13.06,12.8301,12.88,6691.0
2021-02-25,13.04,13.04,12.87,12.97,44035.0
2021-02-24,13.06,13.06,12.91,12.96,27952.0
2021-02-23,12.95,13.04,12.91,13.04,36755.0
2021-02-22,13.07,13.07,12.72,12.92,18514.0
2021-02-19,12.99,13.02,12.959,13.02,47670.0
2021-02-18,13.0,13.0,12.91,12.98,14959.0
2021-02-17,12.99,13.0,12.92,13.0,71284.0
2021-02-16,12.98,13.0064,12.98,12.99,22066.0
2021-02-12,13.0,13.04,12.98,12.99,9819.0
2021-02-11,13.01,13.08,13.0,13.0,39146.0
2021-02-10,13.05,13.08,13.0,13.02,26193.0
2021-02-09,12.95,13.02,12.95,13.01,69672.0
2021-02-08,12.93,12.96,12.9,12.94,23369.0
2021-02-05,12.94,12.9606,12.92,12.93,16796.0
2021-02-04,12.85,12.97,12.85,12.97,41421.0
2021-02-03,12.82,12.92,12.82,12.92,24106.0
2021-02-02,12.81,12.9,12.81,12.86,27099.0
2021-02-01,12.91,12.91,12.8,12.81,13738.0
2021-01-29,12.89,12.89,12.78,12.79,42597.0
2021-01-28,12.8,12.86,12.79,12.85,9329.0
2021-01-27,12.78,12.86,12.73,12.8,43767.0
2021-01-26,12.82,12.95,12.714,12.84,44801.0
2021-01-25,12.91,12.92,12.64,12.74,67600.0
2021-01-22,12.9,12.94,12.88,12.91,23008.0
2021-01-21,12.94,12.94,12.86,12.88,21402.0
2021-01-20,12.91,12.93,12.88,12.93,16820.0
2021-01-19,12.91,12.91,12.79,12.8856,27759.0
2021-01-15,12.87,12.89,12.8,12.86,23976.0
2021-01-14,12.8,12.86,12.78,12.84,17930.0
2021-01-13,12.76,12.8399,12.73,12.78,68129.0
2021-01-12,12.9,12.906,12.69,12.77,73845.0
2021-01-11,13.02,13.02,12.77,12.98,150916.0
2021-01-08,13.18,13.18,13.04,13.11,23767.0
2021-01-07,13.24,13.25,13.04,13.09,64360.0
2021-01-06,13.32,13.32,13.13,13.24,54436.0
2021-01-05,13.35,13.365,13.24,13.25,17099.0
2021-01-04,13.64,13.65,13.22,13.31,59616.0
2020-12-31,13.21,13.95,13.11,13.64,60672.0
2020-12-30,13.02,13.04,13.0,13.025,22888.0
2020-12-29,13.47,13.47,12.9905,13.03,64565.0
2020-12-28,13.43,13.57,13.31,13.44,27179.0
2020-12-24,13.19,13.44,13.08,13.44,30368.0
2020-12-23,13.15,13.22,13.07,13.191,97939.0
2020-12-22,13.48,13.48,13.1,13.21,184705.0
2020-12-21,13.51,13.9,13.51,13.84,285528.0
2020-12-18,13.67,13.77,13.5749,13.76,118816.0
2020-12-17,13.48,13.59,13.48,13.54,41175.0
2020-12-16,13.49,13.5299,13.45,13.51,47958.0
2020-12-15,13.4,13.49,13.4,13.46,33967.0
2020-12-14,13.32,13.48,13.29,13.42,138389.0
2020-12-11,13.28,13.41,13.28,13.32,75287.0
2020-12-10,13.33,13.33,13.28,13.31,50770.0
2020-12-09,13.38,13.44,13.27,13.3,149453.0
2020-12-08,13.45,13.45,13.375,13.43,197741.0
2020-12-07,13.53,13.53,13.33,13.3694,51417.0
2020-12-04,13.13,13.62,13.12,13.53,131929.0
2020-12-03,13.07,13.14,13.07,13.13,137514.0
2020-12-02,13.08,13.14,13.01,13.1,446991.0
2020-12-01,13.13,13.1864,13.13,13.15,57560.0
2020-11-30,13.19,13.19,13.1425,13.17,25464.0
