date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,19.8,20.19,19.41,19.5,496687.0
2021-03-17,19.87,19.99,19.56,19.93,270592.0
2021-03-16,20.04,20.04,19.61,19.8,379666.0
2021-03-15,20.26,20.27,19.52,20.07,352724.0
2021-03-12,20.03,20.55,20.03,20.44,285694.0
2021-03-11,19.0,20.46,18.88,20.26,1055310.0
2021-03-10,18.34,18.97,18.05,18.93,338470.0
2021-03-09,18.1,18.49,17.75,18.23,407757.0
2021-03-08,17.99,18.49,17.93,17.95,425919.0
2021-03-05,17.86,17.96,17.29,17.89,400976.0
2021-03-04,17.89,18.01,17.07,17.47,605851.0
2021-03-03,17.53,18.21,17.43,17.94,609358.0
2021-03-02,17.55,17.77,17.33,17.49,393351.0
2021-03-01,16.92,17.7,16.83,17.51,455228.0
2021-02-26,16.9,17.0,16.3769,16.58,450105.0
2021-02-25,17.38,17.58,16.85,16.9,491170.0
2021-02-24,17.25,17.56,17.17,17.43,338389.0
2021-02-23,17.39,17.45,16.88,17.16,419576.0
2021-02-22,17.06,17.68,16.97,17.46,309262.0
2021-02-19,16.86,17.21,16.86,17.11,296064.0
2021-02-18,17.19,17.26,16.74,16.74,298295.0
2021-02-17,16.94,17.62,16.87,17.28,493756.0
2021-02-16,16.91,17.26,16.83,17.02,514843.0
2021-02-12,16.47,16.8,16.32,16.77,318204.0
2021-02-11,16.76,16.99,16.2,16.57,470740.0
2021-02-10,17.08,17.4,16.75,16.76,351494.0
2021-02-09,17.29,17.41,16.98,17.01,413544.0
2021-02-08,16.81,17.466,16.78,17.26,483556.0
2021-02-05,16.96,17.0,16.53,16.81,374693.0
2021-02-04,16.6,16.85,16.37,16.7,496691.0
2021-02-03,16.14,16.64,15.65,16.5,515354.0
2021-02-02,16.24,16.325,15.815,16.17,278876.0
2021-02-01,16.13,16.14,15.47,16.11,492815.0
2021-01-29,16.45,16.94,15.94,15.95,542700.0
2021-01-28,17.25,17.51,16.46,16.55,499736.0
2021-01-27,16.69,17.32,16.59,17.02,565145.0
2021-01-26,16.94,17.17,16.74,17.1,456174.0
2021-01-25,16.93,17.12,16.46,16.67,400299.0
2021-01-22,16.65,17.07,16.65,17.07,295477.0
2021-01-21,17.01,17.09,16.83,16.91,367270.0
2021-01-20,17.13,17.2,16.825,16.96,256336.0
2021-01-19,17.34,17.39,16.89,17.03,278645.0
2021-01-15,17.57,17.57,17.01,17.07,528198.0
2021-01-14,17.92,18.18,17.81,17.84,390588.0
2021-01-13,18.18,18.22,17.66,17.78,349618.0
2021-01-12,18.24,18.37,17.91,18.29,426192.0
2021-01-11,17.74,18.24,17.72,18.06,251415.0
2021-01-08,18.57,18.57,17.8,18.07,239661.0
2021-01-07,18.68,18.78,18.31,18.53,266306.0
2021-01-06,17.25,18.73,17.25,18.55,597978.0
2021-01-05,16.72,17.31,16.72,17.15,333975.0
2021-01-04,17.36,17.52,16.58,16.82,489799.0
2020-12-31,17.32,17.37,16.99,17.23,207414.0
2020-12-30,17.32,17.46,17.0,17.35,201120.0
2020-12-29,17.49,17.49,16.885,17.11,417200.0
2020-12-28,17.63,17.71,17.26,17.34,238089.0
2020-12-24,17.62,17.62,17.3,17.4,100491.0
2020-12-23,17.38,17.62,17.21,17.51,266149.0
2020-12-22,17.33,17.499,17.12,17.22,190140.0
2020-12-21,16.97,17.68,16.97,17.4,419761.0
2020-12-18,17.39,17.66,17.05,17.35,1317681.0
2020-12-17,17.46,17.56,16.88,16.98,366431.0
2020-12-16,17.76,17.915,17.03,17.3,358657.0
2020-12-15,17.31,17.74,17.17,17.69,688773.0
2020-12-14,18.36,18.3834,16.92,17.02,631968.0
2020-12-11,18.03,18.44,17.85,18.18,330788.0
2020-12-10,18.61,18.745,18.07,18.14,520265.0
2020-12-09,18.79,19.17,18.73,18.81,438416.0
2020-12-08,18.0,18.54,18.0,18.5,326919.0
2020-12-07,18.52,18.52,17.99,18.09,358257.0
2020-12-04,18.12,18.55,18.04,18.52,333189.0
2020-12-03,18.08,18.2,17.77,17.95,265058.0
2020-12-02,17.59,18.19,17.59,18.02,324269.0
2020-12-01,17.91,18.0,17.71,17.72,327557.0
2020-11-30,17.88,18.07,17.53,17.68,458070.0
2020-11-27,17.95,18.22,17.81,18.01,92262.0
2020-11-25,18.23,18.23,17.77,17.99,204691.0
2020-11-24,17.75,18.7,17.75,18.48,347119.0
2020-11-23,17.59,17.8,17.55,17.75,223102.0
2020-11-20,17.26,17.5,17.06,17.43,259681.0
2020-11-19,17.28,17.46,16.91,17.37,283457.0
2020-11-18,17.74,17.93,17.35,17.36,497667.0
2020-11-17,17.0,17.69,16.8681,17.66,422684.0
2020-11-16,17.22,17.59,16.96,17.3,353944.0
2020-11-13,16.78,16.94,16.48,16.69,341583.0
2020-11-12,16.99,16.99,16.45,16.54,493415.0
2020-11-11,17.39,17.4,16.5,17.17,365985.0
2020-11-10,16.81,17.51,16.2,17.25,634652.0
2020-11-09,17.26,17.71,15.98,16.49,904725.0
2020-11-06,17.15,17.16,16.1,16.21,980472.0
2020-11-05,15.73,17.29,15.5,16.92,1077669.0
2020-11-04,15.2,15.47,14.9801,15.31,549006.0
2020-11-03,15.0,15.62,14.98,15.53,660188.0
2020-11-02,14.42,14.87,14.27,14.84,436214.0
2020-10-30,14.25,14.44,13.94,14.26,415725.0
2020-10-29,14.07,14.36,14.02,14.33,293160.0
2020-10-28,14.15,14.355,14.04,14.17,546464.0
2020-10-27,14.73,14.8403,14.46,14.59,352936.0
2020-10-26,14.52,14.86,14.32,14.85,469268.0
2020-10-23,14.76,15.07,14.73,14.78,643852.0
2020-10-22,14.46,14.8,14.3913,14.67,430453.0
2020-10-21,14.26,14.57,14.26,14.34,261421.0
2020-10-20,14.31,14.54,14.16,14.26,261918.0
2020-10-19,14.27,14.41,14.08,14.26,437376.0
2020-10-16,14.28,14.69,14.14,14.26,514561.0
2020-10-15,13.75,14.21,13.63,14.11,355647.0
2020-10-14,14.01,14.325,13.88,13.95,448103.0
2020-10-13,13.76,14.04,13.71,13.97,361125.0
2020-10-12,13.76,14.0,13.74,13.97,294728.0
2020-10-09,14.17,14.2,13.73,13.76,265251.0
2020-10-08,13.91,14.11,13.66,14.02,336986.0
2020-10-07,13.77,13.82,13.47,13.73,426941.0
2020-10-06,13.32,13.9,13.17,13.52,779875.0
2020-10-05,12.43,13.08,12.27,12.97,523731.0
2020-10-02,11.6,12.41,11.57,12.25,613408.0
2020-10-01,11.95,12.16,11.82,11.95,323435.0
2020-09-30,12.14,12.39,11.82,11.96,392526.0
2020-09-29,12.44,12.53,12.02,12.1,264405.0
2020-09-28,12.1,12.71,12.1,12.4,472836.0
2020-09-25,11.53,11.88,11.47,11.81,514327.0
2020-09-24,11.36,11.8,11.22,11.55,577569.0
2020-09-23,11.49,11.82,11.41,11.42,547524.0
2020-09-22,11.07,11.52,11.05,11.5,590144.0
2020-09-21,11.4,11.4,10.87,11.04,607847.0
2020-09-18,11.75,11.75,11.425,11.6,1142176.0
2020-09-17,11.29,11.67,11.19,11.54,535318.0
2020-09-16,11.17,11.59,11.14,11.44,394151.0
2020-09-15,11.18,11.3,11.04,11.15,349324.0
2020-09-14,11.21,11.25,11.0,11.07,284009.0
2020-09-11,11.29,11.39,11.03,11.09,292093.0
2020-09-10,12.0,12.0,11.27,11.27,420215.0
2020-09-09,11.81,12.01,11.78,11.94,381756.0
2020-09-08,11.8,12.06,11.76,11.78,349666.0
2020-09-04,12.06,12.14,11.82,12.0,315725.0
2020-09-03,12.1,12.24,11.65,11.8,406067.0
2020-09-02,12.26,12.3435,12.03,12.1,404602.0
2020-09-01,12.07,12.32,11.85,12.26,386931.0
2020-08-31,12.35,12.41,12.14,12.21,368557.0
2020-08-28,12.67,12.74,12.32,12.44,334344.0
2020-08-27,12.69,12.84,12.53,12.57,402065.0
2020-08-26,12.66,12.78,12.53,12.64,423144.0
2020-08-25,12.93,13.24,12.63,12.69,544639.0
2020-08-24,12.7,12.85,12.57,12.83,652821.0
2020-08-21,12.46,12.87,12.46,12.52,2272362.0
2020-08-20,12.51,12.73,12.45,12.6,401441.0
2020-08-19,12.6,12.82,12.48,12.68,479312.0
2020-08-18,12.7,12.8,12.42,12.47,618573.0
2020-08-17,12.69,12.94,12.48,12.71,419789.0
2020-08-14,12.57,12.8,12.51,12.72,426502.0
2020-08-13,12.91,13.13,12.645,12.74,364455.0
2020-08-12,13.35,13.53,13.005,13.08,666912.0
2020-08-11,13.14,13.53,12.97,13.11,663211.0
2020-08-10,12.27,12.98,12.27,12.86,619878.0
2020-08-07,11.97,12.29,11.85,12.27,348140.0
2020-08-06,12.05,12.24,11.925,11.98,400599.0
2020-08-05,11.9,12.26,11.825,12.19,867473.0
2020-08-04,11.59,11.94,11.59,11.78,800863.0
2020-08-03,11.5,11.76,11.4773,11.62,631360.0
2020-07-31,12.39,12.4283,11.015,11.39,1203223.0
2020-07-30,12.79,13.01,11.92,12.47,1426885.0
2020-07-29,12.01,13.64,11.67,13.02,1156556.0
2020-07-28,11.63,11.9,11.58,11.6,718715.0
2020-07-27,11.55,11.85,11.43,11.81,557807.0
2020-07-24,11.6,11.78,11.54,11.59,781562.0
2020-07-23,11.43,11.765,11.34,11.62,761321.0
2020-07-22,11.76,11.87,11.44,11.54,518717.0
2020-07-21,11.45,12.06,11.39,11.85,977939.0
2020-07-20,11.25,11.37,10.84,11.26,561106.0
2020-07-17,11.37,11.49,11.23,11.37,498451.0
2020-07-16,11.28,11.5,11.12,11.41,281619.0
2020-07-15,11.03,11.27,10.92,11.19,402440.0
2020-07-14,10.39,10.74,10.32,10.71,341330.0
2020-07-13,10.49,10.54,10.28,10.36,355029.0
2020-07-10,10.23,10.44,10.15,10.33,372834.0
2020-07-09,10.32,10.45,9.97,10.15,621043.0
2020-07-08,10.17,10.71,10.15,10.38,601726.0
2020-07-07,10.51,10.57,10.16,10.17,812803.0
2020-07-06,10.43,10.75,10.35,10.67,549855.0
2020-07-02,10.14,10.63,10.09,10.11,462468.0
2020-07-01,10.61,10.66,9.84,9.85,618813.0
2020-06-30,10.63,10.72,10.44,10.62,433960.0
2020-06-29,10.16,10.77,10.16,10.7,957039.0
2020-06-26,10.0,10.11,9.77,9.99,975100.0
2020-06-25,9.59,10.07,9.57,10.06,480712.0
2020-06-24,9.88,10.07,9.73,9.73,874465.0
2020-06-23,9.98,10.12,9.84,10.05,461599.0
2020-06-22,9.73,9.85,9.56,9.74,543427.0
2020-06-19,10.21,10.25,9.73,9.86,982902.0
2020-06-18,9.95,10.17,9.79,10.04,512127.0
2020-06-17,10.26,10.26,9.99,10.07,413369.0
2020-06-16,10.76,10.88,10.13,10.27,285103.0
2020-06-15,9.55,10.25,9.55,10.19,875689.0
2020-06-12,10.17,10.33,9.74,10.05,433327.0
2020-06-11,10.03,10.18,9.54,9.68,781114.0
2020-06-10,11.36,11.36,10.67,10.69,543558.0
2020-06-09,11.72,11.82,11.24,11.45,539559.0
2020-06-08,12.0,12.32,11.79,11.95,1089212.0
