date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,56.05,57.37,56.05,56.61,4123.0
2021-03-12,55.96,56.4,55.791,56.07,123320.0
2021-03-11,55.245,55.53,55.245,55.3,86610.0
2021-03-10,54.75,55.455,54.75,54.86,21169.0
2021-03-09,54.59,55.04,54.27,54.85,8031.0
2021-03-08,55.78,55.78,53.97,54.59,29821.0
2021-03-05,54.87,55.9,54.4923,55.4499,6385.0
2021-03-04,54.64,54.99,54.34,54.34,40413.0
2021-03-03,55.0,55.0,54.05,54.36,122621.0
2021-03-02,55.21,55.45,55.1497,55.28,57098.0
2021-03-01,55.22,55.68,55.22,55.68,5936.0
2021-02-26,55.42,56.805,54.54,54.54,14907.0
2021-02-25,56.57,57.1,55.76,55.94,18806.0
2021-02-24,57.91,57.91,56.76,56.76,4857.0
2021-02-23,56.79,58.0,56.79,57.56,14269.0
2021-02-22,57.99,58.07,56.69,57.25,7305.0
2021-02-19,58.06,58.87,58.06,58.12,22247.0
2021-02-18,57.54,58.58,57.54,58.43,79142.0
2021-02-17,59.02,59.02,57.75,57.75,99528.0
2021-02-16,59.58,60.97,58.46,58.8,6953.0
2021-02-12,60.27,60.52,59.11,59.38,10438.0
2021-02-11,61.09,61.4,60.15,60.71,311876.0
2021-02-10,61.0,61.48,60.82,61.26,7013.0
2021-02-09,55.0,61.22,55.0,60.9,53055.0
2021-02-08,60.97,60.97,60.2544,60.4,8755.0
2021-02-05,60.69,61.156,60.69,61.0,14448.0
2021-02-04,60.58,60.7136,60.18,60.55,4500.0
2021-02-03,60.802,60.802,60.19,60.73,35425.0
2021-02-02,60.11,60.98,60.06,60.34,19425.0
2021-02-01,59.03,60.29,59.03,59.85,46893.0
2021-01-29,59.02,59.85,58.89,59.05,171867.0
2021-01-28,58.53,60.655,58.53,59.34,7608.0
2021-01-27,58.23,59.26,58.23,58.48,13944.0
2021-01-26,58.2,59.16,58.18,58.58,12814.0
2021-01-25,58.11,59.04,58.11,58.27,22911.0
2021-01-22,58.39,58.65,58.34,58.34,8451.0
2021-01-21,59.4899,59.58,58.76,58.76,6779.0
2021-01-20,59.75,59.77,59.55,59.7,3719.0
2021-01-19,59.32,59.9,59.26,59.73,123158.0
2021-01-15,58.1,59.07,57.82,59.05,46628.0
2021-01-14,61.29,61.29,58.43,58.6,369440.0
2021-01-13,60.92,61.43,60.53,60.87,39804.0
2021-01-12,63.12,63.12,60.16,60.64,271727.0
2021-01-11,62.37,62.87,61.77,62.87,4395.0
2021-01-08,61.83,62.87,61.72,62.87,2996.0
2021-01-07,62.68,62.68,61.3,61.8,3728.0
2021-01-06,61.27,63.22,61.27,62.28,55148.0
2021-01-05,60.26,61.11,60.26,60.59,24970.0
2021-01-04,61.77,61.77,60.15,60.4,12845.0
2020-12-31,61.55,62.02,60.69,62.02,79951.0
2020-12-30,61.58,61.58,59.63,60.82,493870.0
2020-12-29,60.37,63.03,59.63,63.03,8677.0
2020-12-28,58.97,60.28,58.97,60.28,7375.0
2020-12-24,59.24,59.31,58.6273,59.26,6807.0
2020-12-23,59.12,59.56,58.595,59.56,47664.0
2020-12-22,58.06,58.98,58.06,58.66,8562.0
2020-12-21,59.01,59.01,57.6133,58.6,54662.0
2020-12-18,60.93,60.96,59.09,59.09,4149.0
2020-12-17,61.4,61.4,59.15,60.51,6442.0
2020-12-16,62.05,62.05,60.9569,61.09,4246.0
2020-12-15,60.34,62.21,60.32,61.71,8354.0
2020-12-14,61.68,61.68,60.66,60.83,11436.0
2020-12-11,60.93,61.47,60.32,61.2,6494.0
2020-12-10,61.22,61.22,60.57,60.57,2832.0
2020-12-09,60.69,61.51,60.69,61.51,4457.0
2020-12-08,60.63,60.764,60.57,60.57,3467.0
2020-12-07,61.27,61.27,60.32,60.63,72120.0
2020-12-04,61.91,62.22,61.0,61.0,228614.0
2020-12-03,61.12,61.83,60.45,61.64,27967.0
2020-12-02,59.98,60.99,59.41,60.99,8836.0
