date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,9.44,9.44,9.07,9.15,173297.0
2021-03-17,9.29,9.48,9.22,9.34,191945.0
2021-03-16,9.28,9.35,9.21,9.24,136958.0
2021-03-15,9.21,9.3,9.19,9.27,124381.0
2021-03-12,9.16,9.36,9.15,9.3,316704.0
2021-03-11,9.07,9.19,9.0,9.15,310419.0
2021-03-10,8.9,9.085,8.78,9.05,358514.0
2021-03-09,8.69,8.8,8.65,8.75,133631.0
2021-03-08,8.62,8.74,8.6,8.68,191609.0
2021-03-05,8.6,8.62,8.5328,8.6,203603.0
2021-03-04,8.56,8.59,8.47,8.55,128395.0
2021-03-03,8.61,8.68,8.54,8.55,139071.0
2021-03-02,8.65,8.65,8.54,8.54,192845.0
2021-03-01,8.7,8.73,8.57,8.64,353879.0
2021-02-26,8.35,8.5,8.31,8.4,251312.0
2021-02-25,8.26,8.5,8.25,8.3,1074005.0
2021-02-24,9.15,9.1755,9.07,9.11,81149.0
2021-02-23,8.99,9.105,8.64,9.07,173950.0
2021-02-22,8.77,9.13,8.723,8.95,196597.0
2021-02-19,8.52,8.68,8.52,8.63,88752.0
2021-02-18,8.69,8.82,8.42,8.52,188897.0
2021-02-17,8.7,8.72,8.65,8.67,193269.0
2021-02-16,8.64,8.85,8.58,8.66,311595.0
2021-02-12,8.73,8.75,8.55,8.64,154247.0
2021-02-11,8.55,8.65,8.54,8.55,93238.0
2021-02-10,8.58,8.64,8.4,8.5,161558.0
2021-02-09,8.19,8.6,8.19,8.36,442700.0
2021-02-08,8.44,8.46,8.2,8.29,148477.0
2021-02-05,8.21,8.39,8.14,8.38,110134.0
2021-02-04,8.0,8.25,8.0,8.14,73363.0
2021-02-03,8.01,8.0768,7.9,8.01,121503.0
2021-02-02,8.01,8.23,8.001,8.11,126347.0
2021-02-01,7.85,8.1,7.8,8.1,79397.0
2021-01-29,7.93,7.95,7.75,7.79,62979.0
2021-01-28,7.82,8.0,7.8,7.93,45656.0
2021-01-27,7.81,7.915,7.7,7.87,82370.0
2021-01-26,7.89,7.98,7.67,7.78,142726.0
2021-01-25,8.1,8.1,7.74,7.89,231561.0
2021-01-22,8.03,8.15,7.92,8.12,130384.0
2021-01-21,8.06,8.12,8.02,8.05,72920.0
2021-01-20,8.02,8.1,7.99,8.06,93769.0
2021-01-19,7.99,8.0,7.9,8.0,81699.0
2021-01-15,7.9,7.98,7.8509,7.9,66846.0
2021-01-14,8.01,8.01,7.87,7.97,64661.0
2021-01-13,7.9,8.055,7.9,8.04,45193.0
2021-01-12,7.75,7.98,7.75,7.94,98178.0
2021-01-11,7.87,7.9,7.73,7.82,132508.0
2021-01-08,7.96,7.96,7.77,7.87,88786.0
2021-01-07,7.78,7.95,7.77,7.77,95142.0
2021-01-06,7.78,7.92,7.7,7.82,205773.0
2021-01-05,7.5,7.89,7.5,7.7,189980.0
2021-01-04,7.5,7.62,7.35,7.44,215814.0
2020-12-31,7.52,7.5999,7.25,7.5,130261.0
2020-12-30,7.6,7.7149,7.45,7.5,179486.0
2020-12-29,7.8,7.87,7.6,7.65,137720.0
2020-12-28,7.9,7.9,7.75,7.78,151042.0
2020-12-24,8.1,8.1522,7.8,7.87,116272.0
2020-12-23,8.0,8.35,7.91,8.0,286448.0
2020-12-22,7.7,7.98,7.65,7.94,125003.0
2020-12-21,7.68,7.74,7.58,7.66,52319.0
2020-12-18,7.79,7.8499,7.61,7.73,76179.0
2020-12-17,7.67,7.8,7.65,7.75,69481.0
2020-12-16,7.72,7.7398,7.6,7.69,95579.0
2020-12-15,7.6,7.8,7.5517,7.69,193650.0
2020-12-14,7.56,7.6599,7.47,7.56,101932.0
2020-12-11,7.65,7.65,7.48,7.525,143190.0
2020-12-10,7.56,7.72,7.5333,7.64,164679.0
2020-12-09,7.59,7.6,7.5,7.54,63186.0
2020-12-08,7.59,7.63,7.5,7.58,84438.0
2020-12-07,7.56,7.6799,7.5,7.54,126069.0
2020-12-04,7.57,7.7976,7.4708,7.52,83029.0
2020-12-03,7.67,7.8146,7.58,7.6,67595.0
2020-12-02,7.5,7.75,7.5,7.69,89063.0
2020-12-01,7.48,7.5482,7.37,7.53,73220.0
2020-11-30,7.4,7.46,7.38,7.4,63379.0
2020-11-27,7.4,7.43,7.36,7.39,22464.0
2020-11-25,7.31,7.4705,7.25,7.38,54486.0
2020-11-24,7.64,7.65,7.3,7.34,183283.0
2020-11-23,7.44,7.65,7.44,7.57,95583.0
2020-11-20,7.4,7.7,7.4,7.5,61853.0
2020-11-19,7.26,7.544,7.25,7.5,59991.0
2020-11-18,7.39,7.455,7.26,7.34,54798.0
2020-11-17,7.6,7.6,7.36,7.39,105320.0
2020-11-16,7.55,7.67,7.4898,7.58,74199.0
2020-11-13,7.5,7.6461,7.49,7.59,106424.0
2020-11-12,7.44,7.56,7.35,7.49,78285.0
2020-11-11,7.35,7.6206,7.25,7.43,113130.0
2020-11-10,7.19,7.35,7.162,7.29,50820.0
2020-11-09,7.2,7.35,7.1004,7.15,101557.0
2020-11-06,7.4,7.51,7.03,7.08,109682.0
2020-11-05,7.35,7.63,7.22,7.44,123005.0
2020-11-04,7.24,7.445,7.15,7.3,64913.0
2020-11-03,7.26,7.3898,7.175,7.29,70243.0
2020-11-02,7.36,7.3786,7.1,7.25,140786.0
2020-10-30,7.02,7.29,7.0,7.19,189456.0
2020-10-29,7.0,7.1,6.93,6.98,46472.0
2020-10-28,7.04,7.098,6.9,6.96,112295.0
2020-10-27,7.23,7.29,7.14,7.15,61374.0
2020-10-26,7.2,7.22,7.09,7.12,93542.0
2020-10-23,7.24,7.24,7.06,7.1,86875.0
2020-10-22,7.04,7.2925,7.0,7.1,231826.0
2020-10-21,6.86,7.0,6.86,6.93,46428.0
2020-10-20,6.79,6.92,6.79,6.86,27572.0
2020-10-19,6.94,7.1,6.82,6.855,87830.0
2020-10-16,6.99,7.1,6.9732,6.98,30950.0
2020-10-15,7.02,7.09,6.95,6.9816,46371.0
2020-10-14,6.95,7.1,6.95,7.05,42218.0
2020-10-13,6.98,7.05,6.88,7.05,41159.0
2020-10-12,6.65,6.985,6.65,6.95,102992.0
2020-10-09,6.82,6.8732,6.67,6.67,73995.0
2020-10-08,6.7,6.94,6.7,6.8641,71714.0
2020-10-07,6.83,6.88,6.67,6.74,84504.0
2020-10-06,6.6,6.8976,6.6,6.63,70515.0
2020-10-05,6.33,7.01,6.33,6.57,152372.0
2020-10-02,6.1,6.38,6.03,6.26,251694.0
2020-10-01,6.02,6.05,6.01,6.04,43353.0
2020-09-30,6.0,6.06,5.93,5.99,79031.0
2020-09-29,6.03,6.03,5.98,5.985,23880.0
2020-09-28,5.91,6.04,5.91,5.98,37606.0
2020-09-25,5.98,5.98,5.89,5.9477,39861.0
2020-09-24,5.92,5.95,5.8857,5.95,27810.0
2020-09-23,6.03,6.03,5.84,5.9,87476.0
2020-09-22,6.02,6.02,5.95,5.97,21913.0
2020-09-21,6.04,6.06,5.98,5.9816,37599.0
2020-09-18,6.05,6.07,6.0499,6.05,12147.0
2020-09-17,6.08,6.08,6.04,6.05,18497.0
2020-09-16,6.13,6.13,6.03,6.07,53151.0
2020-09-15,6.13,6.13,6.06,6.09,36468.0
2020-09-14,6.13,6.23,6.1,6.12,38175.0
2020-09-11,6.14,6.15,6.11,6.14,48852.0
2020-09-10,6.15,6.15,6.09,6.15,55370.0
2020-09-09,6.09,6.14,6.08,6.109,57332.0
2020-09-08,6.0,6.1,6.0,6.0999,35153.0
2020-09-04,6.0,6.03,5.97,6.0026,50132.0
2020-09-03,6.1,6.11,6.0,6.01,52315.0
2020-09-02,6.04,6.09,6.04,6.08,40867.0
2020-09-01,6.07,6.1,6.0401,6.075,32017.0
2020-08-31,6.04,6.04,6.02,6.03,24064.0
2020-08-28,6.02,6.03,6.008,6.02,23407.0
2020-08-27,6.03,6.03,5.98,5.98,42187.0
2020-08-26,6.03,6.04,5.99,6.01,67885.0
2020-08-25,6.03,6.03,5.92,5.99,48558.0
2020-08-24,6.01,6.04,5.9713,5.99,31096.0
2020-08-21,6.0,6.07,5.9601,6.0,37729.0
2020-08-20,6.01,6.03,5.96,6.0,24938.0
2020-08-19,6.01,6.03,5.9987,6.01,26413.0
2020-08-18,6.02,6.035,5.96,6.01,44828.0
2020-08-17,6.01,6.09,5.9901,6.05,83727.0
2020-08-14,6.02,6.09,6.02,6.0703,29551.0
2020-08-13,6.07,6.08,6.04,6.06,46308.0
2020-08-12,6.0,6.0747,6.0,6.05,27435.0
2020-08-11,6.12,6.13,6.02,6.02,47380.0
2020-08-10,6.0,6.09,5.99,6.08,75088.0
2020-08-07,6.08,6.08,5.99,5.995,21046.0
2020-08-06,6.0,6.02,5.98,6.0,43221.0
2020-08-05,5.99,6.02,5.9819,6.01,50036.0
2020-08-04,5.94,6.02,5.93,5.9998,105938.0
2020-08-03,5.99,6.02,5.9644,5.98,58154.0
2020-07-31,5.9846,5.9846,5.92,5.97,38779.0
2020-07-30,6.13,6.13,5.91,5.97,76556.0
2020-07-29,5.97,6.11,5.97,6.11,29046.0
2020-07-28,6.0,6.0,5.99,6.0,15152.0
2020-07-27,6.0,6.02,5.98,5.98,13523.0
2020-07-24,5.96,6.15,5.95,6.0118,32440.0
2020-07-23,6.016,6.04,5.96,5.98,10256.0
2020-07-22,6.02,6.0627,6.0169,6.03,14744.0
2020-07-21,5.96,6.02,5.96,6.0,18723.0
2020-07-20,5.96,6.02,5.93,5.96,36625.0
2020-07-17,6.0,6.03,5.966,6.0,29007.0
2020-07-16,6.01,6.03,5.97,6.0,26567.0
2020-07-15,5.94,6.0,5.9,5.95,50402.0
2020-07-14,5.9,6.007,5.835,5.98,38264.0
2020-07-13,6.03,6.08,5.94,6.05,64748.0
2020-07-10,5.96,6.11,5.945,6.04,51656.0
2020-07-09,6.15,6.19,5.88,5.96,59738.0
2020-07-08,6.36,6.4,6.08,6.13,150149.0
2020-07-07,5.95,6.8,5.89,6.55,374318.0
2020-07-06,5.94,6.03,5.85,5.95,132751.0
2020-07-02,5.86,5.9,5.8,5.88,55226.0
2020-07-01,5.75,5.85,5.69,5.85,68606.0
2020-06-30,5.61,5.73,5.61,5.69,34150.0
2020-06-29,5.62,5.68,5.58,5.65,44563.0
2020-06-26,5.4,5.62,5.4,5.55,95803.0
2020-06-25,5.52,5.52,5.47,5.51,66898.0
2020-06-24,5.57,5.57,5.44,5.52,59191.0
2020-06-23,5.46,5.54,5.45,5.535,31302.0
2020-06-22,5.47,5.498,5.43,5.43,19621.0
2020-06-19,5.493,5.55,5.4,5.46,62769.0
2020-06-18,5.4,5.51,5.4,5.5,23656.0
2020-06-17,5.47,5.557,5.46,5.47,34967.0
2020-06-16,5.4,5.545,5.4,5.47,43545.0
2020-06-15,5.4,5.4,5.27,5.34,38971.0
2020-06-12,5.35,5.51,5.345,5.42,93601.0
2020-06-11,5.6,5.6,5.315,5.34,122738.0
2020-06-10,5.72,5.741,5.68,5.72,27219.0
2020-06-09,5.75,5.75,5.683,5.73,35786.0
2020-06-08,5.74,5.74,5.53,5.72,190193.0
2020-06-05,5.7,5.8,5.49,5.5,141302.0
2020-06-04,5.4,5.6,5.36,5.43,94295.0
2020-06-03,5.15,5.39,5.15,5.35,125067.0
2020-06-02,5.17,5.2,5.12,5.15,66887.0
2020-06-01,5.02,5.17,4.99,5.13,90319.0
2020-05-29,4.99,5.03,4.98,4.99,83412.0
2020-05-28,5.06,5.06,4.97,5.0,108434.0
2020-05-27,4.99,4.99,4.88,4.98,43650.0
2020-05-26,5.0,5.0,4.851,4.92,50872.0
2020-05-22,4.88,4.88,4.79,4.86,32980.0
2020-05-21,4.85,4.894,4.83,4.87,77572.0
2020-05-20,4.84,4.88,4.79,4.81,33297.0
2020-05-19,4.73,4.8,4.71,4.8,39484.0
2020-05-18,4.68,4.79,4.68,4.71,83356.0
2020-05-15,4.73,4.73,4.63,4.68,47013.0
2020-05-14,4.74,4.75,4.55,4.69,162314.0
2020-05-13,4.91,4.91,4.81,4.83,157523.0
2020-05-12,4.85,4.88,4.85,4.85,70185.0
2020-05-11,4.83,4.876,4.81,4.83,69087.0
2020-05-08,4.76,4.85,4.76,4.84,55277.0
2020-05-07,4.77,4.85,4.77,4.8,31658.0
2020-05-06,4.74,4.84,4.74,4.82,102289.0
2020-05-05,4.79,4.89,4.78,4.79,126990.0
