date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,4.2,5.9,3.79,4.73,913779.0
2021-03-17,3.45,5.0,3.3,4.31,819686.0
2021-03-16,3.15,3.77,3.0793,3.47,139339.0
2021-03-15,2.93,3.15,2.93,3.12,25932.0
2021-03-12,2.82,3.03,2.82,3.03,37694.0
2021-03-11,2.91,3.0,2.83,3.0,52759.0
2021-03-10,2.6,2.8499,2.6,2.79,32260.0
2021-03-09,2.34,2.7973,2.3101,2.62,48115.0
2021-03-08,2.55,2.6887,2.41,2.41,33622.0
2021-03-05,2.69,2.76,2.31,2.65,42569.0
2021-03-04,2.96,3.01,2.72,2.78,47013.0
2021-03-03,3.15,3.36,3.0,3.0,43266.0
2021-03-02,3.51,3.6699,3.1,3.15,92074.0
2021-03-01,3.45,3.72,3.3202,3.49,32160.0
2021-02-26,3.52,3.61,3.1601,3.45,40982.0
2021-02-25,3.85,4.4299,3.62,3.62,222448.0
2021-02-24,4.01,4.17,3.8902,3.94,34036.0
2021-02-23,4.52,4.52,3.81,4.12,170400.0
2021-02-22,4.36,5.3,4.145,4.83,251410.0
2021-02-19,4.06,4.56,4.05,4.49,159482.0
2021-02-18,4.06,4.35,4.06,4.1,50133.0
2021-02-17,4.64,4.72,4.15,4.26,83053.0
2021-02-16,3.8,4.83,3.7505,4.62,205255.0
2021-02-12,3.59,3.99,3.59,3.84,97820.0
2021-02-11,3.51,3.81,3.51,3.59,70965.0
2021-02-10,3.66,3.7899,3.51,3.58,77133.0
2021-02-09,3.88,4.0,3.61,3.84,111220.0
2021-02-08,3.58,4.49,3.28,4.04,568060.0
2021-02-05,2.5,4.95,2.46,3.55,2579039.0
2021-02-04,2.4,2.55,2.36,2.5,72916.0
2021-02-03,2.26,2.39,2.26,2.37,38333.0
2021-02-02,2.21,2.36,2.21,2.28,40594.0
2021-02-01,2.11,2.3,2.11,2.23,63892.0
2021-01-29,2.11,2.29,2.11,2.11,64504.0
2021-01-28,2.11,2.2,2.0904,2.15,46355.0
2021-01-27,2.31,2.31,2.1,2.11,65868.0
2021-01-26,2.4,2.42,2.33,2.33,61609.0
2021-01-25,2.44,2.6342,2.37,2.43,94392.0
2021-01-22,2.29,2.53,2.25,2.4494,226523.0
2021-01-21,2.26,2.4599,2.26,2.3,86303.0
2021-01-20,2.34,2.39,2.2201,2.31,60885.0
2021-01-19,2.33,2.46,2.32,2.39,58462.0
2021-01-15,2.34,2.43,2.28,2.37,38276.0
2021-01-14,2.2,2.45,2.2,2.37,140389.0
2021-01-13,2.26,2.35,2.21,2.21,56020.0
2021-01-12,2.36,2.3999,2.25,2.32,58043.0
2021-01-11,2.3,2.49,2.25,2.41,99261.0
2021-01-08,2.05,2.38,2.05,2.32,173053.0
2021-01-07,2.0,2.1199,2.0,2.11,47481.0
2021-01-06,2.02,2.15,2.02,2.05,28659.0
2021-01-05,1.9,2.2,1.9,2.01,65159.0
2021-01-04,1.97,2.07,1.9,1.94,60437.0
2020-12-31,2.05,2.1,1.96,2.0,121539.0
2020-12-30,1.81,2.38,1.81,2.27,453206.0
2020-12-29,1.84,1.9306,1.81,1.81,35842.0
2020-12-28,1.84,1.96,1.84,1.95,41120.0
2020-12-24,1.92,1.98,1.9,1.94,21066.0
2020-12-23,2.05,2.14,1.97,1.98,34552.0
2020-12-22,1.92,2.19,1.92,2.12,28837.0
2020-12-21,1.95,2.09,1.92,1.99,62281.0
2020-12-18,2.05,2.12,2.0,2.05,47072.0
2020-12-17,2.12,2.21,2.1,2.2,18709.0
2020-12-16,2.26,2.33,2.2,2.2,21803.0
2020-12-15,2.24,2.4,2.24,2.33,24792.0
2020-12-14,2.62,2.62,2.47,2.47,26290.0
2020-12-11,2.2101,2.46,2.2101,2.46,35256.0
2020-12-10,2.17,2.4,2.17,2.4,13534.0
2020-12-09,2.19,2.29,2.17,2.23,20713.0
2020-12-08,2.23,2.3382,2.21,2.23,36355.0
2020-12-07,2.36,2.36,2.23,2.28,33907.0
2020-12-04,2.3896,2.39,2.3,2.34,27387.0
2020-12-03,2.33,2.41,2.25,2.3,31900.0
2020-12-02,2.35,2.505,2.22,2.47,33133.0
2020-12-01,2.5,2.5607,2.32,2.45,53036.0
2020-11-30,2.85,2.85,2.5,2.5,130151.0
2020-11-27,2.45,2.875,2.36,2.75,216468.0
2020-11-25,2.3,2.49,2.25,2.36,157431.0
2020-11-24,1.78,2.2,1.7733,2.2,93096.0
2020-11-23,1.73,1.8677,1.73,1.86,70740.0
2020-11-20,1.82,1.845,1.68,1.765,181266.0
2020-11-19,1.48,2.04,1.45,1.92,1530153.0
2020-11-18,0.75,0.75,0.69,0.698,83742.0
2020-11-17,0.71,0.74,0.71,0.7208,29852.0
2020-11-16,0.71,0.74,0.71,0.71,63358.0
2020-11-13,0.716,0.7388,0.71,0.7101,62971.0
2020-11-12,0.73,0.7646,0.73,0.7397,17226.0
2020-11-11,0.73,0.7688,0.73,0.73,79462.0
2020-11-10,0.83,0.83,0.7411,0.756,120432.0
2020-11-09,0.8148,0.82,0.76,0.8163,99444.0
2020-11-06,0.81,0.81,0.754,0.785,75485.0
2020-11-05,0.75,0.8366,0.75,0.8084,229317.0
2020-11-04,0.76,0.7899,0.75,0.75,87445.0
2020-11-03,0.74,0.777,0.7331,0.7504,155278.0
2020-11-02,0.7901,0.85,0.7205,0.7323,216871.0
2020-10-30,0.842,0.86,0.8,0.81,167617.0
2020-10-29,0.89,0.89,0.82,0.8421,127646.0
2020-10-28,0.8404,0.8899,0.7621,0.86,329017.0
2020-10-27,0.7681,0.89,0.7681,0.8321,607302.0
2020-10-26,0.85,0.8676,0.7404,0.7605,335881.0
2020-10-23,0.841,0.9,0.81,0.84,265804.0
2020-10-22,0.83,0.97,0.826,0.8751,652856.0
2020-10-21,1.01,1.08,0.821,0.89,3429339.0
2020-10-20,0.6678,1.23,0.6678,1.11,14310678.0
2020-10-19,0.6,0.75,0.6,0.6311,434671.0
2020-10-16,0.64,0.65,0.6,0.6,165056.0
2020-10-15,0.62,0.69,0.6,0.63,450349.0
2020-10-14,0.62,0.64,0.5801,0.6201,41196.0
2020-10-13,0.59,0.608,0.5628,0.6001,54109.0
2020-10-12,0.599,0.5997,0.5561,0.5561,62748.0
2020-10-09,0.5599,0.5988,0.5571,0.5896,57089.0
2020-10-08,0.5418,0.58,0.52,0.56,111263.0
2020-10-07,0.5693,0.599,0.512,0.516,102083.0
2020-10-06,0.55,0.58,0.5111,0.5563,108027.0
2020-10-05,0.53,0.5365,0.5025,0.5299,49156.0
2020-10-02,0.5,0.5424,0.5,0.528,116463.0
2020-10-01,0.51,0.5453,0.5044,0.5087,48490.0
2020-09-30,0.57,0.57,0.506,0.515,52479.0
2020-09-29,0.5308,0.56,0.5307,0.5311,130247.0
2020-09-28,0.53,0.56,0.5222,0.5307,57431.0
2020-09-25,0.5005,0.56,0.4806,0.53,88860.0
2020-09-24,0.51,0.52,0.475,0.5,98472.0
2020-09-23,0.559,0.559,0.5006,0.508,86171.0
2020-09-22,0.588,0.588,0.52,0.535,138964.0
2020-09-21,0.5883,0.5883,0.5501,0.5677,43396.0
2020-09-18,0.59,0.6,0.55,0.5603,88696.0
2020-09-17,0.6287,0.67,0.5299,0.5983,383997.0
2020-09-16,0.7,0.7,0.6189,0.622,70259.0
2020-09-15,0.635,0.635,0.6097,0.6155,85916.0
2020-09-14,0.6896,0.6896,0.62,0.62,21639.0
2020-09-11,0.71,0.71,0.6211,0.645,41270.0
2020-09-10,0.706,0.706,0.66,0.681,51836.0
2020-09-09,0.72,0.72,0.6976,0.7002,21540.0
2020-09-08,0.72,0.72,0.685,0.72,44955.0
2020-09-04,0.7001,0.7399,0.69,0.7,31200.0
2020-09-03,0.72,0.7235,0.701,0.705,10970.0
2020-09-02,0.7354,0.7354,0.6901,0.716,58027.0
2020-09-01,0.74,0.7441,0.711,0.744,41434.0
2020-08-31,0.74,0.7496,0.72,0.747,30258.0
2020-08-28,0.71,0.7478,0.71,0.7341,26174.0
2020-08-27,0.7501,0.7501,0.7,0.728,88346.0
2020-08-26,0.77,0.77,0.7315,0.7645,47677.0
2020-08-25,0.76,0.7879,0.72,0.75,127252.0
2020-08-24,0.8222,0.8299,0.76,0.7799,85327.0
2020-08-21,0.78,0.82,0.7607,0.7877,259882.0
2020-08-20,0.89,0.9349,0.85,0.912,230075.0
2020-08-19,0.79,1.035,0.79,0.9438,909704.0
2020-08-18,0.78,0.8365,0.76,0.8175,139682.0
2020-08-17,0.778,0.798,0.76,0.7682,86246.0
2020-08-14,0.82,0.8399,0.7602,0.7722,345493.0
2020-08-13,0.76,1.09,0.76,0.93,2346273.0
2020-08-12,0.765,0.7959,0.761,0.7617,39385.0
2020-08-11,0.7839,0.8401,0.76,0.7665,61415.0
2020-08-10,0.7791,0.78,0.76,0.78,5061.0
2020-08-07,0.777,0.805,0.7401,0.754,99326.0
2020-08-06,0.7651,0.784,0.7651,0.776,16398.0
2020-08-05,0.8248,0.8248,0.76,0.786,51033.0
2020-08-04,0.77,0.7959,0.77,0.7856,15610.0
2020-08-03,0.798,0.798,0.76,0.785,15443.0
2020-07-31,0.83,0.8399,0.7223,0.76,271787.0
2020-07-30,0.86,0.86,0.81,0.82,25070.0
2020-07-29,0.859,0.8597,0.82,0.824,37380.0
2020-07-28,0.8765,0.8765,0.8235,0.8598,6429.0
2020-07-27,0.848,0.88,0.836,0.8585,68056.0
2020-07-24,0.85,0.878,0.82,0.848,44790.0
2020-07-23,0.87,0.9017,0.85,0.85,36019.0
2020-07-22,0.85,0.898,0.85,0.876,21790.0
2020-07-21,0.91,0.91,0.85,0.88,55180.0
2020-07-20,0.87,0.9,0.86,0.87,16422.0
2020-07-17,0.92,0.92,0.87,0.89,25356.0
2020-07-16,0.91,0.91,0.85,0.87,61034.0
2020-07-15,0.94,0.97,0.85,0.9,175295.0
2020-07-14,0.87,0.94,0.85,0.89,73201.0
2020-07-13,0.96,0.99,0.9,0.94,142341.0
2020-07-10,0.95,1.0,0.92,0.97,171389.0
2020-07-09,0.77,1.05,0.77,1.02,684634.0
2020-07-08,0.79,0.84,0.78,0.8,150336.0
2020-07-07,0.8,0.83,0.78,0.81,39425.0
2020-07-06,0.87,0.87,0.79,0.82,192404.0
2020-07-02,0.78,0.87,0.78,0.82,38997.0
2020-07-01,0.79,0.9,0.75,0.82,69840.0
2020-06-30,0.89,0.91,0.69,0.9,547607.0
2020-06-29,0.91,0.94,0.86,0.9146,182733.0
2020-06-26,0.95,0.95,0.88,0.9184,178854.0
2020-06-25,0.97,0.97,0.85,0.91,234296.0
2020-06-24,0.98,0.98,0.9,0.94,95616.0
2020-06-23,0.94,1.04,0.92,0.99,277870.0
2020-06-22,0.98,0.98,0.88,0.94,112046.0
2020-06-19,1.04,1.04,0.88,0.99,397606.0
2020-06-18,1.03,1.05,0.98,1.02,147488.0
2020-06-17,1.01,1.08,0.96,0.99,184922.0
2020-06-16,0.99,1.32,0.96,1.02,578327.0
2020-06-15,0.9,0.98,0.85,0.98,96775.0
2020-06-12,0.99,0.99,0.9,0.95,153370.0
2020-06-11,0.91,1.0,0.9,0.92,74728.0
2020-06-10,0.91,1.08,0.9,0.97,349643.0
2020-06-09,1.07,1.1,0.95,1.0,120113.0
2020-06-08,0.97,1.07,0.97,1.05,64211.0
2020-06-05,0.91,1.07,0.91,1.0,141115.0
2020-06-04,0.84,0.95,0.84,0.9,92043.0
2020-06-03,0.89,0.9,0.82,0.86,106175.0
2020-06-02,0.74,0.92,0.74,0.9,536419.0
2020-06-01,0.71,0.75,0.69,0.74,69100.0
2020-05-29,0.81,0.83,0.69,0.69,593256.0
2020-05-28,0.8,0.84,0.76,0.77,98415.0
2020-05-27,0.81,0.82,0.77,0.8,107568.0
