,Ticker,$Ticker,Company Name
2196,TDA,$TDA,Telephone & Data Systems Inc.
2197,TDE,$TDE,"Telephone and Data Systems, Inc. SR NT 2059"
2198,TDI,$TDI,"Telephone and Data Systems, Inc. SR NT 2045"
2199,TDJ,$TDJ,"Telephone and Data Systems, Inc. PFD"
2200,TDS,$TDS,"Telephone and Data Systems, Inc."
2201,TU,$TU,TELUS Corporation
2202,TDF,$TDF,"Templeton Dragon Fund, Inc."
2203,EMF,$EMF,Templeton Emerging Markets Fund
2204,TEI,$TEI,Templeton Emerging Markets Income Fund
2205,GIM,$GIM,Templeton Global Income Fund
2206,TPX,$TPX,"Tempur Sealy International, Inc."
2207,TS,$TS,Tenaris S.A.
2208,TME,$TME,Tencent Music Entertainment Group
2209,THC,$THC,Tenet Healthcare Corporation
2210,TNC,$TNC,Tennant Company
2211,TEN,$TEN,Tenneco Inc.
2212,TVC,$TVC,Tennessee Valley Authority PARRS D 2028
2213,TVE,$TVE,Tennessee Valley Authority PARRS A 2029
2214,TDC,$TDC,Teradata Corporation
2215,TEX,$TEX,Terex Corporation
2216,TX,$TX,Ternium S.A.
2217,TRNO,$TRNO,Terreno Realty Corporation
2218,TTI,$TTI,"TETRA Technologies, Inc."
2219,TEVA,$TEVA,Teva Pharmaceutical Industries Limited
2220,TPL,$TPL,Texas Pacific Land Corporation
2221,TGH,$TGH,Textainer Group Holdings Limited
2222,TXT,$TXT,Textron Inc.
2223,TFII,$TFII,TFI International Inc.
2224,AES,$AES,The AES Corporation
2225,AZEK,$AZEK,The AZEK Company Inc.
2226,BK,$BK,The Bank of New York Mellon Corporation
2227,BX,$BX,The Blackstone Group Inc.
2228,CEE,$CEE,"The Central and Eastern Europe Fund, Inc."
2229,SCHW,$SCHW,The Charles Schwab Corporation
2230,COO,$COO,"The Cooper Companies, Inc."
2231,GDV,$GDV,The Gabelli Dividend & Income Trust
2232,GRX,$GRX,The Gabelli Healthcare & Wellness Trust
2233,GDL,$GDL,The GDL Fund
2234,THG,$THG,"The Hanover Insurance Group, Inc."
2236,TRV,$TRV,"The Travelers Companies, Inc."
2237,TMO,$TMO,Thermo Fisher Scientific Inc.
2238,THR,$THR,"Thermon Group Holdings, Inc."
2239,TPRE,$TPRE,Third Point Reinsurance Ltd.
2240,TRI,$TRI,Thomson Reuters Corporation
2241,THO,$THO,"Thor Industries, Inc."
2242,TDW,$TDW,Tidewater Inc.
2244,TLYS,$TLYS,"Tilly's, Inc."
2246,TKR,$TKR,The Timken Company
2247,TMST,$TMST,TimkenSteel Corporation
2248,TWI,$TWI,"Titan International, Inc."
2249,TJX,$TJX,"The TJX Companies, Inc."
2250,TOL,$TOL,"Toll Brothers, Inc."
2251,TR,$TR,"Tootsie Roll Industries, Inc."
2252,BLD,$BLD,TopBuild Corp.
2253,TTC,$TTC,The Toro Company
2254,TD,$TD,The Toronto-Dominion Bank
2256,NDP,$NDP,"Tortoise Energy Independence Fund, Inc."
2257,TYG,$TYG,Tortoise Energy Infrastructure Corporation
2258,TEAF,$TEAF,Tortoise Essential Assets Income Term Fund
2259,NTG,$NTG,"Tortoise Midstream Energy Fund, Inc."
2260,TTP,$TTP,"Tortoise Pipeline & Energy Fund, Inc."
2261,TPZ,$TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc."
2262,TOT,$TOT,TOTAL SE
2263,TSQ,$TSQ,"Townsquare Media, Inc."
2264,TM,$TM,Toyota Motor Corporation
2265,TRTX,$TRTX,"TPG RE Finance Trust, Inc."
2266,TT,$TT,Trane Technologies plc
2267,TAC,$TAC,TransAlta Corporation
2268,TCI,$TCI,"Transcontinental Realty Investors, Inc."
2269,TDG,$TDG,TransDigm Group Incorporated
2270,RIG,$RIG,Transocean Ltd.
2271,TGS,$TGS,Transportadora de Gas del Sur S.A.
2272,TRU,$TRU,TransUnion
2273,TREC,$TREC,Trecora Resources
2274,TG,$TG,Tredegar Corporation
2275,THS,$THS,"TreeHouse Foods, Inc."
2276,TREX,$TREX,"Trex Company, Inc."
2277,TY,$TY,Tri-Continental Corporation
2278,TPH,$TPH,"Tri Pointe Homes, Inc."
2280,TNET,$TNET,"TriNet Group, Inc."
2281,TRN,$TRN,"Trinity Industries, Inc."
2282,TSE,$TSE,Trinseo S.A.
2283,TPVG,$TPVG,TriplePoint Venture Growth BDC Corp.
2284,TPVY,$TPVY,TriplePoint Venture Growth BDC Corp.
2285,GTS,$GTS,Triple-S Management Corporation
2286,TRTN,$TRTN,Triton International Limited
2287,TGI,$TGI,"Triumph Group, Inc."
2288,TROX,$TROX,Tronox Holdings plc
2289,TBI,$TBI,"TrueBlue, Inc."
2290,TFC,$TFC,Truist Financial Corporation
2291,TNP,$TNP,Tsakos Energy Navigation Limited
2292,TUFN,$TUFN,Tufin Software Technologies Ltd.
2293,TUP,$TUP,Tupperware Brands Corporation
2294,TKC,$TKC,Turkcell Iletisim Hizmetleri A.S.
2295,TPB,$TPB,"Turning Point Brands, Inc."
2296,TRQ,$TRQ,Turquoise Hill Resources Ltd.
2297,TPC,$TPC,Tutor Perini Corporation
2298,TWLO,$TWLO,Twilio Inc.
2300,TWTR,$TWTR,"Twitter, Inc."
2301,TWO,$TWO,Two Harbors Investment Corp.
2302,TYL,$TYL,"Tyler Technologies, Inc."
2303,TSN,$TSN,"Tyson Foods, Inc."
2304,USB,$USB,U.S. Bancorp
2305,USPH,$USPH,"U.S. Physical Therapy, Inc."
2306,SLCA,$SLCA,"U.S. Silica Holdings, Inc."
2307,USX,$USX,"U.S. Xpress Enterprises, Inc."
2308,UBER,$UBER,"Uber Technologies, Inc."
2309,UI,$UI,Ubiquiti Inc.
2310,UBS,$UBS,UBS Group AG
2311,UDR,$UDR,"UDR, Inc."
2312,UGI,$UGI,UGI Corporation
2313,UGP,$UGP,Ultrapar Participações S.A.
2314,UMH,$UMH,"UMH Properties, Inc."
2315,UA,$UA,"Under Armour, Inc."
2316,UAA,$UAA,"Under Armour, Inc."
2317,UFI,$UFI,"Unifi, Inc."
2318,UNF,$UNF,UniFirst Corporation
2320,UL,$UL,Unilever PLC
2321,UNP,$UNP,Union Pacific Corporation
2322,UIS,$UIS,Unisys Corporation
2323,UMC,$UMC,United Microelectronics Corporation
2324,UNFI,$UNFI,"United Natural Foods, Inc."
2325,UPS,$UPS,"United Parcel Service, Inc."
2326,URI,$URI,"United Rentals, Inc."
2327,USM,$USM,United States Cellular Corporation
2328,UZA,$UZA,United States Cellular Corporation CALL SR NT 60
2329,UZB,$UZB,United States Cellular Corporation SR NT 120163
2330,UZC,$UZC,United States Cellular Corporation SR NT 64
2331,X,$X,United States Steel Corporation
2332,UNH,$UNH,UnitedHealth Group Incorporated
2333,UTL,$UTL,Unitil Corporation
2334,UNVR,$UNVR,Univar Solutions Inc.
2335,UVV,$UVV,Universal Corporation
2336,UHT,$UHT,Universal Health Realty Income Trust
2337,UHS,$UHS,"Universal Health Services, Inc."
2338,UVE,$UVE,"Universal Insurance Holdings, Inc."
2340,UNM,$UNM,Unum Group
2341,UNMA,$UNMA,Unum Group 6.250% JR NT58
2342,UE,$UE,Urban Edge Properties
2343,UBA,$UBA,Urstadt Biddle Properties Inc.
2344,UBP,$UBP,Urstadt Biddle Properties Inc.
2345,USFD,$USFD,US Foods Holding Corp.
2346,USAC,$USAC,"USA Compression Partners, LP"
2347,USNA,$USNA,"USANA Health Sciences, Inc."
2348,USDP,$USDP,USD Partners LP
2349,BIF,$BIF,"Boulder Growth & Income Fund, Inc."
2350,VFC,$VFC,V.F. Corporation
2351,EGY,$EGY,"VAALCO Energy, Inc."
2352,MTN,$MTN,"Vail Resorts, Inc."
2354,VALE,$VALE,Vale S.A.
2355,VLO,$VLO,Valero Energy Corporation
2356,VHI,$VHI,"Valhi, Inc."
2357,VMI,$VMI,"Valmont Industries, Inc."
2358,VVV,$VVV,Valvoline Inc.
2359,VAPO,$VAPO,"Vapotherm, Inc."
2360,VAR,$VAR,"Varian Medical Systems, Inc."
2361,VGR,$VGR,Vector Group Ltd.
2362,VEC,$VEC,"Vectrus, Inc."
2363,VEDL,$VEDL,Vedanta Limited
2364,VEEV,$VEEV,Veeva Systems Inc.
2365,VEL,$VEL,"Velocity Financial, Inc."
2366,VNTR,$VNTR,Venator Materials PLC
2367,VTR,$VTR,"Ventas, Inc."
2368,VNE,$VNE,"Veoneer, Inc."
2369,VER,$VER,"VEREIT, Inc."
2370,VRTV,$VRTV,Veritiv Corporation
2371,VZ,$VZ,Verizon Communications Inc.
2372,VET,$VET,Vermilion Energy Inc.
2373,VRS,$VRS,Verso Corporation
2374,VCIF,$VCIF,Vertical Capital Income Fund
2375,VRT,$VRT,Vertiv Holdings Co.
2376,VVI,$VVI,Viad Corp.
2377,VICI,$VICI,VICI Properties Inc.
2378,VNCE,$VNCE,Vince Holding Corp.
2379,VIPS,$VIPS,Vipshop Holdings Limited
2380,SPCE,$SPCE,"Virgin Galactic Holdings, Inc."
2381,VHC,$VHC,VirnetX Holding Corp
2382,VGI,$VGI,Virtus Global Multi-Sector Income Fund
2383,ZTR,$ZTR,Virtus Total Return Fund Inc.
2384,V,$V,Visa Inc.
2385,VSH,$VSH,"Vishay Intertechnology, Inc."
2386,VPG,$VPG,"Vishay Precision Group, Inc."
2387,VIST,$VIST,"Vista Oil & Gas, S.A.B. de C.V."
2388,VSTO,$VSTO,Vista Outdoor Inc.
2389,VST,$VST,Vistra Corp.
2390,VVNT,$VVNT,"Vivint Smart Home, Inc."
2392,VMW,$VMW,"VMware, Inc."
2393,VOC,$VOC,VOC Energy Trust
2394,VCRA,$VCRA,"Vocera Communications, Inc."
2395,VNO,$VNO,Vornado Realty Trust
2396,VJET,$VJET,voxeljet AG
2397,IAE,$IAE,Voya Asia Pacific High Dividend Equity Income Fund
2398,IHD,$IHD,Voya Emerging Markets High Dividend Equity Fund
2399,VOYA,$VOYA,"Voya Financial, Inc."
2400,IGA,$IGA,Voya Global Advantage and Premium Opportunity Fund
2401,IGD,$IGD,Voya Global Equity Dividend and Premium Opportunity Fund
2402,IDE,$IDE,"Voya Infrastructure, Industrials and Materials Fund"
